EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station LAPPEENRANTA HIEKKAPAKKA, FINLAND (STAID: 7227)
Blended and updated with sources:43294 902919 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  7227,902919,20091101,-9999,    9
  7227,902919,20091102,-9999,    9
  7227,902919,20091103,-9999,    9
  7227,902919,20091104,-9999,    9
  7227,902919,20091105,-9999,    9
  7227,902919,20091106,-9999,    9
  7227,902919,20091107,-9999,    9
  7227,902919,20091108,-9999,    9
  7227,902919,20091109,-9999,    9
  7227,902919,20091110,-9999,    9
  7227,902919,20091111,-9999,    9
  7227,902919,20091112,-9999,    9
  7227,902919,20091113,-9999,    9
  7227,902919,20091114,-9999,    9
  7227,902919,20091115,-9999,    9
  7227,902919,20091116,-9999,    9
  7227,902919,20091117,-9999,    9
  7227,902919,20091118,-9999,    9
  7227,902919,20091119,-9999,    9
  7227,902919,20091120,-9999,    9
  7227,902919,20091121,-9999,    9
  7227,902919,20091122,-9999,    9
  7227,902919,20091123,-9999,    9
  7227,902919,20091124,-9999,    9
  7227,902919,20091125,-9999,    9
  7227,902919,20091126,-9999,    9
  7227,902919,20091127,-9999,    9
  7227, 43294,20091128,   33,    0
  7227, 43294,20091129,   35,    0
  7227, 43294,20091130,   31,    0
  7227, 43294,20091201,   41,    0
  7227, 43294,20091202,    4,    0
  7227, 43294,20091203,  -17,    0
  7227, 43294,20091204,  -13,    0
  7227, 43294,20091205,  -29,    0
  7227, 43294,20091206,  -21,    0
  7227, 43294,20091207,  -11,    0
  7227, 43294,20091208,   -9,    0
  7227, 43294,20091209,   -3,    0
  7227, 43294,20091210,  -16,    0
  7227, 43294,20091211,  -19,    0
  7227, 43294,20091212,  -25,    0
  7227, 43294,20091213,  -57,    0
  7227, 43294,20091214, -108,    0
  7227, 43294,20091215, -108,    0
  7227, 43294,20091216, -108,    0
  7227, 43294,20091217, -142,    0
  7227, 43294,20091218, -127,    0
