EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KIHNIO AITONEVA, FINLAND (STAID: 7264)
Blended and updated with sources:43489 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  7264, 43489,19590101,  -20,    0
  7264, 43489,19590102,  -39,    0
  7264, 43489,19590103,  -22,    0
  7264, 43489,19590104,   -1,    0
  7264, 43489,19590105,  -28,    0
  7264, 43489,19590106,  -38,    0
  7264, 43489,19590107,  -48,    0
  7264, 43489,19590108,  -69,    0
  7264, 43489,19590109,  -61,    0
  7264, 43489,19590110,  -29,    0
  7264, 43489,19590111,  -24,    1
  7264, 43489,19590112,  -52,    0
  7264, 43489,19590113,  -61,    0
  7264, 43489,19590114,  -88,    0
  7264, 43489,19590115, -126,    0
  7264, 43489,19590116, -155,    0
  7264, 43489,19590117, -177,    0
  7264, 43489,19590118, -209,    0
  7264, 43489,19590119, -195,    0
  7264, 43489,19590120, -178,    0
  7264, 43489,19590121, -139,    0
  7264, 43489,19590122, -138,    0
  7264, 43489,19590123,  -89,    0
  7264, 43489,19590124,  -54,    0
  7264, 43489,19590125, -137,    0
  7264, 43489,19590126, -109,    0
  7264, 43489,19590127,  -26,    0
  7264, 43489,19590128,  -16,    0
  7264, 43489,19590129,  -17,    0
  7264, 43489,19590130,  -34,    0
  7264, 43489,19590131,  -75,    0
  7264, 43489,19590201,  -92,    0
  7264, 43489,19590202,  -53,    0
  7264, 43489,19590203,  -26,    0
  7264, 43489,19590204,   11,    0
  7264, 43489,19590205,  -13,    0
  7264, 43489,19590206,  -37,    0
  7264, 43489,19590207,  -31,    1
  7264, 43489,19590208,  -46,    0
  7264, 43489,19590209,  -52,    0
  7264, 43489,19590210,  -71,    0
  7264, 43489,19590211,  -58,    0
  7264, 43489,19590212,  -60,    0
  7264, 43489,19590213,  -49,    0
  7264, 43489,19590214,  -46,    0
  7264, 43489,19590215,  -40,    0
  7264, 43489,19590216,  -21,    0
  7264, 43489,19590217,    7,    0
  7264, 43489,19590218,   15,    0
  7264, 43489,19590219,    4,    0
  7264, 43489,19590220,  -16,    0
  7264, 43489,19590221,  -53,    0
  7264, 43489,19590222,  -70,    0
  7264, 43489,19590223,  -56,    0
  7264, 43489,19590224,  -25,    0
  7264, 43489,19590225,  -22,    0
  7264, 43489,19590226,    5,    0
  7264, 43489,19590227,   13,    0
  7264, 43489,19590228,    9,    0
  7264, 43489,19590301,   12,    0
  7264, 43489,19590302,   20,    0
  7264, 43489,19590303,   15,    0
  7264, 43489,19590304,    7,    0
  7264, 43489,19590305,   12,    0
  7264, 43489,19590306,    5,    0
  7264, 43489,19590307,   10,    0
  7264, 43489,19590308,  -15,    0
  7264, 43489,19590309,  -37,    0
  7264, 43489,19590310,  -20,    0
  7264, 43489,19590311,   -4,    0
  7264, 43489,19590312,   -3,    0
  7264, 43489,19590313,    4,    0
  7264, 43489,19590314,   -9,    0
  7264, 43489,19590315,  -34,    0
  7264, 43489,19590316,  -10,    0
  7264, 43489,19590317,   -2,    0
  7264, 43489,19590318,   12,    0
  7264, 43489,19590319,    5,    0
  7264, 43489,19590320,   -3,    0
  7264, 43489,19590321,   10,    0
  7264, 43489,19590322,   29,    0
  7264, 43489,19590323,   17,    0
  7264, 43489,19590324,   14,    0
  7264, 43489,19590325,   16,    0
  7264, 43489,19590326,   29,    0
  7264, 43489,19590327,   17,    0
  7264, 43489,19590328,  -32,    0
  7264, 43489,19590329,  -29,    0
  7264, 43489,19590330,  -28,    0
  7264, 43489,19590331,  -17,    0
  7264, 43489,19590401,   -9,    0
  7264, 43489,19590402,    3,    0
  7264, 43489,19590403,    9,    0
  7264, 43489,19590404,   26,    0
  7264, 43489,19590405,   22,    0
  7264, 43489,19590406,   28,    0
  7264, 43489,19590407,   22,    0
  7264, 43489,19590408,  -29,    0
  7264, 43489,19590409,  -45,    0
  7264, 43489,19590410,  -20,    0
  7264, 43489,19590411,  -26,    0
  7264, 43489,19590412,    5,    0
  7264, 43489,19590413,    5,    0
  7264, 43489,19590414,   30,    0
  7264, 43489,19590415,   87,    0
  7264, 43489,19590416,   99,    0
  7264, 43489,19590417,   85,    0
  7264, 43489,19590418,    9,    0
  7264, 43489,19590419,  -13,    0
  7264, 43489,19590420,  -10,    0
  7264, 43489,19590421,   -9,    0
  7264, 43489,19590422,  -27,    0
  7264, 43489,19590423,   -7,    0
  7264, 43489,19590424,   41,    0
  7264, 43489,19590425,   56,    0
  7264, 43489,19590426,   68,    0
  7264, 43489,19590427,  101,    0
  7264, 43489,19590428,  110,    0
  7264, 43489,19590429,  117,    0
  7264, 43489,19590430,  123,    0
  7264, 43489,19590501,  119,    0
  7264, 43489,19590502,  147,    0
  7264, 43489,19590503,  146,    0
  7264, 43489,19590504,  104,    0
  7264, 43489,19590505,   92,    0
  7264, 43489,19590506,   71,    0
  7264, 43489,19590507,   48,    0
  7264, 43489,19590508,   51,    0
  7264, 43489,19590509,   70,    0
  7264, 43489,19590510,   83,    0
  7264, 43489,19590511,  102,    0
  7264, 43489,19590512,  128,    0
  7264, 43489,19590513,  145,    0
  7264, 43489,19590514,  167,    0
  7264, 43489,19590515,  154,    0
  7264, 43489,19590516,  106,    0
  7264, 43489,19590517,   64,    0
  7264, 43489,19590518,   48,    0
  7264, 43489,19590519,   53,    0
  7264, 43489,19590520,   59,    0
  7264, 43489,19590521,   41,    0
  7264, 43489,19590522,   43,    0
  7264, 43489,19590523,   69,    0
  7264, 43489,19590524,   67,    0
  7264, 43489,19590525,   65,    0
  7264, 43489,19590526,   58,    0
  7264, 43489,19590527,   53,    0
  7264, 43489,19590528,   56,    0
  7264, 43489,19590529,   54,    0
  7264, 43489,19590530,   84,    0
  7264, 43489,19590531,   99,    0
  7264, 43489,19590601,  101,    0
  7264, 43489,19590602,  104,    0
  7264, 43489,19590603,  134,    0
  7264, 43489,19590604,  169,    0
  7264, 43489,19590605,  169,    0
  7264, 43489,19590606,  178,    0
  7264, 43489,19590607,  191,    0
  7264, 43489,19590608,  201,    0
  7264, 43489,19590609,  193,    0
  7264, 43489,19590610,  159,    0
  7264, 43489,19590611,  127,    0
  7264, 43489,19590612,  171,    0
  7264, 43489,19590613,  167,    0
  7264, 43489,19590614,  105,    0
  7264, 43489,19590615,   90,    0
  7264, 43489,19590616,   97,    0
  7264, 43489,19590617,  104,    0
  7264, 43489,19590618,  131,    0
  7264, 43489,19590619,  124,    0
  7264, 43489,19590620,  114,    0
  7264, 43489,19590621,  108,    0
  7264, 43489,19590622,  121,    0
  7264, 43489,19590623,  144,    0
  7264, 43489,19590624,  181,    0
  7264, 43489,19590625,  203,    0
  7264, 43489,19590626,  199,    0
  7264, 43489,19590627,  184,    0
  7264, 43489,19590628,  131,    0
  7264, 43489,19590629,  110,    0
  7264, 43489,19590630,  145,    0
  7264, 43489,19590701,  162,    0
  7264, 43489,19590702,  158,    0
  7264, 43489,19590703,  139,    0
  7264, 43489,19590704,  156,    0
  7264, 43489,19590705,  178,    0
  7264, 43489,19590706,  213,    0
  7264, 43489,19590707,  195,    0
  7264, 43489,19590708,  180,    0
  7264, 43489,19590709,  187,    0
  7264, 43489,19590710,  164,    0
  7264, 43489,19590711,  150,    0
  7264, 43489,19590712,  170,    0
  7264, 43489,19590713,  208,    0
  7264, 43489,19590714,  160,    0
  7264, 43489,19590715,  142,    0
  7264, 43489,19590716,  148,    0
  7264, 43489,19590717,  173,    0
  7264, 43489,19590718,  183,    0
  7264, 43489,19590719,  199,    0
  7264, 43489,19590720,  211,    0
  7264, 43489,19590721,  211,    0
  7264, 43489,19590722,  171,    0
  7264, 43489,19590723,  188,    0
  7264, 43489,19590724,  206,    0
  7264, 43489,19590725,  219,    0
  7264, 43489,19590726,  184,    0
  7264, 43489,19590727,  171,    0
  7264, 43489,19590728,  178,    0
  7264, 43489,19590729,  154,    0
  7264, 43489,19590730,  135,    0
  7264, 43489,19590731,  148,    0
  7264, 43489,19590801,  178,    0
  7264, 43489,19590802,  173,    0
  7264, 43489,19590803,  189,    0
  7264, 43489,19590804,  170,    0
  7264, 43489,19590805,  154,    0
  7264, 43489,19590806,  167,    0
  7264, 43489,19590807,  159,    0
  7264, 43489,19590808,  139,    0
  7264, 43489,19590809,  122,    0
  7264, 43489,19590810,  127,    0
  7264, 43489,19590811,  152,    0
  7264, 43489,19590812,  183,    0
  7264, 43489,19590813,  181,    0
  7264, 43489,19590814,  188,    0
  7264, 43489,19590815,  192,    0
  7264, 43489,19590816,  202,    0
  7264, 43489,19590817,  192,    0
  7264, 43489,19590818,  183,    0
  7264, 43489,19590819,  180,    0
  7264, 43489,19590820,  184,    0
  7264, 43489,19590821,  175,    0
  7264, 43489,19590822,  188,    0
  7264, 43489,19590823,  207,    0
  7264, 43489,19590824,  158,    0
  7264, 43489,19590825,  123,    0
  7264, 43489,19590826,  105,    0
  7264, 43489,19590827,   62,    0
  7264, 43489,19590828,   48,    0
  7264, 43489,19590829,   92,    0
  7264, 43489,19590830,   64,    0
  7264, 43489,19590831,   69,    0
  7264, 43489,19590901,   96,    0
  7264, 43489,19590902,  112,    0
  7264, 43489,19590903,   85,    0
  7264, 43489,19590904,   85,    0
  7264, 43489,19590905,  103,    0
  7264, 43489,19590906,  123,    0
  7264, 43489,19590907,  118,    0
  7264, 43489,19590908,   95,    0
  7264, 43489,19590909,  101,    0
  7264, 43489,19590910,  119,    0
  7264, 43489,19590911,  126,    0
  7264, 43489,19590912,  127,    0
  7264, 43489,19590913,   81,    0
  7264, 43489,19590914,   76,    0
  7264, 43489,19590915,   57,    0
  7264, 43489,19590916,   37,    0
  7264, 43489,19590917,   51,    0
  7264, 43489,19590918,   63,    0
  7264, 43489,19590919,   73,    0
  7264, 43489,19590920,   60,    0
  7264, 43489,19590921,   78,    0
  7264, 43489,19590922,   50,    0
  7264, 43489,19590923,   50,    0
  7264, 43489,19590924,   46,    0
  7264, 43489,19590925,   45,    0
  7264, 43489,19590926,   23,    0
  7264, 43489,19590927,   28,    0
  7264, 43489,19590928,   41,    0
  7264, 43489,19590929,   32,    0
  7264, 43489,19590930,   49,    0
  7264, 43489,19591001,   35,    0
  7264, 43489,19591002,   23,    0
  7264, 43489,19591003,   38,    0
  7264, 43489,19591004,   81,    0
  7264, 43489,19591005,  109,    0
  7264, 43489,19591006,  105,    0
  7264, 43489,19591007,   56,    0
  7264, 43489,19591008,    6,    0
  7264, 43489,19591009,   25,    0
  7264, 43489,19591010,   42,    0
  7264, 43489,19591011,   28,    0
  7264, 43489,19591012,   30,    0
  7264, 43489,19591013,   28,    0
  7264, 43489,19591014,   13,    0
  7264, 43489,19591015,   48,    0
  7264, 43489,19591016,   82,    0
  7264, 43489,19591017,   60,    0
  7264, 43489,19591018,   47,    0
  7264, 43489,19591019,   48,    0
  7264, 43489,19591020,   47,    0
  7264, 43489,19591021,   19,    0
  7264, 43489,19591022,  -37,    0
  7264, 43489,19591023,  -90,    0
  7264, 43489,19591024,  -70,    0
  7264, 43489,19591025,  -28,    0
  7264, 43489,19591026,  -11,    0
  7264, 43489,19591027,   34,    0
  7264, 43489,19591028,   52,    0
  7264, 43489,19591029,   58,    0
  7264, 43489,19591030,   56,    0
  7264, 43489,19591031,   61,    0
  7264, 43489,19591101,   59,    0
  7264, 43489,19591102,   41,    0
  7264, 43489,19591103,   44,    0
  7264, 43489,19591104,   50,    0
  7264, 43489,19591105,   22,    0
  7264, 43489,19591106,    3,    0
  7264, 43489,19591107,  -17,    0
  7264, 43489,19591108,  -19,    0
  7264, 43489,19591109,   16,    0
  7264, 43489,19591110,   29,    0
  7264, 43489,19591111,   20,    0
  7264, 43489,19591112,   15,    0
  7264, 43489,19591113,   10,    0
  7264, 43489,19591114,    4,    0
  7264, 43489,19591115,  -14,    0
  7264, 43489,19591116,  -46,    0
  7264, 43489,19591117,  -52,    0
  7264, 43489,19591118,  -41,    0
  7264, 43489,19591119,  -32,    0
  7264, 43489,19591120,  -15,    0
  7264, 43489,19591121,   14,    0
  7264, 43489,19591122,    5,    0
  7264, 43489,19591123,  -54,    0
  7264, 43489,19591124,  -79,    0
  7264, 43489,19591125,  -65,    0
  7264, 43489,19591126,  -31,    0
  7264, 43489,19591127,   -1,    0
  7264, 43489,19591128,    7,    0
  7264, 43489,19591129,   14,    0
  7264, 43489,19591130,   13,    0
  7264, 43489,19591201,    3,    0
  7264, 43489,19591202,   -7,    0
  7264, 43489,19591203,  -25,    1
  7264, 43489,19591204,  -90,    0
  7264, 43489,19591205, -164,    0
  7264, 43489,19591206, -184,    0
  7264, 43489,19591207, -166,    0
  7264, 43489,19591208, -144,    0
  7264, 43489,19591209, -125,    0
  7264, 43489,19591210, -112,    0
  7264, 43489,19591211, -100,    0
  7264, 43489,19591212, -127,    0
  7264, 43489,19591213, -138,    0
  7264, 43489,19591214,  -98,    0
  7264, 43489,19591215,  -73,    1
  7264, 43489,19591216,  -51,    0
  7264, 43489,19591217,  -38,    0
  7264, 43489,19591218,  -19,    0
  7264, 43489,19591219,    3,    0
  7264, 43489,19591220,  -11,    0
  7264, 43489,19591221,   -4,    0
  7264, 43489,19591222,  -23,    0
  7264, 43489,19591223,  -58,    0
  7264, 43489,19591224,  -61,    0
  7264, 43489,19591225,  -52,    0
  7264, 43489,19591226,  -60,    0
  7264, 43489,19591227,  -57,    0
  7264, 43489,19591228,  -97,    0
  7264, 43489,19591229, -120,    0
  7264, 43489,19591230, -101,    0
  7264, 43489,19591231, -124,    0
  7264, 43489,19600101,  -38,    0
  7264, 43489,19600102,  -10,    0
  7264, 43489,19600103,  -10,    0
  7264, 43489,19600104,  -14,    0
  7264, 43489,19600105,   -4,    0
  7264, 43489,19600106,  -18,    1
  7264, 43489,19600107, -104,    0
  7264, 43489,19600108, -159,    0
  7264, 43489,19600109, -172,    0
  7264, 43489,19600110, -181,    0
  7264, 43489,19600111, -169,    0
  7264, 43489,19600112, -154,    0
  7264, 43489,19600113, -196,    0
  7264, 43489,19600114, -194,    0
  7264, 43489,19600115, -136,    0
  7264, 43489,19600116, -155,    0
  7264, 43489,19600117, -128,    0
  7264, 43489,19600118,  -90,    0
  7264, 43489,19600119,  -97,    0
  7264, 43489,19600120, -119,    0
  7264, 43489,19600121, -120,    0
  7264, 43489,19600122,  -77,    0
  7264, 43489,19600123,  -20,    0
  7264, 43489,19600124,    6,    0
  7264, 43489,19600125,    7,    0
  7264, 43489,19600126,  -23,    0
  7264, 43489,19600127, -103,    0
  7264, 43489,19600128, -158,    0
  7264, 43489,19600129, -183,    0
  7264, 43489,19600130, -204,    0
  7264, 43489,19600131, -179,    0
  7264, 43489,19600201, -137,    0
  7264, 43489,19600202, -142,    0
  7264, 43489,19600203, -127,    0
  7264, 43489,19600204,  -58,    0
  7264, 43489,19600205,  -37,    0
  7264, 43489,19600206,  -34,    0
  7264, 43489,19600207,  -20,    0
  7264, 43489,19600208,  -16,    0
  7264, 43489,19600209,    9,    0
  7264, 43489,19600210,  -58,    0
  7264, 43489,19600211, -145,    0
