EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station HAMEENKYRO KYROSPOHJA, FINLAND (STAID: 7279)
Blended and updated with sources:43564 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  7279, 43564,19921001,-9999,    9
  7279, 43564,19921002,-9999,    9
  7279, 43564,19921003,-9999,    9
  7279, 43564,19921004,-9999,    9
  7279, 43564,19921005,-9999,    9
  7279, 43564,19921006,-9999,    9
  7279, 43564,19921007,-9999,    9
  7279, 43564,19921008,-9999,    9
  7279, 43564,19921009,-9999,    9
  7279, 43564,19921010,-9999,    9
  7279, 43564,19921011,-9999,    9
  7279, 43564,19921012,-9999,    9
  7279, 43564,19921013,-9999,    9
  7279, 43564,19921014,-9999,    9
  7279, 43564,19921015,-9999,    9
  7279, 43564,19921016,    0,    0
  7279, 43564,19921017,  -20,    0
  7279, 43564,19921018,  -33,    0
  7279, 43564,19921019,  -65,    0
  7279, 43564,19921020,   -1,    0
  7279, 43564,19921021,  -18,    0
  7279, 43564,19921022,  -42,    0
  7279, 43564,19921023,  -70,    0
  7279, 43564,19921024,  -50,    0
  7279, 43564,19921025,  -23,    0
  7279, 43564,19921026,  -32,    0
  7279, 43564,19921027,  -70,    0
  7279, 43564,19921028,  -59,    0
  7279, 43564,19921029,  -81,    0
  7279, 43564,19921030,  -90,    0
  7279, 43564,19921031, -100,    0
  7279, 43564,19921101,   -4,    0
  7279, 43564,19921102,   25,    0
  7279, 43564,19921103,   36,    0
  7279, 43564,19921104,    5,    0
  7279, 43564,19921105,  -27,    0
  7279, 43564,19921106,  -37,    0
  7279, 43564,19921107,    1,    0
  7279, 43564,19921108,  -53,    0
  7279, 43564,19921109,  -58,    0
  7279, 43564,19921110,   12,    0
  7279, 43564,19921111,   32,    0
  7279, 43564,19921112,   -2,    0
  7279, 43564,19921113,   20,    0
  7279, 43564,19921114,   -7,    0
  7279, 43564,19921115,  -33,    0
  7279, 43564,19921116,  -28,    0
  7279, 43564,19921117,  -35,    0
  7279, 43564,19921118,  -37,    0
  7279, 43564,19921119,   -8,    0
  7279, 43564,19921120,    3,    0
  7279, 43564,19921121,   -4,    0
  7279, 43564,19921122,  -89,    0
  7279, 43564,19921123, -159,    0
  7279, 43564,19921124,  -85,    0
  7279, 43564,19921125,  -22,    0
  7279, 43564,19921126,-9999,    9
  7279, 43564,19921127,  -52,    0
  7279, 43564,19921128,  -64,    0
  7279, 43564,19921129,  -95,    0
  7279, 43564,19921130,  -31,    0
  7279, 43564,19921201,   27,    0
  7279, 43564,19921202,   44,    0
  7279, 43564,19921203,   32,    0
  7279, 43564,19921204,   27,    0
  7279, 43564,19921205,   15,    0
  7279, 43564,19921206,   18,    0
  7279, 43564,19921207,   17,    0
  7279, 43564,19921208,    3,    0
  7279, 43564,19921209,   -6,    0
  7279, 43564,19921210,   -5,    0
  7279, 43564,19921211,   14,    0
  7279, 43564,19921212,  -10,    0
  7279, 43564,19921213,  -15,    0
  7279, 43564,19921214,  -41,    0
  7279, 43564,19921215,   28,    0
  7279, 43564,19921216,   29,    0
  7279, 43564,19921217,   34,    0
  7279, 43564,19921218,   12,    0
  7279, 43564,19921219,   21,    0
  7279, 43564,19921220,  -13,    0
  7279, 43564,19921221,  -38,    0
  7279, 43564,19921222,  -47,    0
  7279, 43564,19921223,  -42,    0
  7279, 43564,19921224,  -12,    0
  7279, 43564,19921225,    8,    0
  7279, 43564,19921226,   16,    0
  7279, 43564,19921227,  -44,    0
  7279, 43564,19921228,    0,    0
  7279, 43564,19921229,    1,    0
  7279, 43564,19921230,  -71,    0
  7279, 43564,19921231,  -95,    0
  7279, 43564,19930101,   -6,    0
  7279, 43564,19930102,   -2,    0
  7279, 43564,19930103,    9,    0
  7279, 43564,19930104,  -26,    0
  7279, 43564,19930105,   -6,    0
  7279, 43564,19930106,    5,    0
  7279, 43564,19930107,   -8,    0
  7279, 43564,19930108,  -11,    0
  7279, 43564,19930109,   -4,    0
  7279, 43564,19930110,   11,    0
  7279, 43564,19930111,   13,    0
  7279, 43564,19930112,   -1,    0
  7279, 43564,19930113,  -16,    0
  7279, 43564,19930114,    0,    0
  7279, 43564,19930115,  -16,    0
  7279, 43564,19930116,    7,    0
  7279, 43564,19930117,  -11,    0
  7279, 43564,19930118,   21,    0
  7279, 43564,19930119,  -39,    0
  7279, 43564,19930120,  -41,    0
  7279, 43564,19930121,   14,    0
  7279, 43564,19930122,    2,    0
  7279, 43564,19930123,  -34,    0
  7279, 43564,19930124,  -98,    0
  7279, 43564,19930125,  -84,    0
  7279, 43564,19930126,  -96,    0
  7279, 43564,19930127, -107,    0
  7279, 43564,19930128, -124,    0
  7279, 43564,19930129,  -83,    0
  7279, 43564,19930130,  -69,    0
  7279, 43564,19930131,  -13,    0
  7279, 43564,19930201,   34,    0
  7279, 43564,19930202,   18,    0
  7279, 43564,19930203,    6,    0
  7279, 43564,19930204,   20,    0
  7279, 43564,19930205,  -10,    0
  7279, 43564,19930206,  -23,    0
  7279, 43564,19930207,  -41,    0
  7279, 43564,19930208,   24,    0
  7279, 43564,19930209,   35,    0
  7279, 43564,19930210,  -43,    0
  7279, 43564,19930211,  -24,    0
  7279, 43564,19930212,   -2,    0
  7279, 43564,19930213,    1,    0
  7279, 43564,19930214,    4,    0
  7279, 43564,19930215,    6,    0
  7279, 43564,19930216,  -10,    0
  7279, 43564,19930217,  -69,    0
  7279, 43564,19930218,  -69,    0
  7279, 43564,19930219,  -79,    0
  7279, 43564,19930220, -115,    0
  7279, 43564,19930221, -155,    0
  7279, 43564,19930222, -157,    0
  7279, 43564,19930223,  -96,    0
  7279, 43564,19930224,  -57,    0
  7279, 43564,19930225,  -31,    0
  7279, 43564,19930226,  -60,    0
  7279, 43564,19930227,  -57,    0
  7279, 43564,19930228,  -85,    0
  7279, 43564,19930301,  -72,    0
  7279, 43564,19930302,  -43,    0
  7279, 43564,19930303,  -27,    0
  7279, 43564,19930304,  -30,    0
  7279, 43564,19930305,  -23,    0
  7279, 43564,19930306,  -27,    0
  7279, 43564,19930307,  -45,    0
  7279, 43564,19930308,  -32,    0
  7279, 43564,19930309,    2,    0
  7279, 43564,19930310,  -24,    0
  7279, 43564,19930311,  -52,    0
  7279, 43564,19930312,  -72,    0
  7279, 43564,19930313,    1,    0
  7279, 43564,19930314,   24,    0
  7279, 43564,19930315,   45,    0
  7279, 43564,19930316,   32,    0
  7279, 43564,19930317,   -1,    0
  7279, 43564,19930318,    4,    0
  7279, 43564,19930319,   -9,    0
  7279, 43564,19930320,    3,    0
  7279, 43564,19930321,   26,    0
  7279, 43564,19930322,   19,    0
  7279, 43564,19930323,    1,    0
  7279, 43564,19930324,    3,    0
  7279, 43564,19930325,   -3,    0
  7279, 43564,19930326,   -1,    0
  7279, 43564,19930327,  -19,    0
  7279, 43564,19930328,  -14,    0
  7279, 43564,19930329,  -23,    0
  7279, 43564,19930330,   -6,    0
  7279, 43564,19930331,   20,    0
  7279, 43564,19930401,   17,    0
  7279, 43564,19930402,    4,    0
  7279, 43564,19930403,   13,    0
  7279, 43564,19930404,   16,    0
  7279, 43564,19930405,  -11,    0
