EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station VIRRAT AIJANNEVA, FINLAND (STAID: 7280)
Blended and updated with sources:43569 902735 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  7280, 43569,19921001,-9999,    9
  7280, 43569,19921002,-9999,    9
  7280, 43569,19921003,-9999,    9
  7280, 43569,19921004,-9999,    9
  7280, 43569,19921005,-9999,    9
  7280, 43569,19921006,-9999,    9
  7280, 43569,19921007,-9999,    9
  7280, 43569,19921008,-9999,    9
  7280, 43569,19921009,-9999,    9
  7280, 43569,19921010,-9999,    9
  7280, 43569,19921011,-9999,    9
  7280, 43569,19921012,-9999,    9
  7280, 43569,19921013,-9999,    9
  7280, 43569,19921014,-9999,    9
  7280, 43569,19921015,-9999,    9
  7280, 43569,19921016,  -22,    0
  7280, 43569,19921017,  -40,    0
  7280, 43569,19921018,  -78,    0
  7280, 43569,19921019, -109,    0
  7280, 43569,19921020,-9999,    9
  7280, 43569,19921021,  -51,    0
  7280, 43569,19921022,  -94,    0
  7280, 43569,19921023, -116,    0
  7280, 43569,19921024,  -65,    0
  7280, 43569,19921025,  -29,    0
  7280, 43569,19921026,  -35,    0
  7280, 43569,19921027,  -65,    0
  7280, 43569,19921028,  -97,    0
  7280, 43569,19921029, -102,    0
  7280, 43569,19921030, -102,    0
  7280, 43569,19921031, -136,    0
  7280, 43569,19921101,  -18,    0
  7280, 43569,19921102,   16,    0
  7280, 43569,19921103,   26,    0
  7280, 43569,19921104,  -21,    0
  7280, 43569,19921105,  -53,    0
  7280, 43569,19921106,  -79,    0
  7280, 43569,19921107,  -15,    0
  7280, 43569,19921108,  -67,    0
  7280, 43569,19921109,  -83,    0
  7280, 43569,19921110,    1,    0
  7280, 43569,19921111,   24,    0
  7280, 43569,19921112,   -6,    0
  7280, 43569,19921113,   13,    0
  7280, 43569,19921114,-9999,    9
  7280, 43569,19921115,  -45,    0
  7280, 43569,19921116,-9999,    9
  7280, 43569,19921117,-9999,    9
  7280, 43569,19921118,-9999,    9
  7280, 43569,19921119,  -25,    0
  7280, 43569,19921120,   -6,    0
  7280, 43569,19921121,  -16,    0
  7280, 43569,19921122, -120,    0
  7280, 43569,19921123, -228,    0
  7280, 43569,19921124, -112,    0
  7280, 43569,19921125,  -44,    0
  7280, 43569,19921126,-9999,    9
  7280, 43569,19921127,  -67,    0
  7280, 43569,19921128,  -82,    0
  7280, 43569,19921129, -107,    0
  7280, 43569,19921130,  -29,    0
  7280, 43569,19921201,   23,    0
  7280, 43569,19921202,   35,    0
  7280, 43569,19921203,-9999,    9
  7280, 43569,19921204,   22,    0
  7280, 43569,19921205,    8,    0
  7280, 43569,19921206,   10,    0
  7280, 43569,19921207,   10,    0
  7280, 43569,19921208,    4,    0
  7280, 43569,19921209,   -5,    0
  7280, 43569,19921210,   -8,    0
  7280, 43569,19921211,    9,    0
  7280, 43569,19921212,  -20,    0
  7280, 43569,19921213,  -26,    0
  7280, 43569,19921214,  -55,    0
  7280, 43569,19921215,   15,    0
  7280, 43569,19921216,   17,    0
  7280, 43569,19921217,   26,    0
  7280, 43569,19921218,    3,    0
  7280, 43569,19921219,   15,    0
  7280, 43569,19921220,  -17,    0
  7280, 43569,19921221,  -39,    0
  7280, 43569,19921222,  -46,    0
  7280, 43569,19921223,  -31,    0
  7280, 43569,19921224,-9999,    9
  7280, 43569,19921225,    1,    0
  7280, 43569,19921226,    6,    0
  7280, 43569,19921227,  -53,    0
  7280, 43569,19921228,    3,    0
  7280, 43569,19921229,   -8,    0
  7280, 43569,19921230,  -78,    0
  7280, 43569,19921231,  -97,    0
  7280, 43569,19930101,   -8,    0
  7280, 43569,19930102,-9999,    9
  7280, 43569,19930103,    4,    0
  7280, 43569,19930104,  -24,    0
