EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station MIKKELI LENTOASEMA, FINLAND (STAID: 7356)
Blended and updated with sources:43950 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  7356, 43950,19590101,  -49,    0
  7356, 43950,19590102,  -55,    0
  7356, 43950,19590103,  -25,    0
  7356, 43950,19590104,   -3,    0
  7356, 43950,19590105,  -15,    0
  7356, 43950,19590106,  -21,    0
  7356, 43950,19590107,  -26,    0
  7356, 43950,19590108,  -39,    0
  7356, 43950,19590109,  -34,    0
  7356, 43950,19590110,  -17,    0
  7356, 43950,19590111,  -16,    0
  7356, 43950,19590112,  -42,    0
  7356, 43950,19590113,  -59,    0
  7356, 43950,19590114,  -98,    1
  7356, 43950,19590115, -141,    0
  7356, 43950,19590116, -162,    0
  7356, 43950,19590117, -187,    0
  7356, 43950,19590118, -260,    0
  7356, 43950,19590119, -259,    0
  7356, 43950,19590120, -238,    0
  7356, 43950,19590121, -113,    0
  7356, 43950,19590122,  -88,    0
  7356, 43950,19590123,  -70,    0
  7356, 43950,19590124,  -23,    0
  7356, 43950,19590125,  -94,    0
  7356, 43950,19590126,  -98,    0
  7356, 43950,19590127,  -46,    0
  7356, 43950,19590128,  -21,    0
  7356, 43950,19590129,  -37,    0
  7356, 43950,19590130,  -40,    0
  7356, 43950,19590131,  -31,    0
  7356, 43950,19590201,  -92,    0
  7356, 43950,19590202,  -60,    0
  7356, 43950,19590203,  -44,    0
  7356, 43950,19590204,   -6,    0
  7356, 43950,19590205,  -20,    0
  7356, 43950,19590206,  -53,    0
  7356, 43950,19590207,  -27,    0
  7356, 43950,19590208,  -34,    0
  7356, 43950,19590209,  -46,    0
  7356, 43950,19590210,  -80,    1
  7356, 43950,19590211,  -94,    0
  7356, 43950,19590212,  -56,    0
  7356, 43950,19590213,  -51,    0
  7356, 43950,19590214,  -53,    0
  7356, 43950,19590215,  -63,    1
  7356, 43950,19590216,  -41,    0
  7356, 43950,19590217,   -5,    0
  7356, 43950,19590218,    5,    0
  7356, 43950,19590219,   12,    0
  7356, 43950,19590220,  -11,    0
  7356, 43950,19590221,  -48,    0
  7356, 43950,19590222,  -63,    0
  7356, 43950,19590223,  -85,    0
  7356, 43950,19590224,  -65,    0
  7356, 43950,19590225,  -44,    0
  7356, 43950,19590226,  -30,    0
  7356, 43950,19590227,    0,    0
  7356, 43950,19590228,    2,    0
  7356, 43950,19590301,   15,    0
  7356, 43950,19590302,   13,    0
  7356, 43950,19590303,    6,    0
  7356, 43950,19590304,   10,    0
  7356, 43950,19590305,    3,    0
  7356, 43950,19590306,   -5,    0
  7356, 43950,19590307,    4,    0
  7356, 43950,19590308,   -4,    0
  7356, 43950,19590309,  -31,    0
  7356, 43950,19590310,  -50,    0
  7356, 43950,19590311,  -42,    0
  7356, 43950,19590312,  -60,    0
  7356, 43950,19590313,  -75,    0
  7356, 43950,19590314,  -69,    0
  7356, 43950,19590315,  -63,    0
  7356, 43950,19590316,   -9,    0
  7356, 43950,19590317,    4,    0
  7356, 43950,19590318,   26,    0
  7356, 43950,19590319,    9,    0
  7356, 43950,19590320,  -16,    0
  7356, 43950,19590321,   25,    0
  7356, 43950,19590322,   35,    0
  7356, 43950,19590323,  -12,    0
  7356, 43950,19590324,   10,    0
  7356, 43950,19590325,   12,    0
  7356, 43950,19590326,   18,    0
  7356, 43950,19590327,   15,    0
  7356, 43950,19590328,   -3,    0
  7356, 43950,19590329,  -42,    0
  7356, 43950,19590330,  -61,    0
  7356, 43950,19590331,  -57,    0
  7356, 43950,19590401,  -23,    0
  7356, 43950,19590402,   12,    0
  7356, 43950,19590403,   17,    0
  7356, 43950,19590404,    7,    0
  7356, 43950,19590405,   -5,    0
  7356, 43950,19590406,   21,    0
  7356, 43950,19590407,   11,    0
  7356, 43950,19590408,  -20,    0
  7356, 43950,19590409,  -42,    0
  7356, 43950,19590410,   -8,    0
  7356, 43950,19590411,   -6,    0
  7356, 43950,19590412,   12,    0
  7356, 43950,19590413,   23,    0
  7356, 43950,19590414,   14,    0
  7356, 43950,19590415,   74,    0
  7356, 43950,19590416,   81,    0
  7356, 43950,19590417,   78,    0
  7356, 43950,19590418,   41,    0
  7356, 43950,19590419,   -4,    0
  7356, 43950,19590420,   -7,    0
  7356, 43950,19590421,  -13,    0
  7356, 43950,19590422,   -2,    0
  7356, 43950,19590423,  -13,    0
  7356, 43950,19590424,   13,    0
  7356, 43950,19590425,   58,    0
  7356, 43950,19590426,   75,    0
  7356, 43950,19590427,   92,    0
  7356, 43950,19590428,   94,    0
  7356, 43950,19590429,   98,    0
  7356, 43950,19590430,   95,    0
  7356, 43950,19590501,   96,    0
  7356, 43950,19590502,  121,    0
  7356, 43950,19590503,  139,    0
  7356, 43950,19590504,  146,    0
  7356, 43950,19590505,  109,    0
  7356, 43950,19590506,   62,    0
  7356, 43950,19590507,   55,    0
  7356, 43950,19590508,   52,    0
  7356, 43950,19590509,   60,    0
  7356, 43950,19590510,   71,    0
  7356, 43950,19590511,   81,    0
  7356, 43950,19590512,  128,    0
  7356, 43950,19590513,  138,    0
  7356, 43950,19590514,  158,    0
  7356, 43950,19590515,  162,    0
  7356, 43950,19590516,  155,    0
  7356, 43950,19590517,   88,    0
  7356, 43950,19590518,   59,    0
  7356, 43950,19590519,   71,    0
