EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station PIEKSAMAKI NIKKARILA, FINLAND (STAID: 7357)
Blended and updated with sources:43955 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  7357, 43955,19600201, -136,    0
  7357, 43955,19600202, -195,    0
  7357, 43955,19600203, -189,    0
  7357, 43955,19600204, -112,    0
  7357, 43955,19600205,  -64,    0
  7357, 43955,19600206,  -36,    0
  7357, 43955,19600207,  -48,    1
  7357, 43955,19600208,  -64,    0
  7357, 43955,19600209,  -20,    0
  7357, 43955,19600210,  -77,    0
  7357, 43955,19600211, -145,    0
  7357, 43955,19600212, -175,    0
  7357, 43955,19600213, -179,    0
  7357, 43955,19600214, -178,    0
  7357, 43955,19600215, -147,    0
  7357, 43955,19600216, -103,    0
  7357, 43955,19600217,  -56,    0
  7357, 43955,19600218,  -67,    0
  7357, 43955,19600219, -118,    0
  7357, 43955,19600220,  -99,    0
  7357, 43955,19600221,  -49,    0
  7357, 43955,19600222,  -73,    0
  7357, 43955,19600223, -157,    0
  7357, 43955,19600224, -162,    0
  7357, 43955,19600225, -184,    0
  7357, 43955,19600226, -181,    0
  7357, 43955,19600227, -138,    0
  7357, 43955,19600228, -135,    0
  7357, 43955,19600229, -157,    0
  7357, 43955,19600301, -220,    0
  7357, 43955,19600302, -159,    0
  7357, 43955,19600303, -133,    0
  7357, 43955,19600304, -146,    0
  7357, 43955,19600305, -106,    0
  7357, 43955,19600306,  -34,    0
  7357, 43955,19600307,  -62,    0
  7357, 43955,19600308,  -50,    0
  7357, 43955,19600309,  -39,    0
  7357, 43955,19600310,  -44,    0
  7357, 43955,19600311,  -37,    0
  7357, 43955,19600312,  -72,    0
  7357, 43955,19600313,  -68,    0
  7357, 43955,19600314,  -39,    0
  7357, 43955,19600315,  -52,    0
  7357, 43955,19600316,  -73,    0
  7357, 43955,19600317,  -80,    0
  7357, 43955,19600318,  -50,    0
  7357, 43955,19600319,  -31,    0
  7357, 43955,19600320,  -20,    0
  7357, 43955,19600321,    4,    0
  7357, 43955,19600322,    6,    0
  7357, 43955,19600323,   18,    0
  7357, 43955,19600324,  -23,    0
  7357, 43955,19600325,    3,    0
  7357, 43955,19600326,    1,    0
  7357, 43955,19600327,  -36,    0
  7357, 43955,19600328,   -5,    0
  7357, 43955,19600329,  -11,    0
  7357, 43955,19600330,  -22,    0
  7357, 43955,19600331,  -55,    0
  7357, 43955,19600401,  -94,    0
  7357, 43955,19600402, -119,    0
  7357, 43955,19600403, -101,    0
  7357, 43955,19600404,  -92,    0
  7357, 43955,19600405,  -42,    0
  7357, 43955,19600406,    3,    0
  7357, 43955,19600407,   31,    0
  7357, 43955,19600408,   14,    0
  7357, 43955,19600409,   -5,    0
  7357, 43955,19600410,   18,    0
  7357, 43955,19600411,   20,    0
  7357, 43955,19600412,   21,    0
  7357, 43955,19600413,   23,    0
  7357, 43955,19600414,   33,    0
  7357, 43955,19600415,   51,    0
  7357, 43955,19600416,   33,    0
