EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station PERASEINAJOKI HAUKINEVA, FINLAND (STAID: 7444)
Blended and updated with sources:44400 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  7444, 44400,19750801,  188,    0
  7444, 44400,19750802,  186,    0
  7444, 44400,19750803,  171,    0
  7444, 44400,19750804,  178,    0
  7444, 44400,19750805,  201,    0
  7444, 44400,19750806,  200,    0
  7444, 44400,19750807,  190,    0
  7444, 44400,19750808,  200,    0
  7444, 44400,19750809,  164,    0
  7444, 44400,19750810,  130,    0
  7444, 44400,19750811,  109,    0
  7444, 44400,19750812,  114,    0
  7444, 44400,19750813,  118,    0
  7444, 44400,19750814,  137,    0
  7444, 44400,19750815,  109,    0
  7444, 44400,19750816,  111,    0
  7444, 44400,19750817,  114,    0
  7444, 44400,19750818,   99,    0
  7444, 44400,19750819,  107,    0
  7444, 44400,19750820,  138,    0
  7444, 44400,19750821,  150,    0
  7444, 44400,19750822,  156,    0
  7444, 44400,19750823,  160,    0
  7444, 44400,19750824,  140,    0
  7444, 44400,19750825,  127,    0
  7444, 44400,19750826,   96,    0
  7444, 44400,19750827,   83,    0
  7444, 44400,19750828,  115,    0
  7444, 44400,19750829,  106,    0
  7444, 44400,19750830,  109,    0
  7444, 44400,19750831,  119,    0
  7444, 44400,19750901,  148,    0
  7444, 44400,19750902,  126,    0
  7444, 44400,19750903,  149,    0
  7444, 44400,19750904,  126,    0
  7444, 44400,19750905,  117,    0
  7444, 44400,19750906,   88,    0
  7444, 44400,19750907,   67,    0
  7444, 44400,19750908,   74,    0
  7444, 44400,19750909,  118,    0
  7444, 44400,19750910,  149,    0
  7444, 44400,19750911,  140,    0
  7444, 44400,19750912,  142,    0
  7444, 44400,19750913,  141,    0
  7444, 44400,19750914,  123,    0
  7444, 44400,19750915,  112,    0
  7444, 44400,19750916,  114,    0
  7444, 44400,19750917,  129,    0
  7444, 44400,19750918,  147,    0
  7444, 44400,19750919,   97,    0
  7444, 44400,19750920,   59,    0
  7444, 44400,19750921,  107,    0
  7444, 44400,19750922,   80,    0
  7444, 44400,19750923,  111,    0
  7444, 44400,19750924,  106,    0
  7444, 44400,19750925,   89,    0
  7444, 44400,19750926,  133,    0
  7444, 44400,19750927,  104,    0
  7444, 44400,19750928,   73,    0
  7444, 44400,19750929,   77,    0
  7444, 44400,19750930,   76,    0
