EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station RAUTALAMPI RASTU, FINLAND (STAID: 7499)
Blended and updated with sources:44685 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  7499, 44685,19750801,  201,    0
  7499, 44685,19750802,  188,    0
  7499, 44685,19750803,  184,    0
  7499, 44685,19750804,  182,    0
  7499, 44685,19750805,  199,    0
  7499, 44685,19750806,  193,    0
  7499, 44685,19750807,  165,    0
  7499, 44685,19750808,  177,    0
  7499, 44685,19750809,  160,    0
  7499, 44685,19750810,  144,    0
  7499, 44685,19750811,  111,    0
  7499, 44685,19750812,  128,    0
  7499, 44685,19750813,  132,    0
  7499, 44685,19750814,  139,    0
  7499, 44685,19750815,  112,    0
  7499, 44685,19750816,  102,    0
  7499, 44685,19750817,  110,    0
  7499, 44685,19750818,  115,    0
  7499, 44685,19750819,  111,    0
  7499, 44685,19750820,  129,    0
  7499, 44685,19750821,  147,    0
  7499, 44685,19750822,  167,    0
  7499, 44685,19750823,  156,    0
  7499, 44685,19750824,  121,    0
  7499, 44685,19750825,   86,    0
  7499, 44685,19750826,   89,    0
  7499, 44685,19750827,   71,    0
  7499, 44685,19750828,  109,    0
  7499, 44685,19750829,  102,    0
  7499, 44685,19750830,  102,    0
  7499, 44685,19750831,   96,    0
  7499, 44685,19750901,  123,    0
  7499, 44685,19750902,  136,    0
  7499, 44685,19750903,  129,    0
  7499, 44685,19750904,  132,    0
  7499, 44685,19750905,  113,    0
  7499, 44685,19750906,  115,    0
  7499, 44685,19750907,   74,    0
  7499, 44685,19750908,   72,    0
  7499, 44685,19750909,  108,    0
  7499, 44685,19750910,  147,    0
  7499, 44685,19750911,  150,    0
  7499, 44685,19750912,  144,    0
  7499, 44685,19750913,  138,    0
  7499, 44685,19750914,  118,    0
  7499, 44685,19750915,  117,    0
  7499, 44685,19750916,  118,    0
  7499, 44685,19750917,  131,    0
  7499, 44685,19750918,  140,    0
  7499, 44685,19750919,  117,    0
  7499, 44685,19750920,   55,    0
  7499, 44685,19750921,   78,    0
  7499, 44685,19750922,   84,    0
  7499, 44685,19750923,   94,    0
  7499, 44685,19750924,  120,    0
  7499, 44685,19750925,   98,    0
  7499, 44685,19750926,  124,    0
  7499, 44685,19750927,  122,    0
  7499, 44685,19750928,   96,    0
  7499, 44685,19750929,   75,    0
  7499, 44685,19750930,   69,    0
  7499, 44685,19751001,  111,    0
  7499, 44685,19751002,  115,    0
  7499, 44685,19751003,   86,    0
  7499, 44685,19751004,   40,    0
  7499, 44685,19751005,   39,    0
  7499, 44685,19751006,   64,    0
  7499, 44685,19751007,   57,    0
  7499, 44685,19751008,   30,    0
  7499, 44685,19751009,   14,    0
  7499, 44685,19751010,   -5,    0
  7499, 44685,19751011,   18,    0
  7499, 44685,19751012,   61,    0
  7499, 44685,19751013,   60,    0
  7499, 44685,19751014,   41,    0
  7499, 44685,19751015,   45,    0
  7499, 44685,19751016,   47,    0
  7499, 44685,19751017,   53,    0
  7499, 44685,19751018,   20,    0
  7499, 44685,19751019,  -13,    0
  7499, 44685,19751020,   -1,    0
  7499, 44685,19751021,    4,    0
  7499, 44685,19751022,   16,    0
