EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station LIPERI KASKESNIEMI, FINLAND (STAID: 7549)
Blended and updated with sources:44945 44950 44955 902793 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  7549, 44945,19911001,-9999,    9
  7549, 44945,19911002,-9999,    9
  7549, 44945,19911003,-9999,    9
  7549, 44945,19911004,-9999,    9
  7549, 44945,19911005,-9999,    9
  7549, 44945,19911006,-9999,    9
  7549, 44945,19911007,-9999,    9
  7549, 44945,19911008,-9999,    9
  7549, 44945,19911009,   90,    0
  7549, 44945,19911010,   89,    0
  7549, 44945,19911011,   82,    0
  7549, 44945,19911012,   85,    0
  7549, 44945,19911013,   89,    0
  7549, 44945,19911014,   79,    0
  7549, 44945,19911015,   68,    0
  7549, 44945,19911016,   84,    0
  7549, 44945,19911017,   94,    0
  7549, 44945,19911018,   91,    0
  7549, 44945,19911019,   68,    0
  7549, 44945,19911020,-9999,    9
  7549, 44945,19911021,    4,    0
  7549, 44945,19911022,    6,    0
  7549, 44945,19911023,    4,    0
  7549, 44945,19911024,   -8,    0
  7549, 44945,19911025,    1,    0
  7549, 44945,19911026,   12,    0
  7549, 44945,19911027,   11,    0
  7549, 44945,19911028,   15,    0
  7549, 44945,19911029,    6,    0
  7549, 44945,19911030,    8,    0
  7549, 44945,19911031,   14,    0
  7549, 44945,19911101,   35,    0
  7549, 44945,19911102,   28,    0
  7549, 44945,19911103,   51,    0
  7549, 44945,19911104,   37,    0
  7549, 44945,19911105,-9999,    9
  7549, 44945,19911106,   42,    0
  7549, 44945,19911107,   41,    0
  7549, 44945,19911108,   31,    0
  7549, 44945,19911109,   22,    0
  7549, 44945,19911110,   17,    0
  7549, 44945,19911111,-9999,    9
  7549, 44945,19911112,-9999,    9
  7549, 44945,19911113,   38,    0
  7549, 44945,19911114,   51,    0
  7549, 44945,19911115,-9999,    9
  7549, 44945,19911116,   16,    0
  7549, 44945,19911117,   -1,    0
  7549, 44945,19911118,   -9,    0
  7549, 44945,19911119,   -9,    0
  7549, 44945,19911120,  -27,    0
  7549, 44945,19911121,  -33,    0
  7549, 44945,19911122,    2,    0
  7549, 44945,19911123,  -11,    0
  7549, 44945,19911124,    1,    0
  7549, 44945,19911125,   36,    0
  7549, 44945,19911126,   38,    0
  7549, 44945,19911127,   39,    0
  7549, 44945,19911128,   33,    0
  7549, 44945,19911129,   45,    0
  7549, 44945,19911130,    3,    0
  7549, 44945,19911201,   13,    0
  7549, 44945,19911202,   15,    0
  7549, 44945,19911203,   -8,    0
  7549, 44945,19911204,  -21,    0
  7549, 44945,19911205,  -94,    0
  7549, 44945,19911206, -124,    0
  7549, 44945,19911207, -129,    0
  7549, 44945,19911208,  -58,    0
  7549, 44945,19911209,  -14,    0
  7549, 44945,19911210,  -31,    0
  7549, 44945,19911211,-9999,    9
  7549, 44945,19911212,  -26,    0
  7549, 44945,19911213,    3,    0
  7549, 44945,19911214,  -13,    0
  7549, 44945,19911215,  -87,    0
  7549, 44945,19911216,  -52,    0
  7549, 44945,19911217,  -73,    0
  7549, 44945,19911218,   10,    0
  7549, 44945,19911219,  -12,    0
  7549, 44945,19911220,    2,    0
  7549, 44945,19911221,   10,    0
  7549, 44945,19911222,  -21,    0
  7549, 44945,19911223,  -34,    0
  7549, 44945,19911224,  -27,    0
  7549, 44945,19911225, -141,    0
  7549, 44945,19911226,  -75,    0
  7549, 44945,19911227, -113,    0
  7549, 44945,19911228,  -60,    0
  7549, 44945,19911229,    8,    0
  7549, 44945,19911230,  -11,    0
  7549, 44945,19911231, -103,    0
  7549, 44945,19920101,  -23,    0
  7549, 44945,19920102,   -9,    0
  7549, 44945,19920103,  -16,    0
  7549, 44945,19920104,  -17,    0
  7549, 44945,19920105,  -30,    0
  7549, 44945,19920106,  -47,    0
  7549, 44945,19920107,  -56,    0
  7549, 44945,19920108,  -35,    0
  7549, 44945,19920109,  -69,    0
  7549, 44945,19920110, -177,    0
  7549, 44945,19920111,-9999,    9
  7549, 44945,19920112,  -66,    0
  7549, 44945,19920113, -118,    0
  7549, 44945,19920114, -180,    0
  7549, 44945,19920115,  -70,    0
  7549, 44945,19920116,  -88,    0
  7549, 44945,19920117, -151,    0
  7549, 44945,19920118, -105,    0
  7549, 44945,19920119, -209,    0
  7549, 44945,19920120, -130,    0
  7549, 44945,19920121,  -43,    0
  7549, 44945,19920122,  -35,    0
  7549, 44945,19920123,-9999,    9
  7549, 44945,19920124,-9999,    9
  7549, 44945,19920125,  -53,    0
  7549, 44945,19920126,  -17,    0
  7549, 44945,19920127,   -7,    0
  7549, 44945,19920128,   25,    0
  7549, 44945,19920129,   -8,    0
  7549, 44945,19920130,  -45,    0
  7549, 44945,19920131,  -40,    0
  7549, 44945,19920201,  -23,    0
  7549, 44945,19920202,   -9,    0
  7549, 44945,19920203,  -13,    0
  7549, 44945,19920204,  -10,    0
  7549, 44945,19920205,  -24,    0
  7549, 44945,19920206,  -73,    0
  7549, 44945,19920207,  -52,    0
  7549, 44945,19920208,   11,    0
  7549, 44945,19920209,  -67,    0
  7549, 44945,19920210,  -38,    0
  7549, 44945,19920211,   -6,    0
  7549, 44945,19920212,   -2,    0
  7549, 44945,19920213,  -45,    0
  7549, 44945,19920214,  -43,    0
  7549, 44945,19920215,  -86,    0
  7549, 44945,19920216, -110,    0
  7549, 44945,19920217,  -77,    0
  7549, 44945,19920218,  -76,    0
  7549, 44945,19920219, -124,    0
  7549, 44945,19920220, -140,    0
  7549, 44945,19920221, -159,    0
  7549, 44945,19920222,  -34,    0
  7549, 44945,19920223,  -17,    0
  7549, 44945,19920224,  -45,    0
  7549, 44945,19920225,  -20,    0
  7549, 44945,19920226,  -14,    0
  7549, 44945,19920227,  -63,    0
  7549, 44945,19920228,  -12,    0
  7549, 44945,19920229,   -7,    0
  7549, 44945,19920301,   -4,    0
  7549, 44945,19920302,   -9,    0
  7549, 44945,19920303,   15,    0
  7549, 44945,19920304,  -35,    0
  7549, 44945,19920305, -133,    0
  7549, 44945,19920306,  -86,    0
  7549, 44945,19920307,   -4,    0
