EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ROVANIEMEN MLK MARRASJARVI, FINLAND (STAID: 7795)
Blended and updated with sources:46225 46230 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  7795, 46225,19830101,    0,    1
  7795, 46225,19830102,   -4,    0
  7795, 46225,19830103,  -42,    0
  7795, 46225,19830104,  -46,    1
  7795, 46225,19830105,  -24,    0
  7795, 46225,19830106,  -34,    0
  7795, 46225,19830107,  -39,    0
  7795, 46225,19830108,  -36,    0
  7795, 46225,19830109, -100,    0
  7795, 46225,19830110, -167,    0
  7795, 46225,19830111, -106,    0
  7795, 46225,19830112,  -44,    0
  7795, 46225,19830113,  -77,    0
  7795, 46225,19830114,  -65,    0
  7795, 46225,19830115,  -53,    0
  7795, 46225,19830116,  -95,    0
  7795, 46225,19830117, -125,    0
  7795, 46225,19830118, -181,    0
  7795, 46225,19830119, -206,    0
  7795, 46225,19830120, -172,    0
  7795, 46225,19830121, -105,    0
  7795, 46225,19830122,  -98,    0
  7795, 46225,19830123, -110,    0
  7795, 46225,19830124,  -71,    0
  7795, 46225,19830125,  -58,    1
  7795, 46225,19830126,  -76,    0
  7795, 46225,19830127,  -82,    0
  7795, 46225,19830128, -148,    0
  7795, 46225,19830129, -206,    0
  7795, 46225,19830130, -215,    0
  7795, 46225,19830131, -248,    0
  7795, 46225,19830201, -257,    0
  7795, 46225,19830202, -216,    0
  7795, 46225,19830203, -249,    0
  7795, 46225,19830204, -269,    0
  7795, 46225,19830205, -209,    0
  7795, 46225,19830206, -143,    0
  7795, 46225,19830207, -179,    0
  7795, 46225,19830208, -192,    0
  7795, 46225,19830209,  -80,    0
  7795, 46225,19830210,  -35,    0
  7795, 46225,19830211, -120,    0
  7795, 46225,19830212, -173,    0
  7795, 46225,19830213, -186,    0
  7795, 46225,19830214, -127,    0
  7795, 46225,19830215,  -45,    0
  7795, 46225,19830216,  -43,    0
  7795, 46225,19830217,  -20,    0
  7795, 46225,19830218,   -7,    0
  7795, 46225,19830219,  -41,    0
  7795, 46225,19830220, -173,    0
  7795, 46225,19830221, -168,    0
  7795, 46225,19830222,  -79,    0
  7795, 46225,19830223,  -47,    0
  7795, 46225,19830224,   -9,    0
  7795, 46225,19830225,  -29,    0
  7795, 46225,19830226, -123,    0
  7795, 46225,19830227, -148,    0
  7795, 46225,19830228, -123,    0
  7795, 46225,19830301, -100,    0
  7795, 46225,19830302,  -82,    0
  7795, 46225,19830303,  -82,    0
  7795, 46225,19830304,  -56,    0
  7795, 46225,19830305,  -40,    0
  7795, 46225,19830306,  -80,    0
  7795, 46225,19830307, -127,    0
  7795, 46225,19830308, -139,    0
  7795, 46225,19830309, -190,    0
  7795, 46225,19830310, -223,    1
  7795, 46225,19830311, -140,    0
  7795, 46225,19830312,  -51,    0
  7795, 46225,19830313,    2,    0
  7795, 46225,19830314,  -23,    0
  7795, 46225,19830315, -138,    0
  7795, 46225,19830316, -141,    0
  7795, 46225,19830317,  -52,    0
  7795, 46225,19830318,    0,    0
  7795, 46225,19830319,   -2,    0
  7795, 46225,19830320,  -82,    0
  7795, 46225,19830321,  -74,    0
  7795, 46225,19830322,  -23,    0
  7795, 46225,19830323,  -33,    0
  7795, 46225,19830324,  -16,    0
  7795, 46225,19830325,  -21,    0
  7795, 46225,19830326,  -38,    0
  7795, 46225,19830327,  -18,    0
  7795, 46225,19830328,  -27,    0
  7795, 46225,19830329,  -67,    0
  7795, 46225,19830330,  -43,    0
  7795, 46225,19830331,  -22,    0
  7795, 46225,19830401,    1,    0
  7795, 46225,19830402,   -6,    0
  7795, 46225,19830403,  -14,    0
  7795, 46225,19830404,   -3,    0
  7795, 46225,19830405,   18,    0
  7795, 46225,19830406,   26,    0
  7795, 46225,19830407,   30,    0
  7795, 46225,19830408,   14,    0
  7795, 46225,19830409,   20,    0
  7795, 46225,19830410,    7,    0
  7795, 46225,19830411,  -26,    0
  7795, 46225,19830412,  -52,    0
  7795, 46225,19830413,  -56,    0
  7795, 46225,19830414,  -53,    0
  7795, 46225,19830415,  -39,    0
  7795, 46225,19830416,  -17,    0
  7795, 46225,19830417,   20,    0
  7795, 46225,19830418,   36,    0
  7795, 46225,19830419,   36,    0
  7795, 46225,19830420,   36,    0
  7795, 46225,19830421,   38,    0
  7795, 46225,19830422,   66,    0
  7795, 46225,19830423,   84,    0
  7795, 46225,19830424,   73,    0
  7795, 46225,19830425,   75,    0
  7795, 46225,19830426,   42,    0
  7795, 46225,19830427,   19,    0
  7795, 46225,19830428,   16,    0
  7795, 46225,19830429,   11,    0
  7795, 46225,19830430,   24,    0
  7795, 46225,19830501,   26,    0
  7795, 46225,19830502,   35,    0
  7795, 46225,19830503,   33,    0
  7795, 46225,19830504,   31,    0
  7795, 46225,19830505,   43,    0
  7795, 46225,19830506,   62,    0
  7795, 46225,19830507,   76,    0
  7795, 46225,19830508,   98,    0
  7795, 46225,19830509,  108,    0
  7795, 46225,19830510,   82,    0
  7795, 46225,19830511,  100,    0
  7795, 46225,19830512,  108,    0
  7795, 46225,19830513,   53,    0
  7795, 46225,19830514,   62,    0
  7795, 46225,19830515,   91,    0
  7795, 46225,19830516,   98,    1
  7795, 46225,19830517,  120,    1
  7795, 46225,19830518,   96,    1
  7795, 46225,19830519,   56,    1
  7795, 46225,19830520,   95,    1
  7795, 46225,19830521,   76,    1
  7795, 46225,19830522,   59,    1
  7795, 46225,19830523,  101,    1
  7795, 46225,19830524,  102,    1
  7795, 46225,19830525,   92,    1
  7795, 46225,19830526,   74,    1
  7795, 46225,19830527,   85,    1
  7795, 46225,19830528,   85,    1
  7795, 46225,19830529,   80,    1
  7795, 46225,19830530,   82,    1
  7795, 46225,19830531,  101,    1
  7795, 46225,19830601,    0,    1
  7795, 46225,19830602,  110,    1
  7795, 46225,19830603,  107,    1
  7795, 46225,19830604,   61,    1
  7795, 46225,19830605,   74,    1
  7795, 46225,19830606,   73,    1
  7795, 46225,19830607,  101,    1
  7795, 46225,19830608,  110,    1
  7795, 46225,19830609,  111,    0
  7795, 46225,19830610,  107,    0
  7795, 46225,19830611,  111,    0
  7795, 46225,19830612,  124,    0
  7795, 46225,19830613,  160,    0
  7795, 46225,19830614,  163,    0
  7795, 46225,19830615,  193,    0
  7795, 46225,19830616,  177,    0
  7795, 46225,19830617,   97,    0
  7795, 46225,19830618,  103,    0
  7795, 46225,19830619,  126,    0
  7795, 46225,19830620,   56,    0
  7795, 46225,19830621,   65,    0
  7795, 46225,19830622,  110,    0
  7795, 46225,19830623,  114,    0
  7795, 46225,19830624,  131,    0
  7795, 46225,19830625,  100,    0
  7795, 46225,19830626,  114,    0
  7795, 46225,19830627,  108,    0
  7795, 46225,19830628,  134,    0
  7795, 46225,19830629,  141,    0
  7795, 46225,19830630,  136,    0
  7795, 46225,19830701,  141,    0
  7795, 46225,19830702,  176,    0
  7795, 46225,19830703,  163,    0
  7795, 46225,19830704,  148,    0
  7795, 46225,19830705,  145,    0
  7795, 46225,19830706,  149,    0
  7795, 46225,19830707,  190,    0
  7795, 46225,19830708,  209,    0
  7795, 46225,19830709,  188,    0
  7795, 46225,19830710,  207,    0
  7795, 46225,19830711,  152,    0
  7795, 46225,19830712,  120,    0
  7795, 46225,19830713,  107,    0
  7795, 46225,19830714,  111,    0
  7795, 46225,19830715,  122,    0
  7795, 46225,19830716,  117,    0
  7795, 46225,19830717,  107,    0
  7795, 46225,19830718,  115,    0
  7795, 46225,19830719,  124,    0
  7795, 46225,19830720,  100,    0
  7795, 46225,19830721,  132,    0
  7795, 46225,19830722,  148,    0
  7795, 46225,19830723,  182,    0
  7795, 46225,19830724,  154,    0
  7795, 46225,19830725,  154,    0
  7795, 46225,19830726,  169,    0
  7795, 46225,19830727,  182,    0
  7795, 46225,19830728,  165,    0
  7795, 46225,19830729,  123,    0
  7795, 46225,19830730,  104,    0
  7795, 46225,19830731,  105,    0
  7795, 46225,19830801,  129,    0
  7795, 46225,19830802,  143,    0
  7795, 46225,19830803,  171,    0
  7795, 46225,19830804,  138,    0
  7795, 46225,19830805,  132,    0
  7795, 46225,19830806,  136,    0
  7795, 46225,19830807,  131,    0
  7795, 46225,19830808,  182,    0
  7795, 46225,19830809,  159,    0
