EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station INARI PARTAKKO, FINLAND (STAID: 7890)
Blended and updated with sources:46711 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  7890, 46711,19700101,-9999,    9
  7890, 46711,19700102,-9999,    9
  7890, 46711,19700103,-9999,    9
  7890, 46711,19700104,-9999,    9
  7890, 46711,19700105,-9999,    9
  7890, 46711,19700106,-9999,    9
  7890, 46711,19700107,-9999,    9
  7890, 46711,19700108,-9999,    9
  7890, 46711,19700109,-9999,    9
  7890, 46711,19700110,-9999,    9
  7890, 46711,19700111,-9999,    9
  7890, 46711,19700112,-9999,    9
  7890, 46711,19700113,-9999,    9
  7890, 46711,19700114,-9999,    9
  7890, 46711,19700115,-9999,    9
  7890, 46711,19700116,-9999,    9
  7890, 46711,19700117,-9999,    9
  7890, 46711,19700118,-9999,    9
  7890, 46711,19700119,-9999,    9
  7890, 46711,19700120,-9999,    9
  7890, 46711,19700121,-9999,    9
  7890, 46711,19700122,-9999,    9
  7890, 46711,19700123,-9999,    9
  7890, 46711,19700124,-9999,    9
  7890, 46711,19700125,-9999,    9
  7890, 46711,19700126,-9999,    9
  7890, 46711,19700127,-9999,    9
  7890, 46711,19700128,-9999,    9
  7890, 46711,19700129,-9999,    9
  7890, 46711,19700130,-9999,    9
  7890, 46711,19700131,-9999,    9
  7890, 46711,19700201,-9999,    9
  7890, 46711,19700202,-9999,    9
  7890, 46711,19700203,-9999,    9
  7890, 46711,19700204,-9999,    9
  7890, 46711,19700205,-9999,    9
  7890, 46711,19700206,-9999,    9
  7890, 46711,19700207,-9999,    9
  7890, 46711,19700208,-9999,    9
  7890, 46711,19700209,-9999,    9
  7890, 46711,19700210,-9999,    9
  7890, 46711,19700211,-9999,    9
  7890, 46711,19700212,-9999,    9
  7890, 46711,19700213,-9999,    9
  7890, 46711,19700214,-9999,    9
  7890, 46711,19700215,-9999,    9
  7890, 46711,19700216,-9999,    9
  7890, 46711,19700217,-9999,    9
  7890, 46711,19700218,-9999,    9
  7890, 46711,19700219,-9999,    9
  7890, 46711,19700220,-9999,    9
  7890, 46711,19700221,-9999,    9
  7890, 46711,19700222,-9999,    9
  7890, 46711,19700223,-9999,    9
  7890, 46711,19700224,-9999,    9
  7890, 46711,19700225,-9999,    9
  7890, 46711,19700226,-9999,    9
  7890, 46711,19700227,-9999,    9
  7890, 46711,19700228,-9999,    9
  7890, 46711,19700301,-9999,    9
  7890, 46711,19700302,-9999,    9
  7890, 46711,19700303,-9999,    9
  7890, 46711,19700304,-9999,    9
  7890, 46711,19700305,-9999,    9
  7890, 46711,19700306,-9999,    9
  7890, 46711,19700307,-9999,    9
  7890, 46711,19700308,-9999,    9
  7890, 46711,19700309,-9999,    9
  7890, 46711,19700310,-9999,    9
  7890, 46711,19700311,-9999,    9
  7890, 46711,19700312,-9999,    9
  7890, 46711,19700313,-9999,    9
  7890, 46711,19700314,-9999,    9
  7890, 46711,19700315,-9999,    9
  7890, 46711,19700316,-9999,    9
  7890, 46711,19700317,-9999,    9
  7890, 46711,19700318,-9999,    9
  7890, 46711,19700319,-9999,    9
  7890, 46711,19700320,-9999,    9
  7890, 46711,19700321,-9999,    9
  7890, 46711,19700322,-9999,    9
  7890, 46711,19700323,-9999,    9
  7890, 46711,19700324,-9999,    9
  7890, 46711,19700325,-9999,    9
  7890, 46711,19700326,-9999,    9
  7890, 46711,19700327,-9999,    9
  7890, 46711,19700328,-9999,    9
  7890, 46711,19700329,-9999,    9
  7890, 46711,19700330,-9999,    9
  7890, 46711,19700331,-9999,    9
  7890, 46711,19700401,-9999,    9
  7890, 46711,19700402,-9999,    9
  7890, 46711,19700403,-9999,    9
  7890, 46711,19700404,-9999,    9
  7890, 46711,19700405,-9999,    9
  7890, 46711,19700406,-9999,    9
  7890, 46711,19700407,-9999,    9
  7890, 46711,19700408,-9999,    9
  7890, 46711,19700409,-9999,    9
  7890, 46711,19700410,-9999,    9
  7890, 46711,19700411,-9999,    9
  7890, 46711,19700412,-9999,    9
  7890, 46711,19700413,-9999,    9
  7890, 46711,19700414,-9999,    9
  7890, 46711,19700415,-9999,    9
  7890, 46711,19700416,-9999,    9
  7890, 46711,19700417,-9999,    9
  7890, 46711,19700418,-9999,    9
  7890, 46711,19700419,-9999,    9
