EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station UPERNAVIK AWS, GREENLAND [DENMARK] (STAID: 7969)
Blended and updated with sources:46887 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  7969, 46887,19840101,-9999,    9
  7969, 46887,19840102,-9999,    9
  7969, 46887,19840103,-9999,    9
  7969, 46887,19840104,-9999,    9
  7969, 46887,19840105,-9999,    9
  7969, 46887,19840106,-9999,    9
  7969, 46887,19840107,-9999,    9
  7969, 46887,19840108,-9999,    9
  7969, 46887,19840109,-9999,    9
  7969, 46887,19840110,-9999,    9
  7969, 46887,19840111,-9999,    9
  7969, 46887,19840112,-9999,    9
  7969, 46887,19840113,-9999,    9
  7969, 46887,19840114,-9999,    9
  7969, 46887,19840115,-9999,    9
  7969, 46887,19840116,-9999,    9
  7969, 46887,19840117,-9999,    9
  7969, 46887,19840118,-9999,    9
  7969, 46887,19840119,-9999,    9
  7969, 46887,19840120,-9999,    9
  7969, 46887,19840121,-9999,    9
  7969, 46887,19840122,-9999,    9
  7969, 46887,19840123,-9999,    9
  7969, 46887,19840124,-9999,    9
  7969, 46887,19840125,-9999,    9
  7969, 46887,19840126,-9999,    9
  7969, 46887,19840127,-9999,    9
  7969, 46887,19840128,-9999,    9
  7969, 46887,19840129,-9999,    9
  7969, 46887,19840130,-9999,    9
  7969, 46887,19840131,-9999,    9
  7969, 46887,19840201,-9999,    9
  7969, 46887,19840202,-9999,    9
  7969, 46887,19840203,-9999,    9
  7969, 46887,19840204,-9999,    9
  7969, 46887,19840205,-9999,    9
  7969, 46887,19840206,-9999,    9
  7969, 46887,19840207,-9999,    9
  7969, 46887,19840208,-9999,    9
  7969, 46887,19840209,-9999,    9
  7969, 46887,19840210,-9999,    9
  7969, 46887,19840211,-9999,    9
  7969, 46887,19840212,-9999,    9
  7969, 46887,19840213,-9999,    9
  7969, 46887,19840214,-9999,    9
  7969, 46887,19840215,-9999,    9
  7969, 46887,19840216,-9999,    9
  7969, 46887,19840217,-9999,    9
  7969, 46887,19840218,-9999,    9
  7969, 46887,19840219,-9999,    9
  7969, 46887,19840220,-9999,    9
  7969, 46887,19840221,-9999,    9
  7969, 46887,19840222,-9999,    9
  7969, 46887,19840223,-9999,    9
  7969, 46887,19840224,-9999,    9
  7969, 46887,19840225,-9999,    9
  7969, 46887,19840226,-9999,    9
  7969, 46887,19840227,-9999,    9
  7969, 46887,19840228,-9999,    9
  7969, 46887,19840229,-9999,    9
  7969, 46887,19840301,-9999,    9
  7969, 46887,19840302,-9999,    9
  7969, 46887,19840303,-9999,    9
  7969, 46887,19840304,-9999,    9
  7969, 46887,19840305,-9999,    9
  7969, 46887,19840306,-9999,    9
  7969, 46887,19840307,-9999,    9
  7969, 46887,19840308,-9999,    9
  7969, 46887,19840309,-9999,    9
  7969, 46887,19840310,-9999,    9
  7969, 46887,19840311,-9999,    9
  7969, 46887,19840312,-9999,    9
  7969, 46887,19840313,-9999,    9
  7969, 46887,19840314,-9999,    9
  7969, 46887,19840315,-9999,    9
  7969, 46887,19840316,-9999,    9
  7969, 46887,19840317,-9999,    9
  7969, 46887,19840318,-9999,    9
  7969, 46887,19840319,-9999,    9
  7969, 46887,19840320,-9999,    9
  7969, 46887,19840321,-9999,    9
  7969, 46887,19840322,-9999,    9
  7969, 46887,19840323,-9999,    9
  7969, 46887,19840324,-9999,    9
  7969, 46887,19840325,-9999,    9
  7969, 46887,19840326,-9999,    9
  7969, 46887,19840327,-9999,    9
  7969, 46887,19840328,-9999,    9
  7969, 46887,19840329,-9999,    9
  7969, 46887,19840330,-9999,    9
  7969, 46887,19840331,-9999,    9
  7969, 46887,19840401,-9999,    9
  7969, 46887,19840402,-9999,    9
  7969, 46887,19840403,-9999,    9
  7969, 46887,19840404,-9999,    9
  7969, 46887,19840405,-9999,    9
  7969, 46887,19840406,-9999,    9
  7969, 46887,19840407,-9999,    9
  7969, 46887,19840408,-9999,    9
  7969, 46887,19840409,-9999,    9
  7969, 46887,19840410,-9999,    9
  7969, 46887,19840411,-9999,    9
  7969, 46887,19840412,-9999,    9
  7969, 46887,19840413,-9999,    9
  7969, 46887,19840414,-9999,    9
  7969, 46887,19840415,-9999,    9
  7969, 46887,19840416,-9999,    9
  7969, 46887,19840417,-9999,    9
  7969, 46887,19840418,-9999,    9
  7969, 46887,19840419,-9999,    9
  7969, 46887,19840420,-9999,    9
  7969, 46887,19840421,-9999,    9
  7969, 46887,19840422,-9999,    9
  7969, 46887,19840423,-9999,    9
  7969, 46887,19840424,-9999,    9
  7969, 46887,19840425,-9999,    9
  7969, 46887,19840426,-9999,    9
  7969, 46887,19840427,-9999,    9
  7969, 46887,19840428,-9999,    9
  7969, 46887,19840429,-9999,    9
  7969, 46887,19840430,-9999,    9
  7969, 46887,19840501,-9999,    9
  7969, 46887,19840502,-9999,    9
  7969, 46887,19840503,-9999,    9
  7969, 46887,19840504,-9999,    9
  7969, 46887,19840505,-9999,    9
  7969, 46887,19840506,-9999,    9
  7969, 46887,19840507,-9999,    9
  7969, 46887,19840508,-9999,    9
  7969, 46887,19840509,-9999,    9
  7969, 46887,19840510,-9999,    9
  7969, 46887,19840511,-9999,    9
  7969, 46887,19840512,-9999,    9
