EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station STERLEGOVA, RUSSIAN FEDERATION (STAID: 8044)
Blended and updated with sources:47953 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  8044, 47953,19770101,-9999,    9
  8044, 47953,19770102,-9999,    9
  8044, 47953,19770103,-9999,    9
  8044, 47953,19770104,-9999,    9
  8044, 47953,19770105,-9999,    9
  8044, 47953,19770106,-9999,    9
  8044, 47953,19770107,-9999,    9
  8044, 47953,19770108,-9999,    9
  8044, 47953,19770109,-9999,    9
  8044, 47953,19770110,-9999,    9
  8044, 47953,19770111,-9999,    9
  8044, 47953,19770112,-9999,    9
  8044, 47953,19770113,-9999,    9
  8044, 47953,19770114,-9999,    9
  8044, 47953,19770115,-9999,    9
  8044, 47953,19770116,-9999,    9
  8044, 47953,19770117,-9999,    9
  8044, 47953,19770118,-9999,    9
  8044, 47953,19770119,-9999,    9
  8044, 47953,19770120,-9999,    9
  8044, 47953,19770121,-9999,    9
  8044, 47953,19770122,-9999,    9
  8044, 47953,19770123,-9999,    9
  8044, 47953,19770124,-9999,    9
  8044, 47953,19770125,-9999,    9
  8044, 47953,19770126,-9999,    9
  8044, 47953,19770127,-9999,    9
  8044, 47953,19770128,-9999,    9
  8044, 47953,19770129,-9999,    9
  8044, 47953,19770130,-9999,    9
  8044, 47953,19770131,-9999,    9
  8044, 47953,19770201, -322,    0
  8044, 47953,19770202, -341,    0
  8044, 47953,19770203, -365,    0
  8044, 47953,19770204, -349,    0
  8044, 47953,19770205, -380,    0
  8044, 47953,19770206, -390,    0
  8044, 47953,19770207, -400,    0
  8044, 47953,19770208, -385,    0
  8044, 47953,19770209, -254,    0
  8044, 47953,19770210, -322,    0
  8044, 47953,19770211, -364,    0
  8044, 47953,19770212, -306,    0
  8044, 47953,19770213, -237,    0
  8044, 47953,19770214, -242,    0
  8044, 47953,19770215, -311,    0
  8044, 47953,19770216, -365,    0
  8044, 47953,19770217, -368,    0
  8044, 47953,19770218, -335,    0
  8044, 47953,19770219, -256,    0
  8044, 47953,19770220, -328,    0
  8044, 47953,19770221, -399,    0
  8044, 47953,19770222, -414,    0
  8044, 47953,19770223, -335,    0
  8044, 47953,19770224, -288,    0
  8044, 47953,19770225, -354,    0
  8044, 47953,19770226, -342,    0
  8044, 47953,19770227, -323,    0
  8044, 47953,19770228, -280,    0
  8044, 47953,19770301, -334,    0
  8044, 47953,19770302, -325,    0
  8044, 47953,19770303, -286,    0
  8044, 47953,19770304, -338,    0
  8044, 47953,19770305, -346,    0
  8044, 47953,19770306, -313,    0
  8044, 47953,19770307, -332,    0
  8044, 47953,19770308, -218,    0
  8044, 47953,19770309, -223,    0
  8044, 47953,19770310, -295,    0
  8044, 47953,19770311, -368,    0
  8044, 47953,19770312, -373,    0
  8044, 47953,19770313, -362,    0
  8044, 47953,19770314, -368,    0
  8044, 47953,19770315, -330,    0
  8044, 47953,19770316, -349,    0
  8044, 47953,19770317, -354,    0
  8044, 47953,19770318, -379,    0
  8044, 47953,19770319, -365,    0
  8044, 47953,19770320, -345,    0
  8044, 47953,19770321, -337,    0
  8044, 47953,19770322, -293,    0
  8044, 47953,19770323, -224,    0
  8044, 47953,19770324, -230,    0
  8044, 47953,19770325, -264,    0
  8044, 47953,19770326, -282,    0
  8044, 47953,19770327, -288,    0
  8044, 47953,19770328, -333,    0
  8044, 47953,19770329, -341,    0
  8044, 47953,19770330, -342,    0
  8044, 47953,19770331, -317,    0
  8044, 47953,19770401, -332,    0
  8044, 47953,19770402, -359,    0
  8044, 47953,19770403, -324,    0
  8044, 47953,19770404, -324,    0
  8044, 47953,19770405, -169,    0
  8044, 47953,19770406,  -87,    0
  8044, 47953,19770407, -182,    0
  8044, 47953,19770408, -260,    0
  8044, 47953,19770409, -278,    0
  8044, 47953,19770410, -286,    0
  8044, 47953,19770411, -281,    0
  8044, 47953,19770412, -172,    0
  8044, 47953,19770413, -228,    0
  8044, 47953,19770414, -159,    0
  8044, 47953,19770415, -104,    0
  8044, 47953,19770416, -216,    0
  8044, 47953,19770417, -286,    0
  8044, 47953,19770418, -233,    0
  8044, 47953,19770419, -201,    0
  8044, 47953,19770420, -243,    0
  8044, 47953,19770421, -209,    0
  8044, 47953,19770422,  -72,    0
  8044, 47953,19770423,  -98,    0
  8044, 47953,19770424,  -96,    0
  8044, 47953,19770425,  -67,    0
  8044, 47953,19770426, -135,    0
  8044, 47953,19770427, -105,    0
  8044, 47953,19770428, -118,    0
  8044, 47953,19770429, -181,    0
  8044, 47953,19770430, -128,    0
  8044, 47953,19770501,  -81,    0
  8044, 47953,19770502,  -19,    0
  8044, 47953,19770503, -139,    0
  8044, 47953,19770504, -154,    0
  8044, 47953,19770505, -139,    0
  8044, 47953,19770506, -112,    0
  8044, 47953,19770507, -154,    0
  8044, 47953,19770508, -178,    0
  8044, 47953,19770509, -177,    0
  8044, 47953,19770510, -146,    0
  8044, 47953,19770511, -134,    0
  8044, 47953,19770512, -150,    0
  8044, 47953,19770513, -124,    0
  8044, 47953,19770514, -126,    0
  8044, 47953,19770515,  -86,    0
  8044, 47953,19770516,  -97,    0
  8044, 47953,19770517,  -77,    0
  8044, 47953,19770518,  -37,    0
  8044, 47953,19770519,  -44,    0
  8044, 47953,19770520,  -58,    0
  8044, 47953,19770521,  -50,    0
  8044, 47953,19770522,  -56,    0
  8044, 47953,19770523,  -46,    0
  8044, 47953,19770524,  -29,    0
  8044, 47953,19770525,  -23,    0
  8044, 47953,19770526,   -9,    0
  8044, 47953,19770527,   -9,    0
  8044, 47953,19770528,  -29,    0
  8044, 47953,19770529,  -21,    0
  8044, 47953,19770530,   11,    0
  8044, 47953,19770531,   11,    0
  8044, 47953,19770601,   -4,    0
  8044, 47953,19770602,  -22,    0
  8044, 47953,19770603,   -7,    0
  8044, 47953,19770604,    3,    0
  8044, 47953,19770605,  -13,    0
  8044, 47953,19770606,  -18,    0
  8044, 47953,19770607,  -16,    0
  8044, 47953,19770608,   18,    0
  8044, 47953,19770609,    5,    0
  8044, 47953,19770610,   -7,    0
  8044, 47953,19770611,   -3,    0
  8044, 47953,19770612,    6,    0
  8044, 47953,19770613,    2,    0
  8044, 47953,19770614,  -14,    0
  8044, 47953,19770615,  -13,    0
  8044, 47953,19770616,  -22,    0
  8044, 47953,19770617,  -13,    0
  8044, 47953,19770618,    6,    0
  8044, 47953,19770619,   -2,    0
  8044, 47953,19770620,   -8,    0
  8044, 47953,19770621,  -12,    0
  8044, 47953,19770622,  -17,    0
  8044, 47953,19770623,  -15,    0
  8044, 47953,19770624,  -10,    0
  8044, 47953,19770625,  -10,    0
  8044, 47953,19770626,   -8,    0
  8044, 47953,19770627,   44,    0
  8044, 47953,19770628,   81,    0
  8044, 47953,19770629,   31,    0
  8044, 47953,19770630,   14,    0
  8044, 47953,19770701,   14,    0
  8044, 47953,19770702,   20,    0
  8044, 47953,19770703,    0,    0
  8044, 47953,19770704,    2,    0
  8044, 47953,19770705,    8,    0
  8044, 47953,19770706,    4,    0
  8044, 47953,19770707,    3,    0
  8044, 47953,19770708,    3,    0
  8044, 47953,19770709,   16,    0
  8044, 47953,19770710,    8,    0
  8044, 47953,19770711,   28,    0
  8044, 47953,19770712,   80,    0
  8044, 47953,19770713,   18,    0
  8044, 47953,19770714,    3,    0
  8044, 47953,19770715,   16,    0
  8044, 47953,19770716,   21,    0
  8044, 47953,19770717,   30,    0
  8044, 47953,19770718,   23,    0
  8044, 47953,19770719,    2,    0
  8044, 47953,19770720,    3,    0
  8044, 47953,19770721,    5,    0
  8044, 47953,19770722,    6,    0
  8044, 47953,19770723,   38,    0
  8044, 47953,19770724,   53,    0
  8044, 47953,19770725,   19,    0
  8044, 47953,19770726,   89,    0
  8044, 47953,19770727,   61,    0
  8044, 47953,19770728,    4,    0
  8044, 47953,19770729,    6,    0
  8044, 47953,19770730,   21,    0
  8044, 47953,19770731,   30,    0
  8044, 47953,19770801,    1,    0
  8044, 47953,19770802,   19,    0
  8044, 47953,19770803,   14,    0
  8044, 47953,19770804,   -3,    0
  8044, 47953,19770805,    4,    0
  8044, 47953,19770806,    3,    0
  8044, 47953,19770807,   -4,    0
  8044, 47953,19770808,   18,    0
  8044, 47953,19770809,   22,    0
  8044, 47953,19770810,   52,    0
  8044, 47953,19770811,   57,    0
  8044, 47953,19770812,    3,    0
  8044, 47953,19770813,    2,    0
  8044, 47953,19770814,   43,    0
  8044, 47953,19770815,   25,    0
  8044, 47953,19770816,   25,    0
  8044, 47953,19770817,   10,    0
  8044, 47953,19770818,   -3,    0
  8044, 47953,19770819,   -9,    0
  8044, 47953,19770820,   -7,    0
  8044, 47953,19770821,   -2,    0
  8044, 47953,19770822,   26,    0
  8044, 47953,19770823,    0,    0
  8044, 47953,19770824,   -3,    0
  8044, 47953,19770825,  -21,    0
  8044, 47953,19770826,   -4,    0
  8044, 47953,19770827,   -5,    0
  8044, 47953,19770828,   -3,    0
  8044, 47953,19770829,  -28,    0
  8044, 47953,19770830,  -20,    0
  8044, 47953,19770831,   11,    0
  8044, 47953,19770901,   49,    0
  8044, 47953,19770902,   44,    0
  8044, 47953,19770903,  -10,    0
  8044, 47953,19770904,  -41,    0
  8044, 47953,19770905,  -47,    0
  8044, 47953,19770906,  -48,    0
  8044, 47953,19770907,  -18,    0
  8044, 47953,19770908,    7,    0
  8044, 47953,19770909,   27,    0
  8044, 47953,19770910,   26,    0
  8044, 47953,19770911,   -2,    0
  8044, 47953,19770912,   -9,    0
  8044, 47953,19770913,   -2,    0
  8044, 47953,19770914,  -14,    0
  8044, 47953,19770915,  -62,    0
  8044, 47953,19770916,  -68,    0
  8044, 47953,19770917,  -43,    0
  8044, 47953,19770918,   22,    0
  8044, 47953,19770919,   26,    0
  8044, 47953,19770920,   26,    0
  8044, 47953,19770921,   11,    0
  8044, 47953,19770922,    3,    0
  8044, 47953,19770923,  -33,    0
  8044, 47953,19770924,  -28,    0
  8044, 47953,19770925,  -32,    0
  8044, 47953,19770926,  -52,    0
  8044, 47953,19770927,  -45,    0
  8044, 47953,19770928,  -49,    0
  8044, 47953,19770929,  -48,    0
  8044, 47953,19770930,  -64,    0
  8044, 47953,19771001,  -75,    0
  8044, 47953,19771002,  -74,    0
  8044, 47953,19771003,  -80,    0
  8044, 47953,19771004, -110,    0
  8044, 47953,19771005, -103,    0
  8044, 47953,19771006, -100,    0
  8044, 47953,19771007, -120,    0
  8044, 47953,19771008, -161,    0
  8044, 47953,19771009, -150,    0
  8044, 47953,19771010, -113,    0
  8044, 47953,19771011, -117,    0
  8044, 47953,19771012, -138,    0
  8044, 47953,19771013, -123,    0
  8044, 47953,19771014, -147,    0
  8044, 47953,19771015, -144,    0
  8044, 47953,19771016, -126,    0
  8044, 47953,19771017, -145,    0
  8044, 47953,19771018, -132,    0
  8044, 47953,19771019, -128,    0
  8044, 47953,19771020, -119,    0
  8044, 47953,19771021, -210,    0
  8044, 47953,19771022, -248,    0
  8044, 47953,19771023, -282,    0
  8044, 47953,19771024, -281,    0
  8044, 47953,19771025, -274,    0
  8044, 47953,19771026, -223,    0
  8044, 47953,19771027, -200,    0
  8044, 47953,19771028, -188,    0
  8044, 47953,19771029, -164,    0
  8044, 47953,19771030, -152,    0
  8044, 47953,19771031, -135,    0
  8044, 47953,19771101,-9999,    9
  8044, 47953,19771102,-9999,    9
  8044, 47953,19771103,-9999,    9
  8044, 47953,19771104,-9999,    9
  8044, 47953,19771105,-9999,    9
  8044, 47953,19771106,-9999,    9
  8044, 47953,19771107,-9999,    9
  8044, 47953,19771108,-9999,    9
  8044, 47953,19771109,-9999,    9
  8044, 47953,19771110,-9999,    9
  8044, 47953,19771111,-9999,    9
  8044, 47953,19771112,-9999,    9
  8044, 47953,19771113,-9999,    9
  8044, 47953,19771114,-9999,    9
  8044, 47953,19771115,-9999,    9
  8044, 47953,19771116,-9999,    9
  8044, 47953,19771117,-9999,    9
  8044, 47953,19771118,-9999,    9
  8044, 47953,19771119,-9999,    9
  8044, 47953,19771120,-9999,    9
  8044, 47953,19771121,-9999,    9
  8044, 47953,19771122,-9999,    9
  8044, 47953,19771123,-9999,    9
  8044, 47953,19771124,-9999,    9
  8044, 47953,19771125,-9999,    9
  8044, 47953,19771126,-9999,    9
  8044, 47953,19771127,-9999,    9
