EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station AMDERMA, RUSSIAN FEDERATION (STAID: 8063)
Blended and updated with sources:48378 923022 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  8063, 48378,19360101, -110,    0
  8063, 48378,19360102, -126,    0
  8063, 48378,19360103,  -50,    0
  8063, 48378,19360104,  -67,    0
  8063, 48378,19360105, -122,    0
  8063, 48378,19360106, -107,    0
  8063, 48378,19360107, -111,    0
  8063, 48378,19360108, -176,    0
  8063, 48378,19360109, -140,    0
  8063, 48378,19360110, -172,    0
  8063, 48378,19360111, -119,    0
  8063, 48378,19360112, -128,    0
  8063, 48378,19360113, -118,    0
  8063, 48378,19360114, -112,    0
  8063, 48378,19360115, -104,    0
  8063, 48378,19360116, -177,    0
  8063, 48378,19360117, -187,    0
  8063, 48378,19360118, -192,    0
  8063, 48378,19360119, -172,    0
  8063, 48378,19360120, -202,    0
  8063, 48378,19360121, -194,    0
  8063, 48378,19360122, -289,    0
  8063, 48378,19360123, -297,    0
  8063, 48378,19360124, -337,    0
  8063, 48378,19360125, -352,    0
  8063, 48378,19360126, -245,    0
  8063, 48378,19360127, -284,    0
  8063, 48378,19360128, -321,    0
  8063, 48378,19360129, -354,    0
  8063, 48378,19360130, -368,    0
  8063, 48378,19360131, -386,    0
  8063, 48378,19360201, -371,    0
  8063, 48378,19360202, -259,    0
  8063, 48378,19360203, -199,    0
  8063, 48378,19360204, -213,    0
  8063, 48378,19360205, -319,    0
