EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SEGEN-KYUEL', RUSSIAN FEDERATION (STAID: 8109)
Blended and updated with sources:48703 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  8109, 48703,19380101, -305,    0
  8109, 48703,19380102, -340,    0
  8109, 48703,19380103, -340,    0
  8109, 48703,19380104, -362,    0
  8109, 48703,19380105, -370,    0
  8109, 48703,19380106, -398,    0
  8109, 48703,19380107, -354,    0
  8109, 48703,19380108, -342,    0
  8109, 48703,19380109, -358,    0
  8109, 48703,19380110, -427,    0
  8109, 48703,19380111, -426,    0
  8109, 48703,19380112, -352,    0
  8109, 48703,19380113, -337,    0
  8109, 48703,19380114, -352,    0
  8109, 48703,19380115, -425,    0
  8109, 48703,19380116, -412,    0
  8109, 48703,19380117, -438,    0
  8109, 48703,19380118, -457,    0
  8109, 48703,19380119, -456,    0
  8109, 48703,19380120, -466,    0
  8109, 48703,19380121, -490,    0
  8109, 48703,19380122, -420,    0
  8109, 48703,19380123, -454,    0
  8109, 48703,19380124, -450,    0
  8109, 48703,19380125, -422,    0
  8109, 48703,19380126, -424,    0
  8109, 48703,19380127, -388,    0
  8109, 48703,19380128, -348,    0
  8109, 48703,19380129, -400,    0
  8109, 48703,19380130, -381,    0
  8109, 48703,19380131, -409,    0
