EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NAKANNO, RUSSIAN FEDERATION (STAID: 8112)
Blended and updated with sources:48718 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  8112, 48718,19140101,-9999,    9
  8112, 48718,19140102,-9999,    9
  8112, 48718,19140103,-9999,    9
  8112, 48718,19140104,-9999,    9
  8112, 48718,19140105,-9999,    9
  8112, 48718,19140106,-9999,    9
  8112, 48718,19140107,-9999,    9
  8112, 48718,19140108,-9999,    9
  8112, 48718,19140109,-9999,    9
  8112, 48718,19140110,-9999,    9
  8112, 48718,19140111,-9999,    9
  8112, 48718,19140112,-9999,    9
  8112, 48718,19140113,-9999,    9
  8112, 48718,19140114,-9999,    9
  8112, 48718,19140115,-9999,    9
  8112, 48718,19140116,-9999,    9
  8112, 48718,19140117,-9999,    9
  8112, 48718,19140118,-9999,    9
  8112, 48718,19140119,-9999,    9
  8112, 48718,19140120,-9999,    9
  8112, 48718,19140121,-9999,    9
  8112, 48718,19140122,-9999,    9
  8112, 48718,19140123,-9999,    9
  8112, 48718,19140124,-9999,    9
  8112, 48718,19140125,-9999,    9
  8112, 48718,19140126,-9999,    9
  8112, 48718,19140127,-9999,    9
  8112, 48718,19140128,-9999,    9
  8112, 48718,19140129,-9999,    9
  8112, 48718,19140130,-9999,    9
  8112, 48718,19140131,-9999,    9
  8112, 48718,19140201,-9999,    9
  8112, 48718,19140202,-9999,    9
  8112, 48718,19140203,-9999,    9
  8112, 48718,19140204,-9999,    9
  8112, 48718,19140205,-9999,    9
  8112, 48718,19140206,-9999,    9
  8112, 48718,19140207,-9999,    9
  8112, 48718,19140208,-9999,    9
  8112, 48718,19140209,-9999,    9
  8112, 48718,19140210,-9999,    9
  8112, 48718,19140211,-9999,    9
  8112, 48718,19140212,-9999,    9
  8112, 48718,19140213,-9999,    9
  8112, 48718,19140214,-9999,    9
  8112, 48718,19140215,-9999,    9
  8112, 48718,19140216,-9999,    9
  8112, 48718,19140217,-9999,    9
  8112, 48718,19140218,-9999,    9
  8112, 48718,19140219,-9999,    9
  8112, 48718,19140220,-9999,    9
  8112, 48718,19140221,-9999,    9
  8112, 48718,19140222,-9999,    9
  8112, 48718,19140223,-9999,    9
  8112, 48718,19140224,-9999,    9
  8112, 48718,19140225,-9999,    9
  8112, 48718,19140226,-9999,    9
  8112, 48718,19140227,-9999,    9
  8112, 48718,19140228,-9999,    9
  8112, 48718,19140301,-9999,    9
  8112, 48718,19140302,-9999,    9
  8112, 48718,19140303,-9999,    9
  8112, 48718,19140304,-9999,    9
  8112, 48718,19140305,-9999,    9
  8112, 48718,19140306,-9999,    9
  8112, 48718,19140307,-9999,    9
  8112, 48718,19140308,-9999,    9
  8112, 48718,19140309,-9999,    9
  8112, 48718,19140310,-9999,    9
  8112, 48718,19140311,-9999,    9
  8112, 48718,19140312,-9999,    9
  8112, 48718,19140313,-9999,    9
  8112, 48718,19140314,-9999,    9
  8112, 48718,19140315,-9999,    9
  8112, 48718,19140316,-9999,    9
  8112, 48718,19140317,-9999,    9
  8112, 48718,19140318,-9999,    9
  8112, 48718,19140319,-9999,    9
  8112, 48718,19140320,-9999,    9
  8112, 48718,19140321,-9999,    9
  8112, 48718,19140322,-9999,    9
  8112, 48718,19140323,-9999,    9
  8112, 48718,19140324,-9999,    9
  8112, 48718,19140325,-9999,    9
  8112, 48718,19140326,-9999,    9
  8112, 48718,19140327,-9999,    9
  8112, 48718,19140328,-9999,    9
  8112, 48718,19140329,-9999,    9
  8112, 48718,19140330,-9999,    9
  8112, 48718,19140331,-9999,    9
  8112, 48718,19140401,-9999,    9
  8112, 48718,19140402,-9999,    9
  8112, 48718,19140403,-9999,    9
  8112, 48718,19140404,-9999,    9
  8112, 48718,19140405,-9999,    9
  8112, 48718,19140406,-9999,    9
  8112, 48718,19140407,-9999,    9
  8112, 48718,19140408,-9999,    9
  8112, 48718,19140409,-9999,    9
  8112, 48718,19140410,-9999,    9
  8112, 48718,19140411,-9999,    9
  8112, 48718,19140412,-9999,    9
  8112, 48718,19140413,-9999,    9
  8112, 48718,19140414,-9999,    9
  8112, 48718,19140415,-9999,    9
  8112, 48718,19140416,-9999,    9
  8112, 48718,19140417,-9999,    9
  8112, 48718,19140418,-9999,    9
  8112, 48718,19140419,-9999,    9
  8112, 48718,19140420,-9999,    9
  8112, 48718,19140421,-9999,    9
  8112, 48718,19140422,-9999,    9
  8112, 48718,19140423,-9999,    9
  8112, 48718,19140424,-9999,    9
  8112, 48718,19140425,-9999,    9
  8112, 48718,19140426,-9999,    9
  8112, 48718,19140427,-9999,    9
  8112, 48718,19140428,-9999,    9
  8112, 48718,19140429,-9999,    9
  8112, 48718,19140430,-9999,    9
  8112, 48718,19140501,-9999,    9
  8112, 48718,19140502,-9999,    9
  8112, 48718,19140503,-9999,    9
  8112, 48718,19140504,-9999,    9
  8112, 48718,19140505,-9999,    9
  8112, 48718,19140506,-9999,    9
