EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station TEGYUL'TYA, RUSSIAN FEDERATION (STAID: 8125)
Blended and updated with sources:48783 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  8125, 48783,19420101, -433,    0
  8125, 48783,19420102, -442,    0
  8125, 48783,19420103, -302,    0
  8125, 48783,19420104, -294,    0
  8125, 48783,19420105, -261,    0
  8125, 48783,19420106, -232,    0
  8125, 48783,19420107, -280,    0
  8125, 48783,19420108, -320,    0
  8125, 48783,19420109, -426,    0
  8125, 48783,19420110, -288,    0
  8125, 48783,19420111, -306,    0
  8125, 48783,19420112, -396,    0
  8125, 48783,19420113, -377,    0
  8125, 48783,19420114, -321,    0
  8125, 48783,19420115, -293,    0
  8125, 48783,19420116, -280,    0
  8125, 48783,19420117, -390,    0
  8125, 48783,19420118, -394,    0
  8125, 48783,19420119, -349,    0
  8125, 48783,19420120, -252,    0
  8125, 48783,19420121, -319,    0
  8125, 48783,19420122, -324,    0
  8125, 48783,19420123, -342,    0
  8125, 48783,19420124, -196,    0
  8125, 48783,19420125, -258,    0
  8125, 48783,19420126, -399,    0
  8125, 48783,19420127, -404,    0
  8125, 48783,19420128, -411,    0
  8125, 48783,19420129, -452,    0
  8125, 48783,19420130, -468,    0
  8125, 48783,19420131,-9999,    9
