EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KORKODON, RUSSIAN FEDERATION (STAID: 8143)
Blended and updated with sources:48873 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  8143, 48873,19360101,-9999,    9
  8143, 48873,19360102,-9999,    9
  8143, 48873,19360103,-9999,    9
  8143, 48873,19360104,-9999,    9
  8143, 48873,19360105, -475,    0
  8143, 48873,19360106, -456,    0
  8143, 48873,19360107, -451,    0
  8143, 48873,19360108, -472,    0
  8143, 48873,19360109, -495,    0
  8143, 48873,19360110, -458,    0
  8143, 48873,19360111, -448,    0
  8143, 48873,19360112, -490,    0
  8143, 48873,19360113, -492,    0
  8143, 48873,19360114, -478,    0
  8143, 48873,19360115, -391,    0
  8143, 48873,19360116, -409,    0
  8143, 48873,19360117, -342,    0
  8143, 48873,19360118, -394,    0
  8143, 48873,19360119, -393,    0
  8143, 48873,19360120, -365,    0
  8143, 48873,19360121, -346,    0
  8143, 48873,19360122, -352,    0
  8143, 48873,19360123, -446,    0
  8143, 48873,19360124, -457,    0
  8143, 48873,19360125, -498,    0
  8143, 48873,19360126, -483,    0
  8143, 48873,19360127, -492,    0
  8143, 48873,19360128, -415,    0
  8143, 48873,19360129, -368,    0
  8143, 48873,19360130, -369,    0
  8143, 48873,19360131, -356,    0
  8143, 48873,19360201, -326,    0
  8143, 48873,19360202, -301,    0
  8143, 48873,19360203, -287,    0
  8143, 48873,19360204, -309,    0
  8143, 48873,19360205, -308,    0
  8143, 48873,19360206, -343,    0
  8143, 48873,19360207, -391,    0
  8143, 48873,19360208, -434,    0
  8143, 48873,19360209, -366,    0
  8143, 48873,19360210, -394,    0
  8143, 48873,19360211, -315,    0
  8143, 48873,19360212, -302,    0
  8143, 48873,19360213, -341,    0
  8143, 48873,19360214, -344,    0
  8143, 48873,19360215, -304,    0
  8143, 48873,19360216, -315,    0
  8143, 48873,19360217, -386,    0
  8143, 48873,19360218, -400,    0
  8143, 48873,19360219, -362,    0
  8143, 48873,19360220, -404,    0
  8143, 48873,19360221, -404,    0
  8143, 48873,19360222, -404,    0
  8143, 48873,19360223, -402,    0
  8143, 48873,19360224, -379,    0
  8143, 48873,19360225, -338,    0
  8143, 48873,19360226, -271,    0
  8143, 48873,19360227, -246,    0
  8143, 48873,19360228, -252,    0
  8143, 48873,19360229, -307,    0
  8143, 48873,19360301, -287,    0
  8143, 48873,19360302, -282,    0
  8143, 48873,19360303, -307,    0
  8143, 48873,19360304, -249,    0
  8143, 48873,19360305, -294,    0
  8143, 48873,19360306, -300,    0
  8143, 48873,19360307, -322,    0
  8143, 48873,19360308, -315,    0
  8143, 48873,19360309, -319,    0
  8143, 48873,19360310, -316,    0
  8143, 48873,19360311, -322,    0
  8143, 48873,19360312, -336,    0
  8143, 48873,19360313, -297,    0
  8143, 48873,19360314, -295,    0
  8143, 48873,19360315, -347,    0
  8143, 48873,19360316, -363,    0
  8143, 48873,19360317, -342,    0
  8143, 48873,19360318, -332,    0
  8143, 48873,19360319, -323,    0
  8143, 48873,19360320, -297,    0
  8143, 48873,19360321, -311,    0
  8143, 48873,19360322, -299,    0
  8143, 48873,19360323, -325,    0
  8143, 48873,19360324, -338,    0
  8143, 48873,19360325, -273,    0
  8143, 48873,19360326, -260,    0
  8143, 48873,19360327, -248,    0
  8143, 48873,19360328, -250,    0
  8143, 48873,19360329, -256,    0
  8143, 48873,19360330, -228,    0
  8143, 48873,19360331, -184,    0
  8143, 48873,19360401, -169,    0
  8143, 48873,19360402, -172,    0
  8143, 48873,19360403, -149,    0
  8143, 48873,19360404, -132,    0
