EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station RUSSKAYA POLYANA, RUSSIAN FEDERATION (STAID: 8199)
Blended and updated with sources:50138 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  8199, 50138,19590101,-9999,    9
  8199, 50138,19590102,-9999,    9
  8199, 50138,19590103,-9999,    9
  8199, 50138,19590104,-9999,    9
  8199, 50138,19590105,-9999,    9
  8199, 50138,19590106,-9999,    9
  8199, 50138,19590107,-9999,    9
  8199, 50138,19590108,-9999,    9
  8199, 50138,19590109,-9999,    9
  8199, 50138,19590110,-9999,    9
  8199, 50138,19590111,-9999,    9
  8199, 50138,19590112,-9999,    9
  8199, 50138,19590113,-9999,    9
  8199, 50138,19590114,-9999,    9
  8199, 50138,19590115,-9999,    9
  8199, 50138,19590116,-9999,    9
  8199, 50138,19590117,-9999,    9
  8199, 50138,19590118,-9999,    9
  8199, 50138,19590119,-9999,    9
  8199, 50138,19590120,-9999,    9
  8199, 50138,19590121,-9999,    9
  8199, 50138,19590122,-9999,    9
  8199, 50138,19590123,-9999,    9
  8199, 50138,19590124,-9999,    9
  8199, 50138,19590125,-9999,    9
  8199, 50138,19590126,-9999,    9
  8199, 50138,19590127,-9999,    9
  8199, 50138,19590128,-9999,    9
  8199, 50138,19590129,-9999,    9
  8199, 50138,19590130,-9999,    9
  8199, 50138,19590131,-9999,    9
  8199, 50138,19590201,-9999,    9
  8199, 50138,19590202,-9999,    9
  8199, 50138,19590203,-9999,    9
  8199, 50138,19590204,-9999,    9
  8199, 50138,19590205,-9999,    9
  8199, 50138,19590206,-9999,    9
  8199, 50138,19590207,-9999,    9
  8199, 50138,19590208,-9999,    9
  8199, 50138,19590209,-9999,    9
  8199, 50138,19590210,-9999,    9
  8199, 50138,19590211,-9999,    9
  8199, 50138,19590212,-9999,    9
  8199, 50138,19590213,-9999,    9
  8199, 50138,19590214,-9999,    9
  8199, 50138,19590215,-9999,    9
  8199, 50138,19590216,-9999,    9
  8199, 50138,19590217,-9999,    9
  8199, 50138,19590218,-9999,    9
  8199, 50138,19590219,-9999,    9
  8199, 50138,19590220,-9999,    9
  8199, 50138,19590221,-9999,    9
  8199, 50138,19590222,-9999,    9
  8199, 50138,19590223,-9999,    9
  8199, 50138,19590224,-9999,    9
  8199, 50138,19590225,-9999,    9
  8199, 50138,19590226,-9999,    9
  8199, 50138,19590227,-9999,    9
  8199, 50138,19590228,-9999,    9
  8199, 50138,19590301,-9999,    9
  8199, 50138,19590302,-9999,    9
  8199, 50138,19590303,-9999,    9
  8199, 50138,19590304,-9999,    9
  8199, 50138,19590305,-9999,    9
  8199, 50138,19590306,-9999,    9
  8199, 50138,19590307,-9999,    9
  8199, 50138,19590308,-9999,    9
  8199, 50138,19590309,-9999,    9
  8199, 50138,19590310,-9999,    9
  8199, 50138,19590311,-9999,    9
  8199, 50138,19590312,-9999,    9
  8199, 50138,19590313,-9999,    9
  8199, 50138,19590314,-9999,    9
  8199, 50138,19590315,-9999,    9
  8199, 50138,19590316,-9999,    9
  8199, 50138,19590317,-9999,    9
  8199, 50138,19590318,-9999,    9
  8199, 50138,19590319,-9999,    9
  8199, 50138,19590320,-9999,    9
  8199, 50138,19590321,-9999,    9
  8199, 50138,19590322,-9999,    9
  8199, 50138,19590323,-9999,    9
  8199, 50138,19590324,-9999,    9
  8199, 50138,19590325,-9999,    9
  8199, 50138,19590326,-9999,    9
  8199, 50138,19590327,-9999,    9
  8199, 50138,19590328,-9999,    9
  8199, 50138,19590329,-9999,    9
  8199, 50138,19590330,-9999,    9
  8199, 50138,19590331,-9999,    9
  8199, 50138,19590401,-9999,    9
  8199, 50138,19590402,-9999,    9
  8199, 50138,19590403,-9999,    9
  8199, 50138,19590404,-9999,    9
  8199, 50138,19590405,-9999,    9
  8199, 50138,19590406,-9999,    9
  8199, 50138,19590407,-9999,    9
  8199, 50138,19590408,-9999,    9
  8199, 50138,19590409,-9999,    9
  8199, 50138,19590410,-9999,    9
  8199, 50138,19590411,-9999,    9
  8199, 50138,19590412,-9999,    9
  8199, 50138,19590413,-9999,    9
  8199, 50138,19590414,-9999,    9
  8199, 50138,19590415,-9999,    9
  8199, 50138,19590416,-9999,    9
  8199, 50138,19590417,-9999,    9
  8199, 50138,19590418,-9999,    9
  8199, 50138,19590419,-9999,    9
  8199, 50138,19590420,-9999,    9
  8199, 50138,19590421,-9999,    9
  8199, 50138,19590422,-9999,    9
  8199, 50138,19590423,-9999,    9
  8199, 50138,19590424,-9999,    9
  8199, 50138,19590425,-9999,    9
  8199, 50138,19590426,-9999,    9
  8199, 50138,19590427,-9999,    9
  8199, 50138,19590428,-9999,    9
  8199, 50138,19590429,-9999,    9
  8199, 50138,19590430,-9999,    9
  8199, 50138,19590501,-9999,    9
  8199, 50138,19590502,-9999,    9
  8199, 50138,19590503,-9999,    9
  8199, 50138,19590504,-9999,    9
  8199, 50138,19590505,-9999,    9
  8199, 50138,19590506,-9999,    9
  8199, 50138,19590507,-9999,    9
  8199, 50138,19590508,-9999,    9
  8199, 50138,19590509,-9999,    9
  8199, 50138,19590510,-9999,    9
  8199, 50138,19590511,-9999,    9
  8199, 50138,19590512,-9999,    9
  8199, 50138,19590513,-9999,    9
  8199, 50138,19590514,-9999,    9
  8199, 50138,19590515,-9999,    9
  8199, 50138,19590516,-9999,    9
  8199, 50138,19590517,-9999,    9
  8199, 50138,19590518,-9999,    9
  8199, 50138,19590519,-9999,    9
  8199, 50138,19590520,-9999,    9
  8199, 50138,19590521,-9999,    9
  8199, 50138,19590522,-9999,    9
  8199, 50138,19590523,-9999,    9
  8199, 50138,19590524,-9999,    9
  8199, 50138,19590525,-9999,    9
  8199, 50138,19590526,-9999,    9
  8199, 50138,19590527,-9999,    9
  8199, 50138,19590528,-9999,    9
  8199, 50138,19590529,-9999,    9
  8199, 50138,19590530,-9999,    9
  8199, 50138,19590531,-9999,    9
  8199, 50138,19590601,-9999,    9
  8199, 50138,19590602,-9999,    9
  8199, 50138,19590603,-9999,    9
  8199, 50138,19590604,-9999,    9
  8199, 50138,19590605,-9999,    9
  8199, 50138,19590606,-9999,    9
  8199, 50138,19590607,-9999,    9
  8199, 50138,19590608,-9999,    9
  8199, 50138,19590609,-9999,    9
  8199, 50138,19590610,-9999,    9
  8199, 50138,19590611,-9999,    9
  8199, 50138,19590612,-9999,    9
  8199, 50138,19590613,-9999,    9
  8199, 50138,19590614,-9999,    9
  8199, 50138,19590615,-9999,    9
  8199, 50138,19590616,-9999,    9
  8199, 50138,19590617,-9999,    9
  8199, 50138,19590618,-9999,    9
  8199, 50138,19590619,-9999,    9
  8199, 50138,19590620,-9999,    9
  8199, 50138,19590621,-9999,    9
  8199, 50138,19590622,-9999,    9
  8199, 50138,19590623,-9999,    9
  8199, 50138,19590624,-9999,    9
  8199, 50138,19590625,-9999,    9
  8199, 50138,19590626,-9999,    9
  8199, 50138,19590627,-9999,    9
  8199, 50138,19590628,-9999,    9
  8199, 50138,19590629,-9999,    9
  8199, 50138,19590630,-9999,    9
  8199, 50138,19590701,  176,    0
  8199, 50138,19590702,  129,    0
  8199, 50138,19590703,  106,    0
  8199, 50138,19590704,  138,    0
  8199, 50138,19590705,  172,    0
  8199, 50138,19590706,  193,    0
  8199, 50138,19590707,  207,    0
  8199, 50138,19590708,  227,    0
  8199, 50138,19590709,  160,    0
  8199, 50138,19590710,  162,    0
  8199, 50138,19590711,  194,    0
  8199, 50138,19590712,  221,    0
  8199, 50138,19590713,  242,    0
  8199, 50138,19590714,  241,    0
  8199, 50138,19590715,  222,    0
  8199, 50138,19590716,  188,    0
  8199, 50138,19590717,  177,    0
  8199, 50138,19590718,  210,    0
  8199, 50138,19590719,  203,    0
  8199, 50138,19590720,  196,    0
  8199, 50138,19590721,  175,    0
  8199, 50138,19590722,  154,    0
  8199, 50138,19590723,  168,    0
  8199, 50138,19590724,  188,    0
  8199, 50138,19590725,  180,    0
  8199, 50138,19590726,  164,    0
  8199, 50138,19590727,  174,    0
  8199, 50138,19590728,  179,    0
  8199, 50138,19590729,  204,    0
  8199, 50138,19590730,  226,    0
  8199, 50138,19590731,  232,    0
  8199, 50138,19590801,  229,    0
  8199, 50138,19590802,  242,    0
  8199, 50138,19590803,  155,    0
  8199, 50138,19590804,  134,    0
  8199, 50138,19590805,  130,    0
  8199, 50138,19590806,  124,    0
  8199, 50138,19590807,  134,    0
  8199, 50138,19590808,  157,    0
  8199, 50138,19590809,  162,    0
  8199, 50138,19590810,  164,    0
  8199, 50138,19590811,  159,    0
  8199, 50138,19590812,  168,    0
  8199, 50138,19590813,  179,    0
  8199, 50138,19590814,  171,    0
  8199, 50138,19590815,  165,    0
  8199, 50138,19590816,  163,    0
  8199, 50138,19590817,  136,    0
  8199, 50138,19590818,  136,    0
