EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NAPAS, RUSSIAN FEDERATION (STAID: 8203)
Blended and updated with sources:50173 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  8203, 50173,19360101, -155,    0
  8203, 50173,19360102, -110,    0
  8203, 50173,19360103, -157,    0
  8203, 50173,19360104,  -84,    0
  8203, 50173,19360105, -197,    0
  8203, 50173,19360106,  -88,    0
  8203, 50173,19360107,  -62,    0
  8203, 50173,19360108,  -80,    0
  8203, 50173,19360109, -134,    0
  8203, 50173,19360110, -148,    0
  8203, 50173,19360111, -199,    0
  8203, 50173,19360112, -335,    0
  8203, 50173,19360113, -339,    0
  8203, 50173,19360114, -218,    0
  8203, 50173,19360115, -164,    0
  8203, 50173,19360116, -219,    0
  8203, 50173,19360117, -280,    0
  8203, 50173,19360118, -248,    0
  8203, 50173,19360119, -269,    0
  8203, 50173,19360120, -228,    0
  8203, 50173,19360121, -209,    0
  8203, 50173,19360122, -168,    0
  8203, 50173,19360123, -174,    0
  8203, 50173,19360124, -233,    0
  8203, 50173,19360125, -253,    0
  8203, 50173,19360126, -356,    0
  8203, 50173,19360127, -387,    0
  8203, 50173,19360128, -352,    0
  8203, 50173,19360129, -310,    0
  8203, 50173,19360130, -253,    0
  8203, 50173,19360131, -238,    0
  8203, 50173,19360201, -304,    0
  8203, 50173,19360202, -214,    0
  8203, 50173,19360203, -284,    0
  8203, 50173,19360204, -203,    0
  8203, 50173,19360205, -162,    0
  8203, 50173,19360206, -150,    0
  8203, 50173,19360207, -194,    0
  8203, 50173,19360208,  -61,    0
  8203, 50173,19360209,  -60,    0
  8203, 50173,19360210, -105,    0
  8203, 50173,19360211, -185,    0
  8203, 50173,19360212, -124,    0
  8203, 50173,19360213,  -62,    0
  8203, 50173,19360214, -227,    0
  8203, 50173,19360215, -240,    0
  8203, 50173,19360216, -190,    0
  8203, 50173,19360217, -176,    0
  8203, 50173,19360218, -164,    0
  8203, 50173,19360219, -180,    0
  8203, 50173,19360220, -203,    0
  8203, 50173,19360221, -176,    0
  8203, 50173,19360222, -185,    0
  8203, 50173,19360223, -250,    0
  8203, 50173,19360224, -276,    0
  8203, 50173,19360225, -236,    0
  8203, 50173,19360226, -181,    0
  8203, 50173,19360227, -183,    0
  8203, 50173,19360228, -180,    0
  8203, 50173,19360229, -166,    0
  8203, 50173,19360301, -138,    0
  8203, 50173,19360302, -254,    0
  8203, 50173,19360303, -256,    0
  8203, 50173,19360304, -188,    0
  8203, 50173,19360305, -128,    0
  8203, 50173,19360306,  -94,    0
