EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BOLOTNOE, RUSSIAN FEDERATION (STAID: 8230)
Blended and updated with sources:50308 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  8230, 50308,19360101, -144,    0
  8230, 50308,19360102,  -94,    0
  8230, 50308,19360103, -106,    0
  8230, 50308,19360104, -114,    0
  8230, 50308,19360105, -116,    0
  8230, 50308,19360106, -111,    0
  8230, 50308,19360107, -129,    0
  8230, 50308,19360108, -130,    0
  8230, 50308,19360109, -129,    0
  8230, 50308,19360110, -156,    0
  8230, 50308,19360111, -165,    0
  8230, 50308,19360112, -218,    0
  8230, 50308,19360113, -282,    0
  8230, 50308,19360114, -250,    0
  8230, 50308,19360115, -213,    0
  8230, 50308,19360116, -168,    0
  8230, 50308,19360117, -194,    0
  8230, 50308,19360118, -263,    0
  8230, 50308,19360119, -226,    0
  8230, 50308,19360120, -212,    0
  8230, 50308,19360121, -222,    0
  8230, 50308,19360122, -194,    0
  8230, 50308,19360123, -150,    0
  8230, 50308,19360124, -140,    0
  8230, 50308,19360125, -120,    0
  8230, 50308,19360126, -267,    0
  8230, 50308,19360127, -338,    0
  8230, 50308,19360128, -295,    0
  8230, 50308,19360129, -131,    0
  8230, 50308,19360130, -176,    0
  8230, 50308,19360131, -208,    0
  8230, 50308,19360201, -126,    0
  8230, 50308,19360202,  -70,    0
  8230, 50308,19360203, -224,    0
  8230, 50308,19360204, -230,    0
  8230, 50308,19360205, -164,    0
  8230, 50308,19360206, -108,    0
  8230, 50308,19360207, -102,    0
  8230, 50308,19360208,  -68,    0
  8230, 50308,19360209,  -74,    0
  8230, 50308,19360210,  -34,    0
  8230, 50308,19360211, -180,    0
  8230, 50308,19360212,  -61,    0
  8230, 50308,19360213,  -32,    0
  8230, 50308,19360214,  -80,    0
  8230, 50308,19360215, -160,    0
  8230, 50308,19360216, -158,    0
  8230, 50308,19360217, -148,    0
  8230, 50308,19360218, -145,    0
  8230, 50308,19360219, -168,    0
  8230, 50308,19360220, -182,    0
  8230, 50308,19360221, -175,    0
  8230, 50308,19360222, -216,    0
  8230, 50308,19360223, -218,    0
  8230, 50308,19360224, -247,    0
  8230, 50308,19360225, -239,    0
  8230, 50308,19360226, -244,    0
  8230, 50308,19360227, -235,    0
  8230, 50308,19360228, -178,    0
  8230, 50308,19360229, -154,    0
  8230, 50308,19360301, -160,    0
  8230, 50308,19360302, -181,    0
  8230, 50308,19360303, -236,    0
  8230, 50308,19360304, -230,    0
  8230, 50308,19360305, -191,    0
  8230, 50308,19360306, -116,    0
  8230, 50308,19360307,  -72,    0
  8230, 50308,19360308,  -80,    0
  8230, 50308,19360309, -207,    0
  8230, 50308,19360310, -162,    0
  8230, 50308,19360311, -181,    0
  8230, 50308,19360312, -126,    0
  8230, 50308,19360313,  -81,    0
  8230, 50308,19360314, -101,    0
  8230, 50308,19360315, -155,    0
  8230, 50308,19360316, -142,    0
  8230, 50308,19360317,  -53,    0
  8230, 50308,19360318,  -99,    0
  8230, 50308,19360319, -120,    0
  8230, 50308,19360320,  -95,    0
  8230, 50308,19360321,  -64,    0
  8230, 50308,19360322,  -24,    0
  8230, 50308,19360323,    5,    0
  8230, 50308,19360324,  -66,    0
  8230, 50308,19360325,  -50,    0
  8230, 50308,19360326,  -29,    0
  8230, 50308,19360327,  -40,    0
  8230, 50308,19360328, -102,    0
  8230, 50308,19360329, -160,    0
  8230, 50308,19360330, -136,    0
  8230, 50308,19360331,  -63,    0
  8230, 50308,19360401,  -39,    0
  8230, 50308,19360402, -122,    0
  8230, 50308,19360403, -122,    0
  8230, 50308,19360404,  -84,    0
  8230, 50308,19360405,  -91,    0
  8230, 50308,19360406,  -55,    0
  8230, 50308,19360407,  -35,    0
  8230, 50308,19360408,  -20,    0
  8230, 50308,19360409,    6,    0
  8230, 50308,19360410,    6,    0
  8230, 50308,19360411,    2,    0
  8230, 50308,19360412,   25,    0
  8230, 50308,19360413,   20,    0
  8230, 50308,19360414,   26,    0
  8230, 50308,19360415,   -2,    0
  8230, 50308,19360416,    3,    0
  8230, 50308,19360417,  -19,    0
  8230, 50308,19360418,    6,    0
  8230, 50308,19360419,    3,    0
  8230, 50308,19360420,    2,    0
  8230, 50308,19360421,  -10,    0
  8230, 50308,19360422,  -82,    0
  8230, 50308,19360423,  -38,    0
  8230, 50308,19360424,  -18,    0
  8230, 50308,19360425,    9,    0
  8230, 50308,19360426,    8,    0
  8230, 50308,19360427,   15,    0
  8230, 50308,19360428,    1,    0
  8230, 50308,19360429,   -4,    0
  8230, 50308,19360430,  -12,    0
  8230, 50308,19360501,  -14,    0
  8230, 50308,19360502,   18,    0
  8230, 50308,19360503,   26,    0
  8230, 50308,19360504,   22,    0
  8230, 50308,19360505,   34,    0
  8230, 50308,19360506,   48,    0
  8230, 50308,19360507,   60,    0
  8230, 50308,19360508,   36,    0
  8230, 50308,19360509,   54,    0
  8230, 50308,19360510,   32,    0
  8230, 50308,19360511,    4,    0
  8230, 50308,19360512,   14,    0
  8230, 50308,19360513,   65,    0
  8230, 50308,19360514,   84,    0
  8230, 50308,19360515,  120,    0
  8230, 50308,19360516,  136,    0
  8230, 50308,19360517,   58,    0
  8230, 50308,19360518,    5,    0
  8230, 50308,19360519,   51,    0
  8230, 50308,19360520,   95,    0
  8230, 50308,19360521,   56,    0
  8230, 50308,19360522,   62,    0
  8230, 50308,19360523,  144,    0
  8230, 50308,19360524,  181,    0
  8230, 50308,19360525,  206,    0
  8230, 50308,19360526,  200,    0
  8230, 50308,19360527,  172,    0
  8230, 50308,19360528,   74,    0
  8230, 50308,19360529,   76,    0
  8230, 50308,19360530,  195,    0
  8230, 50308,19360531,  202,    0
  8230, 50308,19360601,  196,    0
  8230, 50308,19360602,  152,    0
  8230, 50308,19360603,  146,    0
  8230, 50308,19360604,   96,    0
  8230, 50308,19360605,   43,    0
  8230, 50308,19360606,   74,    0
  8230, 50308,19360607,  101,    0
  8230, 50308,19360608,   99,    0
  8230, 50308,19360609,  119,    0
  8230, 50308,19360610,  150,    0
  8230, 50308,19360611,  152,    0
  8230, 50308,19360612,  175,    0
  8230, 50308,19360613,  108,    0
  8230, 50308,19360614,  149,    0
  8230, 50308,19360615,  149,    0
  8230, 50308,19360616,   98,    0
  8230, 50308,19360617,  110,    0
  8230, 50308,19360618,  114,    0
  8230, 50308,19360619,  116,    0
  8230, 50308,19360620,  146,    0
  8230, 50308,19360621,  170,    0
  8230, 50308,19360622,  144,    0
  8230, 50308,19360623,  116,    0
  8230, 50308,19360624,  173,    0
  8230, 50308,19360625,  173,    0
  8230, 50308,19360626,  168,    0
  8230, 50308,19360627,  213,    0
  8230, 50308,19360628,  235,    0
  8230, 50308,19360629,  248,    0
  8230, 50308,19360630,  262,    0
  8230, 50308,19360701,  275,    0
  8230, 50308,19360702,  215,    0
  8230, 50308,19360703,  158,    0
  8230, 50308,19360704,  148,    0
  8230, 50308,19360705,  123,    0
  8230, 50308,19360706,  144,    0
  8230, 50308,19360707,  165,    0
  8230, 50308,19360708,  158,    0
  8230, 50308,19360709,  180,    0
  8230, 50308,19360710,  171,    0
  8230, 50308,19360711,  186,    0
  8230, 50308,19360712,  204,    0
  8230, 50308,19360713,  204,    0
  8230, 50308,19360714,  203,    0
  8230, 50308,19360715,  154,    0
  8230, 50308,19360716,  134,    0
  8230, 50308,19360717,  172,    0
  8230, 50308,19360718,  179,    0
  8230, 50308,19360719,  178,    0
  8230, 50308,19360720,  202,    0
  8230, 50308,19360721,  206,    0
  8230, 50308,19360722,  225,    0
  8230, 50308,19360723,  241,    0
  8230, 50308,19360724,  204,    0
  8230, 50308,19360725,  198,    0
  8230, 50308,19360726,  204,    0
  8230, 50308,19360727,  162,    0
  8230, 50308,19360728,  163,    0
  8230, 50308,19360729,  172,    0
  8230, 50308,19360730,  184,    0
  8230, 50308,19360731,  186,    0
  8230, 50308,19360801,  194,    0
  8230, 50308,19360802,  205,    0
  8230, 50308,19360803,  183,    0
  8230, 50308,19360804,  171,    0
  8230, 50308,19360805,  126,    0
  8230, 50308,19360806,  158,    0
  8230, 50308,19360807,  173,    0
  8230, 50308,19360808,  178,    0
  8230, 50308,19360809,  185,    0
  8230, 50308,19360810,  195,    0
  8230, 50308,19360811,  177,    0
  8230, 50308,19360812,  168,    0
  8230, 50308,19360813,  150,    0
  8230, 50308,19360814,  134,    0
  8230, 50308,19360815,  116,    0
  8230, 50308,19360816,  130,    0
  8230, 50308,19360817,  138,    0
  8230, 50308,19360818,   91,    0
  8230, 50308,19360819,   58,    0
  8230, 50308,19360820,   77,    0
