EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station TAJSHET, RUSSIAN FEDERATION (STAID: 8243)
Blended and updated with sources:50373 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  8243, 50373,19250101, -109,    0
  8243, 50373,19250102,  -90,    0
  8243, 50373,19250103, -113,    0
  8243, 50373,19250104, -151,    0
  8243, 50373,19250105, -175,    0
  8243, 50373,19250106, -173,    0
  8243, 50373,19250107, -185,    0
  8243, 50373,19250108, -168,    0
  8243, 50373,19250109,  -62,    0
  8243, 50373,19250110, -108,    0
  8243, 50373,19250111,  -73,    0
  8243, 50373,19250112,  -85,    0
  8243, 50373,19250113, -156,    0
  8243, 50373,19250114, -206,    0
  8243, 50373,19250115, -130,    0
  8243, 50373,19250116,  -88,    0
  8243, 50373,19250117, -123,    0
  8243, 50373,19250118, -161,    0
  8243, 50373,19250119,  -47,    0
  8243, 50373,19250120,  -43,    0
  8243, 50373,19250121,  -55,    0
  8243, 50373,19250122,  -67,    0
  8243, 50373,19250123, -162,    0
  8243, 50373,19250124, -162,    0
  8243, 50373,19250125, -136,    0
  8243, 50373,19250126,  -82,    0
  8243, 50373,19250127, -112,    0
  8243, 50373,19250128, -168,    0
  8243, 50373,19250129, -174,    0
  8243, 50373,19250130, -136,    0
  8243, 50373,19250131, -136,    0
  8243, 50373,19250201, -181,    0
  8243, 50373,19250202, -260,    0
  8243, 50373,19250203, -240,    0
  8243, 50373,19250204, -265,    0
  8243, 50373,19250205, -254,    0
  8243, 50373,19250206, -293,    0
  8243, 50373,19250207, -254,    0
  8243, 50373,19250208, -267,    0
  8243, 50373,19250209, -254,    0
  8243, 50373,19250210, -187,    0
  8243, 50373,19250211,  -73,    0
  8243, 50373,19250212,  -66,    0
  8243, 50373,19250213, -120,    0
  8243, 50373,19250214, -135,    0
  8243, 50373,19250215, -222,    0
  8243, 50373,19250216, -266,    0
  8243, 50373,19250217, -272,    0
  8243, 50373,19250218, -161,    0
  8243, 50373,19250219, -103,    0
  8243, 50373,19250220, -173,    0
  8243, 50373,19250221, -129,    0
  8243, 50373,19250222,  -38,    0
  8243, 50373,19250223,  -62,    0
  8243, 50373,19250224,  -56,    0
  8243, 50373,19250225, -121,    0
  8243, 50373,19250226, -193,    0
  8243, 50373,19250227, -177,    0
  8243, 50373,19250228, -147,    0
  8243, 50373,19250301, -132,    0
  8243, 50373,19250302, -218,    0
  8243, 50373,19250303, -248,    0
  8243, 50373,19250304, -194,    0
  8243, 50373,19250305, -129,    0
  8243, 50373,19250306,  -28,    0
  8243, 50373,19250307,  -87,    0
  8243, 50373,19250308,  -73,    0
  8243, 50373,19250309, -107,    0
  8243, 50373,19250310, -107,    0
  8243, 50373,19250311,  -29,    0
  8243, 50373,19250312,  -34,    0
  8243, 50373,19250313, -110,    0
  8243, 50373,19250314, -129,    0
  8243, 50373,19250315, -150,    0
  8243, 50373,19250316, -189,    0
  8243, 50373,19250317, -165,    0
  8243, 50373,19250318, -126,    0
  8243, 50373,19250319, -138,    0
  8243, 50373,19250320, -146,    0
  8243, 50373,19250321, -129,    0
  8243, 50373,19250322, -105,    0
  8243, 50373,19250323, -122,    0
  8243, 50373,19250324, -103,    0
  8243, 50373,19250325,  -97,    0
  8243, 50373,19250326,  -79,    0
  8243, 50373,19250327,  -71,    0
  8243, 50373,19250328,  -75,    0
  8243, 50373,19250329,  -30,    0
  8243, 50373,19250330,  -66,    0
  8243, 50373,19250331, -103,    0
  8243, 50373,19250401, -128,    0
  8243, 50373,19250402, -135,    0
  8243, 50373,19250403, -116,    0
  8243, 50373,19250404,  -81,    0
  8243, 50373,19250405,  -36,    0
  8243, 50373,19250406,  -20,    0
  8243, 50373,19250407,   27,    0
  8243, 50373,19250408,   29,    0
  8243, 50373,19250409,   54,    0
  8243, 50373,19250410,  -18,    0
  8243, 50373,19250411,   14,    0
  8243, 50373,19250412,   37,    0
  8243, 50373,19250413,   43,    0
  8243, 50373,19250414,  -31,    0
  8243, 50373,19250415,  -27,    0
  8243, 50373,19250416,    9,    0
  8243, 50373,19250417,  -63,    0
  8243, 50373,19250418,  -20,    0
  8243, 50373,19250419,   48,    0
  8243, 50373,19250420,   43,    0
  8243, 50373,19250421,   78,    0
  8243, 50373,19250422,   49,    0
  8243, 50373,19250423,   49,    0
  8243, 50373,19250424,   18,    0
  8243, 50373,19250425,  104,    0
  8243, 50373,19250426,  144,    0
  8243, 50373,19250427,   -1,    0
  8243, 50373,19250428,   27,    0
  8243, 50373,19250429,  -12,    0
  8243, 50373,19250430,    9,    0
  8243, 50373,19250501,    3,    0
  8243, 50373,19250502,   24,    0
  8243, 50373,19250503,   28,    0
  8243, 50373,19250504,   18,    0
  8243, 50373,19250505,   41,    0
  8243, 50373,19250506,   43,    0
  8243, 50373,19250507,   51,    0
  8243, 50373,19250508,   69,    0
  8243, 50373,19250509,   70,    0
  8243, 50373,19250510,   42,    0
  8243, 50373,19250511,    8,    0
  8243, 50373,19250512,   43,    0
  8243, 50373,19250513,   17,    0
  8243, 50373,19250514,   80,    0
  8243, 50373,19250515,  125,    0
  8243, 50373,19250516,  103,    0
  8243, 50373,19250517,   60,    0
  8243, 50373,19250518,   76,    0
  8243, 50373,19250519,  111,    0
  8243, 50373,19250520,  146,    0
  8243, 50373,19250521,   78,    0
  8243, 50373,19250522,  115,    0
  8243, 50373,19250523,   59,    0
  8243, 50373,19250524,  104,    0
  8243, 50373,19250525,  185,    0
  8243, 50373,19250526,  246,    0
  8243, 50373,19250527,  243,    0
  8243, 50373,19250528,   34,    0
  8243, 50373,19250529,   99,    0
  8243, 50373,19250530,  170,    0
  8243, 50373,19250531,  173,    0
  8243, 50373,19250601,  102,    0
  8243, 50373,19250602,   83,    0
  8243, 50373,19250603,   32,    0
  8243, 50373,19250604,   28,    0
  8243, 50373,19250605,   93,    0
  8243, 50373,19250606,  116,    0
  8243, 50373,19250607,  171,    0
  8243, 50373,19250608,  144,    0
  8243, 50373,19250609,   86,    0
  8243, 50373,19250610,   31,    0
  8243, 50373,19250611,   88,    0
  8243, 50373,19250612,  134,    0
  8243, 50373,19250613,  228,    0
  8243, 50373,19250614,  258,    0
  8243, 50373,19250615,  222,    0
  8243, 50373,19250616,  144,    0
  8243, 50373,19250617,  163,    0
  8243, 50373,19250618,  145,    0
  8243, 50373,19250619,  155,    0
  8243, 50373,19250620,  162,    0
  8243, 50373,19250621,  186,    0
  8243, 50373,19250622,  214,    0
  8243, 50373,19250623,  142,    0
  8243, 50373,19250624,  150,    0
  8243, 50373,19250625,  143,    0
  8243, 50373,19250626,  186,    0
  8243, 50373,19250627,  125,    0
  8243, 50373,19250628,  131,    0
  8243, 50373,19250629,  123,    0
  8243, 50373,19250630,  128,    0
  8243, 50373,19250701,  152,    0
  8243, 50373,19250702,  192,    0
  8243, 50373,19250703,  106,    0
  8243, 50373,19250704,  107,    0
  8243, 50373,19250705,  121,    0
  8243, 50373,19250706,  176,    0
  8243, 50373,19250707,  131,    0
  8243, 50373,19250708,  172,    0
  8243, 50373,19250709,  171,    0
  8243, 50373,19250710,  182,    0
  8243, 50373,19250711,  190,    0
  8243, 50373,19250712,  216,    0
  8243, 50373,19250713,  135,    0
  8243, 50373,19250714,  182,    0
  8243, 50373,19250715,  214,    0
  8243, 50373,19250716,  176,    0
  8243, 50373,19250717,  166,    0
  8243, 50373,19250718,  180,    0
  8243, 50373,19250719,  166,    0
  8243, 50373,19250720,  211,    0
  8243, 50373,19250721,  207,    0
  8243, 50373,19250722,  207,    0
  8243, 50373,19250723,  180,    0
  8243, 50373,19250724,  165,    0
  8243, 50373,19250725,  176,    0
  8243, 50373,19250726,  182,    0
  8243, 50373,19250727,  178,    0
  8243, 50373,19250728,  190,    0
  8243, 50373,19250729,  160,    0
  8243, 50373,19250730,  167,    0
  8243, 50373,19250731,  170,    0
  8243, 50373,19250801,  103,    0
  8243, 50373,19250802,  149,    0
  8243, 50373,19250803,  191,    0
  8243, 50373,19250804,  181,    0
  8243, 50373,19250805,  205,    0
  8243, 50373,19250806,  185,    0
  8243, 50373,19250807,  207,    0
  8243, 50373,19250808,  221,    0
  8243, 50373,19250809,  226,    0
  8243, 50373,19250810,  219,    0
  8243, 50373,19250811,  195,    0
  8243, 50373,19250812,  204,    0
  8243, 50373,19250813,  183,    0
  8243, 50373,19250814,  142,    0
  8243, 50373,19250815,  151,    0
  8243, 50373,19250816,  158,    0
  8243, 50373,19250817,  128,    0
  8243, 50373,19250818,  158,    0
  8243, 50373,19250819,  101,    0
  8243, 50373,19250820,   99,    0
  8243, 50373,19250821,   86,    0
  8243, 50373,19250822,  100,    0
  8243, 50373,19250823,  120,    0
  8243, 50373,19250824,  141,    0
  8243, 50373,19250825,  152,    0
  8243, 50373,19250826,  177,    0
  8243, 50373,19250827,  204,    0
  8243, 50373,19250828,  200,    0
  8243, 50373,19250829,  224,    0
  8243, 50373,19250830,  178,    0
  8243, 50373,19250831,  136,    0
  8243, 50373,19250901,  123,    0
  8243, 50373,19250902,  111,    0
  8243, 50373,19250903,  114,    0
  8243, 50373,19250904,  126,    0
  8243, 50373,19250905,  115,    0
  8243, 50373,19250906,  103,    0
  8243, 50373,19250907,   92,    0
  8243, 50373,19250908,   98,    0
  8243, 50373,19250909,  122,    0
  8243, 50373,19250910,  125,    0
  8243, 50373,19250911,   98,    0
  8243, 50373,19250912,  106,    0
  8243, 50373,19250913,  157,    0
  8243, 50373,19250914,   96,    0
  8243, 50373,19250915,  105,    0
  8243, 50373,19250916,  121,    0
  8243, 50373,19250917,  155,    0
  8243, 50373,19250918,  102,    0
  8243, 50373,19250919,  104,    0
  8243, 50373,19250920,   68,    0
  8243, 50373,19250921,   47,    0
