EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KEMEROVO, RUSSIAN FEDERATION (STAID: 8253)
Blended and updated with sources:50423 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  8253, 50423,19550101, -310,    0
  8253, 50423,19550102, -238,    0
  8253, 50423,19550103, -187,    0
  8253, 50423,19550104, -133,    0
  8253, 50423,19550105, -168,    0
  8253, 50423,19550106, -168,    0
  8253, 50423,19550107, -186,    0
  8253, 50423,19550108, -170,    0
  8253, 50423,19550109,  -67,    0
  8253, 50423,19550110, -104,    0
  8253, 50423,19550111, -140,    0
  8253, 50423,19550112, -152,    0
  8253, 50423,19550113, -112,    0
  8253, 50423,19550114, -124,    0
  8253, 50423,19550115, -164,    0
  8253, 50423,19550116, -148,    0
  8253, 50423,19550117, -150,    0
  8253, 50423,19550118, -127,    0
  8253, 50423,19550119, -102,    0
  8253, 50423,19550120, -202,    0
  8253, 50423,19550121, -216,    0
  8253, 50423,19550122, -197,    0
  8253, 50423,19550123, -154,    0
  8253, 50423,19550124, -148,    0
  8253, 50423,19550125, -142,    0
  8253, 50423,19550126, -164,    0
  8253, 50423,19550127, -119,    0
  8253, 50423,19550128, -128,    0
  8253, 50423,19550129,  -70,    0
  8253, 50423,19550130,  -67,    0
  8253, 50423,19550131, -101,    0
  8253, 50423,19550201, -121,    0
  8253, 50423,19550202, -106,    0
  8253, 50423,19550203,  -92,    0
  8253, 50423,19550204, -200,    0
  8253, 50423,19550205, -227,    0
  8253, 50423,19550206, -268,    0
  8253, 50423,19550207, -271,    0
  8253, 50423,19550208, -284,    0
  8253, 50423,19550209, -259,    0
  8253, 50423,19550210, -172,    0
  8253, 50423,19550211, -138,    0
  8253, 50423,19550212,  -90,    0
  8253, 50423,19550213,  -96,    0
  8253, 50423,19550214,  -44,    0
  8253, 50423,19550215, -128,    0
  8253, 50423,19550216, -272,    0
  8253, 50423,19550217, -239,    0
  8253, 50423,19550218, -153,    0
  8253, 50423,19550219,  -62,    0
  8253, 50423,19550220,  -89,    0
  8253, 50423,19550221,  -44,    0
  8253, 50423,19550222,  -43,    0
  8253, 50423,19550223,  -44,    0
  8253, 50423,19550224, -133,    0
  8253, 50423,19550225, -261,    0
  8253, 50423,19550226, -294,    0
  8253, 50423,19550227, -294,    0
  8253, 50423,19550228, -286,    0
  8253, 50423,19550301, -231,    0
  8253, 50423,19550302, -134,    0
  8253, 50423,19550303, -181,    0
  8253, 50423,19550304, -173,    0
  8253, 50423,19550305, -200,    0
  8253, 50423,19550306, -199,    0
  8253, 50423,19550307, -210,    0
  8253, 50423,19550308, -231,    0
  8253, 50423,19550309, -207,    0
  8253, 50423,19550310, -216,    0
  8253, 50423,19550311, -188,    0
  8253, 50423,19550312, -109,    0
  8253, 50423,19550313,  -69,    0
  8253, 50423,19550314,  -55,    0
  8253, 50423,19550315,  -62,    0
  8253, 50423,19550316, -137,    0
  8253, 50423,19550317, -122,    0
  8253, 50423,19550318, -102,    0
  8253, 50423,19550319, -115,    0
  8253, 50423,19550320, -133,    0
  8253, 50423,19550321, -130,    0
  8253, 50423,19550322,  -75,    0
  8253, 50423,19550323,  -71,    0
  8253, 50423,19550324,  -78,    0
  8253, 50423,19550325,  -38,    0
  8253, 50423,19550326,  -45,    0
  8253, 50423,19550327,  -76,    0
  8253, 50423,19550328,  -39,    0
  8253, 50423,19550329,    7,    0
  8253, 50423,19550330,   23,    0
  8253, 50423,19550331,   18,    0
  8253, 50423,19550401,   32,    0
  8253, 50423,19550402,   40,    0
  8253, 50423,19550403,   26,    0
  8253, 50423,19550404,    1,    0
  8253, 50423,19550405,  -29,    0
  8253, 50423,19550406,  -38,    0
  8253, 50423,19550407,  -31,    0
  8253, 50423,19550408,  -17,    0
  8253, 50423,19550409,    8,    0
  8253, 50423,19550410,  -44,    0
  8253, 50423,19550411,  -27,    0
  8253, 50423,19550412,  -38,    0
  8253, 50423,19550413,  -50,    0
  8253, 50423,19550414,  -42,    0
  8253, 50423,19550415,  -34,    0
  8253, 50423,19550416,  -13,    0
  8253, 50423,19550417,    2,    0
  8253, 50423,19550418,   15,    0
  8253, 50423,19550419,   21,    0
  8253, 50423,19550420,   14,    0
  8253, 50423,19550421,   24,    0
  8253, 50423,19550422,   43,    0
  8253, 50423,19550423,   53,    0
  8253, 50423,19550424,   76,    0
  8253, 50423,19550425,   74,    0
  8253, 50423,19550426,   99,    0
  8253, 50423,19550427,   69,    0
  8253, 50423,19550428,   70,    0
