EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BIJSK ZONAL'NAYA, RUSSIAN FEDERATION (STAID: 8289)
Blended and updated with sources:50603 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  8289, 50603,19360101, -110,    0
  8289, 50603,19360102,  -88,    0
  8289, 50603,19360103, -104,    0
  8289, 50603,19360104,  -88,    0
  8289, 50603,19360105,  -80,    0
  8289, 50603,19360106, -144,    0
  8289, 50603,19360107, -160,    0
  8289, 50603,19360108, -135,    0
  8289, 50603,19360109, -132,    0
  8289, 50603,19360110, -176,    0
  8289, 50603,19360111, -142,    0
  8289, 50603,19360112, -162,    0
  8289, 50603,19360113, -233,    0
  8289, 50603,19360114, -271,    0
  8289, 50603,19360115, -244,    0
  8289, 50603,19360116, -267,    0
  8289, 50603,19360117, -269,    0
  8289, 50603,19360118, -239,    0
  8289, 50603,19360119, -208,    0
  8289, 50603,19360120, -207,    0
  8289, 50603,19360121, -190,    0
  8289, 50603,19360122, -207,    0
  8289, 50603,19360123, -129,    0
  8289, 50603,19360124, -123,    0
  8289, 50603,19360125,  -74,    0
  8289, 50603,19360126, -178,    0
  8289, 50603,19360127, -268,    0
  8289, 50603,19360128, -171,    0
  8289, 50603,19360129,  -96,    0
  8289, 50603,19360130, -147,    0
  8289, 50603,19360131,  -74,    0
  8289, 50603,19360201,   10,    0
  8289, 50603,19360202,  -21,    0
  8289, 50603,19360203, -152,    0
  8289, 50603,19360204, -262,    0
  8289, 50603,19360205, -205,    0
  8289, 50603,19360206,  -93,    0
  8289, 50603,19360207,  -93,    0
  8289, 50603,19360208, -122,    0
  8289, 50603,19360209, -132,    0
  8289, 50603,19360210,  -27,    0
  8289, 50603,19360211,  -79,    0
  8289, 50603,19360212,  -94,    0
  8289, 50603,19360213,  -87,    0
