EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ERSHOVO, RUSSIAN FEDERATION (STAID: 8303)
Blended and updated with sources:50673 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  8303, 50673,19730101, -210,    0
  8303, 50673,19730102, -194,    0
  8303, 50673,19730103, -234,    0
  8303, 50673,19730104, -249,    0
  8303, 50673,19730105, -198,    0
  8303, 50673,19730106,  -92,    0
  8303, 50673,19730107, -150,    0
  8303, 50673,19730108, -194,    0
  8303, 50673,19730109, -167,    0
  8303, 50673,19730110, -109,    0
  8303, 50673,19730111, -204,    0
  8303, 50673,19730112, -152,    0
  8303, 50673,19730113, -163,    0
  8303, 50673,19730114, -208,    0
  8303, 50673,19730115, -170,    0
  8303, 50673,19730116, -214,    0
  8303, 50673,19730117, -189,    0
  8303, 50673,19730118, -170,    0
  8303, 50673,19730119, -143,    0
  8303, 50673,19730120, -119,    0
  8303, 50673,19730121, -145,    0
  8303, 50673,19730122, -189,    0
  8303, 50673,19730123, -144,    0
  8303, 50673,19730124, -129,    0
  8303, 50673,19730125, -129,    0
  8303, 50673,19730126, -174,    0
  8303, 50673,19730127, -212,    0
  8303, 50673,19730128, -221,    0
  8303, 50673,19730129, -170,    0
  8303, 50673,19730130, -290,    0
  8303, 50673,19730131, -326,    0
  8303, 50673,19730201, -305,    0
  8303, 50673,19730202, -228,    0
  8303, 50673,19730203, -215,    0
  8303, 50673,19730204, -277,    0
  8303, 50673,19730205, -287,    0
