EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station XOMUTOVO, RUSSIAN FEDERATION (STAID: 8354)
Blended and updated with sources:50928 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  8354, 50928,19590101, -334,    0
  8354, 50928,19590102, -278,    0
  8354, 50928,19590103, -375,    0
  8354, 50928,19590104, -314,    0
  8354, 50928,19590105, -305,    0
  8354, 50928,19590106, -326,    0
  8354, 50928,19590107, -256,    0
  8354, 50928,19590108, -251,    0
  8354, 50928,19590109, -222,    0
  8354, 50928,19590110,  -99,    0
  8354, 50928,19590111, -122,    0
  8354, 50928,19590112, -164,    0
  8354, 50928,19590113, -146,    0
  8354, 50928,19590114, -191,    0
  8354, 50928,19590115, -220,    0
  8354, 50928,19590116, -190,    0
  8354, 50928,19590117, -264,    0
  8354, 50928,19590118, -238,    0
  8354, 50928,19590119, -260,    0
  8354, 50928,19590120, -258,    0
  8354, 50928,19590121, -156,    0
  8354, 50928,19590122, -142,    0
  8354, 50928,19590123, -108,    0
  8354, 50928,19590124, -209,    0
  8354, 50928,19590125, -222,    0
  8354, 50928,19590126, -169,    0
  8354, 50928,19590127, -144,    0
  8354, 50928,19590128, -209,    0
  8354, 50928,19590129, -195,    0
  8354, 50928,19590130, -184,    0
  8354, 50928,19590131, -193,    0
  8354, 50928,19590201, -151,    0
  8354, 50928,19590202, -197,    0
  8354, 50928,19590203, -172,    0
  8354, 50928,19590204, -162,    0
  8354, 50928,19590205, -240,    0
  8354, 50928,19590206, -226,    0
  8354, 50928,19590207, -226,    0
  8354, 50928,19590208, -244,    0
  8354, 50928,19590209, -213,    0
  8354, 50928,19590210, -158,    0
  8354, 50928,19590211, -164,    0
  8354, 50928,19590212, -225,    0
  8354, 50928,19590213, -229,    0
  8354, 50928,19590214, -182,    0
  8354, 50928,19590215, -234,    0
  8354, 50928,19590216, -204,    0
  8354, 50928,19590217, -206,    0
  8354, 50928,19590218, -207,    0
  8354, 50928,19590219, -242,    0
  8354, 50928,19590220, -208,    0
  8354, 50928,19590221, -206,    0
  8354, 50928,19590222, -209,    0
  8354, 50928,19590223, -229,    0
  8354, 50928,19590224, -218,    0
  8354, 50928,19590225, -219,    0
  8354, 50928,19590226, -201,    0
  8354, 50928,19590227, -180,    0
  8354, 50928,19590228, -162,    0
  8354, 50928,19590301, -186,    0
  8354, 50928,19590302, -168,    0
  8354, 50928,19590303, -132,    0
  8354, 50928,19590304, -103,    0
  8354, 50928,19590305, -158,    0
  8354, 50928,19590306, -142,    0
  8354, 50928,19590307, -154,    0
  8354, 50928,19590308, -100,    0
  8354, 50928,19590309,  -79,    0
  8354, 50928,19590310, -119,    0
  8354, 50928,19590311, -136,    0
  8354, 50928,19590312, -106,    0
  8354, 50928,19590313,  -94,    0
  8354, 50928,19590314,  -48,    0
  8354, 50928,19590315,  -58,    0
  8354, 50928,19590316,  -47,    0
  8354, 50928,19590317,  -15,    0
  8354, 50928,19590318,  -25,    0
  8354, 50928,19590319,  -30,    0
  8354, 50928,19590320,  -56,    0
  8354, 50928,19590321,  -89,    0
  8354, 50928,19590322,  -86,    0
  8354, 50928,19590323,  -41,    0
  8354, 50928,19590324,  -18,    0
  8354, 50928,19590325,  -25,    0
  8354, 50928,19590326,   -3,    0
  8354, 50928,19590327,  -48,    0
  8354, 50928,19590328,  -43,    0
  8354, 50928,19590329,  -26,    0
  8354, 50928,19590330,    3,    0
  8354, 50928,19590331,   23,    0
  8354, 50928,19590401,   28,    0
  8354, 50928,19590402,  -24,    0
  8354, 50928,19590403,  -29,    0
  8354, 50928,19590404,   15,    0
  8354, 50928,19590405,   28,    0
  8354, 50928,19590406,   38,    0
  8354, 50928,19590407,   13,    0
  8354, 50928,19590408,  -12,    0
  8354, 50928,19590409,   -8,    0
  8354, 50928,19590410,   25,    0
  8354, 50928,19590411,    4,    0
  8354, 50928,19590412,    1,    0
  8354, 50928,19590413,    1,    0
  8354, 50928,19590414,    5,    0
  8354, 50928,19590415,   -4,    0
  8354, 50928,19590416,   66,    0
  8354, 50928,19590417,   60,    0
  8354, 50928,19590418,    3,    0
  8354, 50928,19590419,  -39,    0
  8354, 50928,19590420,  -36,    0
  8354, 50928,19590421,   22,    0
  8354, 50928,19590422,   41,    0
  8354, 50928,19590423,   32,    0
