EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station TUNKA, RUSSIAN FEDERATION (STAID: 8369)
Blended and updated with sources:51003 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  8369, 51003,19320101, -175,    0
  8369, 51003,19320102, -169,    0
  8369, 51003,19320103, -147,    0
  8369, 51003,19320104, -224,    0
  8369, 51003,19320105, -234,    0
  8369, 51003,19320106, -264,    0
  8369, 51003,19320107, -241,    0
  8369, 51003,19320108, -252,    0
  8369, 51003,19320109, -283,    0
  8369, 51003,19320110, -243,    0
  8369, 51003,19320111, -233,    0
  8369, 51003,19320112, -240,    0
  8369, 51003,19320113, -206,    0
  8369, 51003,19320114, -254,    0
  8369, 51003,19320115, -271,    0
  8369, 51003,19320116, -265,    0
  8369, 51003,19320117, -284,    0
  8369, 51003,19320118, -250,    0
  8369, 51003,19320119, -242,    0
  8369, 51003,19320120, -255,    0
  8369, 51003,19320121, -262,    0
  8369, 51003,19320122, -244,    0
  8369, 51003,19320123, -196,    0
  8369, 51003,19320124, -241,    0
  8369, 51003,19320125, -268,    0
  8369, 51003,19320126, -278,    0
  8369, 51003,19320127, -240,    0
  8369, 51003,19320128, -232,    0
  8369, 51003,19320129, -250,    0
  8369, 51003,19320130, -245,    0
  8369, 51003,19320131, -196,    0
  8369, 51003,19320201, -255,    0
  8369, 51003,19320202, -241,    0
  8369, 51003,19320203, -236,    0
  8369, 51003,19320204, -249,    0
  8369, 51003,19320205, -210,    0
  8369, 51003,19320206, -234,    0
  8369, 51003,19320207, -246,    0
  8369, 51003,19320208, -262,    0
  8369, 51003,19320209, -259,    0
  8369, 51003,19320210, -217,    0
  8369, 51003,19320211, -204,    0
  8369, 51003,19320212, -236,    0
  8369, 51003,19320213, -201,    0
  8369, 51003,19320214, -230,    0
  8369, 51003,19320215, -232,    0
  8369, 51003,19320216, -249,    0
  8369, 51003,19320217, -263,    0
  8369, 51003,19320218, -259,    0
  8369, 51003,19320219, -246,    0
  8369, 51003,19320220, -223,    0
  8369, 51003,19320221, -245,    0
  8369, 51003,19320222, -240,    0
  8369, 51003,19320223, -246,    0
  8369, 51003,19320224, -192,    0
  8369, 51003,19320225, -192,    0
  8369, 51003,19320226, -202,    0
  8369, 51003,19320227, -197,    0
  8369, 51003,19320228, -192,    0
  8369, 51003,19320229, -167,    0
  8369, 51003,19320301, -141,    0
  8369, 51003,19320302, -150,    0
  8369, 51003,19320303, -152,    0
  8369, 51003,19320304, -137,    0
  8369, 51003,19320305, -119,    0
  8369, 51003,19320306, -126,    0
  8369, 51003,19320307,  -79,    0
  8369, 51003,19320308, -152,    0
  8369, 51003,19320309, -149,    0
  8369, 51003,19320310, -206,    0
  8369, 51003,19320311, -228,    0
  8369, 51003,19320312, -230,    0
  8369, 51003,19320313, -236,    0
  8369, 51003,19320314, -235,    0
  8369, 51003,19320315, -190,    0
  8369, 51003,19320316, -157,    0
  8369, 51003,19320317, -167,    0
  8369, 51003,19320318, -164,    0
  8369, 51003,19320319, -162,    0
  8369, 51003,19320320, -155,    0
  8369, 51003,19320321, -131,    0
  8369, 51003,19320322, -110,    0
  8369, 51003,19320323, -109,    0
  8369, 51003,19320324, -112,    0
  8369, 51003,19320325, -105,    0
  8369, 51003,19320326, -126,    0
  8369, 51003,19320327, -132,    0
  8369, 51003,19320328, -141,    0
