EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BOGORODSKOE, RUSSIAN FEDERATION (STAID: 8423)
Blended and updated with sources:51273 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  8423, 51273,19360101, -294,    0
  8423, 51273,19360102, -299,    0
  8423, 51273,19360103, -346,    0
  8423, 51273,19360104, -310,    0
  8423, 51273,19360105, -210,    0
  8423, 51273,19360106, -153,    0
  8423, 51273,19360107, -229,    0
  8423, 51273,19360108, -298,    0
  8423, 51273,19360109, -316,    0
  8423, 51273,19360110, -300,    0
  8423, 51273,19360111,-9999,    9
  8423, 51273,19360112, -251,    0
  8423, 51273,19360113, -244,    0
  8423, 51273,19360114, -186,    0
  8423, 51273,19360115, -165,    0
  8423, 51273,19360116, -165,    0
  8423, 51273,19360117, -122,    0
  8423, 51273,19360118,-9999,    9
  8423, 51273,19360119, -143,    0
  8423, 51273,19360120,  -76,    0
  8423, 51273,19360121, -137,    0
  8423, 51273,19360122, -155,    0
  8423, 51273,19360123, -193,    0
  8423, 51273,19360124, -243,    0
  8423, 51273,19360125,-9999,    9
  8423, 51273,19360126, -272,    0
  8423, 51273,19360127, -212,    0
  8423, 51273,19360128, -196,    0
  8423, 51273,19360129, -180,    0
  8423, 51273,19360130, -181,    0
  8423, 51273,19360131, -154,    0
  8423, 51273,19360201, -114,    0
  8423, 51273,19360202, -171,    0
  8423, 51273,19360203, -193,    0
  8423, 51273,19360204,-9999,    9
  8423, 51273,19360205, -124,    0
  8423, 51273,19360206, -118,    0
  8423, 51273,19360207, -152,    0
  8423, 51273,19360208, -156,    0
  8423, 51273,19360209, -125,    0
  8423, 51273,19360210, -138,    0
  8423, 51273,19360211, -157,    0
  8423, 51273,19360212, -143,    0
  8423, 51273,19360213,  -91,    0
  8423, 51273,19360214, -108,    0
