EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station MEL'NICHNOE, RUSSIAN FEDERATION (STAID: 8464)
Blended and updated with sources:51478 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  8464, 51478,19360101,-9999,    9
  8464, 51478,19360102, -305,    0
  8464, 51478,19360103, -294,    0
  8464, 51478,19360104, -284,    0
  8464, 51478,19360105, -274,    0
  8464, 51478,19360106, -288,    0
  8464, 51478,19360107, -249,    0
  8464, 51478,19360108, -242,    0
  8464, 51478,19360109, -255,    0
  8464, 51478,19360110, -297,    0
  8464, 51478,19360111, -276,    0
  8464, 51478,19360112, -221,    0
  8464, 51478,19360113, -178,    0
  8464, 51478,19360114,-9999,    9
  8464, 51478,19360115, -220,    0
  8464, 51478,19360116, -232,    0
  8464, 51478,19360117, -222,    0
  8464, 51478,19360118, -197,    0
  8464, 51478,19360119, -213,    0
  8464, 51478,19360120, -213,    0
  8464, 51478,19360121, -183,    0
  8464, 51478,19360122, -178,    0
  8464, 51478,19360123, -191,    0
  8464, 51478,19360124, -287,    0
  8464, 51478,19360125, -260,    0
  8464, 51478,19360126, -193,    0
  8464, 51478,19360127, -217,    0
  8464, 51478,19360128, -205,    0
  8464, 51478,19360129, -216,    0
  8464, 51478,19360130, -223,    0
  8464, 51478,19360131, -241,    0
  8464, 51478,19360201,-9999,    9
  8464, 51478,19360202,-9999,    9
  8464, 51478,19360203,-9999,    9
  8464, 51478,19360204,-9999,    9
  8464, 51478,19360205,-9999,    9
  8464, 51478,19360206,-9999,    9
  8464, 51478,19360207,-9999,    9
  8464, 51478,19360208,-9999,    9
  8464, 51478,19360209,-9999,    9
  8464, 51478,19360210,-9999,    9
  8464, 51478,19360211,-9999,    9
  8464, 51478,19360212,-9999,    9
  8464, 51478,19360213,-9999,    9
  8464, 51478,19360214,-9999,    9
  8464, 51478,19360215,-9999,    9
  8464, 51478,19360216,-9999,    9
  8464, 51478,19360217,-9999,    9
  8464, 51478,19360218,-9999,    9
  8464, 51478,19360219,-9999,    9
  8464, 51478,19360220,-9999,    9
  8464, 51478,19360221,-9999,    9
  8464, 51478,19360222,-9999,    9
  8464, 51478,19360223,-9999,    9
  8464, 51478,19360224,-9999,    9
  8464, 51478,19360225,-9999,    9
  8464, 51478,19360226,-9999,    9
  8464, 51478,19360227,-9999,    9
  8464, 51478,19360228,-9999,    9
  8464, 51478,19360229,-9999,    9
  8464, 51478,19360301, -156,    0
  8464, 51478,19360302, -198,    0
  8464, 51478,19360303, -168,    0
  8464, 51478,19360304, -114,    0
  8464, 51478,19360305, -116,    0
  8464, 51478,19360306, -130,    0
  8464, 51478,19360307, -136,    0
