EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station DOMBAROVSKIJ, RUSSIAN FEDERATION (STAID: 8528)
Blended and updated with sources:52178 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  8528, 52178,19590101,-9999,    9
  8528, 52178,19590102,-9999,    9
  8528, 52178,19590103,-9999,    9
  8528, 52178,19590104,-9999,    9
  8528, 52178,19590105,-9999,    9
  8528, 52178,19590106,-9999,    9
  8528, 52178,19590107,-9999,    9
  8528, 52178,19590108,-9999,    9
  8528, 52178,19590109,-9999,    9
  8528, 52178,19590110,-9999,    9
  8528, 52178,19590111,-9999,    9
  8528, 52178,19590112,-9999,    9
  8528, 52178,19590113,-9999,    9
  8528, 52178,19590114,-9999,    9
  8528, 52178,19590115,-9999,    9
  8528, 52178,19590116,-9999,    9
  8528, 52178,19590117,-9999,    9
  8528, 52178,19590118,-9999,    9
  8528, 52178,19590119,-9999,    9
  8528, 52178,19590120,-9999,    9
  8528, 52178,19590121,-9999,    9
  8528, 52178,19590122,-9999,    9
  8528, 52178,19590123,-9999,    9
  8528, 52178,19590124,-9999,    9
  8528, 52178,19590125,-9999,    9
  8528, 52178,19590126,-9999,    9
  8528, 52178,19590127,-9999,    9
  8528, 52178,19590128,-9999,    9
  8528, 52178,19590129,-9999,    9
  8528, 52178,19590130,-9999,    9
  8528, 52178,19590131,-9999,    9
  8528, 52178,19590201,-9999,    9
  8528, 52178,19590202,-9999,    9
  8528, 52178,19590203,-9999,    9
  8528, 52178,19590204,-9999,    9
  8528, 52178,19590205,-9999,    9
  8528, 52178,19590206,-9999,    9
  8528, 52178,19590207,-9999,    9
  8528, 52178,19590208,-9999,    9
  8528, 52178,19590209,-9999,    9
  8528, 52178,19590210,-9999,    9
  8528, 52178,19590211,-9999,    9
  8528, 52178,19590212,-9999,    9
  8528, 52178,19590213,-9999,    9
  8528, 52178,19590214,-9999,    9
  8528, 52178,19590215,-9999,    9
  8528, 52178,19590216,-9999,    9
  8528, 52178,19590217,-9999,    9
  8528, 52178,19590218,-9999,    9
  8528, 52178,19590219,-9999,    9
  8528, 52178,19590220,-9999,    9
  8528, 52178,19590221,-9999,    9
  8528, 52178,19590222,-9999,    9
  8528, 52178,19590223,-9999,    9
  8528, 52178,19590224,-9999,    9
  8528, 52178,19590225,-9999,    9
  8528, 52178,19590226,-9999,    9
  8528, 52178,19590227,-9999,    9
  8528, 52178,19590228,-9999,    9
  8528, 52178,19590301,-9999,    9
  8528, 52178,19590302,-9999,    9
  8528, 52178,19590303,-9999,    9
  8528, 52178,19590304,-9999,    9
  8528, 52178,19590305,-9999,    9
  8528, 52178,19590306,-9999,    9
  8528, 52178,19590307,-9999,    9
  8528, 52178,19590308,-9999,    9
  8528, 52178,19590309,-9999,    9
  8528, 52178,19590310,-9999,    9
  8528, 52178,19590311,-9999,    9
  8528, 52178,19590312,-9999,    9
  8528, 52178,19590313,-9999,    9
  8528, 52178,19590314,-9999,    9
  8528, 52178,19590315,-9999,    9
  8528, 52178,19590316,-9999,    9
  8528, 52178,19590317,-9999,    9
  8528, 52178,19590318,-9999,    9
  8528, 52178,19590319,-9999,    9
  8528, 52178,19590320,-9999,    9
  8528, 52178,19590321,-9999,    9
  8528, 52178,19590322,-9999,    9
  8528, 52178,19590323,-9999,    9
  8528, 52178,19590324,-9999,    9
  8528, 52178,19590325,-9999,    9
  8528, 52178,19590326,-9999,    9
  8528, 52178,19590327,-9999,    9
  8528, 52178,19590328,-9999,    9
  8528, 52178,19590329,-9999,    9
  8528, 52178,19590330,-9999,    9
  8528, 52178,19590331,-9999,    9
  8528, 52178,19590401,-9999,    9
  8528, 52178,19590402,-9999,    9
  8528, 52178,19590403,-9999,    9
  8528, 52178,19590404,-9999,    9
  8528, 52178,19590405,-9999,    9
  8528, 52178,19590406,-9999,    9
  8528, 52178,19590407,-9999,    9
  8528, 52178,19590408,-9999,    9
  8528, 52178,19590409,-9999,    9
  8528, 52178,19590410,-9999,    9
  8528, 52178,19590411,-9999,    9
  8528, 52178,19590412,-9999,    9
  8528, 52178,19590413,-9999,    9
  8528, 52178,19590414,-9999,    9
  8528, 52178,19590415,-9999,    9
  8528, 52178,19590416,-9999,    9
  8528, 52178,19590417,-9999,    9
  8528, 52178,19590418,-9999,    9
  8528, 52178,19590419,-9999,    9
  8528, 52178,19590420,-9999,    9
  8528, 52178,19590421,-9999,    9
  8528, 52178,19590422,-9999,    9
  8528, 52178,19590423,-9999,    9
  8528, 52178,19590424,-9999,    9
  8528, 52178,19590425,-9999,    9
  8528, 52178,19590426,-9999,    9
  8528, 52178,19590427,-9999,    9
  8528, 52178,19590428,-9999,    9
  8528, 52178,19590429,-9999,    9
  8528, 52178,19590430,-9999,    9
  8528, 52178,19590501,-9999,    9
  8528, 52178,19590502,-9999,    9
  8528, 52178,19590503,-9999,    9
  8528, 52178,19590504,-9999,    9
  8528, 52178,19590505,-9999,    9
  8528, 52178,19590506,-9999,    9
  8528, 52178,19590507,-9999,    9
  8528, 52178,19590508,-9999,    9
  8528, 52178,19590509,-9999,    9
  8528, 52178,19590510,-9999,    9
  8528, 52178,19590511,-9999,    9
  8528, 52178,19590512,-9999,    9
  8528, 52178,19590513,-9999,    9
  8528, 52178,19590514,-9999,    9
  8528, 52178,19590515,-9999,    9
  8528, 52178,19590516,-9999,    9
  8528, 52178,19590517,-9999,    9
  8528, 52178,19590518,-9999,    9
  8528, 52178,19590519,-9999,    9
  8528, 52178,19590520,-9999,    9
  8528, 52178,19590521,-9999,    9
  8528, 52178,19590522,-9999,    9
  8528, 52178,19590523,-9999,    9
  8528, 52178,19590524,-9999,    9
  8528, 52178,19590525,-9999,    9
  8528, 52178,19590526,-9999,    9
  8528, 52178,19590527,-9999,    9
  8528, 52178,19590528,-9999,    9
  8528, 52178,19590529,-9999,    9
  8528, 52178,19590530,-9999,    9
  8528, 52178,19590531,-9999,    9
  8528, 52178,19590601,-9999,    9
  8528, 52178,19590602,-9999,    9
  8528, 52178,19590603,-9999,    9
  8528, 52178,19590604,-9999,    9
  8528, 52178,19590605,-9999,    9
  8528, 52178,19590606,-9999,    9
  8528, 52178,19590607,-9999,    9
  8528, 52178,19590608,-9999,    9
  8528, 52178,19590609,-9999,    9
  8528, 52178,19590610,-9999,    9
  8528, 52178,19590611,-9999,    9
  8528, 52178,19590612,-9999,    9
  8528, 52178,19590613,-9999,    9
  8528, 52178,19590614,-9999,    9
  8528, 52178,19590615,-9999,    9
  8528, 52178,19590616,-9999,    9
  8528, 52178,19590617,-9999,    9
  8528, 52178,19590618,-9999,    9
  8528, 52178,19590619,-9999,    9
  8528, 52178,19590620,-9999,    9
  8528, 52178,19590621,-9999,    9
  8528, 52178,19590622,-9999,    9
  8528, 52178,19590623,-9999,    9
  8528, 52178,19590624,-9999,    9
  8528, 52178,19590625,-9999,    9
  8528, 52178,19590626,-9999,    9
  8528, 52178,19590627,-9999,    9
  8528, 52178,19590628,-9999,    9
  8528, 52178,19590629,-9999,    9
  8528, 52178,19590630,-9999,    9
  8528, 52178,19590701,  228,    0
  8528, 52178,19590702,  212,    0
  8528, 52178,19590703,  200,    0
  8528, 52178,19590704,  213,    0
  8528, 52178,19590705,  232,    0
  8528, 52178,19590706,  240,    0
  8528, 52178,19590707,  227,    0
  8528, 52178,19590708,  254,    0
  8528, 52178,19590709,  251,    0
  8528, 52178,19590710,  240,    0
  8528, 52178,19590711,  242,    0
  8528, 52178,19590712,  237,    0
  8528, 52178,19590713,  210,    0
  8528, 52178,19590714,  137,    0
  8528, 52178,19590715,  171,    0
  8528, 52178,19590716,  192,    0
  8528, 52178,19590717,  203,    0
  8528, 52178,19590718,  232,    0
  8528, 52178,19590719,  218,    0
  8528, 52178,19590720,  165,    0
  8528, 52178,19590721,  144,    0
  8528, 52178,19590722,  158,    0
  8528, 52178,19590723,  178,    0
  8528, 52178,19590724,  160,    0
  8528, 52178,19590725,  177,    0
  8528, 52178,19590726,  194,    0
  8528, 52178,19590727,  210,    0
  8528, 52178,19590728,-9999,    9
  8528, 52178,19590729,  219,    0
  8528, 52178,19590730,  228,    0
  8528, 52178,19590731,  219,    0
  8528, 52178,19590801,  224,    0
  8528, 52178,19590802,  235,    0
  8528, 52178,19590803,  146,    0
  8528, 52178,19590804,  161,    0
  8528, 52178,19590805,  176,    0
  8528, 52178,19590806,  143,    0
  8528, 52178,19590807,  163,    0
  8528, 52178,19590808,  202,    0
  8528, 52178,19590809,-9999,    9
  8528, 52178,19590810,  218,    0
  8528, 52178,19590811,  193,    0
  8528, 52178,19590812,  195,    0
  8528, 52178,19590813,  182,    0
  8528, 52178,19590814,  191,    0
  8528, 52178,19590815,  182,    0
  8528, 52178,19590816,  180,    0
  8528, 52178,19590817,  144,    0
  8528, 52178,19590818,  137,    0
  8528, 52178,19590819,  156,    0
  8528, 52178,19590820,  177,    0
  8528, 52178,19590821,  182,    0
  8528, 52178,19590822,  193,    0
  8528, 52178,19590823,  150,    0
  8528, 52178,19590824,  102,    0
  8528, 52178,19590825,  102,    0
  8528, 52178,19590826,  126,    0
  8528, 52178,19590827,  158,    0
  8528, 52178,19590828,  169,    0
  8528, 52178,19590829,  147,    0
  8528, 52178,19590830,  143,    0
  8528, 52178,19590831,  190,    0
  8528, 52178,19590901,  182,    0
  8528, 52178,19590902,  146,    0
  8528, 52178,19590903,  186,    0
  8528, 52178,19590904,  150,    0
  8528, 52178,19590905,  127,    0
  8528, 52178,19590906,  126,    0
  8528, 52178,19590907,  122,    0
  8528, 52178,19590908,  102,    0
  8528, 52178,19590909,   93,    0
  8528, 52178,19590910,   98,    0
  8528, 52178,19590911,  107,    0
  8528, 52178,19590912,  119,    0
  8528, 52178,19590913,  127,    0
  8528, 52178,19590914,  143,    0
  8528, 52178,19590915,  157,    0
  8528, 52178,19590916,  162,    0
  8528, 52178,19590917,  104,    0
  8528, 52178,19590918,  111,    0
  8528, 52178,19590919,  168,    0
  8528, 52178,19590920,-9999,    9
  8528, 52178,19590921,   72,    0
  8528, 52178,19590922,   86,    0
  8528, 52178,19590923,  115,    0
  8528, 52178,19590924,  116,    0
  8528, 52178,19590925,  125,    0
  8528, 52178,19590926,  123,    0
  8528, 52178,19590927,  110,    0
  8528, 52178,19590928,   47,    0
  8528, 52178,19590929,   32,    0
  8528, 52178,19590930,  105,    0
  8528, 52178,19591001,  102,    0
  8528, 52178,19591002,   54,    0
  8528, 52178,19591003,   55,    0
  8528, 52178,19591004,   40,    0
  8528, 52178,19591005,   17,    0
  8528, 52178,19591006,    6,    0
  8528, 52178,19591007,   14,    0
  8528, 52178,19591008,   31,    0
  8528, 52178,19591009,   19,    0
  8528, 52178,19591010,  -13,    0
  8528, 52178,19591011,  -10,    0
  8528, 52178,19591012,    1,    0
  8528, 52178,19591013,   19,    0
  8528, 52178,19591014,   16,    0
  8528, 52178,19591015,   -4,    0
  8528, 52178,19591016,   -9,    0
  8528, 52178,19591017,  -25,    0
  8528, 52178,19591018,  -82,    0
  8528, 52178,19591019,  -88,    0
  8528, 52178,19591020,  -46,    0
  8528, 52178,19591021,    6,    0
  8528, 52178,19591022,   46,    0
  8528, 52178,19591023,   49,    0
  8528, 52178,19591024,   50,    0
  8528, 52178,19591025,   62,    0
  8528, 52178,19591026,  -18,    0
  8528, 52178,19591027,  -15,    0
  8528, 52178,19591028,    1,    0
  8528, 52178,19591029,    2,    0
  8528, 52178,19591030,   -4,    0
  8528, 52178,19591031,  -36,    0
  8528, 52178,19591101,  -19,    0
  8528, 52178,19591102,  -12,    0
  8528, 52178,19591103,  -18,    0
  8528, 52178,19591104,  -14,    0
  8528, 52178,19591105,   -7,    0
  8528, 52178,19591106,  -26,    0
  8528, 52178,19591107,  -54,    0
  8528, 52178,19591108,  -58,    0
  8528, 52178,19591109,  -56,    0
  8528, 52178,19591110,  -78,    0
  8528, 52178,19591111,  -55,    0
  8528, 52178,19591112,  -57,    0
  8528, 52178,19591113,  -72,    0
  8528, 52178,19591114,  -79,    0
  8528, 52178,19591115,  -94,    0
  8528, 52178,19591116,  -93,    0
  8528, 52178,19591117, -117,    0
  8528, 52178,19591118, -106,    0
  8528, 52178,19591119, -116,    0
  8528, 52178,19591120, -123,    0
  8528, 52178,19591121, -138,    0
  8528, 52178,19591122, -102,    0
  8528, 52178,19591123,  -65,    0
  8528, 52178,19591124,  -53,    0
  8528, 52178,19591125,  -73,    0
  8528, 52178,19591126,  -72,    0
  8528, 52178,19591127, -150,    0
  8528, 52178,19591128, -133,    0
  8528, 52178,19591129, -119,    0
  8528, 52178,19591130,  -88,    0
  8528, 52178,19591201,  -75,    0
  8528, 52178,19591202, -141,    0
  8528, 52178,19591203,  -93,    0
  8528, 52178,19591204,  -32,    0
  8528, 52178,19591205,  -85,    0
  8528, 52178,19591206, -265,    0
  8528, 52178,19591207, -333,    0
  8528, 52178,19591208, -271,    0
  8528, 52178,19591209, -219,    0
  8528, 52178,19591210, -191,    0
  8528, 52178,19591211, -172,    0
  8528, 52178,19591212, -169,    0
  8528, 52178,19591213, -188,    0
  8528, 52178,19591214, -201,    0
  8528, 52178,19591215, -196,    0
  8528, 52178,19591216, -210,    0
  8528, 52178,19591217, -207,    0
  8528, 52178,19591218, -212,    0
  8528, 52178,19591219, -236,    0
  8528, 52178,19591220,-9999,    9
  8528, 52178,19591221, -212,    0
  8528, 52178,19591222, -206,    0
  8528, 52178,19591223, -212,    0
  8528, 52178,19591224, -236,    0
  8528, 52178,19591225, -279,    0
  8528, 52178,19591226, -192,    0
  8528, 52178,19591227, -169,    0
  8528, 52178,19591228, -115,    0
  8528, 52178,19591229, -107,    0
  8528, 52178,19591230, -118,    0
  8528, 52178,19591231, -105,    0
  8528, 52178,19600101, -108,    0
  8528, 52178,19600102,  -88,    0
  8528, 52178,19600103, -136,    0
  8528, 52178,19600104, -120,    0
  8528, 52178,19600105, -119,    0
  8528, 52178,19600106,  -81,    0
  8528, 52178,19600107,  -80,    0
  8528, 52178,19600108, -151,    0
  8528, 52178,19600109, -118,    0
  8528, 52178,19600110,  -95,    0
  8528, 52178,19600111, -126,    0
  8528, 52178,19600112, -135,    0
  8528, 52178,19600113,  -82,    0
  8528, 52178,19600114,  -72,    0
  8528, 52178,19600115,  -93,    0
  8528, 52178,19600116, -115,    0
  8528, 52178,19600117, -111,    0
  8528, 52178,19600118, -131,    0
  8528, 52178,19600119, -147,    0
  8528, 52178,19600120, -164,    0
  8528, 52178,19600121, -168,    0
  8528, 52178,19600122, -171,    0
  8528, 52178,19600123, -190,    0
  8528, 52178,19600124, -204,    0
  8528, 52178,19600125, -120,    0
  8528, 52178,19600126, -104,    0
  8528, 52178,19600127, -232,    0
  8528, 52178,19600128,  -98,    0
  8528, 52178,19600129,  -31,    0
  8528, 52178,19600130, -212,    0
  8528, 52178,19600131, -209,    0
  8528, 52178,19600201,  -53,    0
  8528, 52178,19600202, -129,    0
  8528, 52178,19600203, -204,    0
  8528, 52178,19600204, -189,    0
  8528, 52178,19600205, -244,    0
  8528, 52178,19600206, -282,    0
  8528, 52178,19600207, -221,    0
  8528, 52178,19600208, -213,    0
  8528, 52178,19600209, -152,    0
  8528, 52178,19600210, -170,    0
  8528, 52178,19600211, -128,    0
  8528, 52178,19600212,  -57,    0
  8528, 52178,19600213,  -85,    0
  8528, 52178,19600214,  -77,    0
  8528, 52178,19600215, -106,    0
  8528, 52178,19600216, -114,    0
  8528, 52178,19600217,  -72,    0
  8528, 52178,19600218,  -49,    0
  8528, 52178,19600219,  -22,    0
  8528, 52178,19600220,  -30,    0
  8528, 52178,19600221, -121,    0
  8528, 52178,19600222, -253,    0
  8528, 52178,19600223, -226,    0
  8528, 52178,19600224, -197,    0
  8528, 52178,19600225, -173,    0
  8528, 52178,19600226, -148,    0
  8528, 52178,19600227, -113,    0
  8528, 52178,19600228, -100,    0
  8528, 52178,19600229, -138,    0
  8528, 52178,19600301, -120,    0
  8528, 52178,19600302, -117,    0
  8528, 52178,19600303, -143,    0
  8528, 52178,19600304, -152,    0
  8528, 52178,19600305, -201,    0
  8528, 52178,19600306, -241,    0
  8528, 52178,19600307, -279,    0
  8528, 52178,19600308, -248,    0
  8528, 52178,19600309, -202,    0
  8528, 52178,19600310, -185,    0
  8528, 52178,19600311, -203,    0
  8528, 52178,19600312, -209,    0
  8528, 52178,19600313, -205,    0
  8528, 52178,19600314, -168,    0
  8528, 52178,19600315, -227,    0
  8528, 52178,19600316, -260,    0
  8528, 52178,19600317, -259,    0
  8528, 52178,19600318, -245,    0
  8528, 52178,19600319, -194,    0
  8528, 52178,19600320, -138,    0
  8528, 52178,19600321, -125,    0
  8528, 52178,19600322,  -49,    0
  8528, 52178,19600323,  -55,    0
  8528, 52178,19600324,  -84,    0
  8528, 52178,19600325,  -80,    0
  8528, 52178,19600326, -100,    0
  8528, 52178,19600327,  -65,    0
  8528, 52178,19600328,  -45,    0
  8528, 52178,19600329,  -59,    0
  8528, 52178,19600330,  -66,    0
  8528, 52178,19600331,  -62,    0
  8528, 52178,19600401,  -68,    0
  8528, 52178,19600402,  -48,    0
  8528, 52178,19600403,  -36,    0
  8528, 52178,19600404,  -24,    0
  8528, 52178,19600405,  -59,    0
  8528, 52178,19600406,-9999,    9
  8528, 52178,19600407,  -80,    0
  8528, 52178,19600408,  -40,    0
  8528, 52178,19600409,  -34,    0
  8528, 52178,19600410,  -24,    0
  8528, 52178,19600411,    9,    0
  8528, 52178,19600412,   29,    0
  8528, 52178,19600413,   14,    0
  8528, 52178,19600414,   22,    0
  8528, 52178,19600415,   42,    0
  8528, 52178,19600416,   64,    0
  8528, 52178,19600417,   84,    0
  8528, 52178,19600418,  104,    0
  8528, 52178,19600419,  108,    0
  8528, 52178,19600420,   98,    0
  8528, 52178,19600421,   84,    0
  8528, 52178,19600422,   96,    0
  8528, 52178,19600423,  116,    0
  8528, 52178,19600424,  110,    0
  8528, 52178,19600425,  146,    0
  8528, 52178,19600426,  150,    0
  8528, 52178,19600427,  182,    0
  8528, 52178,19600428,  134,    0
  8528, 52178,19600429,  118,    0
  8528, 52178,19600430,   63,    0
  8528, 52178,19600501,   38,    0
  8528, 52178,19600502,   56,    0
  8528, 52178,19600503,   66,    0
  8528, 52178,19600504,   76,    0
  8528, 52178,19600505,   92,    0
  8528, 52178,19600506,   84,    0
  8528, 52178,19600507,   48,    0
  8528, 52178,19600508,   26,    0
  8528, 52178,19600509,   48,    0
  8528, 52178,19600510,   46,    0
  8528, 52178,19600511,   59,    0
  8528, 52178,19600512,   88,    0
  8528, 52178,19600513,   82,    0
  8528, 52178,19600514,  116,    0
  8528, 52178,19600515,  140,    0
  8528, 52178,19600516,  140,    0
  8528, 52178,19600517,  144,    0
  8528, 52178,19600518,  110,    0
  8528, 52178,19600519,  108,    0
  8528, 52178,19600520,  118,    0
  8528, 52178,19600521,  124,    0
  8528, 52178,19600522,  112,    0
  8528, 52178,19600523,   79,    0
  8528, 52178,19600524,   80,    0
  8528, 52178,19600525,   96,    0
