EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ZADAR, CROATIA (STAID: 10903)
Blended and updated with sources:55183 914428 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 10903, 55183,19610101,   62,    0
 10903, 55183,19610102,  110,    0
 10903, 55183,19610103,  120,    0
 10903, 55183,19610104,   89,    0
 10903, 55183,19610105,   86,    0
 10903, 55183,19610106,   76,    0
 10903, 55183,19610107,   92,    0
 10903, 55183,19610108,   70,    0
 10903, 55183,19610109,   53,    0
 10903, 55183,19610110,   59,    0
 10903, 55183,19610111,  106,    0
 10903, 55183,19610112,   91,    0
 10903, 55183,19610113,   65,    0
 10903, 55183,19610114,   56,    0
 10903, 55183,19610115,   60,    0
 10903, 55183,19610116,   62,    0
 10903, 55183,19610117,   39,    0
 10903, 55183,19610118,   10,    0
 10903, 55183,19610119,    7,    0
 10903, 55183,19610120,   22,    0
 10903, 55183,19610121,   32,    0
 10903, 55183,19610122,   50,    0
 10903, 55183,19610123,   70,    0
 10903, 55183,19610124,   88,    0
 10903, 55183,19610125,   78,    0
 10903, 55183,19610126,   72,    0
 10903, 55183,19610127,   48,    0
 10903, 55183,19610128,   32,    0
 10903, 55183,19610129,   74,    0
 10903, 55183,19610130,   63,    0
 10903, 55183,19610131,   87,    0
 10903, 55183,19610201,   76,    0
 10903, 55183,19610202,   71,    0
 10903, 55183,19610203,   75,    0
 10903, 55183,19610204,   64,    0
 10903, 55183,19610205,   62,    0
 10903, 55183,19610206,   46,    0
 10903, 55183,19610207,   42,    0
 10903, 55183,19610208,   84,    0
 10903, 55183,19610209,   76,    0
 10903, 55183,19610210,  105,    0
 10903, 55183,19610211,   80,    0
 10903, 55183,19610212,   74,    0
 10903, 55183,19610213,   88,    0
 10903, 55183,19610214,   86,    0
 10903, 55183,19610215,   81,    0
 10903, 55183,19610216,   83,    0
 10903, 55183,19610217,   88,    0
 10903, 55183,19610218,   79,    0
 10903, 55183,19610219,   86,    0
