EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ATHENRY, IRELAND (STAID: 11008)
Blended and updated with sources:55921 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 11008, 55921,20130101,   60,    0
 11008, 55921,20130102,   73,    0
 11008, 55921,20130103,  107,    0
 11008, 55921,20130104,  100,    0
 11008, 55921,20130105,  105,    0
 11008, 55921,20130106,   79,    0
 11008, 55921,20130107,  109,    0
 11008, 55921,20130108,   88,    0
 11008, 55921,20130109,   23,    0
 11008, 55921,20130110,   34,    0
 11008, 55921,20130111,   41,    0
 11008, 55921,20130112,   47,    0
 11008, 55921,20130113,   16,    0
 11008, 55921,20130114,   34,    0
 11008, 55921,20130115,   14,    0
 11008, 55921,20130116,   29,    0
 11008, 55921,20130117,   66,    0
 11008, 55921,20130118,   70,    0
 11008, 55921,20130119,   19,    0
 11008, 55921,20130120,    5,    0
 11008, 55921,20130121,   24,    0
 11008, 55921,20130122,   -7,    0
 11008, 55921,20130123,   -1,    0
 11008, 55921,20130124,   20,    0
 11008, 55921,20130125,   34,    0
 11008, 55921,20130126,   66,    0
 11008, 55921,20130127,   46,    0
 11008, 55921,20130128,   69,    0
 11008, 55921,20130129,   92,    0
 11008, 55921,20130130,   69,    0
 11008, 55921,20130131,   72,    0
 11008, 55921,20130201,   67,    0
 11008, 55921,20130202,   45,    0
 11008, 55921,20130203,   50,    0
 11008, 55921,20130204,   72,    0
 11008, 55921,20130205,   43,    0
 11008, 55921,20130206,   41,    0
 11008, 55921,20130207,   29,    0
 11008, 55921,20130208,   70,    0
 11008, 55921,20130209,   69,    0
 11008, 55921,20130210,   59,    0
 11008, 55921,20130211,   46,    0
 11008, 55921,20130212,   53,    0
 11008, 55921,20130213,   73,    0
 11008, 55921,20130214,   79,    0
 11008, 55921,20130215,   50,    0
 11008, 55921,20130216,   78,    0
 11008, 55921,20130217,   99,    0
 11008, 55921,20130218,   61,    0
 11008, 55921,20130219,   79,    0
 11008, 55921,20130220,   39,    0
 11008, 55921,20130221,   26,    0
 11008, 55921,20130222,   12,    0
 11008, 55921,20130223,   12,    0
 11008, 55921,20130224,   13,    0
 11008, 55921,20130225,   13,    0
 11008, 55921,20130226,   18,    0
 11008, 55921,20130227,   23,    0
 11008, 55921,20130228,   34,    0
 11008, 55921,20130301,   55,    0
 11008, 55921,20130302,   28,    0
 11008, 55921,20130303,   48,    0
 11008, 55921,20130304,   38,    0
 11008, 55921,20130305,   47,    0
 11008, 55921,20130306,   56,    0
 11008, 55921,20130307,   83,    0
 11008, 55921,20130308,  112,    0
 11008, 55921,20130309,  107,    0
 11008, 55921,20130310,   45,    0
 11008, 55921,20130311,    4,    0
 11008, 55921,20130312,    0,    0
 11008, 55921,20130313,   40,    0
 11008, 55921,20130314,   32,    0
 11008, 55921,20130315,   57,    0
 11008, 55921,20130316,   25,    0
 11008, 55921,20130317,   24,    0
 11008, 55921,20130318,   34,    0
 11008, 55921,20130319,   21,    0
 11008, 55921,20130320,   33,    0
 11008, 55921,20130321,   45,    0
 11008, 55921,20130322,   66,    0
 11008, 55921,20130323,   54,    0
 11008, 55921,20130324,   25,    0
 11008, 55921,20130325,   32,    0
 11008, 55921,20130326,   15,    0
 11008, 55921,20130327,   15,    0
 11008, 55921,20130328,   14,    0
 11008, 55921,20130329,   29,    0
 11008, 55921,20130330,   24,    0
 11008, 55921,20130331,   27,    0
 11008, 55921,20130401,   35,    0
 11008, 55921,20130402,   52,    0
