EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station AMPOSTA, SPAIN (STAID: 11011)
Blended and updated with sources:55959 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 11011, 55959,20080101,   55,    0
 11011, 55959,20080102,   52,    0
 11011, 55959,20080103,   57,    0
 11011, 55959,20080104,   87,    0
 11011, 55959,20080105,  105,    0
 11011, 55959,20080106,  142,    0
 11011, 55959,20080107,  125,    0
 11011, 55959,20080108,  107,    0
 11011, 55959,20080109,  123,    0
 11011, 55959,20080110,  128,    0
 11011, 55959,20080111,  114,    0
 11011, 55959,20080112,  116,    0
 11011, 55959,20080113,   88,    0
 11011, 55959,20080114,   81,    0
 11011, 55959,20080115,   89,    0
 11011, 55959,20080116,  110,    0
 11011, 55959,20080117,  125,    0
 11011, 55959,20080118,  154,    0
 11011, 55959,20080119,  124,    0
 11011, 55959,20080120,  101,    0
 11011, 55959,20080121,   92,    0
 11011, 55959,20080122,  138,    0
 11011, 55959,20080123,  136,    0
 11011, 55959,20080124,  118,    0
 11011, 55959,20080125,  111,    0
 11011, 55959,20080126,   98,    0
 11011, 55959,20080127,  103,    0
 11011, 55959,20080128,  104,    0
 11011, 55959,20080129,   97,    0
 11011, 55959,20080130,   98,    0
 11011, 55959,20080131,  104,    0
 11011, 55959,20080201,   85,    0
 11011, 55959,20080202,  103,    0
 11011, 55959,20080203,  102,    0
 11011, 55959,20080204,  130,    0
 11011, 55959,20080205,  104,    0
 11011, 55959,20080206,  111,    0
 11011, 55959,20080207,  108,    0
