EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station EL PONT DE SUERT, SPAIN (STAID: 11032)
Blended and updated with sources:56148 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 11032, 56148,20080101,  -40,    0
 11032, 56148,20080102,  -20,    0
 11032, 56148,20080103,    7,    0
 11032, 56148,20080104,   14,    0
 11032, 56148,20080105,   17,    0
 11032, 56148,20080106,   27,    0
 11032, 56148,20080107,   31,    0
 11032, 56148,20080108,   52,    0
 11032, 56148,20080109,   68,    0
 11032, 56148,20080110,   64,    0
 11032, 56148,20080111,   44,    0
 11032, 56148,20080112,    0,    0
 11032, 56148,20080113,    0,    0
 11032, 56148,20080114,   11,    0
 11032, 56148,20080115,    0,    0
 11032, 56148,20080116,   32,    0
 11032, 56148,20080117,   22,    0
 11032, 56148,20080118,   41,    0
 11032, 56148,20080119,   36,    0
 11032, 56148,20080120,   12,    0
 11032, 56148,20080121,   17,    0
 11032, 56148,20080122,   46,    0
 11032, 56148,20080123,   48,    0
 11032, 56148,20080124,   25,    0
 11032, 56148,20080125,   22,    0
 11032, 56148,20080126,    9,    0
 11032, 56148,20080127,    9,    0
 11032, 56148,20080128,   20,    0
 11032, 56148,20080129,   16,    0
 11032, 56148,20080130,   18,    0
 11032, 56148,20080131,    4,    0
 11032, 56148,20080201,   16,    0
 11032, 56148,20080202,   26,    0
 11032, 56148,20080203,   20,    0
 11032, 56148,20080204,   34,    0
 11032, 56148,20080205,   11,    0
 11032, 56148,20080206,   25,    0
 11032, 56148,20080207,   34,    0
 11032, 56148,20080208,   28,    0
 11032, 56148,20080209,   20,    0
 11032, 56148,20080210,   14,    0
 11032, 56148,20080211,    7,    0
 11032, 56148,20080212,    3,    0
 11032, 56148,20080213,   -2,    0
 11032, 56148,20080214,   17,    0
 11032, 56148,20080215,   25,    0
 11032, 56148,20080216,   14,    0
 11032, 56148,20080217,   12,    0
 11032, 56148,20080218,   28,    0
 11032, 56148,20080219,   56,    0
 11032, 56148,20080220,   79,    0
 11032, 56148,20080221,   79,    0
 11032, 56148,20080222,   57,    0
 11032, 56148,20080223,   55,    0
 11032, 56148,20080224,   63,    0
 11032, 56148,20080225,   86,    0
 11032, 56148,20080226,   95,    0
 11032, 56148,20080227,   82,    0
 11032, 56148,20080228,   86,    0
 11032, 56148,20080229,   86,    0
 11032, 56148,20080301,   55,    0
 11032, 56148,20080302,   78,    0
 11032, 56148,20080303,   72,    0
 11032, 56148,20080304,    2,    0
 11032, 56148,20080305,  -16,    0
 11032, 56148,20080306,   30,    0
 11032, 56148,20080307,   90,    0
 11032, 56148,20080308,   72,    0
 11032, 56148,20080309,   24,    0
 11032, 56148,20080310,    9,    0
 11032, 56148,20080311,   60,    0
 11032, 56148,20080312,   67,    0
 11032, 56148,20080313,   79,    0
 11032, 56148,20080314,   95,    0
 11032, 56148,20080315,   89,    0
 11032, 56148,20080316,   62,    0
 11032, 56148,20080317,   61,    0
 11032, 56148,20080318,   62,    0
 11032, 56148,20080319,   66,    0
 11032, 56148,20080320,   46,    0
 11032, 56148,20080321,   43,    0
 11032, 56148,20080322,   49,    0
 11032, 56148,20080323,   23,    0
 11032, 56148,20080324,   42,    0
 11032, 56148,20080325,   69,    0
 11032, 56148,20080326,   28,    0
 11032, 56148,20080327,   13,    0
 11032, 56148,20080328,   88,    0
 11032, 56148,20080329,   82,    0
 11032, 56148,20080330,   73,    0
 11032, 56148,20080331,   45,    0
 11032, 56148,20080401,  110,    0
 11032, 56148,20080402,  134,    0
 11032, 56148,20080403,  119,    0
 11032, 56148,20080404,  101,    0
 11032, 56148,20080405,   90,    0
 11032, 56148,20080406,   91,    0
 11032, 56148,20080407,   58,    0
 11032, 56148,20080408,   74,    0
 11032, 56148,20080409,   97,    0
 11032, 56148,20080410,  102,    0
 11032, 56148,20080411,   74,    0
 11032, 56148,20080412,   51,    0
 11032, 56148,20080413,   63,    0
 11032, 56148,20080414,   55,    0
 11032, 56148,20080415,   58,    0
 11032, 56148,20080416,   89,    0
