EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GUARDIOLA DE BERGUEDA, SPAIN (STAID: 11041)
Blended and updated with sources:56229 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 11041, 56229,20080101,  -17,    0
 11041, 56229,20080102,   -7,    0
 11041, 56229,20080103,    5,    0
 11041, 56229,20080104,   16,    0
 11041, 56229,20080105,   22,    0
 11041, 56229,20080106,   50,    0
 11041, 56229,20080107,   47,    0
 11041, 56229,20080108,   77,    0
 11041, 56229,20080109,   82,    0
 11041, 56229,20080110,   73,    0
 11041, 56229,20080111,   70,    0
 11041, 56229,20080112,   28,    0
 11041, 56229,20080113,   13,    0
 11041, 56229,20080114,   12,    0
 11041, 56229,20080115,    8,    0
 11041, 56229,20080116,   64,    0
 11041, 56229,20080117,   31,    0
 11041, 56229,20080118,   54,    0
 11041, 56229,20080119,   51,    0
 11041, 56229,20080120,   38,    0
 11041, 56229,20080121,   45,    0
 11041, 56229,20080122,   53,    0
 11041, 56229,20080123,   78,    0
 11041, 56229,20080124,   32,    0
 11041, 56229,20080125,   38,    0
 11041, 56229,20080126,   40,    0
 11041, 56229,20080127,   35,    0
 11041, 56229,20080128,   51,    0
 11041, 56229,20080129,   38,    0
 11041, 56229,20080130,   25,    0
 11041, 56229,20080131,   14,    0
 11041, 56229,20080201,   19,    0
 11041, 56229,20080202,   41,    0
 11041, 56229,20080203,   40,    0
 11041, 56229,20080204,   55,    0
 11041, 56229,20080205,   28,    0
 11041, 56229,20080206,   43,    0
 11041, 56229,20080207,   52,    0
 11041, 56229,20080208,   48,    0
 11041, 56229,20080209,   26,    0
 11041, 56229,20080210,   23,    0
 11041, 56229,20080211,   21,    0
 11041, 56229,20080212,   17,    0
 11041, 56229,20080213,   15,    0
 11041, 56229,20080214,   38,    0
 11041, 56229,20080215,   45,    0
 11041, 56229,20080216,   36,    0
 11041, 56229,20080217,   53,    0
 11041, 56229,20080218,   43,    0
 11041, 56229,20080219,   66,    0
 11041, 56229,20080220,   80,    0
 11041, 56229,20080221,   87,    0
 11041, 56229,20080222,   75,    0
 11041, 56229,20080223,   75,    0
 11041, 56229,20080224,   71,    0
 11041, 56229,20080225,   91,    0
 11041, 56229,20080226,  111,    0
 11041, 56229,20080227,   97,    0
 11041, 56229,20080228,  110,    0
 11041, 56229,20080229,  107,    0
 11041, 56229,20080301,   91,    0
 11041, 56229,20080302,   95,    0
 11041, 56229,20080303,   99,    0
 11041, 56229,20080304,   49,    0
 11041, 56229,20080305,    0,    0
 11041, 56229,20080306,   34,    0
 11041, 56229,20080307,   84,    0
 11041, 56229,20080308,   83,    0
 11041, 56229,20080309,   70,    0
 11041, 56229,20080310,   33,    0
 11041, 56229,20080311,   75,    0
 11041, 56229,20080312,   85,    0
 11041, 56229,20080313,   91,    0
 11041, 56229,20080314,  112,    0
 11041, 56229,20080315,  109,    0
 11041, 56229,20080316,   85,    0
 11041, 56229,20080317,   64,    0
 11041, 56229,20080318,   71,    0
 11041, 56229,20080319,   62,    0
 11041, 56229,20080320,   49,    0
 11041, 56229,20080321,   22,    0
 11041, 56229,20080322,   38,    0
 11041, 56229,20080323,   38,    0
 11041, 56229,20080324,   47,    0
 11041, 56229,20080325,   76,    0
 11041, 56229,20080326,   56,    0
 11041, 56229,20080327,   32,    0
 11041, 56229,20080328,   84,    0
 11041, 56229,20080329,  105,    0
 11041, 56229,20080330,   80,    0
 11041, 56229,20080331,   80,    0
 11041, 56229,20080401,  120,    0
 11041, 56229,20080402,  140,    0
 11041, 56229,20080403,  137,    0
 11041, 56229,20080404,  111,    0
 11041, 56229,20080405,  116,    0
 11041, 56229,20080406,  113,    0
 11041, 56229,20080407,   82,    0
 11041, 56229,20080408,  101,    0
 11041, 56229,20080409,  112,    0
 11041, 56229,20080410,  117,    0
 11041, 56229,20080411,   74,    0
 11041, 56229,20080412,   82,    0
 11041, 56229,20080413,   91,    0
 11041, 56229,20080414,   79,    0
 11041, 56229,20080415,   78,    0
 11041, 56229,20080416,  103,    0
 11041, 56229,20080417,   72,    0
 11041, 56229,20080418,   56,    0
 11041, 56229,20080419,   85,    0
 11041, 56229,20080420,   72,    0
 11041, 56229,20080421,   84,    0
 11041, 56229,20080422,   94,    0
 11041, 56229,20080423,  103,    0
 11041, 56229,20080424,  130,    0
 11041, 56229,20080425,  141,    0
 11041, 56229,20080426,  156,    0
 11041, 56229,20080427,  144,    0
 11041, 56229,20080428,  117,    0
 11041, 56229,20080429,  113,    0
 11041, 56229,20080430,  109,    0
 11041, 56229,20080501,  117,    0
 11041, 56229,20080502,  137,    0
 11041, 56229,20080503,  152,    0
 11041, 56229,20080504,  146,    0
 11041, 56229,20080505,  148,    0
 11041, 56229,20080506,  147,    0
 11041, 56229,20080507,  145,    0
 11041, 56229,20080508,  138,    0
 11041, 56229,20080509,   96,    0
 11041, 56229,20080510,   99,    0
 11041, 56229,20080511,  114,    0
 11041, 56229,20080512,  110,    0
 11041, 56229,20080513,  120,    0
 11041, 56229,20080514,  122,    0
 11041, 56229,20080515,  132,    0
 11041, 56229,20080516,  121,    0
 11041, 56229,20080517,  117,    0
 11041, 56229,20080518,  131,    0
 11041, 56229,20080519,  117,    0
 11041, 56229,20080520,  140,    0
 11041, 56229,20080521,  139,    0
 11041, 56229,20080522,  127,    0
 11041, 56229,20080523,  132,    0
 11041, 56229,20080524,  140,    0
 11041, 56229,20080525,  115,    0
 11041, 56229,20080526,  131,    0
 11041, 56229,20080527,  114,    0
 11041, 56229,20080528,  117,    0
 11041, 56229,20080529,  142,    0
 11041, 56229,20080530,  152,    0
 11041, 56229,20080531,  142,    0
 11041, 56229,20080601,  136,    0
 11041, 56229,20080602,  137,    0
 11041, 56229,20080603,  140,    0
 11041, 56229,20080604,  142,    0
 11041, 56229,20080605,  136,    0
 11041, 56229,20080606,  152,    0
 11041, 56229,20080607,  130,    0
 11041, 56229,20080608,  133,    0
