EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ILLA DE BUDA, SPAIN (STAID: 11043)
Blended and updated with sources:56247 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 11043, 56247,20080101,   55,    0
 11043, 56247,20080102,   68,    0
 11043, 56247,20080103,   66,    0
 11043, 56247,20080104,   92,    0
 11043, 56247,20080105,  108,    0
 11043, 56247,20080106,  140,    0
 11043, 56247,20080107,  131,    0
 11043, 56247,20080108,  121,    0
 11043, 56247,20080109,  121,    0
 11043, 56247,20080110,  129,    0
 11043, 56247,20080111,  123,    0
 11043, 56247,20080112,  113,    0
 11043, 56247,20080113,   95,    0
 11043, 56247,20080114,   84,    0
 11043, 56247,20080115,   97,    0
 11043, 56247,20080116,  116,    0
 11043, 56247,20080117,  131,    0
 11043, 56247,20080118,  155,    0
 11043, 56247,20080119,  134,    0
 11043, 56247,20080120,  104,    0
 11043, 56247,20080121,   94,    0
 11043, 56247,20080122,  132,    0
 11043, 56247,20080123,  133,    0
 11043, 56247,20080124,  119,    0
 11043, 56247,20080125,  122,    0
 11043, 56247,20080126,  102,    0
 11043, 56247,20080127,  100,    0
 11043, 56247,20080128,  111,    0
 11043, 56247,20080129,   95,    0
 11043, 56247,20080130,  105,    0
 11043, 56247,20080131,  101,    0
 11043, 56247,20080201,   88,    0
 11043, 56247,20080202,  105,    0
 11043, 56247,20080203,  108,    0
 11043, 56247,20080204,  132,    0
 11043, 56247,20080205,  107,    0
 11043, 56247,20080206,  114,    0
 11043, 56247,20080207,  107,    0
 11043, 56247,20080208,  112,    0
 11043, 56247,20080209,  113,    0
 11043, 56247,20080210,  100,    0
 11043, 56247,20080211,  105,    0
 11043, 56247,20080212,  112,    0
 11043, 56247,20080213,  109,    0
 11043, 56247,20080214,  118,    0
 11043, 56247,20080215,  115,    0
 11043, 56247,20080216,  100,    0
 11043, 56247,20080217,  115,    0
 11043, 56247,20080218,  121,    0
 11043, 56247,20080219,  122,    0
 11043, 56247,20080220,  130,    0
 11043, 56247,20080221,  123,    0
 11043, 56247,20080222,  120,    0
 11043, 56247,20080223,  115,    0
 11043, 56247,20080224,  120,    0
 11043, 56247,20080225,  130,    0
 11043, 56247,20080226,  131,    0
 11043, 56247,20080227,  138,    0
 11043, 56247,20080228,  138,    0
 11043, 56247,20080229,  142,    0
 11043, 56247,20080301,  140,    0
 11043, 56247,20080302,  144,    0
 11043, 56247,20080303,  148,    0
