EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station LA BISBAL DEMPORDA, SPAIN (STAID: 11044)
Blended and updated with sources:56256 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 11044, 56256,20080101,   33,    0
 11044, 56256,20080102,   62,    0
 11044, 56256,20080103,   89,    0
 11044, 56256,20080104,   90,    0
 11044, 56256,20080105,  108,    0
 11044, 56256,20080106,  120,    0
 11044, 56256,20080107,  118,    0
 11044, 56256,20080108,  111,    0
 11044, 56256,20080109,   97,    0
 11044, 56256,20080110,  119,    0
 11044, 56256,20080111,  134,    0
 11044, 56256,20080112,   77,    0
 11044, 56256,20080113,   73,    0
 11044, 56256,20080114,   92,    0
 11044, 56256,20080115,   84,    0
 11044, 56256,20080116,   96,    0
 11044, 56256,20080117,   83,    0
 11044, 56256,20080118,  112,    0
 11044, 56256,20080119,  118,    0
 11044, 56256,20080120,   96,    0
 11044, 56256,20080121,  101,    0
 11044, 56256,20080122,   96,    0
 11044, 56256,20080123,   84,    0
 11044, 56256,20080124,   61,    0
 11044, 56256,20080125,   94,    0
 11044, 56256,20080126,   73,    0
 11044, 56256,20080127,   78,    0
 11044, 56256,20080128,   88,    0
 11044, 56256,20080129,   61,    0
 11044, 56256,20080130,   88,    0
 11044, 56256,20080131,   71,    0
 11044, 56256,20080201,   70,    0
 11044, 56256,20080202,   79,    0
 11044, 56256,20080203,   87,    0
 11044, 56256,20080204,  104,    0
 11044, 56256,20080205,   77,    0
 11044, 56256,20080206,   86,    0
 11044, 56256,20080207,   94,    0
 11044, 56256,20080208,   75,    0
 11044, 56256,20080209,   68,    0
 11044, 56256,20080210,   58,    0
 11044, 56256,20080211,   55,    0
 11044, 56256,20080212,   47,    0
 11044, 56256,20080213,   55,    0
 11044, 56256,20080214,   78,    0
 11044, 56256,20080215,   61,    0
 11044, 56256,20080216,   54,    0
 11044, 56256,20080217,   69,    0
 11044, 56256,20080218,   92,    0
 11044, 56256,20080219,  105,    0
 11044, 56256,20080220,  110,    0
 11044, 56256,20080221,  108,    0
 11044, 56256,20080222,  109,    0
 11044, 56256,20080223,  100,    0
 11044, 56256,20080224,   97,    0
 11044, 56256,20080225,  132,    0
