EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NURIA, SPAIN (STAID: 11058)
Blended and updated with sources:56382 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 11058, 56382,20080101,   12,    0
 11058, 56382,20080102,   15,    0
 11058, 56382,20080103,  -24,    0
 11058, 56382,20080104,  -22,    0
 11058, 56382,20080105,   15,    0
 11058, 56382,20080106,   71,    0
 11058, 56382,20080107,   41,    0
 11058, 56382,20080108,   42,    0
 11058, 56382,20080109,   24,    0
 11058, 56382,20080110,   16,    0
 11058, 56382,20080111,    2,    0
 11058, 56382,20080112,  -39,    0
 11058, 56382,20080113,    6,    0
 11058, 56382,20080114,    2,    0
 11058, 56382,20080115,   11,    0
 11058, 56382,20080116,  -11,    0
 11058, 56382,20080117,   11,    0
 11058, 56382,20080118,   51,    0
 11058, 56382,20080119,   53,    0
 11058, 56382,20080120,   58,    0
 11058, 56382,20080121,   61,    0
 11058, 56382,20080122,   41,    0
 11058, 56382,20080123,   39,    0
 11058, 56382,20080124,   42,    0
 11058, 56382,20080125,   18,    0
 11058, 56382,20080126,    9,    0
 11058, 56382,20080127,   49,    0
 11058, 56382,20080128,   70,    0
 11058, 56382,20080129,   32,    0
 11058, 56382,20080130,   19,    0
 11058, 56382,20080131,  -13,    0
 11058, 56382,20080201,   -2,    0
 11058, 56382,20080202,  -25,    0
 11058, 56382,20080203,  -28,    0
 11058, 56382,20080204,  -20,    0
 11058, 56382,20080205,   15,    0
 11058, 56382,20080206,   49,    0
 11058, 56382,20080207,   63,    0
 11058, 56382,20080208,   41,    0
 11058, 56382,20080209,    2,    0
 11058, 56382,20080210,    4,    0
 11058, 56382,20080211,  -20,    0
 11058, 56382,20080212,  -39,    0
 11058, 56382,20080213,  -38,    0
 11058, 56382,20080214,  -35,    0
