EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SANT ROMA DABELLA, SPAIN (STAID: 11074)
Blended and updated with sources:56526 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 11074, 56526,20080101,   11,    0
 11074, 56526,20080102,   -4,    0
 11074, 56526,20080103,   19,    0
 11074, 56526,20080104,   36,    0
 11074, 56526,20080105,   40,    0
 11074, 56526,20080106,   83,    0
 11074, 56526,20080107,   68,    0
 11074, 56526,20080108,   78,    0
 11074, 56526,20080109,   84,    0
 11074, 56526,20080110,   89,    0
 11074, 56526,20080111,   74,    0
 11074, 56526,20080112,   42,    0
 11074, 56526,20080113,   34,    0
 11074, 56526,20080114,   35,    0
 11074, 56526,20080115,   21,    0
 11074, 56526,20080116,   49,    0
 11074, 56526,20080117,   48,    0
 11074, 56526,20080118,   85,    0
 11074, 56526,20080119,   89,    0
 11074, 56526,20080120,   51,    0
 11074, 56526,20080121,   54,    0
 11074, 56526,20080122,   62,    0
 11074, 56526,20080123,   93,    0
 11074, 56526,20080124,   68,    0
 11074, 56526,20080125,   71,    0
 11074, 56526,20080126,   66,    0
 11074, 56526,20080127,   69,    0
 11074, 56526,20080128,   76,    0
 11074, 56526,20080129,   63,    0
 11074, 56526,20080130,   57,    0
 11074, 56526,20080131,   49,    0
 11074, 56526,20080201,   35,    0
 11074, 56526,20080202,   45,    0
 11074, 56526,20080203,   48,    0
 11074, 56526,20080204,   65,    0
 11074, 56526,20080205,   58,    0
 11074, 56526,20080206,   77,    0
 11074, 56526,20080207,   88,    0
 11074, 56526,20080208,   87,    0
 11074, 56526,20080209,   72,    0
 11074, 56526,20080210,   65,    0
 11074, 56526,20080211,   48,    0
 11074, 56526,20080212,   48,    0
 11074, 56526,20080213,   49,    0
 11074, 56526,20080214,   51,    0
 11074, 56526,20080215,   68,    0
 11074, 56526,20080216,   67,    0
 11074, 56526,20080217,   52,    0
 11074, 56526,20080218,   42,    0
 11074, 56526,20080219,   69,    0
 11074, 56526,20080220,   96,    0
 11074, 56526,20080221,  107,    0
 11074, 56526,20080222,  103,    0
 11074, 56526,20080223,  109,    0
 11074, 56526,20080224,   96,    0
 11074, 56526,20080225,   95,    0
 11074, 56526,20080226,  116,    0
