EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station VALLIRANA, SPAIN (STAID: 11083)
Blended and updated with sources:56607 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 11083, 56607,20080101,   61,    0
 11083, 56607,20080102,   55,    0
 11083, 56607,20080103,   64,    0
 11083, 56607,20080104,   87,    0
 11083, 56607,20080105,   99,    0
 11083, 56607,20080106,  138,    0
 11083, 56607,20080107,  122,    0
 11083, 56607,20080108,  111,    0
 11083, 56607,20080109,  113,    0
 11083, 56607,20080110,  114,    0
 11083, 56607,20080111,  114,    0
 11083, 56607,20080112,   81,    0
 11083, 56607,20080113,   80,    0
 11083, 56607,20080114,   77,    0
 11083, 56607,20080115,   89,    0
 11083, 56607,20080116,  104,    0
 11083, 56607,20080117,  108,    0
 11083, 56607,20080118,  130,    0
 11083, 56607,20080119,  123,    0
 11083, 56607,20080120,   98,    0
 11083, 56607,20080121,   83,    0
 11083, 56607,20080122,   99,    0
 11083, 56607,20080123,  110,    0
 11083, 56607,20080124,   96,    0
 11083, 56607,20080125,  100,    0
 11083, 56607,20080126,   93,    0
 11083, 56607,20080127,  116,    0
 11083, 56607,20080128,  130,    0
 11083, 56607,20080129,  105,    0
 11083, 56607,20080130,   84,    0
 11083, 56607,20080131,   84,    0
