EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station VILANOVA DE MEIA, SPAIN (STAID: 11086)
Blended and updated with sources:56634 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 11086, 56634,20080101,  -15,    0
 11086, 56634,20080102,    9,    0
 11086, 56634,20080103,   35,    0
 11086, 56634,20080104,   21,    0
 11086, 56634,20080105,   21,    0
 11086, 56634,20080106,   62,    0
 11086, 56634,20080107,   64,    0
 11086, 56634,20080108,   83,    0
 11086, 56634,20080109,   77,    0
 11086, 56634,20080110,   89,    0
 11086, 56634,20080111,   86,    0
 11086, 56634,20080112,   48,    0
 11086, 56634,20080113,   34,    0
 11086, 56634,20080114,   47,    0
 11086, 56634,20080115,   37,    0
 11086, 56634,20080116,   66,    0
 11086, 56634,20080117,   57,    0
 11086, 56634,20080118,   79,    0
 11086, 56634,20080119,   59,    0
 11086, 56634,20080120,   36,    0
 11086, 56634,20080121,   13,    0
 11086, 56634,20080122,   16,    0
 11086, 56634,20080123,   46,    0
 11086, 56634,20080124,   69,    0
 11086, 56634,20080125,   51,    0
 11086, 56634,20080126,   78,    0
 11086, 56634,20080127,   45,    0
 11086, 56634,20080128,    6,    0
 11086, 56634,20080129,   42,    0
 11086, 56634,20080130,   19,    0
 11086, 56634,20080131,   18,    0
 11086, 56634,20080201,   32,    0
 11086, 56634,20080202,   30,    0
 11086, 56634,20080203,   53,    0
 11086, 56634,20080204,   73,    0
 11086, 56634,20080205,   53,    0
 11086, 56634,20080206,   80,    0
 11086, 56634,20080207,   89,    0
 11086, 56634,20080208,   96,    0
 11086, 56634,20080209,   76,    0
 11086, 56634,20080210,   71,    0
 11086, 56634,20080211,   51,    0
 11086, 56634,20080212,   61,    0
 11086, 56634,20080213,   63,    0
 11086, 56634,20080214,   63,    0
 11086, 56634,20080215,   66,    0
 11086, 56634,20080216,   69,    0
 11086, 56634,20080217,   64,    0
 11086, 56634,20080218,   57,    0
 11086, 56634,20080219,   78,    0
 11086, 56634,20080220,  100,    0
 11086, 56634,20080221,   94,    0
 11086, 56634,20080222,  101,    0
 11086, 56634,20080223,  111,    0
 11086, 56634,20080224,  104,    0
 11086, 56634,20080225,   98,    0
 11086, 56634,20080226,  103,    0
 11086, 56634,20080227,  106,    0
 11086, 56634,20080228,  118,    0
 11086, 56634,20080229,  106,    0
 11086, 56634,20080301,   81,    0
 11086, 56634,20080302,   97,    0
 11086, 56634,20080303,  113,    0
 11086, 56634,20080304,   49,    0
 11086, 56634,20080305,   15,    0
 11086, 56634,20080306,   61,    0
 11086, 56634,20080307,   57,    0
 11086, 56634,20080308,   73,    0
 11086, 56634,20080309,   69,    0
 11086, 56634,20080310,   44,    0
 11086, 56634,20080311,  113,    0
 11086, 56634,20080312,  125,    0
 11086, 56634,20080313,  114,    0
 11086, 56634,20080314,  145,    0
 11086, 56634,20080315,  158,    0
 11086, 56634,20080316,  120,    0
 11086, 56634,20080317,   91,    0
 11086, 56634,20080318,   97,    0
 11086, 56634,20080319,   67,    0
 11086, 56634,20080320,   57,    0
 11086, 56634,20080321,   61,    0
 11086, 56634,20080322,   84,    0
 11086, 56634,20080323,   44,    0
 11086, 56634,20080324,   82,    0
 11086, 56634,20080325,  106,    0
 11086, 56634,20080326,   63,    0
 11086, 56634,20080327,   49,    0
 11086, 56634,20080328,  109,    0
 11086, 56634,20080329,  116,    0
 11086, 56634,20080330,  110,    0
 11086, 56634,20080331,   92,    0
 11086, 56634,20080401,  135,    0
 11086, 56634,20080402,  158,    0
 11086, 56634,20080403,  149,    0
 11086, 56634,20080404,  120,    0
 11086, 56634,20080405,  132,    0
 11086, 56634,20080406,  145,    0
 11086, 56634,20080407,   71,    0
 11086, 56634,20080408,  111,    0
 11086, 56634,20080409,  130,    0
 11086, 56634,20080410,  122,    0
 11086, 56634,20080411,   84,    0
 11086, 56634,20080412,   85,    0
 11086, 56634,20080413,  102,    0
 11086, 56634,20080414,   82,    0
 11086, 56634,20080415,   83,    0
 11086, 56634,20080416,  113,    0
 11086, 56634,20080417,   92,    0
 11086, 56634,20080418,   84,    0
 11086, 56634,20080419,   98,    0
 11086, 56634,20080420,   86,    0
 11086, 56634,20080421,  100,    0
 11086, 56634,20080422,  108,    0
 11086, 56634,20080423,  128,    0
 11086, 56634,20080424,  156,    0
 11086, 56634,20080425,  162,    0
 11086, 56634,20080426,  183,    0
 11086, 56634,20080427,  165,    0
 11086, 56634,20080428,  139,    0
 11086, 56634,20080429,  112,    0
 11086, 56634,20080430,  129,    0
 11086, 56634,20080501,  131,    0
 11086, 56634,20080502,  166,    0
 11086, 56634,20080503,  177,    0
 11086, 56634,20080504,  194,    0
 11086, 56634,20080505,  178,    0
 11086, 56634,20080506,  174,    0
 11086, 56634,20080507,  166,    0
 11086, 56634,20080508,  158,    0
 11086, 56634,20080509,  113,    0
 11086, 56634,20080510,  114,    0
 11086, 56634,20080511,  126,    0
 11086, 56634,20080512,  125,    0
 11086, 56634,20080513,  151,    0
 11086, 56634,20080514,  128,    0
 11086, 56634,20080515,  148,    0
 11086, 56634,20080516,  138,    0
 11086, 56634,20080517,  122,    0
 11086, 56634,20080518,  131,    0
 11086, 56634,20080519,  117,    0
 11086, 56634,20080520,  131,    0
 11086, 56634,20080521,  154,    0
 11086, 56634,20080522,  146,    0
 11086, 56634,20080523,  160,    0
 11086, 56634,20080524,  155,    0
 11086, 56634,20080525,  128,    0
 11086, 56634,20080526,  138,    0
 11086, 56634,20080527,  125,    0
 11086, 56634,20080528,  127,    0
 11086, 56634,20080529,  152,    0
 11086, 56634,20080530,  169,    0
 11086, 56634,20080531,  156,    0
 11086, 56634,20080601,  156,    0
 11086, 56634,20080602,  136,    0
 11086, 56634,20080603,  134,    0
 11086, 56634,20080604,  155,    0
 11086, 56634,20080605,  152,    0
 11086, 56634,20080606,  156,    0
 11086, 56634,20080607,  142,    0
 11086, 56634,20080608,  152,    0
 11086, 56634,20080609,  154,    0
 11086, 56634,20080610,  160,    0
 11086, 56634,20080611,  164,    0
 11086, 56634,20080612,  194,    0
 11086, 56634,20080613,  173,    0
 11086, 56634,20080614,  170,    0
 11086, 56634,20080615,  169,    0
 11086, 56634,20080616,  172,    0
 11086, 56634,20080617,  156,    0
 11086, 56634,20080618,  182,    0
 11086, 56634,20080619,  222,    0
 11086, 56634,20080620,  244,    0
 11086, 56634,20080621,  252,    0
 11086, 56634,20080622,  241,    0
 11086, 56634,20080623,  242,    0
 11086, 56634,20080624,  243,    0
 11086, 56634,20080625,  235,    0
 11086, 56634,20080626,  247,    0
 11086, 56634,20080627,  210,    0
 11086, 56634,20080628,  220,    0
 11086, 56634,20080629,  246,    0
 11086, 56634,20080630,  237,    0
 11086, 56634,20080701,  239,    0
 11086, 56634,20080702,  233,    0
 11086, 56634,20080703,  205,    0
 11086, 56634,20080704,  203,    0
 11086, 56634,20080705,  245,    0
 11086, 56634,20080706,  235,    0
 11086, 56634,20080707,  200,    0
 11086, 56634,20080708,  202,    0
 11086, 56634,20080709,  232,    0
 11086, 56634,20080710,  248,    0
 11086, 56634,20080711,  245,    0
 11086, 56634,20080712,  184,    0
 11086, 56634,20080713,  157,    0
 11086, 56634,20080714,  177,    0
 11086, 56634,20080715,  207,    0
 11086, 56634,20080716,  217,    0
 11086, 56634,20080717,  211,    0
 11086, 56634,20080718,  206,    0
 11086, 56634,20080719,  244,    0
 11086, 56634,20080720,  264,    0
 11086, 56634,20080721,  212,    0
 11086, 56634,20080722,  198,    0
 11086, 56634,20080723,  232,    0
 11086, 56634,20080724,  251,    0
 11086, 56634,20080725,  251,    0
 11086, 56634,20080726,  248,    0
 11086, 56634,20080727,  247,    0
 11086, 56634,20080728,  250,    0
 11086, 56634,20080729,  237,    0
 11086, 56634,20080730,  254,    0
 11086, 56634,20080731,  264,    0
 11086, 56634,20080801,  258,    0
 11086, 56634,20080802,  240,    0
 11086, 56634,20080803,  255,    0
 11086, 56634,20080804,  274,    0
 11086, 56634,20080805,  275,    0
 11086, 56634,20080806,  272,    0
 11086, 56634,20080807,  255,    0
 11086, 56634,20080808,  216,    0
 11086, 56634,20080809,  202,    0
 11086, 56634,20080810,  241,    0
 11086, 56634,20080811,  243,    0
 11086, 56634,20080812,  249,    0
 11086, 56634,20080813,  214,    0
 11086, 56634,20080814,  192,    0
 11086, 56634,20080815,  187,    0
 11086, 56634,20080816,  180,    0
 11086, 56634,20080817,  211,    0
 11086, 56634,20080818,  232,    0
 11086, 56634,20080819,  237,    0
 11086, 56634,20080820,  210,    0
 11086, 56634,20080821,  220,    0
 11086, 56634,20080822,  235,    0
 11086, 56634,20080823,  193,    0
 11086, 56634,20080824,  210,    0
 11086, 56634,20080825,  230,    0
 11086, 56634,20080826,  232,    0
 11086, 56634,20080827,  216,    0
 11086, 56634,20080828,  229,    0
 11086, 56634,20080829,  241,    0
 11086, 56634,20080830,  238,    0
 11086, 56634,20080831,  211,    0
 11086, 56634,20080901,  202,    0
 11086, 56634,20080902,  218,    0
 11086, 56634,20080903,  226,    0
 11086, 56634,20080904,  218,    0
 11086, 56634,20080905,  219,    0
 11086, 56634,20080906,  167,    0
 11086, 56634,20080907,  168,    0
 11086, 56634,20080908,  200,    0
 11086, 56634,20080909,  228,    0
 11086, 56634,20080910,  231,    0
 11086, 56634,20080911,  223,    0
 11086, 56634,20080912,  147,    0
 11086, 56634,20080913,  135,    0
 11086, 56634,20080914,  153,    0
 11086, 56634,20080915,  158,    0
 11086, 56634,20080916,  164,    0
 11086, 56634,20080917,  190,    0
 11086, 56634,20080918,  192,    0
 11086, 56634,20080919,  188,    0
 11086, 56634,20080920,  183,    0
 11086, 56634,20080921,  196,    0
 11086, 56634,20080922,  172,    0
 11086, 56634,20080923,  124,    0
 11086, 56634,20080924,  130,    0
 11086, 56634,20080925,  128,    0
 11086, 56634,20080926,  132,    0
 11086, 56634,20080927,  142,    0
 11086, 56634,20080928,  142,    0
 11086, 56634,20080929,  150,    0
 11086, 56634,20080930,  135,    0
