EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station LOSSIEMOUTH, UNITED KINGDOM (STAID: 11106)
Blended and updated with sources:56859 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 11106, 56859,20130101,   32,    0
 11106, 56859,20130102,   74,    0
 11106, 56859,20130103,   85,    0
 11106, 56859,20130104,   84,    0
 11106, 56859,20130105,   67,    0
 11106, 56859,20130106,   68,    0
 11106, 56859,20130107,   61,    0
 11106, 56859,20130108,   74,    0
 11106, 56859,20130109,   55,    0
 11106, 56859,20130110,   54,    1
 11106, 56859,20130111,   16,    0
 11106, 56859,20130112,   16,    0
 11106, 56859,20130113,   27,    0
 11106, 56859,20130114,    6,    0
 11106, 56859,20130115,  -12,    0
 11106, 56859,20130116,  -22,    0
 11106, 56859,20130117,    2,    0
 11106, 56859,20130118,   18,    0
 11106, 56859,20130119,   17,    0
 11106, 56859,20130120,    9,    0
 11106, 56859,20130121,   10,    0
 11106, 56859,20130122,   18,    0
 11106, 56859,20130123,    3,    0
 11106, 56859,20130124,   -6,    0
 11106, 56859,20130125,   16,    0
 11106, 56859,20130126,   38,    0
 11106, 56859,20130127,   43,    0
 11106, 56859,20130128,   55,    0
 11106, 56859,20130129,   67,    0
 11106, 56859,20130130,   65,    1
 11106, 56859,20130131,   27,    0
 11106, 56859,20130201,   35,    0
 11106, 56859,20130202,   41,    0
 11106, 56859,20130203,   48,    1
 11106, 56859,20130204,   21,    0
 11106, 56859,20130205,   31,    0
 11106, 56859,20130206,   33,    0
 11106, 56859,20130207,   27,    0
