EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SKOMVAER FYR, NORWAY (STAID: 11137)
Blended and updated with sources:57170 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 11137, 57170,19570101,   10,    0
 11137, 57170,19570102,    7,    0
 11137, 57170,19570103,   -1,    0
 11137, 57170,19570104,   17,    0
 11137, 57170,19570105,   33,    0
 11137, 57170,19570106,   24,    0
 11137, 57170,19570107,   43,    0
 11137, 57170,19570108,   47,    0
 11137, 57170,19570109,   25,    0
 11137, 57170,19570110,   34,    0
 11137, 57170,19570111,    7,    0
 11137, 57170,19570112,    4,    0
 11137, 57170,19570113,    7,    0
 11137, 57170,19570114,   36,    0
 11137, 57170,19570115,    0,    0
 11137, 57170,19570116,   52,    0
 11137, 57170,19570117,   58,    0
 11137, 57170,19570118,   28,    0
 11137, 57170,19570119,   11,    0
 11137, 57170,19570120,   36,    0
 11137, 57170,19570121,   13,    0
 11137, 57170,19570122,   28,    0
 11137, 57170,19570123,   38,    0
 11137, 57170,19570124,   32,    0
 11137, 57170,19570125,   13,    0
 11137, 57170,19570126,   20,    0
 11137, 57170,19570127,   26,    0
 11137, 57170,19570128,   37,    0
 11137, 57170,19570129,   52,    0
 11137, 57170,19570130,   58,    0
