EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KARDLA, ESTONIA (STAID: 11352)
Blended and updated with sources:75010 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 11352, 75010,19630901,  196,    0
 11352, 75010,19630902,  190,    0
 11352, 75010,19630903,  191,    0
 11352, 75010,19630904,  172,    0
 11352, 75010,19630905,  147,    0
 11352, 75010,19630906,  157,    0
 11352, 75010,19630907,  151,    0
 11352, 75010,19630908,  128,    0
 11352, 75010,19630909,  127,    0
 11352, 75010,19630910,  135,    0
 11352, 75010,19630911,  147,    0
 11352, 75010,19630912,  122,    0
 11352, 75010,19630913,  127,    0
 11352, 75010,19630914,  132,    0
 11352, 75010,19630915,  132,    0
 11352, 75010,19630916,  135,    0
 11352, 75010,19630917,  141,    0
 11352, 75010,19630918,  152,    0
 11352, 75010,19630919,  122,    0
 11352, 75010,19630920,   76,    0
 11352, 75010,19630921,   86,    0
 11352, 75010,19630922,  108,    0
 11352, 75010,19630923,  126,    0
 11352, 75010,19630924,  136,    0
 11352, 75010,19630925,  148,    0
 11352, 75010,19630926,  128,    0
 11352, 75010,19630927,  113,    0
 11352, 75010,19630928,   92,    0
 11352, 75010,19630929,   74,    0
 11352, 75010,19630930,   73,    0
 11352, 75010,19631001,   88,    0
 11352, 75010,19631002,   80,    0
 11352, 75010,19631003,   91,    0
 11352, 75010,19631004,   96,    0
 11352, 75010,19631005,  103,    0
 11352, 75010,19631006,   78,    0
 11352, 75010,19631007,   73,    0
 11352, 75010,19631008,   67,    0
 11352, 75010,19631009,   86,    0
 11352, 75010,19631010,   80,    0
 11352, 75010,19631011,   85,    0
 11352, 75010,19631012,   91,    0
 11352, 75010,19631013,   74,    0
 11352, 75010,19631014,   78,    0
 11352, 75010,19631015,   60,    0
 11352, 75010,19631016,   62,    0
 11352, 75010,19631017,   91,    0
 11352, 75010,19631018,   66,    0
 11352, 75010,19631019,   85,    0
 11352, 75010,19631020,   76,    0
 11352, 75010,19631021,   80,    0
 11352, 75010,19631022,   93,    0
 11352, 75010,19631023,   78,    0
 11352, 75010,19631024,   71,    0
 11352, 75010,19631025,   85,    0
 11352, 75010,19631026,   66,    0
 11352, 75010,19631027,   86,    0
 11352, 75010,19631028,   69,    0
 11352, 75010,19631029,   73,    0
 11352, 75010,19631030,   20,    0
 11352, 75010,19631031,    8,    0
 11352, 75010,19631101,   19,    0
 11352, 75010,19631102,    2,    0
 11352, 75010,19631103,   12,    0
 11352, 75010,19631104,   41,    0
 11352, 75010,19631105,   29,    0
 11352, 75010,19631106,   17,    0
 11352, 75010,19631107,   30,    0
 11352, 75010,19631108,   80,    0
 11352, 75010,19631109,   77,    0
 11352, 75010,19631110,   52,    0
 11352, 75010,19631111,   35,    0
 11352, 75010,19631112,   11,    0
 11352, 75010,19631113,   22,    0
 11352, 75010,19631114,   53,    0
 11352, 75010,19631115,   48,    0
 11352, 75010,19631116,   45,    0
 11352, 75010,19631117,   43,    0
 11352, 75010,19631118,   18,    0
 11352, 75010,19631119,   66,    0
 11352, 75010,19631120,   20,    0
 11352, 75010,19631121,   26,    0
 11352, 75010,19631122,   -1,    0
 11352, 75010,19631123,   -3,    0
 11352, 75010,19631124,  -32,    0
 11352, 75010,19631125,  -32,    0
 11352, 75010,19631126,  -44,    0
 11352, 75010,19631127,  -32,    0
 11352, 75010,19631128,   -1,    0
 11352, 75010,19631129,  -14,    0
 11352, 75010,19631130,  -16,    0
 11352, 75010,19631201,  -46,    0
 11352, 75010,19631202,  -39,    0
 11352, 75010,19631203,    6,    0
 11352, 75010,19631204,   19,    0
 11352, 75010,19631205,  -18,    0
 11352, 75010,19631206,   18,    0
 11352, 75010,19631207,   22,    0
 11352, 75010,19631208,    5,    0
 11352, 75010,19631209,  -22,    0
 11352, 75010,19631210,  -29,    0
 11352, 75010,19631211,  -26,    0
 11352, 75010,19631212,  -95,    0
 11352, 75010,19631213,  -74,    0
 11352, 75010,19631214,   22,    0
 11352, 75010,19631215,  -26,    0
 11352, 75010,19631216,    9,    0
 11352, 75010,19631217,  -54,    0
 11352, 75010,19631218,  -56,    0
 11352, 75010,19631219,  -45,    0
 11352, 75010,19631220,  -53,    0
 11352, 75010,19631221,  -62,    0
 11352, 75010,19631222,  -38,    0
 11352, 75010,19631223,  -26,    0
 11352, 75010,19631224,   32,    0
 11352, 75010,19631225,    0,    0
 11352, 75010,19631226,   15,    0
 11352, 75010,19631227,   34,    0
 11352, 75010,19631228,   17,    0
 11352, 75010,19631229,   17,    0
 11352, 75010,19631230,   28,    0
 11352, 75010,19631231,   38,    0
 11352, 75010,19640101,   34,    0
 11352, 75010,19640102,    6,    0
 11352, 75010,19640103,   -6,    0
 11352, 75010,19640104,   27,    0
 11352, 75010,19640105,   17,    0
 11352, 75010,19640106,    7,    0
 11352, 75010,19640107,    3,    0
 11352, 75010,19640108,    0,    0
 11352, 75010,19640109,   10,    0
 11352, 75010,19640110,   18,    0
 11352, 75010,19640111,    8,    0
 11352, 75010,19640112,    5,    0
 11352, 75010,19640113,  -12,    0
 11352, 75010,19640114,  -31,    0
 11352, 75010,19640115,  -61,    0
 11352, 75010,19640116,  -48,    0
 11352, 75010,19640117,  -11,    0
 11352, 75010,19640118,    9,    0
 11352, 75010,19640119,    9,    0
 11352, 75010,19640120,    1,    0
 11352, 75010,19640121,   33,    0
 11352, 75010,19640122,   21,    0
 11352, 75010,19640123,   12,    0
 11352, 75010,19640124,   18,    0
 11352, 75010,19640125,  -21,    0
 11352, 75010,19640126,  -75,    0
 11352, 75010,19640127,  -62,    0
 11352, 75010,19640128,  -67,    0
 11352, 75010,19640129,    4,    0
 11352, 75010,19640130,   17,    0
 11352, 75010,19640131,   16,    0
 11352, 75010,19640201,    8,    0
 11352, 75010,19640202,    4,    0
 11352, 75010,19640203,   -6,    0
 11352, 75010,19640204,    4,    0
 11352, 75010,19640205,   -9,    0
 11352, 75010,19640206,  -18,    0
 11352, 75010,19640207,  -20,    0
 11352, 75010,19640208,  -42,    0
 11352, 75010,19640209,  -93,    0
 11352, 75010,19640210,  -66,    0
 11352, 75010,19640211,  -88,    0
 11352, 75010,19640212, -107,    0
 11352, 75010,19640213, -138,    0
 11352, 75010,19640214, -231,    0
 11352, 75010,19640215, -149,    0
 11352, 75010,19640216,  -80,    0
 11352, 75010,19640217,  -96,    0
 11352, 75010,19640218, -128,    0
 11352, 75010,19640219, -121,    0
 11352, 75010,19640220, -118,    0
 11352, 75010,19640221,  -14,    0
 11352, 75010,19640222,  -35,    0
 11352, 75010,19640223,  -22,    0
 11352, 75010,19640224,  -77,    0
 11352, 75010,19640225,  -97,    0
 11352, 75010,19640226, -112,    0
 11352, 75010,19640227,  -94,    0
 11352, 75010,19640228,  -57,    0
 11352, 75010,19640229,  -31,    0
 11352, 75010,19640301,  -37,    0
 11352, 75010,19640302,  -36,    0
 11352, 75010,19640303,  -44,    0
 11352, 75010,19640304,  -48,    0
 11352, 75010,19640305, -108,    0
 11352, 75010,19640306, -144,    0
 11352, 75010,19640307,  -20,    0
 11352, 75010,19640308,    0,    0
 11352, 75010,19640309,   24,    0
 11352, 75010,19640310,   -1,    0
 11352, 75010,19640311,  -13,    0
 11352, 75010,19640312,  -40,    0
 11352, 75010,19640313,  -96,    0
 11352, 75010,19640314, -100,    0
 11352, 75010,19640315,  -80,    0
 11352, 75010,19640316,  -48,    0
 11352, 75010,19640317,  -62,    0
 11352, 75010,19640318,  -42,    0
 11352, 75010,19640319,  -24,    0
 11352, 75010,19640320,  -41,    0
 11352, 75010,19640321,  -70,    0
 11352, 75010,19640322,  -46,    0
 11352, 75010,19640323,  -49,    0
 11352, 75010,19640324,  -40,    0
 11352, 75010,19640325,  -48,    0
 11352, 75010,19640326,  -35,    0
 11352, 75010,19640327,   -9,    0
 11352, 75010,19640328,   -4,    0
 11352, 75010,19640329,  -10,    0
 11352, 75010,19640330,   -9,    0
 11352, 75010,19640331,   -4,    0
 11352, 75010,19640401,  -14,    0
 11352, 75010,19640402,  -16,    0
 11352, 75010,19640403,  -12,    0
 11352, 75010,19640404,  -14,    0
 11352, 75010,19640405,    4,    0
 11352, 75010,19640406,   -3,    0
 11352, 75010,19640407,   -1,    0
 11352, 75010,19640408,    2,    0
 11352, 75010,19640409,    8,    0
 11352, 75010,19640410,   -3,    0
 11352, 75010,19640411,   17,    0
 11352, 75010,19640412,   36,    0
 11352, 75010,19640413,   32,    0
 11352, 75010,19640414,   43,    0
 11352, 75010,19640415,   16,    0
 11352, 75010,19640416,   45,    0
 11352, 75010,19640417,   84,    0
 11352, 75010,19640418,   94,    0
 11352, 75010,19640419,   86,    0
 11352, 75010,19640420,   96,    0
 11352, 75010,19640421,   69,    0
 11352, 75010,19640422,   26,    0
 11352, 75010,19640423,   21,    0
 11352, 75010,19640424,   22,    0
 11352, 75010,19640425,   10,    0
 11352, 75010,19640426,   36,    0
 11352, 75010,19640427,   48,    0
 11352, 75010,19640428,   62,    0
 11352, 75010,19640429,   98,    0
 11352, 75010,19640430,   78,    0
 11352, 75010,19640501,   53,    0
 11352, 75010,19640502,   68,    0
 11352, 75010,19640503,   52,    0
 11352, 75010,19640504,   55,    0
 11352, 75010,19640505,   82,    0
 11352, 75010,19640506,   75,    0
 11352, 75010,19640507,   90,    0
 11352, 75010,19640508,  106,    0
 11352, 75010,19640509,   89,    0
 11352, 75010,19640510,   97,    0
 11352, 75010,19640511,   85,    0
 11352, 75010,19640512,   66,    0
 11352, 75010,19640513,   93,    0
 11352, 75010,19640514,  118,    0
 11352, 75010,19640515,   80,    0
 11352, 75010,19640516,   65,    0
 11352, 75010,19640517,   58,    0
 11352, 75010,19640518,   64,    0
 11352, 75010,19640519,   80,    0
 11352, 75010,19640520,   87,    0
 11352, 75010,19640521,  106,    0
 11352, 75010,19640522,   88,    0
 11352, 75010,19640523,  111,    0
 11352, 75010,19640524,  111,    0
 11352, 75010,19640525,  112,    0
 11352, 75010,19640526,  130,    0
 11352, 75010,19640527,  139,    0
 11352, 75010,19640528,  138,    0
 11352, 75010,19640529,  126,    0
 11352, 75010,19640530,  136,    0
 11352, 75010,19640531,  109,    0
 11352, 75010,19640601,  105,    0
 11352, 75010,19640602,  100,    0
 11352, 75010,19640603,  120,    0
 11352, 75010,19640604,  100,    0
 11352, 75010,19640605,  101,    0
 11352, 75010,19640606,  140,    0
 11352, 75010,19640607,  110,    0
 11352, 75010,19640608,  122,    0
 11352, 75010,19640609,  137,    0
 11352, 75010,19640610,  145,    0
 11352, 75010,19640611,  140,    0
 11352, 75010,19640612,  158,    0
 11352, 75010,19640613,  139,    0
 11352, 75010,19640614,  180,    0
 11352, 75010,19640615,  212,    0
 11352, 75010,19640616,  150,    0
 11352, 75010,19640617,  132,    0
 11352, 75010,19640618,  129,    0
 11352, 75010,19640619,  161,    0
 11352, 75010,19640620,  185,    0
 11352, 75010,19640621,  140,    0
 11352, 75010,19640622,  160,    0
 11352, 75010,19640623,  186,    0
 11352, 75010,19640624,  149,    0
 11352, 75010,19640625,  144,    0
 11352, 75010,19640626,  153,    0
 11352, 75010,19640627,  158,    0
 11352, 75010,19640628,  158,    0
 11352, 75010,19640629,  136,    0
 11352, 75010,19640630,  132,    0
 11352, 75010,19640701,  127,    0
 11352, 75010,19640702,  155,    0
 11352, 75010,19640703,  149,    0
 11352, 75010,19640704,  148,    0
 11352, 75010,19640705,  128,    0
 11352, 75010,19640706,  127,    0
 11352, 75010,19640707,  126,    0
 11352, 75010,19640708,  124,    0
 11352, 75010,19640709,  152,    0
 11352, 75010,19640710,  160,    0
 11352, 75010,19640711,  150,    0
 11352, 75010,19640712,  158,    0
 11352, 75010,19640713,  185,    0
 11352, 75010,19640714,  171,    0
 11352, 75010,19640715,  188,    0
 11352, 75010,19640716,  193,    0
 11352, 75010,19640717,  199,    0
 11352, 75010,19640718,  186,    0
 11352, 75010,19640719,  187,    0
 11352, 75010,19640720,  174,    0
 11352, 75010,19640721,  175,    0
 11352, 75010,19640722,  167,    0
 11352, 75010,19640723,  193,    0
 11352, 75010,19640724,  193,    0
 11352, 75010,19640725,  173,    0
 11352, 75010,19640726,  180,    0
 11352, 75010,19640727,  177,    0
 11352, 75010,19640728,  196,    0
 11352, 75010,19640729,  170,    0
 11352, 75010,19640730,  140,    0
 11352, 75010,19640731,  143,    0
 11352, 75010,19640801,  139,    0
 11352, 75010,19640802,  140,    0
 11352, 75010,19640803,  141,    0
 11352, 75010,19640804,  142,    0
 11352, 75010,19640805,  156,    0
 11352, 75010,19640806,  170,    0
 11352, 75010,19640807,  168,    0
 11352, 75010,19640808,  182,    0
 11352, 75010,19640809,  170,    0
 11352, 75010,19640810,  170,    0
 11352, 75010,19640811,  167,    0
 11352, 75010,19640812,  138,    0
 11352, 75010,19640813,  127,    0
 11352, 75010,19640814,  111,    0
 11352, 75010,19640815,  130,    0
 11352, 75010,19640816,  145,    0
 11352, 75010,19640817,  136,    0
 11352, 75010,19640818,  146,    0
 11352, 75010,19640819,  189,    0
 11352, 75010,19640820,  172,    0
 11352, 75010,19640821,  149,    0
 11352, 75010,19640822,  123,    0
 11352, 75010,19640823,  128,    0
 11352, 75010,19640824,  150,    0
 11352, 75010,19640825,  144,    0
 11352, 75010,19640826,  139,    0
 11352, 75010,19640827,  177,    0
 11352, 75010,19640828,  166,    0
 11352, 75010,19640829,  154,    0
 11352, 75010,19640830,  146,    0
 11352, 75010,19640831,  114,    0
 11352, 75010,19640901,  128,    0
 11352, 75010,19640902,  125,    0
 11352, 75010,19640903,  120,    0
 11352, 75010,19640904,  130,    0
 11352, 75010,19640905,  143,    0
 11352, 75010,19640906,  134,    0
 11352, 75010,19640907,  144,    0
 11352, 75010,19640908,  149,    0
 11352, 75010,19640909,  121,    0
 11352, 75010,19640910,   84,    0
 11352, 75010,19640911,   78,    0
 11352, 75010,19640912,   70,    0
 11352, 75010,19640913,   98,    0
 11352, 75010,19640914,  100,    0
 11352, 75010,19640915,  140,    0
 11352, 75010,19640916,  147,    0
 11352, 75010,19640917,  132,    0
 11352, 75010,19640918,  109,    0
 11352, 75010,19640919,   87,    0
 11352, 75010,19640920,   84,    0
 11352, 75010,19640921,   92,    0
 11352, 75010,19640922,   58,    0
 11352, 75010,19640923,   84,    0
 11352, 75010,19640924,  132,    0
 11352, 75010,19640925,  130,    0
 11352, 75010,19640926,  110,    0
 11352, 75010,19640927,  114,    0
 11352, 75010,19640928,  116,    0
 11352, 75010,19640929,  115,    0
 11352, 75010,19640930,   89,    0
 11352, 75010,19641001,   86,    0
 11352, 75010,19641002,   90,    0
 11352, 75010,19641003,   82,    0
 11352, 75010,19641004,   96,    0
 11352, 75010,19641005,   90,    0
 11352, 75010,19641006,   84,    0
 11352, 75010,19641007,  100,    0
 11352, 75010,19641008,  116,    0
 11352, 75010,19641009,  118,    0
 11352, 75010,19641010,  112,    0
 11352, 75010,19641011,   98,    0
 11352, 75010,19641012,   77,    0
 11352, 75010,19641013,   59,    0
 11352, 75010,19641014,  114,    0
 11352, 75010,19641015,   88,    0
 11352, 75010,19641016,   82,    0
 11352, 75010,19641017,   90,    0
 11352, 75010,19641018,   83,    0
 11352, 75010,19641019,   75,    0
 11352, 75010,19641020,   92,    0
 11352, 75010,19641021,   94,    0
 11352, 75010,19641022,   66,    0
 11352, 75010,19641023,   86,    0
 11352, 75010,19641024,   86,    0
 11352, 75010,19641025,   75,    0
 11352, 75010,19641026,   47,    0
 11352, 75010,19641027,   43,    0
 11352, 75010,19641028,   47,    0
 11352, 75010,19641029,   50,    0
 11352, 75010,19641030,   56,    0
 11352, 75010,19641031,   64,    0
 11352, 75010,19641101,   61,    0
 11352, 75010,19641102,   57,    0
 11352, 75010,19641103,   66,    0
 11352, 75010,19641104,   72,    0
 11352, 75010,19641105,   32,    0
 11352, 75010,19641106,   21,    0
 11352, 75010,19641107,    4,    0
 11352, 75010,19641108,    0,    0
 11352, 75010,19641109,   16,    0
 11352, 75010,19641110,   62,    0
 11352, 75010,19641111,   54,    0
 11352, 75010,19641112,   27,    0
 11352, 75010,19641113,   52,    0
 11352, 75010,19641114,   62,    0
 11352, 75010,19641115,   72,    0
 11352, 75010,19641116,   64,    0
 11352, 75010,19641117,   38,    0
 11352, 75010,19641118,   41,    0
 11352, 75010,19641119,   28,    0
 11352, 75010,19641120,   16,    0
 11352, 75010,19641121,    2,    0
 11352, 75010,19641122,  -28,    0
 11352, 75010,19641123,    5,    0
 11352, 75010,19641124,   28,    0
 11352, 75010,19641125,   38,    0
 11352, 75010,19641126,   20,    0
 11352, 75010,19641127,    9,    0
 11352, 75010,19641128,   27,    0
 11352, 75010,19641129,    1,    0
 11352, 75010,19641130,  -20,    0
 11352, 75010,19641201,  -52,    0
 11352, 75010,19641202,  -44,    0
 11352, 75010,19641203,  -10,    0
 11352, 75010,19641204,  -30,    0
 11352, 75010,19641205,  -12,    0
 11352, 75010,19641206,    6,    0
 11352, 75010,19641207,    5,    0
 11352, 75010,19641208,    8,    0
 11352, 75010,19641209,   44,    0
 11352, 75010,19641210,   72,    0
 11352, 75010,19641211,   56,    0
 11352, 75010,19641212,   41,    0
 11352, 75010,19641213,   30,    0
 11352, 75010,19641214,   32,    0
 11352, 75010,19641215,    6,    0
 11352, 75010,19641216,   20,    0
 11352, 75010,19641217,   20,    0
 11352, 75010,19641218,    4,    0
 11352, 75010,19641219,  -11,    0
 11352, 75010,19641220,  -39,    0
 11352, 75010,19641221,  -39,    0
 11352, 75010,19641222,   30,    0
 11352, 75010,19641223,   29,    0
 11352, 75010,19641224,   27,    0
 11352, 75010,19641225,   10,    0
 11352, 75010,19641226,  -28,    0
 11352, 75010,19641227,  -37,    0
 11352, 75010,19641228,  -54,    0
 11352, 75010,19641229,  -90,    0
 11352, 75010,19641230,  -35,    0
 11352, 75010,19641231,   -5,    0
 11352, 75010,19650101,   17,    0
 11352, 75010,19650102,   20,    0
 11352, 75010,19650103,   -2,    0
 11352, 75010,19650104,   -8,    0
 11352, 75010,19650105,   -5,    0
 11352, 75010,19650106,  -34,    0
 11352, 75010,19650107,  -46,    0
 11352, 75010,19650108,   -2,    0
 11352, 75010,19650109,  -89,    0
 11352, 75010,19650110,  -70,    0
 11352, 75010,19650111,  -67,    0
 11352, 75010,19650112,    1,    0
 11352, 75010,19650113,   -5,    0
 11352, 75010,19650114,   22,    0
 11352, 75010,19650115,   24,    0
 11352, 75010,19650116,   16,    0
 11352, 75010,19650117,    9,    0
 11352, 75010,19650118,   26,    0
 11352, 75010,19650119,   10,    0
 11352, 75010,19650120,    2,    0
 11352, 75010,19650121,  -31,    0
 11352, 75010,19650122,  -20,    0
 11352, 75010,19650123,    0,    0
 11352, 75010,19650124,  -16,    0
 11352, 75010,19650125,  -16,    0
 11352, 75010,19650126,  -18,    0
 11352, 75010,19650127,  -68,    0
 11352, 75010,19650128,  -80,    0
 11352, 75010,19650129,  -71,    0
 11352, 75010,19650130,  -39,    0
 11352, 75010,19650131,  -18,    0
 11352, 75010,19650201,  -16,    0
 11352, 75010,19650202,  -22,    0
 11352, 75010,19650203,  -20,    0
 11352, 75010,19650204,  -85,    0
 11352, 75010,19650205, -138,    0
 11352, 75010,19650206,  -22,    0
 11352, 75010,19650207,    5,    0
 11352, 75010,19650208,  -47,    0
 11352, 75010,19650209,  -40,    0
 11352, 75010,19650210,  -12,    0
 11352, 75010,19650211,  -30,    0
 11352, 75010,19650212,    5,    0
 11352, 75010,19650213,    9,    0
 11352, 75010,19650214,  -17,    0
 11352, 75010,19650215,  -25,    0
 11352, 75010,19650216,  -53,    0
 11352, 75010,19650217,  -36,    0
 11352, 75010,19650218,  -63,    0
 11352, 75010,19650219,  -70,    0
 11352, 75010,19650220,  -36,    0
 11352, 75010,19650221,   -1,    0
 11352, 75010,19650222,  -49,    0
 11352, 75010,19650223,  -78,    0
 11352, 75010,19650224,  -60,    0
 11352, 75010,19650225,  -90,    0
 11352, 75010,19650226, -104,    0
 11352, 75010,19650227, -120,    0
 11352, 75010,19650228, -134,    0
 11352, 75010,19650301, -118,    0
 11352, 75010,19650302, -116,    0
 11352, 75010,19650303, -105,    0
 11352, 75010,19650304,  -58,    0
 11352, 75010,19650305,  -52,    0
 11352, 75010,19650306,  -79,    0
 11352, 75010,19650307,  -70,    0
 11352, 75010,19650308,  -14,    0
 11352, 75010,19650309,  -18,    0
 11352, 75010,19650310,  -31,    0
 11352, 75010,19650311,  -10,    0
 11352, 75010,19650312,   -9,    0
 11352, 75010,19650313,  -13,    0
 11352, 75010,19650314,    3,    0
 11352, 75010,19650315,    2,    0
 11352, 75010,19650316,    6,    0
 11352, 75010,19650317,   20,    0
 11352, 75010,19650318,   16,    0
 11352, 75010,19650319,   11,    0
 11352, 75010,19650320,   12,    0
 11352, 75010,19650321,    2,    0
 11352, 75010,19650322,  -17,    0
 11352, 75010,19650323,  -14,    0
 11352, 75010,19650324,    0,    0
 11352, 75010,19650325,   -2,    0
 11352, 75010,19650326,  -18,    0
 11352, 75010,19650327,  -17,    0
 11352, 75010,19650328,   -3,    0
 11352, 75010,19650329,   22,    0
 11352, 75010,19650330,   17,    0
 11352, 75010,19650331,   10,    0
 11352, 75010,19650401,    1,    0
 11352, 75010,19650402,  -19,    0
 11352, 75010,19650403,  -22,    0
 11352, 75010,19650404,    8,    0
 11352, 75010,19650405,   13,    0
 11352, 75010,19650406,   19,    0
 11352, 75010,19650407,   19,    0
 11352, 75010,19650408,  -25,    0
 11352, 75010,19650409,  -30,    0
 11352, 75010,19650410,  -16,    0
 11352, 75010,19650411,    8,    0
 11352, 75010,19650412,   20,    0
 11352, 75010,19650413,   36,    0
 11352, 75010,19650414,   42,    0
 11352, 75010,19650415,   30,    0
 11352, 75010,19650416,   48,    0
 11352, 75010,19650417,   47,    0
 11352, 75010,19650418,   75,    0
 11352, 75010,19650419,   58,    0
 11352, 75010,19650420,   90,    0
 11352, 75010,19650421,   60,    0
 11352, 75010,19650422,   61,    0
 11352, 75010,19650423,   74,    0
 11352, 75010,19650424,   67,    0
 11352, 75010,19650425,   55,    0
 11352, 75010,19650426,   54,    0
 11352, 75010,19650427,   76,    0
 11352, 75010,19650428,   57,    0
 11352, 75010,19650429,   60,    0
 11352, 75010,19650430,   63,    0
 11352, 75010,19650501,   38,    0
 11352, 75010,19650502,   32,    0
 11352, 75010,19650503,   38,    0
 11352, 75010,19650504,   40,    0
 11352, 75010,19650505,   55,    0
 11352, 75010,19650506,   64,    0
 11352, 75010,19650507,   61,    0
 11352, 75010,19650508,   62,    0
 11352, 75010,19650509,   70,    0
 11352, 75010,19650510,   73,    0
 11352, 75010,19650511,   64,    0
 11352, 75010,19650512,   69,    0
 11352, 75010,19650513,   68,    0
 11352, 75010,19650514,   46,    0
 11352, 75010,19650515,   46,    0
 11352, 75010,19650516,   36,    0
 11352, 75010,19650517,   53,    0
 11352, 75010,19650518,   61,    0
 11352, 75010,19650519,   63,    0
 11352, 75010,19650520,   65,    0
 11352, 75010,19650521,   50,    0
 11352, 75010,19650522,   52,    0
 11352, 75010,19650523,   63,    0
 11352, 75010,19650524,   57,    0
 11352, 75010,19650525,   78,    0
 11352, 75010,19650526,  106,    0
 11352, 75010,19650527,   92,    0
 11352, 75010,19650528,   92,    0
 11352, 75010,19650529,   82,    0
 11352, 75010,19650530,   86,    0
 11352, 75010,19650531,   88,    0
 11352, 75010,19650601,   92,    0
 11352, 75010,19650602,  102,    0
 11352, 75010,19650603,  110,    0
 11352, 75010,19650604,  101,    0
 11352, 75010,19650605,  104,    0
 11352, 75010,19650606,  114,    0
 11352, 75010,19650607,  116,    0
 11352, 75010,19650608,  136,    0
 11352, 75010,19650609,  136,    0
 11352, 75010,19650610,  164,    0
 11352, 75010,19650611,  161,    0
 11352, 75010,19650612,  138,    0
 11352, 75010,19650613,  116,    0
 11352, 75010,19650614,  122,    0
 11352, 75010,19650615,  133,    0
 11352, 75010,19650616,  150,    0
 11352, 75010,19650617,  196,    0
 11352, 75010,19650618,  175,    0
 11352, 75010,19650619,  126,    0
 11352, 75010,19650620,  124,    0
 11352, 75010,19650621,  139,    0
 11352, 75010,19650622,  160,    0
 11352, 75010,19650623,  154,    0
 11352, 75010,19650624,  143,    0
 11352, 75010,19650625,  142,    0
 11352, 75010,19650626,  163,    0
 11352, 75010,19650627,  157,    0
 11352, 75010,19650628,  133,    0
 11352, 75010,19650629,  129,    0
 11352, 75010,19650630,  128,    0
 11352, 75010,19650701,  114,    0
 11352, 75010,19650702,  122,    0
 11352, 75010,19650703,  120,    0
 11352, 75010,19650704,  123,    0
 11352, 75010,19650705,  124,    0
 11352, 75010,19650706,  128,    0
 11352, 75010,19650707,  121,    0
 11352, 75010,19650708,  124,    0
 11352, 75010,19650709,  112,    0
 11352, 75010,19650710,  120,    0
 11352, 75010,19650711,  137,    0
 11352, 75010,19650712,  123,    0
 11352, 75010,19650713,  138,    0
 11352, 75010,19650714,  152,    0
 11352, 75010,19650715,  128,    0
 11352, 75010,19650716,  141,    0
 11352, 75010,19650717,  148,    0
 11352, 75010,19650718,  156,    0
 11352, 75010,19650719,  162,    0
 11352, 75010,19650720,  171,    0
 11352, 75010,19650721,  168,    0
 11352, 75010,19650722,  172,    0
 11352, 75010,19650723,  198,    0
 11352, 75010,19650724,  160,    0
 11352, 75010,19650725,  157,    0
 11352, 75010,19650726,  143,    0
 11352, 75010,19650727,  138,    0
 11352, 75010,19650728,  146,    0
 11352, 75010,19650729,  137,    0
 11352, 75010,19650730,  154,    0
 11352, 75010,19650731,  136,    0
 11352, 75010,19650801,  141,    0
 11352, 75010,19650802,  151,    0
 11352, 75010,19650803,  122,    0
 11352, 75010,19650804,  139,    0
 11352, 75010,19650805,  139,    0
