EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KURESSAARE, ESTONIA (STAID: 11353)
Blended and updated with sources:75014 926215 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 11353, 75014,19480901,  135,    0
 11353, 75014,19480902,  131,    0
 11353, 75014,19480903,  152,    0
 11353, 75014,19480904,  136,    0
 11353, 75014,19480905,  157,    0
 11353, 75014,19480906,  161,    0
 11353, 75014,19480907,  151,    0
 11353, 75014,19480908,  150,    0
 11353, 75014,19480909,  157,    0
 11353, 75014,19480910,  151,    0
 11353, 75014,19480911,  132,    0
 11353, 75014,19480912,  168,    0
 11353, 75014,19480913,  163,    0
 11353, 75014,19480914,  158,    0
 11353, 75014,19480915,  148,    0
 11353, 75014,19480916,  138,    0
 11353, 75014,19480917,  122,    0
 11353, 75014,19480918,  130,    0
 11353, 75014,19480919,  116,    0
 11353, 75014,19480920,   82,    0
 11353, 75014,19480921,   77,    0
 11353, 75014,19480922,   75,    0
 11353, 75014,19480923,   69,    0
 11353, 75014,19480924,   82,    0
 11353, 75014,19480925,   81,    0
 11353, 75014,19480926,   76,    0
 11353, 75014,19480927,   78,    0
 11353, 75014,19480928,  134,    0
 11353, 75014,19480929,  137,    0
 11353, 75014,19480930,  106,    0
 11353, 75014,19481001,   74,    0
 11353, 75014,19481002,  110,    0
 11353, 75014,19481003,  103,    0
 11353, 75014,19481004,   60,    0
 11353, 75014,19481005,   70,    0
 11353, 75014,19481006,   90,    0
 11353, 75014,19481007,  104,    0
 11353, 75014,19481008,   87,    0
 11353, 75014,19481009,   51,    0
 11353, 75014,19481010,   36,    0
 11353, 75014,19481011,   38,    0
 11353, 75014,19481012,   76,    0
 11353, 75014,19481013,   76,    0
 11353, 75014,19481014,   90,    0
 11353, 75014,19481015,  100,    0
 11353, 75014,19481016,  102,    0
 11353, 75014,19481017,   92,    0
 11353, 75014,19481018,  101,    0
 11353, 75014,19481019,  105,    0
 11353, 75014,19481020,   96,    0
 11353, 75014,19481021,   99,    0
 11353, 75014,19481022,   79,    0
 11353, 75014,19481023,   76,    0
 11353, 75014,19481024,   46,    0
 11353, 75014,19481025,   44,    0
 11353, 75014,19481026,   82,    0
 11353, 75014,19481027,   57,    0
 11353, 75014,19481028,   32,    0
 11353, 75014,19481029,   12,    0
 11353, 75014,19481030,   -7,    0
 11353, 75014,19481031,  -13,    0
 11353, 75014,19481101,   16,    0
 11353, 75014,19481102,   36,    0
 11353, 75014,19481103,   54,    0
 11353, 75014,19481104,   69,    0
 11353, 75014,19481105,   79,    0
 11353, 75014,19481106,   63,    0
 11353, 75014,19481107,   26,    0
 11353, 75014,19481108,   28,    0
 11353, 75014,19481109,   -4,    0
 11353, 75014,19481110,   34,    0
 11353, 75014,19481111,    8,    0
 11353, 75014,19481112,  -18,    0
 11353, 75014,19481113,   -1,    0
 11353, 75014,19481114,   25,    0
 11353, 75014,19481115,   38,    0
 11353, 75014,19481116,   44,    0
 11353, 75014,19481117,   50,    0
 11353, 75014,19481118,   57,    0
 11353, 75014,19481119,   51,    0
 11353, 75014,19481120,   46,    0
 11353, 75014,19481121,   64,    0
 11353, 75014,19481122,   25,    0
 11353, 75014,19481123,  -22,    0
 11353, 75014,19481124,  -21,    0
 11353, 75014,19481125,  -14,    0
 11353, 75014,19481126,   24,    0
 11353, 75014,19481127,   34,    0
 11353, 75014,19481128,   28,    0
 11353, 75014,19481129,   40,    0
 11353, 75014,19481130,   39,    0
 11353, 75014,19481201,   55,    0
 11353, 75014,19481202,   30,    0
 11353, 75014,19481203,   51,    0
 11353, 75014,19481204,   57,    0
 11353, 75014,19481205,   53,    0
 11353, 75014,19481206,   38,    0
 11353, 75014,19481207,   42,    0
 11353, 75014,19481208,   61,    0
 11353, 75014,19481209,   52,    0
 11353, 75014,19481210,   34,    0
 11353, 75014,19481211,   27,    0
 11353, 75014,19481212,   -9,    0
 11353, 75014,19481213,  -14,    0
 11353, 75014,19481214,  -12,    0
 11353, 75014,19481215,   25,    0
 11353, 75014,19481216,   30,    0
 11353, 75014,19481217,   13,    0
 11353, 75014,19481218,   -8,    0
 11353, 75014,19481219,   19,    0
 11353, 75014,19481220,   34,    0
 11353, 75014,19481221,   12,    0
 11353, 75014,19481222,  -15,    0
 11353, 75014,19481223,   14,    0
 11353, 75014,19481224,  -20,    0
 11353, 75014,19481225,   19,    0
 11353, 75014,19481226,   12,    0
 11353, 75014,19481227,   10,    0
 11353, 75014,19481228,   19,    0
 11353, 75014,19481229,    2,    0
 11353, 75014,19481230,   32,    0
 11353, 75014,19481231,   18,    0
 11353, 75014,19490101,   16,    0
 11353, 75014,19490102,   14,    0
 11353, 75014,19490103,   16,    0
 11353, 75014,19490104,   27,    0
 11353, 75014,19490105,   24,    0
 11353, 75014,19490106,   23,    0
 11353, 75014,19490107,   36,    0
 11353, 75014,19490108,   29,    0
 11353, 75014,19490109,    9,    0
 11353, 75014,19490110,    6,    0
 11353, 75014,19490111,   26,    0
 11353, 75014,19490112,   10,    0
 11353, 75014,19490113,    0,    0
 11353, 75014,19490114,   28,    0
 11353, 75014,19490115,   13,    0
 11353, 75014,19490116,  -30,    0
 11353, 75014,19490117,  -32,    0
 11353, 75014,19490118,  -15,    0
 11353, 75014,19490119,    3,    0
 11353, 75014,19490120,   26,    0
 11353, 75014,19490121,   -7,    0
 11353, 75014,19490122,  -70,    0
 11353, 75014,19490123,  -39,    0
 11353, 75014,19490124,   24,    0
 11353, 75014,19490125,   23,    0
 11353, 75014,19490126,   14,    0
 11353, 75014,19490127,   17,    0
 11353, 75014,19490128,   23,    0
