EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station TIIRIKOJA, ESTONIA (STAID: 11365)
Blended and updated with sources:75062 926145 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 11365, 75062,19230201,-9999,    9
 11365, 75062,19230202,-9999,    9
 11365, 75062,19230203,-9999,    9
 11365, 75062,19230204,-9999,    9
 11365, 75062,19230205,-9999,    9
 11365, 75062,19230206,-9999,    9
 11365, 75062,19230207,-9999,    9
 11365, 75062,19230208,-9999,    9
 11365, 75062,19230209,-9999,    9
 11365, 75062,19230210, -131,    0
 11365, 75062,19230211, -142,    0
 11365, 75062,19230212, -152,    0
 11365, 75062,19230213, -147,    0
 11365, 75062,19230214, -180,    0
 11365, 75062,19230215, -186,    0
 11365, 75062,19230216, -155,    0
 11365, 75062,19230217, -134,    0
 11365, 75062,19230218, -159,    0
 11365, 75062,19230219, -148,    0
 11365, 75062,19230220, -137,    0
 11365, 75062,19230221, -132,    0
 11365, 75062,19230222, -142,    0
 11365, 75062,19230223, -191,    0
 11365, 75062,19230224, -154,    0
 11365, 75062,19230225, -149,    0
 11365, 75062,19230226, -163,    0
 11365, 75062,19230227,  -76,    0
 11365, 75062,19230228,  -64,    0
 11365, 75062,19230301,  -88,    0
 11365, 75062,19230302,  -92,    0
 11365, 75062,19230303, -110,    0
 11365, 75062,19230304,  -70,    0
 11365, 75062,19230305, -126,    0
 11365, 75062,19230306, -158,    0
 11365, 75062,19230307, -127,    0
 11365, 75062,19230308,  -77,    0
 11365, 75062,19230309,  -69,    0
 11365, 75062,19230310,  -79,    0
 11365, 75062,19230311,  -88,    0
 11365, 75062,19230312, -104,    0
 11365, 75062,19230313,  -80,    0
 11365, 75062,19230314,  -95,    0
 11365, 75062,19230315,  -50,    0
 11365, 75062,19230316,  -14,    0
 11365, 75062,19230317,   19,    0
 11365, 75062,19230318,   -7,    0
 11365, 75062,19230319,   25,    0
 11365, 75062,19230320,   20,    0
 11365, 75062,19230321,   24,    0
 11365, 75062,19230322,   21,    0
 11365, 75062,19230323,   14,    0
 11365, 75062,19230324,   19,    0
 11365, 75062,19230325,   32,    0
 11365, 75062,19230326,   -9,    0
 11365, 75062,19230327,  -12,    0
 11365, 75062,19230328,   21,    0
 11365, 75062,19230329,   21,    0
 11365, 75062,19230330,  -33,    0
 11365, 75062,19230331,  -85,    0
 11365, 75062,19230401,  -51,    0
 11365, 75062,19230402,   -8,    0
 11365, 75062,19230403,  -13,    0
 11365, 75062,19230404,   -3,    0
 11365, 75062,19230405,    6,    0
 11365, 75062,19230406,    0,    0
 11365, 75062,19230407,  -22,    0
 11365, 75062,19230408,   30,    0
 11365, 75062,19230409,    6,    0
 11365, 75062,19230410,   11,    0
 11365, 75062,19230411,   18,    0
 11365, 75062,19230412,  -27,    0
 11365, 75062,19230413,  -15,    0
 11365, 75062,19230414,   -9,    0
 11365, 75062,19230415,   18,    0
 11365, 75062,19230416,    4,    0
 11365, 75062,19230417,    3,    0
 11365, 75062,19230418,    4,    0
 11365, 75062,19230419,   17,    0
 11365, 75062,19230420,   16,    0
 11365, 75062,19230421,    5,    0
 11365, 75062,19230422,    1,    0
 11365, 75062,19230423,   -7,    0
 11365, 75062,19230424,   -4,    0
 11365, 75062,19230425,  -27,    0
 11365, 75062,19230426,    1,    0
 11365, 75062,19230427,   39,    0
 11365, 75062,19230428,   56,    0
 11365, 75062,19230429,   40,    0
 11365, 75062,19230430,   28,    0
 11365, 75062,19230501,   27,    0
 11365, 75062,19230502,    0,    0
 11365, 75062,19230503,    0,    0
 11365, 75062,19230504,    0,    0
 11365, 75062,19230505,   15,    0
 11365, 75062,19230506,   27,    0
 11365, 75062,19230507,   84,    0
 11365, 75062,19230508,   87,    0
 11365, 75062,19230509,   79,    0
 11365, 75062,19230510,   37,    0
 11365, 75062,19230511,   56,    0
 11365, 75062,19230512,   55,    0
 11365, 75062,19230513,   48,    0
 11365, 75062,19230514,   47,    0
 11365, 75062,19230515,   94,    0
 11365, 75062,19230516,   96,    0
 11365, 75062,19230517,   82,    0
 11365, 75062,19230518,   90,    0
 11365, 75062,19230519,   85,    0
 11365, 75062,19230520,   79,    0
 11365, 75062,19230521,   92,    0
 11365, 75062,19230522,  112,    0
 11365, 75062,19230523,  113,    0
 11365, 75062,19230524,   84,    0
 11365, 75062,19230525,  100,    0
 11365, 75062,19230526,   90,    0
 11365, 75062,19230527,  134,    0
 11365, 75062,19230528,  100,    0
 11365, 75062,19230529,   78,    0
