EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station VILJANDI, ESTONIA (STAID: 11371)
Blended and updated with sources:75086 926233 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 11371, 75086,19370101,   31,    0
 11371, 75086,19370102,    8,    0
 11371, 75086,19370103,   14,    0
 11371, 75086,19370104,   18,    0
 11371, 75086,19370105,   47,    0
 11371, 75086,19370106,   19,    0
 11371, 75086,19370107,    3,    0
 11371, 75086,19370108,  -19,    1
 11371, 75086,19370109,  -65,    1
 11371, 75086,19370110,  -34,    1
 11371, 75086,19370111,  -23,    1
 11371, 75086,19370112,  -37,    1
 11371, 75086,19370113,  -93,    1
 11371, 75086,19370114, -106,    1
 11371, 75086,19370115, -113,    1
 11371, 75086,19370116,  -88,    1
 11371, 75086,19370117,  -90,    1
 11371, 75086,19370118, -112,    1
 11371, 75086,19370119, -131,    1
 11371, 75086,19370120, -118,    1
 11371, 75086,19370121, -158,    1
 11371, 75086,19370122, -163,    1
 11371, 75086,19370123, -151,    1
 11371, 75086,19370124, -178,    1
 11371, 75086,19370125, -170,    1
 11371, 75086,19370126, -142,    1
 11371, 75086,19370127,  -99,    1
 11371, 75086,19370128, -109,    1
 11371, 75086,19370129, -144,    1
 11371, 75086,19370130, -197,    1
 11371, 75086,19370131, -134,    1
 11371, 75086,19370201, -114,    0
 11371, 75086,19370202, -105,    0
 11371, 75086,19370203,  -17,    0
 11371, 75086,19370204,   -6,    0
 11371, 75086,19370205,    9,    0
 11371, 75086,19370206,    9,    0
 11371, 75086,19370207,  -28,    0
 11371, 75086,19370208,  -80,    0
 11371, 75086,19370209,  -85,    0
 11371, 75086,19370210, -100,    0
 11371, 75086,19370211,  -64,    0
 11371, 75086,19370212,  -89,    0
 11371, 75086,19370213, -125,    0
 11371, 75086,19370214,  -79,    0
 11371, 75086,19370215,  -65,    0
 11371, 75086,19370216,  -62,    0
 11371, 75086,19370217,  -28,    0
 11371, 75086,19370218,    9,    0
 11371, 75086,19370219,  -12,    0
 11371, 75086,19370220,   -6,    0
 11371, 75086,19370221,  -15,    0
 11371, 75086,19370222,  -13,    0
 11371, 75086,19370223,  -17,    0
 11371, 75086,19370224,  -42,    0
 11371, 75086,19370225,  -67,    0
 11371, 75086,19370226, -102,    0
 11371, 75086,19370227,  -90,    0
 11371, 75086,19370228,  -42,    0
 11371, 75086,19370301,  -23,    0
 11371, 75086,19370302,  -42,    0
 11371, 75086,19370303,  -71,    0
 11371, 75086,19370304,  -83,    0
 11371, 75086,19370305,  -90,    0
 11371, 75086,19370306,  -54,    0
 11371, 75086,19370307,  -35,    0
 11371, 75086,19370308,  -25,    0
 11371, 75086,19370309,  -41,    0
 11371, 75086,19370310,  -68,    0
 11371, 75086,19370311,  -90,    0
 11371, 75086,19370312,  -32,    0
 11371, 75086,19370313,   10,    0
 11371, 75086,19370314,   13,    0
 11371, 75086,19370315,   12,    0
 11371, 75086,19370316,   22,    0
 11371, 75086,19370317,    7,    0
 11371, 75086,19370318,   10,    0
 11371, 75086,19370319,   17,    0
 11371, 75086,19370320,    8,    0
 11371, 75086,19370321,    2,    0
 11371, 75086,19370322,    7,    0
 11371, 75086,19370323,   -2,    0
 11371, 75086,19370324,   -2,    0
 11371, 75086,19370325,   -6,    0
 11371, 75086,19370326,   -4,    0
 11371, 75086,19370327,   -5,    0
 11371, 75086,19370328,    9,    0
 11371, 75086,19370329,    2,    0
 11371, 75086,19370330,  -13,    0
 11371, 75086,19370331,  -19,    0
 11371, 75086,19370401,  -10,    0
 11371, 75086,19370402,   -3,    0
 11371, 75086,19370403,   16,    0
 11371, 75086,19370404,   26,    0
 11371, 75086,19370405,   33,    0
 11371, 75086,19370406,   43,    0
 11371, 75086,19370407,   55,    0
 11371, 75086,19370408,   67,    0
 11371, 75086,19370409,   73,    0
 11371, 75086,19370410,   61,    0
 11371, 75086,19370411,   48,    0
 11371, 75086,19370412,   61,    0
 11371, 75086,19370413,   66,    0
 11371, 75086,19370414,   68,    0
 11371, 75086,19370415,   66,    0
 11371, 75086,19370416,   83,    0
 11371, 75086,19370417,   78,    0
 11371, 75086,19370418,   80,    0
 11371, 75086,19370419,   68,    0
