EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station VALGA, ESTONIA (STAID: 11372)
Blended and updated with sources:75090 926247 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 11372, 75090,19410301,  -15,    0
 11372, 75090,19410302,    9,    0
 11372, 75090,19410303,   21,    0
 11372, 75090,19410304,  -10,    0
 11372, 75090,19410305,  -14,    0
 11372, 75090,19410306,    4,    0
 11372, 75090,19410307,   12,    0
 11372, 75090,19410308,   -8,    0
 11372, 75090,19410309,  -16,    0
 11372, 75090,19410310,  -34,    0
 11372, 75090,19410311,  -26,    0
 11372, 75090,19410312,  -77,    0
 11372, 75090,19410313, -110,    0
 11372, 75090,19410314,  -18,    0
 11372, 75090,19410315,  -36,    0
 11372, 75090,19410316,  -36,    0
 11372, 75090,19410317, -142,    0
 11372, 75090,19410318,  -96,    0
 11372, 75090,19410319,  -24,    0
 11372, 75090,19410320,  -45,    0
 11372, 75090,19410321, -118,    0
 11372, 75090,19410322,  -28,    0
 11372, 75090,19410323,  -45,    0
 11372, 75090,19410324,  -58,    0
 11372, 75090,19410325,  -58,    0
 11372, 75090,19410326,  -58,    0
 11372, 75090,19410327, -114,    0
 11372, 75090,19410328,  -72,    0
 11372, 75090,19410329,  -85,    0
 11372, 75090,19410330,  -45,    0
 11372, 75090,19410331,   -8,    0
 11372, 75090,19410401,   -8,    0
 11372, 75090,19410402,  -10,    0
 11372, 75090,19410403,  -56,    0
 11372, 75090,19410404,  -76,    0
 11372, 75090,19410405,   20,    0
 11372, 75090,19410406,   10,    0
 11372, 75090,19410407,  -27,    0
 11372, 75090,19410408,  -21,    0
 11372, 75090,19410409,  -42,    0
 11372, 75090,19410410,  -46,    0
 11372, 75090,19410411,  -11,    0
 11372, 75090,19410412,  -18,    0
 11372, 75090,19410413,   14,    0
 11372, 75090,19410414,   19,    0
 11372, 75090,19410415,   29,    0
 11372, 75090,19410416,   24,    0
 11372, 75090,19410417,   14,    0
 11372, 75090,19410418,   26,    0
 11372, 75090,19410419,   28,    0
 11372, 75090,19410420,   34,    0
 11372, 75090,19410421,   12,    0
 11372, 75090,19410422,    8,    0
 11372, 75090,19410423,   22,    0
 11372, 75090,19410424,   32,    0
 11372, 75090,19410425,   19,    0
 11372, 75090,19410426,   32,    0
 11372, 75090,19410427,   40,    0
 11372, 75090,19410428,   60,    0
 11372, 75090,19410429,   76,    0
 11372, 75090,19410430,   89,    0
 11372, 75090,19410501,   56,    0
 11372, 75090,19410502,    3,    0
 11372, 75090,19410503,   51,    0
 11372, 75090,19410504,   54,    0
 11372, 75090,19410505,   51,    0
 11372, 75090,19410506,   64,    0
 11372, 75090,19410507,   16,    0
 11372, 75090,19410508,    9,    0
 11372, 75090,19410509,   19,    0
 11372, 75090,19410510,   27,    0
 11372, 75090,19410511,   42,    0
 11372, 75090,19410512,   53,    0
 11372, 75090,19410513,   57,    0
 11372, 75090,19410514,   64,    0
 11372, 75090,19410515,   44,    0
 11372, 75090,19410516,   42,    0
 11372, 75090,19410517,   40,    0
 11372, 75090,19410518,   52,    0
 11372, 75090,19410519,   72,    0
 11372, 75090,19410520,  100,    0
 11372, 75090,19410521,  105,    0
 11372, 75090,19410522,  112,    0
 11372, 75090,19410523,  109,    0
 11372, 75090,19410524,  130,    0
 11372, 75090,19410525,  145,    0
 11372, 75090,19410526,  174,    0
 11372, 75090,19410527,  182,    0
 11372, 75090,19410528,  148,    0
 11372, 75090,19410529,  137,    0
 11372, 75090,19410530,  142,    0
 11372, 75090,19410531,  106,    0
 11372, 75090,19410601,  124,    0
 11372, 75090,19410602,  104,    0
 11372, 75090,19410603,   99,    0
 11372, 75090,19410604,  113,    0
 11372, 75090,19410605,  106,    0
 11372, 75090,19410606,   85,    0
 11372, 75090,19410607,   80,    0
 11372, 75090,19410608,   83,    0
 11372, 75090,19410609,   81,    0
 11372, 75090,19410610,  127,    0
 11372, 75090,19410611,  173,    0
 11372, 75090,19410612,  157,    0
 11372, 75090,19410613,  128,    0
 11372, 75090,19410614,  108,    0
 11372, 75090,19410615,  115,    0
 11372, 75090,19410616,  154,    0
 11372, 75090,19410617,  170,    0
 11372, 75090,19410618,  165,    0
 11372, 75090,19410619,  160,    0
 11372, 75090,19410620,  158,    0
 11372, 75090,19410621,  148,    0
 11372, 75090,19410622,  179,    0
 11372, 75090,19410623,  162,    0
 11372, 75090,19410624,  161,    0
 11372, 75090,19410625,  148,    0
 11372, 75090,19410626,  172,    0
 11372, 75090,19410627,  198,    0
 11372, 75090,19410628,  160,    0
 11372, 75090,19410629,  137,    0
 11372, 75090,19410630,  145,    0
 11372, 75090,19410701,  168,    0
 11372, 75090,19410702,  164,    0
 11372, 75090,19410703,  183,    0
 11372, 75090,19410704,  201,    0
 11372, 75090,19410705,  196,    1
 11372, 75090,19410706,  164,    0
 11372, 75090,19410707,  167,    0
 11372, 75090,19410708,  217,    0
 11372, 75090,19410709,  242,    0
 11372, 75090,19410710,  251,    0
 11372, 75090,19410711,  254,    0
 11372, 75090,19410712,  246,    0
 11372, 75090,19410713,  250,    0
 11372, 75090,19410714,  244,    0
 11372, 75090,19410715,  207,    0
 11372, 75090,19410716,  205,    0
 11372, 75090,19410717,  137,    0
 11372, 75090,19410718,  139,    0
 11372, 75090,19410719,  142,    0
 11372, 75090,19410720,-9999,    9
 11372, 75090,19410721,-9999,    9
 11372, 75090,19410722,-9999,    9
 11372, 75090,19410723,-9999,    9
 11372, 75090,19410724,-9999,    9
 11372, 75090,19410725,-9999,    9
 11372, 75090,19410726,-9999,    9
 11372, 75090,19410727,-9999,    9
 11372, 75090,19410728,-9999,    9
 11372, 75090,19410729,-9999,    9
 11372, 75090,19410730,-9999,    9
 11372, 75090,19410731,-9999,    9
 11372, 75090,19410801,-9999,    9
 11372, 75090,19410802,-9999,    9
 11372, 75090,19410803,-9999,    9
 11372, 75090,19410804,-9999,    9
 11372, 75090,19410805,-9999,    9
 11372, 75090,19410806,-9999,    9
 11372, 75090,19410807,-9999,    9
 11372, 75090,19410808,-9999,    9
 11372, 75090,19410809,-9999,    9
 11372, 75090,19410810,-9999,    9
 11372, 75090,19410811,-9999,    9
 11372, 75090,19410812,-9999,    9
 11372, 75090,19410813,-9999,    9
 11372, 75090,19410814,-9999,    9
 11372, 75090,19410815,-9999,    9
 11372, 75090,19410816,-9999,    9
 11372, 75090,19410817,-9999,    9
 11372, 75090,19410818,-9999,    9
 11372, 75090,19410819,-9999,    9
 11372, 75090,19410820,-9999,    9
 11372, 75090,19410821,-9999,    9
 11372, 75090,19410822,-9999,    9
 11372, 75090,19410823,-9999,    9
 11372, 75090,19410824,-9999,    9
 11372, 75090,19410825,-9999,    9
 11372, 75090,19410826,-9999,    9
 11372, 75090,19410827,-9999,    9
 11372, 75090,19410828,-9999,    9
 11372, 75090,19410829,-9999,    9
 11372, 75090,19410830,-9999,    9
 11372, 75090,19410831,-9999,    9
 11372, 75090,19410901,-9999,    9
 11372, 75090,19410902,-9999,    9
 11372, 75090,19410903,-9999,    9
 11372, 75090,19410904,-9999,    9
 11372, 75090,19410905,-9999,    9
 11372, 75090,19410906,-9999,    9
 11372, 75090,19410907,-9999,    9
 11372, 75090,19410908,-9999,    9
 11372, 75090,19410909,-9999,    9
 11372, 75090,19410910,-9999,    9
 11372, 75090,19410911,-9999,    9
 11372, 75090,19410912,-9999,    9
 11372, 75090,19410913,-9999,    9
 11372, 75090,19410914,-9999,    9
 11372, 75090,19410915,-9999,    9
 11372, 75090,19410916,-9999,    9
 11372, 75090,19410917,-9999,    9
 11372, 75090,19410918,-9999,    9
 11372, 75090,19410919,-9999,    9
 11372, 75090,19410920,-9999,    9
 11372, 75090,19410921,-9999,    9
 11372, 75090,19410922,-9999,    9
 11372, 75090,19410923,-9999,    9
 11372, 75090,19410924,-9999,    9
 11372, 75090,19410925,-9999,    9
 11372, 75090,19410926,-9999,    9
 11372, 75090,19410927,-9999,    9
 11372, 75090,19410928,-9999,    9
 11372, 75090,19410929,-9999,    9
 11372, 75090,19410930,-9999,    9
 11372, 75090,19411001,-9999,    9
 11372, 75090,19411002,-9999,    9
 11372, 75090,19411003,-9999,    9
 11372, 75090,19411004,-9999,    9
 11372, 75090,19411005,-9999,    9
 11372, 75090,19411006,-9999,    9
 11372, 75090,19411007,-9999,    9
 11372, 75090,19411008,-9999,    9
 11372, 75090,19411009,-9999,    9
 11372, 75090,19411010,-9999,    9
 11372, 75090,19411011,-9999,    9
 11372, 75090,19411012,-9999,    9
 11372, 75090,19411013,-9999,    9
 11372, 75090,19411014,-9999,    9
 11372, 75090,19411015,-9999,    9
 11372, 75090,19411016,-9999,    9
 11372, 75090,19411017,-9999,    9
 11372, 75090,19411018,-9999,    9
 11372, 75090,19411019,-9999,    9
 11372, 75090,19411020,-9999,    9
 11372, 75090,19411021,-9999,    9
 11372, 75090,19411022,-9999,    9
 11372, 75090,19411023,-9999,    9
 11372, 75090,19411024,-9999,    9
 11372, 75090,19411025,-9999,    9
 11372, 75090,19411026,-9999,    9
 11372, 75090,19411027,-9999,    9
 11372, 75090,19411028,-9999,    9
 11372, 75090,19411029,-9999,    9
 11372, 75090,19411030,-9999,    9
 11372, 75090,19411031,-9999,    9
 11372, 75090,19411101,  -24,    0
 11372, 75090,19411102,  -13,    0
 11372, 75090,19411103,   -6,    0
 11372, 75090,19411104,  -73,    0
 11372, 75090,19411105, -104,    0
 11372, 75090,19411106,  -42,    0
 11372, 75090,19411107,  -30,    0
 11372, 75090,19411108,   15,    0
 11372, 75090,19411109,    8,    0
 11372, 75090,19411110,    3,    0
 11372, 75090,19411111,  -48,    0
 11372, 75090,19411112,  -53,    0
 11372, 75090,19411113, -110,    0
 11372, 75090,19411114, -134,    0
 11372, 75090,19411115,  -94,    0
 11372, 75090,19411116,  -98,    0
 11372, 75090,19411117,  -83,    0
 11372, 75090,19411118,  -47,    0
 11372, 75090,19411119,  -24,    0
 11372, 75090,19411120,  -21,    0
 11372, 75090,19411121,  -30,    0
 11372, 75090,19411122,  -44,    0
 11372, 75090,19411123,  -31,    0
 11372, 75090,19411124,  -39,    0
 11372, 75090,19411125,  -37,    0
 11372, 75090,19411126,  -64,    0
 11372, 75090,19411127,  -55,    0
 11372, 75090,19411128,  -28,    0
 11372, 75090,19411129,   -8,    0
 11372, 75090,19411130,    0,    0
 11372, 75090,19411201,  -50,    0
 11372, 75090,19411202,  -21,    0
 11372, 75090,19411203,  -20,    0
 11372, 75090,19411204,  -76,    0
 11372, 75090,19411205, -142,    0
 11372, 75090,19411206, -133,    0
 11372, 75090,19411207,  -55,    0
 11372, 75090,19411208,    8,    0
 11372, 75090,19411209,  -73,    0
 11372, 75090,19411210,  -26,    0
 11372, 75090,19411211,   17,    0
 11372, 75090,19411212,  -64,    0
 11372, 75090,19411213, -116,    0
 11372, 75090,19411214, -143,    0
 11372, 75090,19411215,  -97,    0
 11372, 75090,19411216,  -73,    0
 11372, 75090,19411217,  -68,    0
 11372, 75090,19411218,  -46,    0
 11372, 75090,19411219, -108,    0
 11372, 75090,19411220,  -33,    0
 11372, 75090,19411221,    8,    0
 11372, 75090,19411222,   18,    0
 11372, 75090,19411223,  -50,    0
 11372, 75090,19411224,  -98,    0
 11372, 75090,19411225, -149,    0
 11372, 75090,19411226, -143,    0
 11372, 75090,19411227, -194,    0
 11372, 75090,19411228, -162,    0
 11372, 75090,19411229,  -90,    0
 11372, 75090,19411230, -133,    0
 11372, 75090,19411231, -150,    0
 11372, 75090,19420101, -177,    0
 11372, 75090,19420102, -205,    0
 11372, 75090,19420103, -116,    0
 11372, 75090,19420104,  -34,    0
 11372, 75090,19420105,   -5,    0
 11372, 75090,19420106,  -83,    0
 11372, 75090,19420107,  -67,    0
 11372, 75090,19420108,  -77,    0
 11372, 75090,19420109, -122,    0
 11372, 75090,19420110, -200,    0
 11372, 75090,19420111, -196,    0
 11372, 75090,19420112, -150,    0
 11372, 75090,19420113, -144,    0
 11372, 75090,19420114, -177,    0
 11372, 75090,19420115, -134,    0
 11372, 75090,19420116, -137,    0
 11372, 75090,19420117, -212,    0
 11372, 75090,19420118, -189,    0
 11372, 75090,19420119, -178,    0
 11372, 75090,19420120, -226,    0
 11372, 75090,19420121, -249,    0
 11372, 75090,19420122, -201,    0
 11372, 75090,19420123, -197,    0
 11372, 75090,19420124, -309,    0
 11372, 75090,19420125, -230,    0
 11372, 75090,19420126, -181,    0
 11372, 75090,19420127, -164,    0
 11372, 75090,19420128, -166,    0
 11372, 75090,19420129, -134,    0
 11372, 75090,19420130,  -97,    0
 11372, 75090,19420131, -119,    0
 11372, 75090,19420201, -116,    0
 11372, 75090,19420202, -152,    0
 11372, 75090,19420203,  -98,    0
 11372, 75090,19420204, -151,    0
 11372, 75090,19420205, -163,    0
 11372, 75090,19420206, -184,    0
 11372, 75090,19420207, -127,    0
 11372, 75090,19420208, -100,    0
 11372, 75090,19420209,  -80,    0
 11372, 75090,19420210,  -79,    0
 11372, 75090,19420211,  -86,    0
 11372, 75090,19420212, -179,    0
 11372, 75090,19420213,  -66,    0
 11372, 75090,19420214,  -61,    0
 11372, 75090,19420215,  -58,    0
 11372, 75090,19420216,  -98,    0
 11372, 75090,19420217, -144,    0
 11372, 75090,19420218, -159,    0
 11372, 75090,19420219, -177,    0
 11372, 75090,19420220, -168,    0
 11372, 75090,19420221, -173,    0
 11372, 75090,19420222, -136,    0
 11372, 75090,19420223,  -96,    0
 11372, 75090,19420224,  -54,    0
 11372, 75090,19420225, -177,    0
 11372, 75090,19420226, -213,    0
 11372, 75090,19420227, -215,    0
 11372, 75090,19420228, -135,    0
 11372, 75090,19420301,  -48,    0
 11372, 75090,19420302,  -41,    0
 11372, 75090,19420303,  -80,    0
 11372, 75090,19420304, -155,    0
 11372, 75090,19420305, -229,    0
 11372, 75090,19420306, -167,    0
 11372, 75090,19420307, -119,    0
 11372, 75090,19420308,  -90,    0
 11372, 75090,19420309,  -60,    0
 11372, 75090,19420310,  -44,    0
 11372, 75090,19420311, -116,    0
 11372, 75090,19420312, -145,    0
 11372, 75090,19420313, -185,    0
 11372, 75090,19420314, -213,    0
 11372, 75090,19420315, -206,    0
 11372, 75090,19420316, -157,    0
 11372, 75090,19420317, -124,    0
 11372, 75090,19420318, -184,    0
 11372, 75090,19420319, -156,    0
 11372, 75090,19420320, -164,    0
 11372, 75090,19420321, -117,    0
 11372, 75090,19420322,  -76,    0
 11372, 75090,19420323,  -24,    0
 11372, 75090,19420324,    4,    0
 11372, 75090,19420325,   14,    0
 11372, 75090,19420326,    5,    0
 11372, 75090,19420327,  -47,    0
 11372, 75090,19420328,  -77,    0
 11372, 75090,19420329,  -85,    0
 11372, 75090,19420330,  -33,    0
 11372, 75090,19420331,  -40,    0
 11372, 75090,19420401,  -42,    0
 11372, 75090,19420402,    9,    0
 11372, 75090,19420403,  -40,    0
 11372, 75090,19420404,  -51,    0
 11372, 75090,19420405,  -49,    0
 11372, 75090,19420406,  -17,    0
 11372, 75090,19420407,   29,    0
 11372, 75090,19420408,   27,    0
 11372, 75090,19420409,   57,    0
 11372, 75090,19420410,   10,    0
 11372, 75090,19420411,   25,    0
 11372, 75090,19420412,   34,    0
 11372, 75090,19420413,   28,    0
 11372, 75090,19420414,   23,    0
 11372, 75090,19420415,   44,    0
 11372, 75090,19420416,   70,    0
 11372, 75090,19420417,   77,    0
 11372, 75090,19420418,   97,    0
 11372, 75090,19420419,  107,    0
 11372, 75090,19420420,  135,    0
 11372, 75090,19420421,  125,    0
 11372, 75090,19420422,  107,    0
 11372, 75090,19420423,   86,    0
 11372, 75090,19420424,   45,    0
 11372, 75090,19420425,   29,    0
 11372, 75090,19420426,   17,    0
 11372, 75090,19420427,   23,    0
 11372, 75090,19420428,   36,    0
 11372, 75090,19420429,   62,    0
 11372, 75090,19420430,   79,    0
