EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station PODGORICA, MONTENEGRO (STAID: 11374)
Blended and updated with sources:75525 913462 913463 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 11374, 75525,20160701,  270,    0
 11374, 75525,20160702,  285,    0
 11374, 75525,20160703,  286,    0
 11374, 75525,20160704,  283,    0
 11374, 75525,20160705,  279,    0
 11374, 75525,20160706,  285,    0
 11374, 75525,20160707,  268,    0
 11374, 75525,20160708,  266,    0
 11374, 75525,20160709,  288,    0
 11374,913463,20160710,  308,    0
 11374, 75525,20160711,  310,    0
 11374, 75525,20160712,  305,    0
 11374, 75525,20160713,  303,    0
 11374, 75525,20160714,  283,    0
 11374, 75525,20160715,  267,    0
 11374, 75525,20160716,  206,    0
 11374, 75525,20160717,  222,    0
 11374, 75525,20160718,  249,    0
 11374, 75525,20160719,  279,    0
 11374, 75525,20160720,  284,    0
 11374,913463,20160721,  281,    0
 11374, 75525,20160722,  287,    0
 11374, 75525,20160723,  293,    0
 11374, 75525,20160724,  301,    0
 11374, 75525,20160725,  291,    0
 11374, 75525,20160726,  286,    0
 11374, 75525,20160727,  280,    0
 11374, 75525,20160728,  287,    0
 11374, 75525,20160729,  286,    0
 11374, 75525,20160730,  285,    0
 11374, 75525,20160731,  306,    0
 11374, 75525,20160801,  298,    0
 11374, 75525,20160802,  291,    0
 11374, 75525,20160803,  286,    0
 11374, 75525,20160804,  296,    0
 11374, 75525,20160805,  289,    0
 11374, 75525,20160806,  286,    0
 11374, 75525,20160807,  262,    0
 11374, 75525,20160808,  263,    0
 11374, 75525,20160809,  270,    0
 11374, 75525,20160810,  283,    0
 11374, 75525,20160811,  268,    0
 11374, 75525,20160812,  245,    0
 11374, 75525,20160813,  254,    0
 11374, 75525,20160814,  243,    0
 11374, 75525,20160815,  262,    0
 11374,913463,20160816,  186,    0
 11374, 75525,20160817,  265,    0
 11374, 75525,20160818,  278,    0
 11374, 75525,20160819,  273,    0
 11374, 75525,20160820,  282,    0
 11374, 75525,20160821,  294,    0
 11374, 75525,20160822,  265,    0
 11374, 75525,20160823,  252,    0
 11374, 75525,20160824,  269,    0
 11374, 75525,20160825,  299,    0
 11374, 75525,20160826,  289,    0
 11374, 75525,20160827,  291,    0
 11374, 75525,20160828,  273,    0
 11374, 75525,20160829,  271,    0
 11374, 75525,20160830,  279,    0
 11374, 75525,20160831,  301,    0
 11374, 75525,20160901,  280,    0
 11374, 75525,20160902,  267,    0
 11374, 75525,20160903,  282,    0
 11374, 75525,20160904,  279,    0
 11374, 75525,20160905,  241,    0
 11374, 75525,20160906,  197,    0
 11374, 75525,20160907,  220,    0
 11374, 75525,20160908,  236,    0
 11374, 75525,20160909,  250,    0
 11374, 75525,20160910,  253,    0
 11374, 75525,20160911,  255,    0
 11374, 75525,20160912,  260,    0
 11374, 75525,20160913,  251,    0
 11374, 75525,20160914,  248,    0
 11374, 75525,20160915,  240,    0
 11374, 75525,20160916,  246,    0
 11374, 75525,20160917,  226,    0
 11374, 75525,20160918,  235,    0
 11374, 75525,20160919,  203,    0
 11374, 75525,20160920,  206,    0
 11374, 75525,20160921,  205,    0
 11374, 75525,20160922,  201,    0
 11374, 75525,20160923,  187,    0
 11374, 75525,20160924,  189,    0
 11374, 75525,20160925,  198,    0
 11374, 75525,20160926,  194,    0
 11374, 75525,20160927,  197,    0
 11374, 75525,20160928,  202,    0
 11374, 75525,20160929,  201,    0
 11374, 75525,20160930,  197,    0
 11374, 75525,20161001,  197,    0
 11374, 75525,20161002,  207,    0
 11374, 75525,20161003,  212,    0
 11374, 75525,20161004,  201,    0
 11374, 75525,20161005,  176,    0
 11374, 75525,20161006,  120,    0
 11374, 75525,20161007,  133,    0
 11374, 75525,20161008,  158,    0
 11374, 75525,20161009,  143,    0
 11374, 75525,20161010,  133,    0
 11374, 75525,20161011,  138,    0
 11374, 75525,20161012,  156,    0
 11374, 75525,20161013,  143,    0
 11374, 75525,20161014,  174,    0
 11374, 75525,20161015,  170,    0
 11374, 75525,20161016,  191,    0
 11374, 75525,20161017,  127,    0
 11374, 75525,20161018,  158,    0
 11374, 75525,20161019,  182,    0
 11374, 75525,20161020,  171,    0
 11374, 75525,20161021,  182,    0
 11374, 75525,20161022,  177,    0
 11374, 75525,20161023,  171,    0
 11374, 75525,20161024,  188,    0
 11374, 75525,20161025,  192,    0
 11374, 75525,20161026,  188,    0
 11374, 75525,20161027,  205,    0
 11374, 75525,20161028,  162,    0
 11374, 75525,20161029,  121,    0
 11374, 75525,20161030,  179,    0
 11374, 75525,20161031,  153,    0
 11374, 75525,20161101,  118,    0
 11374, 75525,20161102,  113,    0
 11374, 75525,20161103,  133,    0
 11374, 75525,20161104,  134,    0
 11374, 75525,20161105,  148,    0
 11374, 75525,20161106,  165,    0
 11374, 75525,20161107,  182,    0
 11374, 75525,20161108,  140,    0
 11374, 75525,20161109,  147,    0
 11374, 75525,20161110,   88,    0
 11374, 75525,20161111,   95,    0
 11374, 75525,20161112,  136,    0
 11374, 75525,20161113,  105,    0
 11374, 75525,20161114,   92,    0
 11374, 75525,20161115,   69,    0
 11374, 75525,20161116,   58,    0
 11374, 75525,20161117,   82,    0
 11374, 75525,20161118,  102,    0
 11374, 75525,20161119,  120,    0
 11374, 75525,20161120,  148,    0
 11374, 75525,20161121,  130,    0
 11374,913463,20161122,  126,    0
 11374, 75525,20161123,  114,    0
 11374, 75525,20161124,  113,    0
 11374, 75525,20161125,   86,    0
 11374, 75525,20161126,  117,    0
 11374, 75525,20161127,  150,    0
 11374, 75525,20161128,  108,    0
 11374, 75525,20161129,   57,    0
