EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ZABLJAK, MONTENEGRO (STAID: 11381)
Blended and updated with sources:75550 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 11381, 75550,20160701,  167,    0
 11381, 75550,20160702,  172,    0
 11381, 75550,20160703,  176,    0
 11381, 75550,20160704,  159,    0
 11381, 75550,20160705,  146,    0
 11381, 75550,20160706,  161,    0
 11381, 75550,20160707,  149,    0
 11381, 75550,20160708,  142,    0
 11381, 75550,20160709,  173,    0
 11381, 75550,20160710,-9999,    9
 11381, 75550,20160711,  182,    0
 11381, 75550,20160712,  196,    0
 11381, 75550,20160713,  196,    0
 11381, 75550,20160714,  198,    0
 11381, 75550,20160715,   91,    0
 11381, 75550,20160716,   90,    0
 11381, 75550,20160717,  107,    0
 11381, 75550,20160718,-9999,    9
 11381, 75550,20160719,  130,    0
 11381, 75550,20160720,  150,    0
 11381, 75550,20160721,-9999,    9
 11381, 75550,20160722,  183,    0
 11381, 75550,20160723,  187,    0
 11381, 75550,20160724,  194,    0
 11381, 75550,20160725,  166,    0
 11381, 75550,20160726,  160,    0
 11381, 75550,20160727,  178,    0
 11381, 75550,20160728,  166,    0
 11381, 75550,20160729,  159,    0
 11381, 75550,20160730,  184,    0
 11381, 75550,20160731,  176,    0
 11381, 75550,20160801,  185,    0
 11381, 75550,20160802,  150,    0
 11381, 75550,20160803,  158,    0
 11381, 75550,20160804,  160,    0
 11381, 75550,20160805,  182,    0
 11381, 75550,20160806,  149,    0
 11381, 75550,20160807,  126,    0
 11381, 75550,20160808,  133,    0
 11381, 75550,20160809,  158,    0
 11381, 75550,20160810,  169,    0
 11381, 75550,20160811,  112,    0
 11381, 75550,20160812,   96,    0
 11381, 75550,20160813,  105,    0
 11381, 75550,20160814,  121,    0
 11381, 75550,20160815,  152,    0
 11381, 75550,20160816,  171,    0
 11381, 75550,20160817,  151,    0
 11381, 75550,20160818,  150,    0
 11381, 75550,20160819,  144,    0
 11381, 75550,20160820,  142,    0
 11381, 75550,20160821,  167,    0
 11381, 75550,20160822,  126,    0
 11381, 75550,20160823,   96,    0
 11381, 75550,20160824,  124,    0
 11381, 75550,20160825,  147,    0
 11381, 75550,20160826,  169,    0
 11381, 75550,20160827,  147,    0
 11381, 75550,20160828,  144,    0
 11381, 75550,20160829,  156,    0
 11381, 75550,20160830,  154,    0
 11381, 75550,20160831,  158,    0
 11381, 75550,20160901,  153,    0
 11381, 75550,20160902,  146,    0
 11381, 75550,20160903,  136,    0
 11381, 75550,20160904,  143,    0
 11381, 75550,20160905,  127,    0
 11381, 75550,20160906,   80,    0
 11381, 75550,20160907,  103,    0
 11381, 75550,20160908,  126,    0
 11381, 75550,20160909,  128,    0
 11381, 75550,20160910,  147,    0
 11381, 75550,20160911,  137,    0
 11381, 75550,20160912,  148,    0
 11381, 75550,20160913,  142,    0
 11381, 75550,20160914,  130,    0
 11381, 75550,20160915,  130,    0
 11381, 75550,20160916,  140,    0
 11381, 75550,20160917,  147,    0
 11381, 75550,20160918,  116,    0
 11381, 75550,20160919,  113,    0
 11381, 75550,20160920,-9999,    9
 11381, 75550,20160921,   93,    0
 11381, 75550,20160922,   76,    0
 11381, 75550,20160923,   78,    0
 11381, 75550,20160924,   72,    0
 11381, 75550,20160925,   71,    0
 11381, 75550,20160926,   81,    0
 11381, 75550,20160927,   69,    0
 11381, 75550,20160928,   89,    0
 11381, 75550,20160929,   97,    0
 11381, 75550,20160930,  110,    0
 11381, 75550,20161001,  107,    0
 11381, 75550,20161002,  117,    0
 11381, 75550,20161003,  117,    0
 11381, 75550,20161004,   92,    0
 11381, 75550,20161005,   20,    0
 11381, 75550,20161006,   17,    0
 11381, 75550,20161007,   48,    0
 11381, 75550,20161008,   47,    0
 11381, 75550,20161009,   30,    0
 11381, 75550,20161010,   45,    0
 11381, 75550,20161011,   63,    0
 11381, 75550,20161012,   24,    0
 11381, 75550,20161013,   45,    0
 11381, 75550,20161014,  104,    0
 11381, 75550,20161015,  162,    0
 11381, 75550,20161016,  106,    0
 11381, 75550,20161017,   87,    0
 11381, 75550,20161018,   81,    0
 11381, 75550,20161019,   71,    0
 11381, 75550,20161020,   68,    0
 11381, 75550,20161021,   87,    0
 11381, 75550,20161022,   97,    0
 11381, 75550,20161023,   73,    0
 11381, 75550,20161024,  100,    0
 11381, 75550,20161025,  130,    0
 11381, 75550,20161026,  111,    0
 11381, 75550,20161027,   54,    0
 11381, 75550,20161028,    1,    0
 11381, 75550,20161029,   36,    0
 11381, 75550,20161030,   45,    0
 11381, 75550,20161031,   10,    0
 11381, 75550,20161101,   19,    0
 11381, 75550,20161102,   50,    0
 11381, 75550,20161103,   62,    0
 11381, 75550,20161104,   28,    0
 11381, 75550,20161105,   48,    0
 11381, 75550,20161106,   91,    0
 11381, 75550,20161107,   95,    0
 11381, 75550,20161108,   45,    0
 11381, 75550,20161109,   38,    0
 11381, 75550,20161110,    3,    0
 11381, 75550,20161111,   19,    0
 11381, 75550,20161112,   10,    0
 11381, 75550,20161113,  -19,    0
 11381, 75550,20161114,  -38,    0
 11381, 75550,20161115,  -43,    0
 11381, 75550,20161116,  -13,    0
 11381, 75550,20161117,-9999,    9
 11381, 75550,20161118,   48,    0
 11381, 75550,20161119,   71,    0
 11381, 75550,20161120,   85,    0
 11381, 75550,20161121,   72,    0
 11381, 75550,20161122,-9999,    9
 11381, 75550,20161123,   65,    0
