EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station LA POBLA DE SEGUR, SPAIN (STAID: 11383)
Blended and updated with sources:56283 75563 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 11383, 56283,20080101,  -43,    0
 11383, 56283,20080102,  -21,    0
 11383, 56283,20080103,   16,    0
 11383, 56283,20080104,   18,    0
 11383, 56283,20080105,   23,    0
 11383, 56283,20080106,   50,    0
 11383, 56283,20080107,   36,    0
 11383, 56283,20080108,   66,    0
 11383, 56283,20080109,   73,    0
 11383, 56283,20080110,   80,    0
 11383, 56283,20080111,   70,    0
 11383, 56283,20080112,   25,    0
 11383, 56283,20080113,   10,    0
 11383, 56283,20080114,   23,    0
 11383, 56283,20080115,    5,    0
 11383, 56283,20080116,   41,    0
 11383, 56283,20080117,   27,    0
 11383, 56283,20080118,   49,    0
 11383, 56283,20080119,   45,    0
 11383, 56283,20080120,   12,    0
 11383, 56283,20080121,    2,    0
 11383, 56283,20080122,   19,    0
 11383, 56283,20080123,   50,    0
 11383, 56283,20080124,   36,    0
 11383, 56283,20080125,   32,    0
 11383, 56283,20080126,   23,    0
 11383, 56283,20080127,   18,    0
 11383, 56283,20080128,   18,    0
 11383, 56283,20080129,   19,    0
 11383, 56283,20080130,   24,    0
 11383, 56283,20080131,   19,    0
 11383, 56283,20080201,   22,    0
 11383, 56283,20080202,   26,    0
 11383, 56283,20080203,   36,    0
 11383, 56283,20080204,   59,    0
 11383, 56283,20080205,   25,    0
 11383, 56283,20080206,   41,    0
 11383, 56283,20080207,   42,    0
 11383, 56283,20080208,   44,    0
 11383, 56283,20080209,   43,    0
 11383, 56283,20080210,   29,    0
 11383, 56283,20080211,   28,    0
 11383, 56283,20080212,   27,    0
 11383, 56283,20080213,   27,    0
