EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station STORHOFDI, ICELAND (STAID: 11387)
Blended and updated with sources:265 75787 75798 904048 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 11387, 75787,19490101,  -85,    1
 11387, 75787,19490102, -106,    0
 11387, 75787,19490103,  -90,    0
 11387, 75787,19490104,  -26,    0
 11387, 75787,19490105,   -5,    0
 11387, 75787,19490106,  -62,    0
 11387, 75787,19490107,    6,    0
 11387, 75787,19490108,   20,    0
 11387, 75787,19490109,   57,    0
 11387, 75787,19490110,  -13,    0
 11387, 75787,19490111,  -95,    0
 11387, 75787,19490112,    3,    0
 11387, 75787,19490113,   19,    0
 11387, 75787,19490114,  -19,    0
 11387, 75787,19490115,   28,    0
 11387, 75787,19490116,    1,    0
 11387, 75787,19490117,  -10,    0
 11387, 75787,19490118,   15,    0
 11387, 75787,19490119,  -42,    0
 11387, 75787,19490120,  -10,    0
 11387, 75787,19490121,   11,    0
 11387, 75787,19490122,   28,    0
 11387, 75787,19490123,   -3,    0
 11387, 75787,19490124,   32,    0
 11387, 75787,19490125,   -1,    0
 11387, 75787,19490126,  -17,    0
 11387, 75787,19490127,  -13,    0
 11387, 75787,19490128,    6,    0
 11387, 75787,19490129,    8,    0
 11387, 75787,19490130,    4,    0
 11387, 75787,19490131,   43,    0
 11387, 75787,19490201,   64,    0
 11387, 75787,19490202,   23,    0
 11387, 75787,19490203,   15,    0
 11387, 75787,19490204,   58,    0
 11387, 75787,19490205,   67,    0
 11387, 75787,19490206,   54,    0
 11387, 75787,19490207,   27,    0
 11387, 75787,19490208,    9,    0
 11387, 75787,19490209,   16,    0
 11387, 75787,19490210,   38,    0
 11387, 75787,19490211,   35,    0
 11387, 75787,19490212,   31,    0
 11387, 75787,19490213,   15,    0
 11387, 75787,19490214,    9,    0
 11387, 75787,19490215,    4,    0
 11387, 75787,19490216,  -27,    0
 11387, 75787,19490217,   -5,    0
 11387, 75787,19490218,   40,    0
 11387, 75787,19490219,   33,    0
 11387, 75787,19490220,   19,    0
 11387, 75787,19490221,    4,    0
 11387, 75787,19490222,  -12,    0
 11387, 75787,19490223,  -13,    0
 11387, 75787,19490224,  -16,    0
 11387, 75787,19490225,   11,    0
 11387, 75787,19490226,  -27,    0
 11387, 75787,19490227,   -1,    0
 11387, 75787,19490228,  -19,    0
 11387, 75787,19490301,   -5,    0
 11387, 75787,19490302,   49,    0
 11387, 75787,19490303,   54,    1
 11387, 75787,19490304,   67,    0
 11387, 75787,19490305,   30,    1
 11387, 75787,19490306,   18,    0
 11387, 75787,19490307,  -24,    0
 11387, 75787,19490308,   14,    0
 11387, 75787,19490309,   32,    0
 11387, 75787,19490310,   28,    0
 11387, 75787,19490311,  -22,    0
 11387, 75787,19490312,  -45,    0
 11387, 75787,19490313,  -49,    0
 11387, 75787,19490314,  -23,    0
 11387, 75787,19490315,   23,    0
 11387, 75787,19490316,   36,    0
 11387, 75787,19490317,    2,    1
 11387, 75787,19490318,   15,    0
 11387, 75787,19490319,   44,    0
 11387, 75787,19490320,   17,    0
 11387, 75787,19490321,   39,    0
 11387, 75787,19490322,   24,    0
 11387, 75787,19490323,   17,    0
 11387, 75787,19490324,    9,    0
 11387, 75787,19490325,   22,    1
 11387, 75787,19490326,   43,    0
 11387, 75787,19490327,   51,    0
 11387, 75787,19490328,   68,    0
 11387, 75787,19490329,   44,    1
 11387, 75787,19490330,   26,    0
 11387, 75787,19490331,   14,    1
 11387, 75787,19490401,   23,    0
 11387, 75787,19490402,   43,    0
 11387, 75787,19490403,   24,    0
 11387, 75787,19490404,  -13,    0
 11387, 75787,19490405,  -50,    0
 11387, 75787,19490406,  -28,    0
 11387, 75787,19490407,  -40,    0
 11387, 75787,19490408,   29,    0
 11387, 75787,19490409,   33,    0
 11387, 75787,19490410,   24,    0
 11387, 75787,19490411,   31,    0
 11387, 75787,19490412,   44,    0
 11387, 75787,19490413,   31,    0
 11387, 75787,19490414,   36,    0
 11387, 75787,19490415,   29,    0
 11387, 75787,19490416,   29,    0
 11387, 75787,19490417,   53,    0
 11387, 75787,19490418,   -2,    0
 11387, 75787,19490419,  -24,    0
 11387, 75787,19490420,  -26,    0
 11387, 75787,19490421,  -79,    0
 11387, 75787,19490422,  -20,    0
 11387, 75787,19490423,    2,    0
 11387, 75787,19490424,    4,    0
 11387, 75787,19490425,    0,    0
 11387, 75787,19490426,   33,    0
 11387, 75787,19490427,   32,    0
 11387, 75787,19490428,    4,    0
 11387, 75787,19490429,   31,    0
 11387, 75787,19490430,   22,    0
 11387, 75787,19490501,   48,    0
 11387, 75787,19490502,   49,    0
 11387, 75787,19490503,   28,    0
 11387, 75787,19490504,   10,    0
 11387, 75787,19490505,  -24,    0
 11387, 75787,19490506,    0,    0
 11387, 75787,19490507,   38,    0
 11387, 75787,19490508,   56,    0
 11387, 75787,19490509,   75,    0
 11387, 75787,19490510,   68,    0
 11387, 75787,19490511,   53,    0
 11387, 75787,19490512,   33,    0
 11387, 75787,19490513,   40,    0
 11387, 75787,19490514,   33,    0
 11387, 75787,19490515,   35,    0
 11387, 75787,19490516,   41,    0
 11387, 75787,19490517,   28,    0
 11387, 75787,19490518,   36,    0
 11387, 75787,19490519,   38,    0
 11387, 75787,19490520,   62,    0
 11387, 75787,19490521,   73,    0
 11387, 75787,19490522,   66,    0
 11387, 75787,19490523,   53,    0
 11387, 75787,19490524,   58,    0
 11387, 75787,19490525,   25,    0
 11387, 75787,19490526,   28,    0
 11387, 75787,19490527,   35,    0
 11387, 75787,19490528,   77,    0
 11387, 75787,19490529,   63,    0
 11387, 75787,19490530,   73,    0
 11387, 75787,19490531,   86,    0
 11387, 75787,19490601,   90,    0
 11387, 75787,19490602,   72,    0
 11387, 75787,19490603,   69,    0
 11387, 75787,19490604,   78,    0
 11387, 75787,19490605,   82,    0
 11387, 75787,19490606,   84,    0
 11387, 75787,19490607,   87,    0
 11387, 75787,19490608,   88,    0
 11387, 75787,19490609,   86,    0
 11387, 75787,19490610,   87,    0
 11387, 75787,19490611,   73,    0
 11387, 75787,19490612,   58,    0
 11387, 75787,19490613,   82,    0
 11387, 75787,19490614,   70,    0
 11387, 75787,19490615,   82,    0
 11387, 75787,19490616,   86,    0
 11387, 75787,19490617,   81,    0
 11387, 75787,19490618,   93,    0
 11387, 75787,19490619,  106,    0
 11387, 75787,19490620,  113,    0
 11387, 75787,19490621,  114,    0
 11387, 75787,19490622,  107,    0
 11387, 75787,19490623,   97,    0
 11387, 75787,19490624,   95,    0
 11387, 75787,19490625,   97,    0
 11387, 75787,19490626,  101,    0
 11387, 75787,19490627,  101,    0
 11387, 75787,19490628,  100,    0
 11387, 75787,19490629,  101,    0
 11387, 75787,19490630,   85,    1
 11387, 75787,19490701,   85,    0
 11387, 75787,19490702,   87,    0
 11387, 75787,19490703,   95,    0
 11387, 75787,19490704,   83,    0
 11387, 75787,19490705,   95,    0
 11387, 75787,19490706,  100,    0
 11387, 75787,19490707,  102,    0
 11387, 75787,19490708,  101,    0
 11387, 75787,19490709,   87,    0
 11387, 75787,19490710,   87,    0
 11387, 75787,19490711,   86,    0
 11387, 75787,19490712,  100,    0
 11387, 75787,19490713,   80,    0
 11387, 75787,19490714,   85,    0
 11387, 75787,19490715,   88,    0
 11387, 75787,19490716,   97,    0
 11387, 75787,19490717,  106,    0
 11387, 75787,19490718,   98,    0
 11387, 75787,19490719,  102,    0
 11387, 75787,19490720,  119,    0
 11387, 75787,19490721,  108,    0
 11387, 75787,19490722,  115,    0
 11387, 75787,19490723,   89,    0
 11387, 75787,19490724,  100,    0
 11387, 75787,19490725,  100,    0
 11387, 75787,19490726,   97,    0
 11387, 75787,19490727,   99,    0
 11387, 75787,19490728,  107,    0
 11387, 75787,19490729,   97,    0
 11387, 75787,19490730,  101,    0
 11387, 75787,19490731,   99,    0
 11387, 75787,19490801,   96,    0
 11387, 75787,19490802,   78,    0
 11387, 75787,19490803,  109,    0
 11387, 75787,19490804,  104,    0
 11387, 75787,19490805,   85,    0
 11387, 75787,19490806,   96,    0
 11387, 75787,19490807,  109,    0
 11387, 75787,19490808,  112,    0
 11387, 75787,19490809,  117,    0
 11387, 75787,19490810,  109,    0
 11387, 75787,19490811,   99,    0
 11387, 75787,19490812,  108,    0
 11387, 75787,19490813,  101,    0
 11387, 75787,19490814,   95,    0
 11387, 75787,19490815,   94,    0
 11387, 75787,19490816,   89,    0
 11387, 75787,19490817,   98,    0
 11387, 75787,19490818,  106,    0
 11387, 75787,19490819,   96,    0
 11387, 75787,19490820,   98,    0
 11387, 75787,19490821,   94,    0
 11387, 75787,19490822,   98,    0
 11387, 75787,19490823,  111,    0
 11387, 75787,19490824,  102,    0
 11387, 75787,19490825,  104,    0
 11387, 75787,19490826,  100,    0
 11387, 75787,19490827,  110,    0
 11387, 75787,19490828,  109,    0
 11387, 75787,19490829,  104,    1
 11387, 75787,19490830,   94,    0
 11387, 75787,19490831,  108,    0
 11387, 75787,19490901,  108,    0
 11387, 75787,19490902,  109,    0
 11387, 75787,19490903,  107,    0
 11387, 75787,19490904,  102,    0
 11387, 75787,19490905,  101,    0
 11387, 75787,19490906,  104,    0
 11387, 75787,19490907,   86,    0
 11387, 75787,19490908,   65,    0
 11387, 75787,19490909,   66,    0
 11387, 75787,19490910,   80,    0
 11387, 75787,19490911,   95,    0
 11387, 75787,19490912,  107,    0
 11387, 75787,19490913,   92,    0
 11387, 75787,19490914,   88,    0
 11387, 75787,19490915,   80,    0
 11387, 75787,19490916,   71,    0
 11387, 75787,19490917,   69,    0
 11387, 75787,19490918,   91,    0
 11387, 75787,19490919,  102,    0
 11387, 75787,19490920,  101,    0
 11387, 75787,19490921,   99,    0
 11387, 75787,19490922,  105,    0
 11387, 75787,19490923,  108,    0
 11387, 75787,19490924,  104,    0
 11387, 75787,19490925,   79,    0
 11387, 75787,19490926,   76,    0
 11387, 75787,19490927,   67,    0
 11387, 75787,19490928,   61,    1
 11387, 75787,19490929,   54,    0
 11387, 75787,19490930,   72,    0
 11387, 75787,19491001,   87,    0
 11387, 75787,19491002,   62,    1
 11387, 75787,19491003,   56,    0
 11387, 75787,19491004,   32,    0
 11387, 75787,19491005,   61,    0
 11387, 75787,19491006,   58,    0
 11387, 75787,19491007,   57,    0
 11387, 75787,19491008,   67,    0
 11387, 75787,19491009,   84,    0
 11387, 75787,19491010,   93,    0
 11387, 75787,19491011,   94,    0
 11387, 75787,19491012,   86,    0
 11387, 75787,19491013,   77,    0
 11387, 75787,19491014,   91,    0
 11387, 75787,19491015,   81,    0
 11387, 75787,19491016,   82,    0
 11387, 75787,19491017,   53,    0
 11387, 75787,19491018,   49,    0
 11387, 75787,19491019,   57,    0
 11387, 75787,19491020,   59,    0
 11387, 75787,19491021,   57,    0
 11387, 75787,19491022,   43,    0
 11387, 75787,19491023,   18,    0
 11387, 75787,19491024,  -13,    0
 11387, 75787,19491025,  -12,    0
 11387, 75787,19491026,   13,    0
 11387, 75787,19491027,   52,    0
 11387, 75787,19491028,   60,    0
 11387, 75787,19491029,   73,    0
 11387, 75787,19491030,   57,    0
 11387, 75787,19491031,   60,    0
