EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station HALLE (STADT), GERMANY (STAID: 11754)
Blended and updated with sources:81086 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 11754, 81086,18510101,   75,    0
 11754, 81086,18510102,   62,    0
 11754, 81086,18510103,   40,    0
 11754, 81086,18510104,   43,    0
 11754, 81086,18510105,   17,    0
 11754, 81086,18510106,   23,    0
 11754, 81086,18510107,   15,    0
 11754, 81086,18510108,   36,    0
 11754, 81086,18510109,   40,    0
 11754, 81086,18510110,   30,    0
 11754, 81086,18510111,  -14,    0
 11754, 81086,18510112,   -8,    0
 11754, 81086,18510113,  -24,    0
 11754, 81086,18510114,  -37,    0
 11754, 81086,18510115,  -29,    0
 11754, 81086,18510116,   -1,    0
 11754, 81086,18510117,   17,    0
 11754, 81086,18510118,    8,    0
 11754, 81086,18510119,   28,    0
 11754, 81086,18510120,   16,    0
 11754, 81086,18510121,   25,    0
 11754, 81086,18510122,   41,    0
 11754, 81086,18510123,   17,    0
 11754, 81086,18510124,    2,    0
 11754, 81086,18510125,   -4,    0
 11754, 81086,18510126,  -24,    0
 11754, 81086,18510127,  -52,    0
 11754, 81086,18510128,  -43,    0
 11754, 81086,18510129,   19,    0
 11754, 81086,18510130,   43,    0
 11754, 81086,18510131,   39,    0
 11754, 81086,18510201,   17,    0
 11754, 81086,18510202,   -5,    0
 11754, 81086,18510203,  -15,    0
 11754, 81086,18510204,   23,    0
 11754, 81086,18510205,   21,    0
 11754, 81086,18510206,   14,    0
 11754, 81086,18510207,   25,    0
 11754, 81086,18510208,   23,    0
 11754, 81086,18510209,   11,    0
 11754, 81086,18510210,  -31,    0
 11754, 81086,18510211,  -12,    0
 11754, 81086,18510212,   18,    0
 11754, 81086,18510213,    1,    0
 11754, 81086,18510214,  -20,    0
 11754, 81086,18510215,  -17,    0
 11754, 81086,18510216,    4,    0
 11754, 81086,18510217,    2,    0
 11754, 81086,18510218,   10,    0
 11754, 81086,18510219,   50,    0
 11754, 81086,18510220,   54,    0
 11754, 81086,18510221,   45,    0
 11754, 81086,18510222,   31,    0
 11754, 81086,18510223,  -10,    0
 11754, 81086,18510224,  -20,    0
 11754, 81086,18510225,    5,    0
 11754, 81086,18510226,   -7,    0
 11754, 81086,18510227,  -17,    0
 11754, 81086,18510228,  -31,    0
 11754, 81086,18510301,  -39,    0
 11754, 81086,18510302,  -71,    0
 11754, 81086,18510303,  -61,    0
 11754, 81086,18510304,    4,    0
 11754, 81086,18510305,   34,    0
 11754, 81086,18510306,    5,    0
 11754, 81086,18510307,   -4,    0
 11754, 81086,18510308,  -23,    0
 11754, 81086,18510309,  -27,    0
 11754, 81086,18510310,   -9,    0
 11754, 81086,18510311,   13,    0
 11754, 81086,18510312,   20,    0
 11754, 81086,18510313,   45,    0
 11754, 81086,18510314,   46,    0
 11754, 81086,18510315,   40,    0
 11754, 81086,18510316,   49,    0
 11754, 81086,18510317,   39,    0
 11754, 81086,18510318,   37,    0
 11754, 81086,18510319,   74,    0
 11754, 81086,18510320,   90,    0
 11754, 81086,18510321,  115,    0
 11754, 81086,18510322,   92,    0
 11754, 81086,18510323,  100,    0
 11754, 81086,18510324,   62,    0
