EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station HOHENNAUEN, GERMANY (STAID: 11756)
Blended and updated with sources:81108 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 11756, 81108,19530701,  234,    0
 11756, 81108,19530702,  245,    0
 11756, 81108,19530703,  241,    0
 11756, 81108,19530704,  218,    0
 11756, 81108,19530705,  176,    0
 11756, 81108,19530706,  202,    0
 11756, 81108,19530707,  207,    0
 11756, 81108,19530708,  177,    0
 11756, 81108,19530709,  168,    0
 11756, 81108,19530710,  149,    0
 11756, 81108,19530711,  150,    0
 11756, 81108,19530712,  173,    0
 11756, 81108,19530713,  160,    0
 11756, 81108,19530714,  146,    0
 11756, 81108,19530715,  150,    0
 11756, 81108,19530716,  170,    0
 11756, 81108,19530717,  189,    0
 11756, 81108,19530718,  179,    0
 11756, 81108,19530719,  157,    0
 11756, 81108,19530720,  158,    0
 11756, 81108,19530721,  212,    0
 11756, 81108,19530722,  226,    0
 11756, 81108,19530723,  203,    0
 11756, 81108,19530724,  174,    0
 11756, 81108,19530725,  204,    0
 11756, 81108,19530726,  212,    0
 11756, 81108,19530727,  159,    0
 11756, 81108,19530728,  169,    0
 11756, 81108,19530729,  174,    0
 11756, 81108,19530730,  145,    0
 11756, 81108,19530731,  150,    0
 11756, 81108,19530801,  155,    0
 11756, 81108,19530802,  148,    0
 11756, 81108,19530803,  140,    0
 11756, 81108,19530804,  156,    0
 11756, 81108,19530805,  166,    0
 11756, 81108,19530806,  146,    0
 11756, 81108,19530807,  148,    0
 11756, 81108,19530808,  160,    0
 11756, 81108,19530809,  156,    0
 11756, 81108,19530810,  204,    0
 11756, 81108,19530811,  197,    0
 11756, 81108,19530812,  211,    0
 11756, 81108,19530813,  216,    0
 11756, 81108,19530814,  213,    0
 11756, 81108,19530815,  231,    0
 11756, 81108,19530816,  202,    0
 11756, 81108,19530817,  171,    0
 11756, 81108,19530818,  166,    0
 11756, 81108,19530819,  154,    0
 11756, 81108,19530820,  186,    0
 11756, 81108,19530821,  182,    0
 11756, 81108,19530822,  149,    0
 11756, 81108,19530823,  145,    0
 11756, 81108,19530824,  180,    0
 11756, 81108,19530825,  159,    0
 11756, 81108,19530826,  147,    0
 11756, 81108,19530827,  147,    0
 11756, 81108,19530828,  146,    0
 11756, 81108,19530829,  146,    0
 11756, 81108,19530830,  174,    0
 11756, 81108,19530831,  160,    0
 11756, 81108,19530901,  166,    0
 11756, 81108,19530902,  238,    0
 11756, 81108,19530903,  172,    0
 11756, 81108,19530904,  143,    0
 11756, 81108,19530905,  119,    0
 11756, 81108,19530906,  119,    0
 11756, 81108,19530907,  108,    0
 11756, 81108,19530908,  136,    0
 11756, 81108,19530909,  155,    0
 11756, 81108,19530910,  120,    0
 11756, 81108,19530911,  110,    0
 11756, 81108,19530912,  115,    0
 11756, 81108,19530913,  100,    0
 11756, 81108,19530914,  100,    0
 11756, 81108,19530915,  111,    0
 11756, 81108,19530916,  143,    0
 11756, 81108,19530917,  143,    0
 11756, 81108,19530918,  142,    0
 11756, 81108,19530919,  135,    0
 11756, 81108,19530920,  114,    0
 11756, 81108,19530921,  148,    0
 11756, 81108,19530922,  143,    0
 11756, 81108,19530923,  152,    0
 11756, 81108,19530924,  120,    0
 11756, 81108,19530925,  122,    0
 11756, 81108,19530926,  126,    0
 11756, 81108,19530927,  156,    0
 11756, 81108,19530928,  170,    0
 11756, 81108,19530929,  106,    0
 11756, 81108,19530930,  112,    0
 11756, 81108,19531001,  160,    0
 11756, 81108,19531002,  173,    0
 11756, 81108,19531003,  161,    0
 11756, 81108,19531004,  110,    0
 11756, 81108,19531005,   92,    0
 11756, 81108,19531006,   74,    0
 11756, 81108,19531007,   78,    0
 11756, 81108,19531008,   56,    0
 11756, 81108,19531009,   84,    0
 11756, 81108,19531010,   90,    0
 11756, 81108,19531011,   86,    0
 11756, 81108,19531012,  102,    0
 11756, 81108,19531013,  110,    0
 11756, 81108,19531014,  111,    0
 11756, 81108,19531015,  125,    0
 11756, 81108,19531016,  146,    0
 11756, 81108,19531017,  125,    0
 11756, 81108,19531018,  124,    0
 11756, 81108,19531019,  135,    0
 11756, 81108,19531020,  112,    0
 11756, 81108,19531021,   55,    0
 11756, 81108,19531022,   88,    0
 11756, 81108,19531023,   74,    0
 11756, 81108,19531024,   97,    0
 11756, 81108,19531025,  115,    0
 11756, 81108,19531026,   90,    0
 11756, 81108,19531027,  108,    0
 11756, 81108,19531028,  126,    0
 11756, 81108,19531029,  102,    0
 11756, 81108,19531030,   97,    0
 11756, 81108,19531031,   92,    0
 11756, 81108,19531101,   64,    0
 11756, 81108,19531102,   72,    0
 11756, 81108,19531103,   57,    0
 11756, 81108,19531104,   70,    0
 11756, 81108,19531105,   64,    0
 11756, 81108,19531106,   69,    0
 11756, 81108,19531107,   65,    0
 11756, 81108,19531108,   73,    0
 11756, 81108,19531109,   64,    0
 11756, 81108,19531110,   59,    0
 11756, 81108,19531111,   40,    0
 11756, 81108,19531112,   86,    0
 11756, 81108,19531113,   92,    0
 11756, 81108,19531114,   94,    0
 11756, 81108,19531115,   86,    0
 11756, 81108,19531116,   28,    0
 11756, 81108,19531117,   18,    0
 11756, 81108,19531118,    9,    0
 11756, 81108,19531119,   59,    0
 11756, 81108,19531120,   84,    0
 11756, 81108,19531121,   87,    0
 11756, 81108,19531122,   71,    0
 11756, 81108,19531123,   62,    0
 11756, 81108,19531124,   -4,    0
 11756, 81108,19531125,  -28,    0
 11756, 81108,19531126,  -20,    0
 11756, 81108,19531127,   12,    0
 11756, 81108,19531128,   54,    0
 11756, 81108,19531129,  112,    0
 11756, 81108,19531130,  117,    0
 11756, 81108,19531201,   65,    0
 11756, 81108,19531202,   64,    0
 11756, 81108,19531203,   74,    0
 11756, 81108,19531204,  104,    0
 11756, 81108,19531205,   74,    0
 11756, 81108,19531206,   28,    0
 11756, 81108,19531207,    9,    0
 11756, 81108,19531208,   14,    0
 11756, 81108,19531209,   -2,    0
 11756, 81108,19531210,   36,    0
 11756, 81108,19531211,   35,    0
 11756, 81108,19531212,   41,    0
 11756, 81108,19531213,   47,    0
 11756, 81108,19531214,    6,    0
 11756, 81108,19531215,    5,    0
 11756, 81108,19531216,    2,    0
 11756, 81108,19531217,   -6,    0
 11756, 81108,19531218,  -24,    0
 11756, 81108,19531219,   -7,    0
 11756, 81108,19531220,  -12,    0
 11756, 81108,19531221,    0,    0
 11756, 81108,19531222,   -4,    0
 11756, 81108,19531223,    9,    0
 11756, 81108,19531224,   27,    0
 11756, 81108,19531225,    6,    0
 11756, 81108,19531226,    8,    0
 11756, 81108,19531227,   37,    0
 11756, 81108,19531228,   30,    0
 11756, 81108,19531229,    6,    0
 11756, 81108,19531230,    1,    0
 11756, 81108,19531231,  -43,    0
 11756, 81108,19540101,  -48,    0
 11756, 81108,19540102,  -28,    0
 11756, 81108,19540103,    2,    0
 11756, 81108,19540104,  -15,    0
 11756, 81108,19540105,  -70,    0
 11756, 81108,19540106, -101,    0
 11756, 81108,19540107,  -81,    0
 11756, 81108,19540108,  -53,    0
 11756, 81108,19540109,   -9,    0
 11756, 81108,19540110,  -48,    0
 11756, 81108,19540111,  -45,    0
 11756, 81108,19540112,   20,    0
 11756, 81108,19540113,   32,    0
 11756, 81108,19540114,   31,    0
 11756, 81108,19540115,   54,    0
 11756, 81108,19540116,   60,    0
 11756, 81108,19540117,   30,    0
 11756, 81108,19540118,   19,    0
 11756, 81108,19540119,   34,    0
 11756, 81108,19540120,   56,    0
 11756, 81108,19540121,   11,    0
 11756, 81108,19540122,  -11,    0
 11756, 81108,19540123,  -53,    0
 11756, 81108,19540124,  -57,    0
 11756, 81108,19540125,  -62,    0
 11756, 81108,19540126, -139,    0
 11756, 81108,19540127, -119,    0
 11756, 81108,19540128,  -85,    0
 11756, 81108,19540129,  -78,    0
 11756, 81108,19540130, -128,    0
 11756, 81108,19540131, -156,    0
 11756, 81108,19540201, -137,    0
 11756, 81108,19540202, -109,    0
 11756, 81108,19540203,  -90,    0
 11756, 81108,19540204,  -85,    0
 11756, 81108,19540205,  -77,    0
 11756, 81108,19540206,  -42,    0
 11756, 81108,19540207,  -69,    0
 11756, 81108,19540208,  -98,    0
 11756, 81108,19540209,   -6,    0
 11756, 81108,19540210,  -32,    0
 11756, 81108,19540211,  -37,    0
 11756, 81108,19540212,  -46,    0
 11756, 81108,19540213,    6,    0
 11756, 81108,19540214,    3,    0
 11756, 81108,19540215,   -4,    0
 11756, 81108,19540216,  -54,    0
 11756, 81108,19540217,  -92,    0
 11756, 81108,19540218,  -78,    0
 11756, 81108,19540219,  -81,    0
 11756, 81108,19540220, -100,    0
 11756, 81108,19540221, -105,    0
 11756, 81108,19540222,  -84,    0
 11756, 81108,19540223,  -70,    0
 11756, 81108,19540224,  -19,    0
 11756, 81108,19540225,   22,    0
 11756, 81108,19540226,   34,    0
 11756, 81108,19540227,   24,    0
 11756, 81108,19540228,   17,    0
 11756, 81108,19540301,   20,    0
 11756, 81108,19540302,   15,    0
 11756, 81108,19540303,   54,    0
 11756, 81108,19540304,   48,    0
 11756, 81108,19540305,   24,    0
 11756, 81108,19540306,   26,    0
 11756, 81108,19540307,   42,    0
 11756, 81108,19540308,   54,    0
 11756, 81108,19540309,   41,    0
 11756, 81108,19540310,   31,    0
 11756, 81108,19540311,   18,    0
 11756, 81108,19540312,    0,    0
 11756, 81108,19540313,    7,    0
 11756, 81108,19540314,   12,    0
 11756, 81108,19540315,    6,    0
 11756, 81108,19540316,   -3,    0
 11756, 81108,19540317,    0,    0
 11756, 81108,19540318,   -5,    0
 11756, 81108,19540319,    8,    0
 11756, 81108,19540320,   33,    0
 11756, 81108,19540321,   64,    0
 11756, 81108,19540322,   94,    0
 11756, 81108,19540323,   92,    0
 11756, 81108,19540324,   50,    0
 11756, 81108,19540325,   38,    0
 11756, 81108,19540326,   58,    0
 11756, 81108,19540327,   39,    0
 11756, 81108,19540328,   40,    0
 11756, 81108,19540329,   49,    0
 11756, 81108,19540330,   68,    0
 11756, 81108,19540331,   90,    0
 11756, 81108,19540401,   66,    0
 11756, 81108,19540402,   58,    0
 11756, 81108,19540403,   82,    0
 11756, 81108,19540404,   95,    0
 11756, 81108,19540405,   67,    0
 11756, 81108,19540406,   55,    0
 11756, 81108,19540407,   54,    0
 11756, 81108,19540408,   47,    0
 11756, 81108,19540409,   20,    0
 11756, 81108,19540410,   29,    0
 11756, 81108,19540411,   36,    0
 11756, 81108,19540412,   62,    0
 11756, 81108,19540413,   62,    0
 11756, 81108,19540414,   67,    0
 11756, 81108,19540415,   45,    0
 11756, 81108,19540416,   42,    0
 11756, 81108,19540417,   40,    0
 11756, 81108,19540418,   43,    0
 11756, 81108,19540419,   51,    0
 11756, 81108,19540420,   59,    0
 11756, 81108,19540421,   83,    0
 11756, 81108,19540422,   55,    0
 11756, 81108,19540423,   58,    0
 11756, 81108,19540424,   80,    0
 11756, 81108,19540425,   77,    0
 11756, 81108,19540426,   49,    0
 11756, 81108,19540427,   70,    0
 11756, 81108,19540428,   72,    0
 11756, 81108,19540429,   78,    0
 11756, 81108,19540430,  104,    0
 11756, 81108,19540501,  130,    0
 11756, 81108,19540502,  144,    0
 11756, 81108,19540503,  120,    0
 11756, 81108,19540504,   96,    0
 11756, 81108,19540505,  101,    0
 11756, 81108,19540506,  126,    0
 11756, 81108,19540507,   98,    0
 11756, 81108,19540508,  117,    0
 11756, 81108,19540509,  160,    0
 11756, 81108,19540510,  164,    0
 11756, 81108,19540511,  162,    0
 11756, 81108,19540512,  142,    0
 11756, 81108,19540513,   90,    0
 11756, 81108,19540514,   97,    0
 11756, 81108,19540515,  132,    0
 11756, 81108,19540516,  153,    0
 11756, 81108,19540517,  162,    0
 11756, 81108,19540518,  116,    0
 11756, 81108,19540519,   93,    0
 11756, 81108,19540520,  102,    0
 11756, 81108,19540521,   91,    0
 11756, 81108,19540522,  132,    0
 11756, 81108,19540523,  160,    0
 11756, 81108,19540524,  160,    0
 11756, 81108,19540525,  182,    0
 11756, 81108,19540526,  193,    0
 11756, 81108,19540527,  201,    0
 11756, 81108,19540528,  194,    0
 11756, 81108,19540529,  204,    0
 11756, 81108,19540530,  155,    0
 11756, 81108,19540531,  158,    0
 11756, 81108,19540601,  141,    0
 11756, 81108,19540602,  149,    0
 11756, 81108,19540603,  165,    0
 11756, 81108,19540604,  167,    0
 11756, 81108,19540605,  180,    0
 11756, 81108,19540606,  194,    0
 11756, 81108,19540607,  122,    0
 11756, 81108,19540608,  178,    0
 11756, 81108,19540609,  182,    0
 11756, 81108,19540610,  166,    0
 11756, 81108,19540611,  160,    0
 11756, 81108,19540612,  176,    0
 11756, 81108,19540613,  173,    0
 11756, 81108,19540614,  167,    0
 11756, 81108,19540615,  125,    0
