EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ILSENBURG, GERMANY (STAID: 11757)
Blended and updated with sources:81119 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 11757, 81119,19470101,  -48,    0
 11757, 81119,19470102,  -28,    0
 11757, 81119,19470103,  -44,    0
 11757, 81119,19470104, -111,    0
 11757, 81119,19470105, -141,    0
 11757, 81119,19470106, -164,    0
 11757, 81119,19470107, -159,    0
 11757, 81119,19470108, -168,    0
 11757, 81119,19470109,  -69,    0
 11757, 81119,19470110,  -68,    0
 11757, 81119,19470111,  -86,    0
 11757, 81119,19470112,   35,    0
 11757, 81119,19470113,   59,    0
 11757, 81119,19470114,   41,    0
 11757, 81119,19470115,   81,    0
 11757, 81119,19470116,  134,    0
 11757, 81119,19470117,  126,    0
 11757, 81119,19470118,   33,    0
 11757, 81119,19470119,    8,    0
 11757, 81119,19470120,  -18,    0
 11757, 81119,19470121,  -36,    0
 11757, 81119,19470122,  -50,    0
 11757, 81119,19470123,  -53,    0
 11757, 81119,19470124,  -54,    0
 11757, 81119,19470125,  -74,    0
 11757, 81119,19470126,  -93,    0
 11757, 81119,19470127, -113,    0
 11757, 81119,19470128, -113,    0
 11757, 81119,19470129, -130,    0
 11757, 81119,19470130, -109,    0
 11757, 81119,19470131, -135,    0
 11757, 81119,19470201, -139,    0
 11757, 81119,19470202, -123,    0
 11757, 81119,19470203,  -78,    0
 11757, 81119,19470204,  -84,    0
 11757, 81119,19470205,  -65,    0
 11757, 81119,19470206,  -80,    0
 11757, 81119,19470207, -126,    0
 11757, 81119,19470208, -148,    0
 11757, 81119,19470209, -118,    0
 11757, 81119,19470210, -115,    0
 11757, 81119,19470211, -121,    0
 11757, 81119,19470212, -103,    0
 11757, 81119,19470213, -100,    0
 11757, 81119,19470214,  -77,    0
 11757, 81119,19470215,  -97,    1
 11757, 81119,19470216,  -91,    0
 11757, 81119,19470217, -100,    0
 11757, 81119,19470218, -113,    0
 11757, 81119,19470219, -105,    0
 11757, 81119,19470220, -123,    0
 11757, 81119,19470221, -112,    1
 11757, 81119,19470222,  -77,    0
 11757, 81119,19470223,  -81,    0
 11757, 81119,19470224,  -82,    0
 11757, 81119,19470225,  -84,    0
 11757, 81119,19470226, -102,    0
 11757, 81119,19470227,  -54,    0
 11757, 81119,19470228,  -10,    0
 11757, 81119,19470301,  -50,    0
 11757, 81119,19470302,  -40,    0
 11757, 81119,19470303,  -38,    0
 11757, 81119,19470304,  -38,    0
 11757, 81119,19470305,  -35,    0
 11757, 81119,19470306,   38,    0
 11757, 81119,19470307,  -30,    0
 11757, 81119,19470308,  -14,    0
 11757, 81119,19470309,  -25,    0
 11757, 81119,19470310,  -41,    0
 11757, 81119,19470311,  -16,    0
 11757, 81119,19470312,  -72,    0
 11757, 81119,19470313,   38,    0
 11757, 81119,19470314,   32,    0
 11757, 81119,19470315,  -27,    0
 11757, 81119,19470316,   44,    0
 11757, 81119,19470317,   40,    0
 11757, 81119,19470318,   67,    0
 11757, 81119,19470319,   68,    0
 11757, 81119,19470320,   58,    0
 11757, 81119,19470321,   85,    0
 11757, 81119,19470322,   83,    0
 11757, 81119,19470323,  100,    0
 11757, 81119,19470324,   79,    0
 11757, 81119,19470325,   43,    0
 11757, 81119,19470326,   53,    0
 11757, 81119,19470327,   37,    0
 11757, 81119,19470328,  110,    0
 11757, 81119,19470329,  122,    0
 11757, 81119,19470330,   94,    0
 11757, 81119,19470331,  108,    0
 11757, 81119,19470401,   78,    0
 11757, 81119,19470402,   73,    0
 11757, 81119,19470403,   30,    0
 11757, 81119,19470404,   85,    0
 11757, 81119,19470405,   31,    0
 11757, 81119,19470406,   64,    0
 11757, 81119,19470407,   86,    0
 11757, 81119,19470408,   87,    0
 11757, 81119,19470409,   21,    0
 11757, 81119,19470410,   32,    0
 11757, 81119,19470411,   52,    0
 11757, 81119,19470412,   59,    0
 11757, 81119,19470413,   71,    0
 11757, 81119,19470414,  145,    0
 11757, 81119,19470415,  135,    0
 11757, 81119,19470416,  130,    0
 11757, 81119,19470417,  153,    0
 11757, 81119,19470418,   70,    0
 11757, 81119,19470419,  120,    0
 11757, 81119,19470420,  132,    0
 11757, 81119,19470421,  109,    0
 11757, 81119,19470422,  161,    0
 11757, 81119,19470423,  122,    0
 11757, 81119,19470424,   89,    0
 11757, 81119,19470425,  121,    0
 11757, 81119,19470426,  122,    0
 11757, 81119,19470427,  122,    0
 11757, 81119,19470428,   63,    0
 11757, 81119,19470429,   76,    0
 11757, 81119,19470430,   88,    0
 11757, 81119,19470501,   57,    0
 11757, 81119,19470502,   60,    0
 11757, 81119,19470503,   76,    0
 11757, 81119,19470504,   61,    0
 11757, 81119,19470505,   93,    0
 11757, 81119,19470506,  105,    0
 11757, 81119,19470507,  120,    0
 11757, 81119,19470508,  146,    0
 11757, 81119,19470509,  162,    0
 11757, 81119,19470510,  191,    0
 11757, 81119,19470511,  155,    0
 11757, 81119,19470512,  189,    0
 11757, 81119,19470513,  175,    0
 11757, 81119,19470514,  190,    0
 11757, 81119,19470515,  173,    0
 11757, 81119,19470516,  126,    0
 11757, 81119,19470517,  134,    0
 11757, 81119,19470518,  107,    0
 11757, 81119,19470519,   94,    0
 11757, 81119,19470520,  140,    0
 11757, 81119,19470521,  121,    0
 11757, 81119,19470522,  145,    0
 11757, 81119,19470523,  150,    0
 11757, 81119,19470524,  148,    0
 11757, 81119,19470525,  175,    0
 11757, 81119,19470526,  179,    0
 11757, 81119,19470527,  181,    0
 11757, 81119,19470528,  149,    0
 11757, 81119,19470529,  164,    0
 11757, 81119,19470530,  197,    0
 11757, 81119,19470531,  206,    0
 11757, 81119,19470601,  249,    0
 11757, 81119,19470602,  238,    0
 11757, 81119,19470603,  239,    0
 11757, 81119,19470604,  216,    0
 11757, 81119,19470605,  162,    0
 11757, 81119,19470606,  126,    0
 11757, 81119,19470607,  123,    0
 11757, 81119,19470608,  136,    0
 11757, 81119,19470609,  105,    0
 11757, 81119,19470610,  106,    0
 11757, 81119,19470611,   95,    0
 11757, 81119,19470612,  108,    0
 11757, 81119,19470613,  139,    0
 11757, 81119,19470614,  161,    0
 11757, 81119,19470615,  159,    0
 11757, 81119,19470616,  129,    0
 11757, 81119,19470617,  145,    0
 11757, 81119,19470618,  178,    0
 11757, 81119,19470619,  205,    0
 11757, 81119,19470620,  190,    0
 11757, 81119,19470621,  177,    0
 11757, 81119,19470622,  140,    0
 11757, 81119,19470623,  152,    0
 11757, 81119,19470624,  164,    0
 11757, 81119,19470625,  211,    0
 11757, 81119,19470626,  229,    0
 11757, 81119,19470627,  246,    0
 11757, 81119,19470628,  252,    0
 11757, 81119,19470629,  246,    0
 11757, 81119,19470630,  214,    0
 11757, 81119,19470701,  149,    0
 11757, 81119,19470702,  158,    0
 11757, 81119,19470703,  182,    0
 11757, 81119,19470704,  206,    0
 11757, 81119,19470705,  177,    0
 11757, 81119,19470706,  128,    0
 11757, 81119,19470707,  185,    0
 11757, 81119,19470708,  158,    0
 11757, 81119,19470709,  156,    0
 11757, 81119,19470710,  129,    0
 11757, 81119,19470711,  138,    0
 11757, 81119,19470712,  153,    0
 11757, 81119,19470713,  164,    0
 11757, 81119,19470714,  143,    0
 11757, 81119,19470715,  177,    0
 11757, 81119,19470716,  184,    0
 11757, 81119,19470717,  194,    0
