EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KAMENZ, GERMANY (STAID: 11758)
Blended and updated with sources:81130 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 11758, 81130,19470101,  -23,    0
 11758, 81130,19470102,  -36,    0
 11758, 81130,19470103,  -52,    0
 11758, 81130,19470104, -130,    0
 11758, 81130,19470105, -166,    0
 11758, 81130,19470106, -170,    0
 11758, 81130,19470107, -154,    0
 11758, 81130,19470108, -133,    0
 11758, 81130,19470109,  -58,    0
 11758, 81130,19470110,  -90,    0
 11758, 81130,19470111, -116,    0
 11758, 81130,19470112,   26,    0
 11758, 81130,19470113,   36,    0
 11758, 81130,19470114,   42,    0
 11758, 81130,19470115,   72,    0
 11758, 81130,19470116,   68,    0
 11758, 81130,19470117,   50,    0
 11758, 81130,19470118,   38,    0
 11758, 81130,19470119,   10,    0
 11758, 81130,19470120,  -24,    0
 11758, 81130,19470121,  -34,    0
 11758, 81130,19470122,  -40,    0
 11758, 81130,19470123,  -70,    0
 11758, 81130,19470124,  -80,    0
 11758, 81130,19470125,  -94,    0
 11758, 81130,19470126, -106,    0
 11758, 81130,19470127,  -96,    0
 11758, 81130,19470128, -104,    0
 11758, 81130,19470129, -138,    0
 11758, 81130,19470130, -115,    0
 11758, 81130,19470131, -104,    0
 11758, 81130,19470201,  -90,    0
 11758, 81130,19470202,  -76,    0
 11758, 81130,19470203,  -86,    0
 11758, 81130,19470204,  -72,    0
 11758, 81130,19470205,  -72,    0
 11758, 81130,19470206,  -92,    0
 11758, 81130,19470207, -158,    0
 11758, 81130,19470208, -136,    0
 11758, 81130,19470209, -116,    0
 11758, 81130,19470210, -105,    0
 11758, 81130,19470211, -110,    0
 11758, 81130,19470212,  -92,    0
 11758, 81130,19470213,  -89,    0
 11758, 81130,19470214,  -72,    0
 11758, 81130,19470215, -104,    0
