EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BAD SACHSA, GERMANY (STAID: 11767)
Blended and updated with sources:81229 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 11767, 81229,19480101,  -13,    0
 11767, 81229,19480102,   60,    0
 11767, 81229,19480103,   91,    0
 11767, 81229,19480104,   97,    0
 11767, 81229,19480105,   74,    0
 11767, 81229,19480106,   12,    0
 11767, 81229,19480107,   36,    0
 11767, 81229,19480108,   30,    0
 11767, 81229,19480109,    6,    0
 11767, 81229,19480110,   14,    0
 11767, 81229,19480111,  -16,    0
 11767, 81229,19480112,   46,    0
 11767, 81229,19480113,  100,    0
 11767, 81229,19480114,   47,    0
 11767, 81229,19480115,   18,    0
 11767, 81229,19480116,   -2,    0
 11767, 81229,19480117,    7,    0
 11767, 81229,19480118,   12,    0
 11767, 81229,19480119,    4,    0
 11767, 81229,19480120,   -7,    0
 11767, 81229,19480121,  -28,    0
 11767, 81229,19480122,  -14,    0
 11767, 81229,19480123,    5,    0
 11767, 81229,19480124,    7,    0
 11767, 81229,19480125,   -9,    0
 11767, 81229,19480126,  -18,    0
 11767, 81229,19480127,   13,    0
 11767, 81229,19480128,   22,    0
 11767, 81229,19480129,   30,    0
 11767, 81229,19480130,   63,    0
 11767, 81229,19480131,   79,    0
 11767, 81229,19480201,   62,    0
 11767, 81229,19480202,   78,    0
 11767, 81229,19480203,   79,    0
 11767, 81229,19480204,   37,    0
 11767, 81229,19480205,   37,    0
 11767, 81229,19480206,   30,    0
 11767, 81229,19480207,   14,    0
 11767, 81229,19480208,   54,    0
 11767, 81229,19480209,   56,    0
 11767, 81229,19480210,   16,    0
 11767, 81229,19480211,   48,    0
 11767, 81229,19480212,   36,    0
 11767, 81229,19480213,   16,    0
 11767, 81229,19480214,    1,    0
 11767, 81229,19480215,   48,    0
