EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station WEISEN BEI WITTENBERGE, GERMANY (STAID: 11774)
Blended and updated with sources:81306 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 11774, 81306,19470101,  -32,    0
 11774, 81306,19470102,  -32,    0
 11774, 81306,19470103,  -49,    0
 11774, 81306,19470104, -110,    0
 11774, 81306,19470105, -136,    0
 11774, 81306,19470106, -156,    0
 11774, 81306,19470107, -140,    0
 11774, 81306,19470108, -146,    0
 11774, 81306,19470109,  -97,    0
 11774, 81306,19470110, -105,    0
 11774, 81306,19470111, -147,    0
 11774, 81306,19470112,  -68,    0
 11774, 81306,19470113,   12,    0
 11774, 81306,19470114,   32,    0
 11774, 81306,19470115,   68,    0
 11774, 81306,19470116,   41,    0
 11774, 81306,19470117,   44,    0
 11774, 81306,19470118,   38,    0
 11774, 81306,19470119,    6,    0
 11774, 81306,19470120,  -18,    0
 11774, 81306,19470121,  -21,    0
 11774, 81306,19470122,  -32,    0
 11774, 81306,19470123,  -33,    0
 11774, 81306,19470124,  -64,    0
 11774, 81306,19470125,  -50,    0
 11774, 81306,19470126,  -98,    0
 11774, 81306,19470127,  -76,    0
 11774, 81306,19470128,  -98,    0
 11774, 81306,19470129,  -92,    0
 11774, 81306,19470130,  -76,    0
 11774, 81306,19470131,  -84,    0
 11774, 81306,19470201,  -94,    0
 11774, 81306,19470202,  -94,    0
 11774, 81306,19470203,  -82,    0
 11774, 81306,19470204,  -56,    0
 11774, 81306,19470205,  -37,    0
 11774, 81306,19470206,  -56,    0
 11774, 81306,19470207,  -89,    0
 11774, 81306,19470208, -112,    0
 11774, 81306,19470209, -106,    0
 11774, 81306,19470210, -101,    0
 11774, 81306,19470211,  -93,    0
 11774, 81306,19470212, -106,    0
 11774, 81306,19470213,  -62,    0
 11774, 81306,19470214,  -48,    0
 11774, 81306,19470215,  -57,    0
 11774, 81306,19470216,  -66,    0
 11774, 81306,19470217,  -72,    0
 11774, 81306,19470218,  -58,    0
 11774, 81306,19470219,  -55,    0
 11774, 81306,19470220,  -72,    0
 11774, 81306,19470221,  -94,    0
 11774, 81306,19470222,  -68,    0
 11774, 81306,19470223,  -96,    0
 11774, 81306,19470224, -124,    0
 11774, 81306,19470225, -116,    0
 11774, 81306,19470226,  -88,    0
 11774, 81306,19470227,  -50,    0
 11774, 81306,19470228,  -26,    0
 11774, 81306,19470301,  -49,    0
 11774, 81306,19470302,  -60,    0
 11774, 81306,19470303,  -55,    0
 11774, 81306,19470304,  -56,    0
 11774, 81306,19470305,  -24,    0
 11774, 81306,19470306,   -9,    0
 11774, 81306,19470307,  -26,    0
 11774, 81306,19470308,  -26,    0
 11774, 81306,19470309,  -46,    0
 11774, 81306,19470310,  -42,    0
 11774, 81306,19470311,  -52,    0
 11774, 81306,19470312,  -91,    0
 11774, 81306,19470313,  -38,    0
 11774, 81306,19470314,   12,    0
 11774, 81306,19470315,  -26,    0
 11774, 81306,19470316,    8,    0
 11774, 81306,19470317,   33,    0
 11774, 81306,19470318,   14,    0
 11774, 81306,19470319,   34,    0
 11774, 81306,19470320,   54,    0
 11774, 81306,19470321,   60,    0
 11774, 81306,19470322,   73,    0
 11774, 81306,19470323,   86,    0
 11774, 81306,19470324,   52,    0
 11774, 81306,19470325,   51,    0
 11774, 81306,19470326,   58,    0
 11774, 81306,19470327,   35,    0
 11774, 81306,19470328,   94,    0
 11774, 81306,19470329,   88,    0
 11774, 81306,19470330,   80,    0
 11774, 81306,19470331,  103,    0
 11774, 81306,19470401,   88,    0
 11774, 81306,19470402,   63,    0
 11774, 81306,19470403,   42,    0
 11774, 81306,19470404,   75,    0
 11774, 81306,19470405,   52,    0
 11774, 81306,19470406,   72,    0
 11774, 81306,19470407,   91,    0
 11774, 81306,19470408,   86,    0
 11774, 81306,19470409,   32,    0
 11774, 81306,19470410,   42,    0
 11774, 81306,19470411,   39,    0
 11774, 81306,19470412,   71,    0
 11774, 81306,19470413,   85,    0
 11774, 81306,19470414,  129,    0
 11774, 81306,19470415,  126,    0
 11774, 81306,19470416,  140,    0
 11774, 81306,19470417,  122,    0
 11774, 81306,19470418,   72,    0
 11774, 81306,19470419,  119,    0
 11774, 81306,19470420,  125,    0
 11774, 81306,19470421,  121,    0
 11774, 81306,19470422,  161,    0
 11774, 81306,19470423,  126,    0
 11774, 81306,19470424,  100,    0
 11774, 81306,19470425,  116,    0
 11774, 81306,19470426,  100,    0
 11774, 81306,19470427,  111,    0
 11774, 81306,19470428,   88,    0
 11774, 81306,19470429,   78,    0
 11774, 81306,19470430,   96,    0
 11774, 81306,19470501,   56,    0
 11774, 81306,19470502,   51,    0
 11774, 81306,19470503,   65,    0
 11774, 81306,19470504,   71,    0
 11774, 81306,19470505,   97,    0
 11774, 81306,19470506,  132,    0
 11774, 81306,19470507,  156,    0
 11774, 81306,19470508,  175,    0
 11774, 81306,19470509,  184,    0
 11774, 81306,19470510,  172,    0
 11774, 81306,19470511,  186,    0
 11774, 81306,19470512,  196,    0
 11774, 81306,19470513,  194,    0
 11774, 81306,19470514,  202,    0
 11774, 81306,19470515,  185,    0
 11774, 81306,19470516,  134,    0
 11774, 81306,19470517,  148,    0
 11774, 81306,19470518,  128,    0
 11774, 81306,19470519,  121,    0
 11774, 81306,19470520,  123,    0
 11774, 81306,19470521,  128,    0
 11774, 81306,19470522,  152,    0
 11774, 81306,19470523,  173,    0
 11774, 81306,19470524,  138,    0
 11774, 81306,19470525,  173,    0
 11774, 81306,19470526,  189,    0
 11774, 81306,19470527,  178,    0
 11774, 81306,19470528,  160,    0
 11774, 81306,19470529,  171,    0
 11774, 81306,19470530,  210,    0
 11774, 81306,19470531,  208,    0
 11774, 81306,19470601,  254,    0
 11774, 81306,19470602,  246,    0
 11774, 81306,19470603,  226,    0
 11774, 81306,19470604,  237,    0
 11774, 81306,19470605,  166,    0
 11774, 81306,19470606,  132,    0
 11774, 81306,19470607,  126,    0
 11774, 81306,19470608,  134,    0
 11774, 81306,19470609,  130,    0
 11774, 81306,19470610,  119,    0
 11774, 81306,19470611,  118,    0
 11774, 81306,19470612,  126,    0
 11774, 81306,19470613,  150,    0
 11774, 81306,19470614,  167,    0
 11774, 81306,19470615,  151,    0
 11774, 81306,19470616,  133,    0
 11774, 81306,19470617,  159,    0
 11774, 81306,19470618,  189,    0
 11774, 81306,19470619,  198,    0
 11774, 81306,19470620,  197,    0
 11774, 81306,19470621,  200,    0
 11774, 81306,19470622,  142,    0
 11774, 81306,19470623,  162,    0
 11774, 81306,19470624,  164,    0
 11774, 81306,19470625,  211,    0
 11774, 81306,19470626,  248,    0
 11774, 81306,19470627,  245,    0
 11774, 81306,19470628,  259,    0
 11774, 81306,19470629,  262,    0
 11774, 81306,19470630,  264,    0
 11774, 81306,19470701,  164,    0
 11774, 81306,19470702,  183,    0
 11774, 81306,19470703,  198,    0
 11774, 81306,19470704,  206,    0
 11774, 81306,19470705,  176,    0
 11774, 81306,19470706,  143,    0
 11774, 81306,19470707,  177,    0
 11774, 81306,19470708,  157,    0
 11774, 81306,19470709,  156,    0
 11774, 81306,19470710,  136,    0
 11774, 81306,19470711,  136,    0
 11774, 81306,19470712,  139,    0
 11774, 81306,19470713,  162,    0
 11774, 81306,19470714,  175,    0
 11774, 81306,19470715,  186,    0
 11774, 81306,19470716,  214,    0
 11774, 81306,19470717,  192,    0
 11774, 81306,19470718,  178,    0
 11774, 81306,19470719,  179,    0
 11774, 81306,19470720,  191,    0
 11774, 81306,19470721,  190,    0
 11774, 81306,19470722,  206,    0
 11774, 81306,19470723,  225,    0
 11774, 81306,19470724,  236,    0
 11774, 81306,19470725,  222,    0
 11774, 81306,19470726,  236,    0
 11774, 81306,19470727,  190,    0
 11774, 81306,19470728,  175,    0
 11774, 81306,19470729,  219,    0
 11774, 81306,19470730,  197,    0
 11774, 81306,19470731,  173,    0
 11774, 81306,19470801,  169,    0
 11774, 81306,19470802,  145,    0
 11774, 81306,19470803,  193,    0
 11774, 81306,19470804,  215,    0
 11774, 81306,19470805,  209,    0
 11774, 81306,19470806,  179,    0
 11774, 81306,19470807,  165,    0
 11774, 81306,19470808,  156,    0
 11774, 81306,19470809,  176,    0
 11774, 81306,19470810,  179,    0
 11774, 81306,19470811,  190,    0
 11774, 81306,19470812,  194,    0
 11774, 81306,19470813,  206,    0
 11774, 81306,19470814,  219,    0
 11774, 81306,19470815,  230,    0
 11774, 81306,19470816,  214,    0
 11774, 81306,19470817,  219,    0
 11774, 81306,19470818,  219,    0
 11774, 81306,19470819,  188,    0
 11774, 81306,19470820,  174,    0
 11774, 81306,19470821,  176,    0
 11774, 81306,19470822,  181,    0
 11774, 81306,19470823,  182,    0
 11774, 81306,19470824,  170,    0
 11774, 81306,19470825,  178,    0
 11774, 81306,19470826,  181,    0
 11774, 81306,19470827,  174,    0
 11774, 81306,19470828,  156,    0
 11774, 81306,19470829,  138,    0
 11774, 81306,19470830,  123,    0
 11774, 81306,19470831,  131,    0
 11774, 81306,19470901,  163,    0
 11774, 81306,19470902,  174,    0
 11774, 81306,19470903,  145,    0
 11774, 81306,19470904,  127,    0
 11774, 81306,19470905,  131,    0
 11774, 81306,19470906,  155,    0
 11774, 81306,19470907,  140,    0
 11774, 81306,19470908,  162,    0
 11774, 81306,19470909,  174,    0
 11774, 81306,19470910,  165,    0
 11774, 81306,19470911,  166,    0
 11774, 81306,19470912,  224,    0
 11774, 81306,19470913,  226,    0
 11774, 81306,19470914,  207,    0
 11774, 81306,19470915,  204,    0
 11774, 81306,19470916,  230,    0
 11774, 81306,19470917,  196,    0
 11774, 81306,19470918,  184,    0
 11774, 81306,19470919,  208,    0
 11774, 81306,19470920,  202,    0
 11774, 81306,19470921,  178,    0
 11774, 81306,19470922,  118,    0
 11774, 81306,19470923,  114,    0
 11774, 81306,19470924,  102,    0
 11774, 81306,19470925,  144,    0
 11774, 81306,19470926,  169,    0
 11774, 81306,19470927,  185,    0
 11774, 81306,19470928,  160,    0
 11774, 81306,19470929,  116,    0
 11774, 81306,19470930,   86,    0
 11774, 81306,19471001,  110,    0
 11774, 81306,19471002,   63,    0
 11774, 81306,19471003,   34,    0
 11774, 81306,19471004,  124,    0
 11774, 81306,19471005,  100,    0
 11774, 81306,19471006,  104,    0
 11774, 81306,19471007,  100,    0
 11774, 81306,19471008,  125,    0
 11774, 81306,19471009,  136,    0
 11774, 81306,19471010,  103,    0
 11774, 81306,19471011,   90,    0
 11774, 81306,19471012,   98,    0
 11774, 81306,19471013,   81,    0
 11774, 81306,19471014,  104,    0
 11774, 81306,19471015,  111,    0
 11774, 81306,19471016,   86,    0
 11774, 81306,19471017,   55,    0
 11774, 81306,19471018,   38,    0
 11774, 81306,19471019,    6,    0
 11774, 81306,19471020,   20,    0
 11774, 81306,19471021,   40,    0
 11774, 81306,19471022,   54,    0
 11774, 81306,19471023,   55,    0
 11774, 81306,19471024,   27,    0
 11774, 81306,19471025,   -2,    0
 11774, 81306,19471026,   24,    0
 11774, 81306,19471027,   48,    0
 11774, 81306,19471028,   18,    0
 11774, 81306,19471029,   28,    0
 11774, 81306,19471030,   48,    0
 11774, 81306,19471031,   50,    0
 11774, 81306,19471101,   60,    0
 11774, 81306,19471102,   63,    0
 11774, 81306,19471103,   75,    0
 11774, 81306,19471104,   62,    0
 11774, 81306,19471105,   70,    0
 11774, 81306,19471106,   66,    0
 11774, 81306,19471107,   15,    0
 11774, 81306,19471108,   19,    0
 11774, 81306,19471109,   90,    0
 11774, 81306,19471110,   82,    0
 11774, 81306,19471111,   73,    0
 11774, 81306,19471112,  105,    0
 11774, 81306,19471113,   65,    0
 11774, 81306,19471114,   52,    0
 11774, 81306,19471115,   40,    0
 11774, 81306,19471116,   35,    0
 11774, 81306,19471117,   14,    0
 11774, 81306,19471118,   -4,    0
 11774, 81306,19471119,  -29,    0
 11774, 81306,19471120,  -13,    0
 11774, 81306,19471121,  134,    0
 11774, 81306,19471122,  137,    0
 11774, 81306,19471123,  118,    0
 11774, 81306,19471124,   46,    0
 11774, 81306,19471125,   39,    0
 11774, 81306,19471126,   22,    0
 11774, 81306,19471127,   23,    0
 11774, 81306,19471128,    8,    0
 11774, 81306,19471129,   16,    0
 11774, 81306,19471130,   22,    0
 11774, 81306,19471201,    9,    0
 11774, 81306,19471202,   20,    0
 11774, 81306,19471203,   26,    0
 11774, 81306,19471204,   12,    0
 11774, 81306,19471205,   10,    0
 11774, 81306,19471206,   -3,    0
 11774, 81306,19471207,   26,    0
 11774, 81306,19471208,   25,    0
 11774, 81306,19471209,   30,    0
 11774, 81306,19471210,   25,    0
 11774, 81306,19471211,   18,    0
 11774, 81306,19471212,   72,    0
 11774, 81306,19471213,   31,    0
 11774, 81306,19471214,   12,    0
 11774, 81306,19471215,   -6,    0
 11774, 81306,19471216,   -4,    0
 11774, 81306,19471217,   -3,    0
 11774, 81306,19471218,  -24,    0
 11774, 81306,19471219,  -14,    0
 11774, 81306,19471220,    0,    0
 11774, 81306,19471221,   34,    0
 11774, 81306,19471222,   41,    0
 11774, 81306,19471223,   27,    0
 11774, 81306,19471224,   48,    0
 11774, 81306,19471225,   70,    0
 11774, 81306,19471226,   34,    0
 11774, 81306,19471227,   58,    0
 11774, 81306,19471228,   65,    0
 11774, 81306,19471229,   30,    0
 11774, 81306,19471230,   -7,    0
 11774, 81306,19471231,  -24,    0
 11774, 81306,19480101,   -7,    0
 11774, 81306,19480102,   64,    0
 11774, 81306,19480103,   84,    0
 11774, 81306,19480104,  106,    0
 11774, 81306,19480105,   82,    0
 11774, 81306,19480106,   32,    0
 11774, 81306,19480107,   36,    0
 11774, 81306,19480108,   42,    0
 11774, 81306,19480109,   10,    0
 11774, 81306,19480110,   -1,    0
 11774, 81306,19480111,  -34,    0
 11774, 81306,19480112,   30,    0
 11774, 81306,19480113,   78,    0
 11774, 81306,19480114,   50,    0
 11774, 81306,19480115,   -4,    0
 11774, 81306,19480116,  -12,    0
 11774, 81306,19480117,   -3,    0
 11774, 81306,19480118,   21,    0
 11774, 81306,19480119,   17,    0
 11774, 81306,19480120,   -1,    0
 11774, 81306,19480121,   -2,    0
 11774, 81306,19480122,  -14,    0
 11774, 81306,19480123,    0,    0
 11774, 81306,19480124,    4,    0
 11774, 81306,19480125,    0,    0
 11774, 81306,19480126,    5,    0
 11774, 81306,19480127,   -2,    0
 11774, 81306,19480128,   19,    0
 11774, 81306,19480129,   22,    0
 11774, 81306,19480130,   55,    0
 11774, 81306,19480131,   86,    0
 11774, 81306,19480201,   71,    0
 11774, 81306,19480202,   85,    0
 11774, 81306,19480203,   74,    0
 11774, 81306,19480204,   50,    0
 11774, 81306,19480205,   51,    0
 11774, 81306,19480206,   46,    0
 11774, 81306,19480207,   35,    0
 11774, 81306,19480208,   56,    0
 11774, 81306,19480209,   54,    0
 11774, 81306,19480210,   27,    0
 11774, 81306,19480211,   22,    0
 11774, 81306,19480212,   30,    0
 11774, 81306,19480213,   34,    0
 11774, 81306,19480214,   20,    0
 11774, 81306,19480215,    4,    0
 11774, 81306,19480216,   -2,    0
 11774, 81306,19480217,  -13,    0
 11774, 81306,19480218,  -29,    0
 11774, 81306,19480219,  -71,    0
 11774, 81306,19480220,  -92,    0
 11774, 81306,19480221,  -92,    0
 11774, 81306,19480222,  -60,    0
 11774, 81306,19480223,  -34,    0
 11774, 81306,19480224,  -14,    0
 11774, 81306,19480225,  -38,    0
 11774, 81306,19480226,  -31,    0
 11774, 81306,19480227,  -13,    0
 11774, 81306,19480228,    0,    0
 11774, 81306,19480229,    8,    0
 11774, 81306,19480301,   -7,    0
 11774, 81306,19480302,  -14,    0
 11774, 81306,19480303,  -36,    0
 11774, 81306,19480304,  -26,    0
 11774, 81306,19480305,  -42,    0
 11774, 81306,19480306,  -27,    0
 11774, 81306,19480307,   20,    0
 11774, 81306,19480308,   79,    0
 11774, 81306,19480309,   85,    0
 11774, 81306,19480310,   69,    0
 11774, 81306,19480311,   65,    0
 11774, 81306,19480312,   60,    0
 11774, 81306,19480313,   53,    0
 11774, 81306,19480314,    7,    0
 11774, 81306,19480315,   73,    0
 11774, 81306,19480316,   61,    0
 11774, 81306,19480317,   37,    0
 11774, 81306,19480318,   35,    0
 11774, 81306,19480319,   44,    0
 11774, 81306,19480320,   94,    0
 11774, 81306,19480321,   90,    0
 11774, 81306,19480322,   64,    0
 11774, 81306,19480323,   42,    0
 11774, 81306,19480324,   53,    0
 11774, 81306,19480325,   82,    0
 11774, 81306,19480326,   58,    0
 11774, 81306,19480327,   27,    0
 11774, 81306,19480328,   43,    0
 11774, 81306,19480329,   76,    0
 11774, 81306,19480330,  100,    0
 11774, 81306,19480331,   83,    0
 11774, 81306,19480401,  104,    0
 11774, 81306,19480402,   88,    0
 11774, 81306,19480403,   73,    0
 11774, 81306,19480404,   80,    0
 11774, 81306,19480405,   60,    0
 11774, 81306,19480406,   37,    0
 11774, 81306,19480407,   42,    0
 11774, 81306,19480408,   86,    0
 11774, 81306,19480409,   74,    0
 11774, 81306,19480410,   60,    0
 11774, 81306,19480411,   77,    0
 11774, 81306,19480412,   71,    0
 11774, 81306,19480413,   96,    0
 11774, 81306,19480414,   94,    0
 11774, 81306,19480415,   62,    0
 11774, 81306,19480416,  101,    0
 11774, 81306,19480417,  162,    0
 11774, 81306,19480418,  174,    0
 11774, 81306,19480419,  151,    0
 11774, 81306,19480420,  150,    0
 11774, 81306,19480421,  162,    0
 11774, 81306,19480422,  170,    0
 11774, 81306,19480423,  146,    0
 11774, 81306,19480424,  111,    0
 11774, 81306,19480425,   95,    0
 11774, 81306,19480426,  123,    0
 11774, 81306,19480427,  130,    0
 11774, 81306,19480428,  163,    0
 11774, 81306,19480429,  104,    0
 11774, 81306,19480430,  122,    0
 11774, 81306,19480501,   85,    0
 11774, 81306,19480502,  106,    0
 11774, 81306,19480503,   84,    0
 11774, 81306,19480504,  110,    0
 11774, 81306,19480505,  140,    0
 11774, 81306,19480506,  159,    0
 11774, 81306,19480507,  148,    0
 11774, 81306,19480508,  146,    0
 11774, 81306,19480509,  194,    0
 11774, 81306,19480510,  199,    0
 11774, 81306,19480511,  191,    0
 11774, 81306,19480512,  177,    0
 11774, 81306,19480513,  134,    0
 11774, 81306,19480514,  134,    0
 11774, 81306,19480515,  171,    0
 11774, 81306,19480516,  163,    0
 11774, 81306,19480517,  162,    0
 11774, 81306,19480518,  136,    0
 11774, 81306,19480519,  130,    0
 11774, 81306,19480520,  127,    0
 11774, 81306,19480521,   96,    0
 11774, 81306,19480522,  128,    0
 11774, 81306,19480523,   79,    0
 11774, 81306,19480524,  164,    0
 11774, 81306,19480525,  131,    0
 11774, 81306,19480526,  165,    0
 11774, 81306,19480527,  122,    0
 11774, 81306,19480528,  116,    0
 11774, 81306,19480529,   96,    0
 11774, 81306,19480530,  111,    0
 11774, 81306,19480531,  103,    0
 11774, 81306,19480601,  160,    0
 11774, 81306,19480602,  156,    0
 11774, 81306,19480603,  107,    0
 11774, 81306,19480604,  128,    0
 11774, 81306,19480605,  138,    0
 11774, 81306,19480606,  170,    0
 11774, 81306,19480607,  184,    0
 11774, 81306,19480608,  203,    0
 11774, 81306,19480609,  233,    0
 11774, 81306,19480610,  223,    0
 11774, 81306,19480611,  213,    0
 11774, 81306,19480612,  174,    0
 11774, 81306,19480613,  177,    0
 11774, 81306,19480614,  205,    0
 11774, 81306,19480615,  233,    0
 11774, 81306,19480616,  180,    0
 11774, 81306,19480617,  158,    0
 11774, 81306,19480618,  150,    0
 11774, 81306,19480619,  146,    0
 11774, 81306,19480620,  142,    0
 11774, 81306,19480621,  140,    0
 11774, 81306,19480622,  147,    0
 11774, 81306,19480623,  143,    0
 11774, 81306,19480624,  149,    0
 11774, 81306,19480625,  142,    0
 11774, 81306,19480626,  180,    0
 11774, 81306,19480627,  175,    0
 11774, 81306,19480628,  123,    0
 11774, 81306,19480629,  121,    0
 11774, 81306,19480630,  142,    0
 11774, 81306,19480701,  114,    0
 11774, 81306,19480702,  150,    0
 11774, 81306,19480703,  134,    0
 11774, 81306,19480704,  164,    0
 11774, 81306,19480705,  153,    0
 11774, 81306,19480706,  178,    0
 11774, 81306,19480707,  133,    0
 11774, 81306,19480708,  107,    0
 11774, 81306,19480709,  127,    0
 11774, 81306,19480710,  145,    0
 11774, 81306,19480711,  170,    0
 11774, 81306,19480712,  140,    0
 11774, 81306,19480713,  149,    0
 11774, 81306,19480714,  144,    0
 11774, 81306,19480715,  146,    0
 11774, 81306,19480716,  141,    0
 11774, 81306,19480717,  144,    0
 11774, 81306,19480718,  153,    0
 11774, 81306,19480719,  188,    0
 11774, 81306,19480720,  202,    0
 11774, 81306,19480721,  228,    0
 11774, 81306,19480722,  178,    0
 11774, 81306,19480723,  167,    0
 11774, 81306,19480724,  190,    0
 11774, 81306,19480725,  202,    0
 11774, 81306,19480726,  223,    0
 11774, 81306,19480727,  227,    0
 11774, 81306,19480728,  234,    0
 11774, 81306,19480729,  238,    0
 11774, 81306,19480730,  240,    0
 11774, 81306,19480731,  246,    0
 11774, 81306,19480801,  236,    0
 11774, 81306,19480802,  248,    0
 11774, 81306,19480803,  184,    0
 11774, 81306,19480804,  184,    0
 11774, 81306,19480805,  160,    0
 11774, 81306,19480806,  182,    0
 11774, 81306,19480807,  198,    0
 11774, 81306,19480808,  192,    0
 11774, 81306,19480809,  188,    0
 11774, 81306,19480810,  194,    0
 11774, 81306,19480811,  162,    0
 11774, 81306,19480812,  179,    0
 11774, 81306,19480813,  145,    0
 11774, 81306,19480814,  166,    0
 11774, 81306,19480815,  162,    0
 11774, 81306,19480816,  190,    0
 11774, 81306,19480817,  189,    0
 11774, 81306,19480818,  156,    0
