EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station AULENDORF-HASLACH, GERMANY (STAID: 11775)
Blended and updated with sources:81317 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 11775, 81317,19510101,   -1,    0
 11775, 81317,19510102,   -8,    0
 11775, 81317,19510103,  -14,    0
 11775, 81317,19510104,  -28,    0
 11775, 81317,19510105,   -4,    0
 11775, 81317,19510106,   -5,    0
 11775, 81317,19510107,    7,    0
 11775, 81317,19510108,    0,    0
 11775, 81317,19510109,  -21,    0
 11775, 81317,19510110,  -53,    0
 11775, 81317,19510111,   -8,    0
 11775, 81317,19510112,   11,    0
 11775, 81317,19510113,   10,    0
 11775, 81317,19510114,    0,    0
 11775, 81317,19510115,   -3,    0
 11775, 81317,19510116,   -3,    0
 11775, 81317,19510117,   -8,    0
 11775, 81317,19510118,   27,    0
 11775, 81317,19510119,   11,    0
 11775, 81317,19510120,   30,    0
 11775, 81317,19510121,   26,    0
 11775, 81317,19510122,   33,    0
 11775, 81317,19510123,   29,    0
 11775, 81317,19510124,    9,    0
 11775, 81317,19510125,   -1,    0
 11775, 81317,19510126,   -2,    0
 11775, 81317,19510127,    0,    0
 11775, 81317,19510128,   -7,    0
 11775, 81317,19510129,    1,    0
 11775, 81317,19510130,    0,    0
 11775, 81317,19510131,    0,    0
 11775, 81317,19510201,   -4,    0
 11775, 81317,19510202,    6,    0
 11775, 81317,19510203,   -8,    0
 11775, 81317,19510204,   43,    0
 11775, 81317,19510205,    8,    0
 11775, 81317,19510206,    9,    0
 11775, 81317,19510207,   -1,    0
 11775, 81317,19510208,    0,    0
 11775, 81317,19510209,   34,    0
 11775, 81317,19510210,   26,    0
 11775, 81317,19510211,   39,    0
 11775, 81317,19510212,   31,    0
 11775, 81317,19510213,   26,    0
 11775, 81317,19510214,   22,    0
 11775, 81317,19510215,   13,    0
 11775, 81317,19510216,    9,    0
 11775, 81317,19510217,   33,    0
 11775, 81317,19510218,    2,    0
 11775, 81317,19510219,   11,    0
 11775, 81317,19510220,   19,    0
 11775, 81317,19510221,   35,    0
 11775, 81317,19510222,    9,    0
 11775, 81317,19510223,    8,    0
 11775, 81317,19510224,    0,    0
 11775, 81317,19510225,    4,    0
 11775, 81317,19510226,  -17,    0
 11775, 81317,19510227,  -20,    0
 11775, 81317,19510228,  -32,    0
 11775, 81317,19510301,  -33,    0
 11775, 81317,19510302,  -30,    0
 11775, 81317,19510303,  -17,    0
 11775, 81317,19510304,  -20,    0
 11775, 81317,19510305,   -4,    0
 11775, 81317,19510306,   -7,    0
 11775, 81317,19510307,    4,    0
 11775, 81317,19510308,   16,    0
 11775, 81317,19510309,   23,    0
 11775, 81317,19510310,   15,    0
 11775, 81317,19510311,   19,    0
 11775, 81317,19510312,   40,    0
