EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KAUFBEUREN-OBERBEUREN, GERMANY (STAID: 11782)
Blended and updated with sources:81394 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 11782, 81394,20160501,   56,    0
 11782, 81394,20160502,   81,    0
 11782, 81394,20160503,   73,    0
 11782, 81394,20160504,   64,    0
 11782, 81394,20160505,   82,    0
 11782, 81394,20160506,  132,    0
 11782, 81394,20160507,  147,    0
 11782, 81394,20160508,  149,    0
 11782, 81394,20160509,  155,    0
 11782, 81394,20160510,  142,    0
 11782, 81394,20160511,  144,    0
 11782, 81394,20160512,   92,    0
 11782, 81394,20160513,   89,    0
 11782, 81394,20160514,   85,    0
 11782, 81394,20160515,   47,    0
 11782, 81394,20160516,   43,    0
 11782, 81394,20160517,   72,    0
 11782, 81394,20160518,  116,    0
 11782, 81394,20160519,   75,    0
 11782, 81394,20160520,  106,    0
 11782, 81394,20160521,  156,    0
 11782, 81394,20160522,  193,    0
 11782, 81394,20160523,   67,    0
 11782, 81394,20160524,   75,    0
 11782, 81394,20160525,  120,    0
 11782, 81394,20160526,  165,    0
 11782, 81394,20160527,  181,    0
 11782, 81394,20160528,  170,    0
 11782, 81394,20160529,  149,    0
 11782, 81394,20160530,  132,    0
 11782, 81394,20160531,  129,    0
 11782, 81394,20160601,  126,    0
 11782, 81394,20160602,  123,    0
 11782, 81394,20160603,  130,    0
 11782, 81394,20160604,  136,    0
 11782, 81394,20160605,  135,    0
 11782, 81394,20160606,  164,    0
 11782, 81394,20160607,  179,    0
 11782, 81394,20160608,  143,    0
 11782, 81394,20160609,  125,    0
 11782, 81394,20160610,  148,    0
 11782, 81394,20160611,  138,    0
 11782, 81394,20160612,  136,    0
 11782, 81394,20160613,  124,    0
 11782, 81394,20160614,  123,    0
 11782, 81394,20160615,  131,    0
 11782, 81394,20160616,  128,    0
 11782, 81394,20160617,  116,    0
 11782, 81394,20160618,  131,    0
 11782, 81394,20160619,  109,    0
 11782, 81394,20160620,  141,    0
 11782, 81394,20160621,  154,    0
 11782, 81394,20160622,  201,    0
 11782, 81394,20160623,  231,    0
 11782, 81394,20160624,  233,    0
 11782, 81394,20160625,  181,    0
 11782, 81394,20160626,  128,    0
 11782, 81394,20160627,  149,    0
 11782, 81394,20160628,  179,    0
 11782, 81394,20160629,  186,    0
 11782, 81394,20160630,  173,    0
 11782, 81394,20160701,  198,    0
 11782, 81394,20160702,  164,    0
 11782, 81394,20160703,  137,    0
 11782, 81394,20160704,  165,    0
 11782, 81394,20160705,  182,    0
 11782, 81394,20160706,  155,    0
 11782, 81394,20160707,  172,    0
 11782, 81394,20160708,  199,    0
 11782, 81394,20160709,  202,    0
 11782, 81394,20160710,  228,    0
 11782, 81394,20160711,  228,    0
 11782, 81394,20160712,  158,    0
 11782, 81394,20160713,  119,    0
 11782, 81394,20160714,   99,    0
 11782, 81394,20160715,  105,    0
 11782, 81394,20160716,  131,    0
 11782, 81394,20160717,  175,    0
 11782, 81394,20160718,  203,    0
 11782, 81394,20160719,  215,    0
 11782, 81394,20160720,  231,    0
 11782, 81394,20160721,  203,    0
 11782, 81394,20160722,  180,    0
 11782, 81394,20160723,  175,    0
 11782, 81394,20160724,  190,    0
 11782, 81394,20160725,  183,    0
 11782, 81394,20160726,  188,    0
 11782, 81394,20160727,  176,    0
 11782, 81394,20160728,  178,    0
 11782, 81394,20160729,  188,    0
 11782, 81394,20160730,  209,    0
 11782, 81394,20160731,  172,    0
 11782, 81394,20160801,  154,    0
 11782, 81394,20160802,  160,    0
 11782, 81394,20160803,  190,    0
 11782, 81394,20160804,  204,    0
 11782, 81394,20160805,  119,    0
 11782, 81394,20160806,  144,    0
 11782, 81394,20160807,  168,    0
 11782, 81394,20160808,  189,    0
 11782, 81394,20160809,  128,    0
 11782, 81394,20160810,   99,    0
 11782, 81394,20160811,  110,    0
 11782, 81394,20160812,  122,    0
 11782, 81394,20160813,  181,    0
 11782, 81394,20160814,  201,    0
 11782, 81394,20160815,  192,    0
 11782, 81394,20160816,  192,    0
 11782, 81394,20160817,  163,    0
 11782, 81394,20160818,  157,    0
 11782, 81394,20160819,  171,    0
 11782, 81394,20160820,  178,    0
 11782, 81394,20160821,  136,    0
 11782, 81394,20160822,  142,    0
 11782, 81394,20160823,  174,    0
 11782, 81394,20160824,  190,    0
 11782, 81394,20160825,  198,    0
 11782, 81394,20160826,  232,    0
 11782, 81394,20160827,  231,    0
 11782, 81394,20160828,  227,    0
 11782, 81394,20160829,  172,    0
 11782, 81394,20160830,  167,    0
 11782, 81394,20160831,  172,    0
 11782, 81394,20160901,  188,    0
 11782, 81394,20160902,  188,    0
 11782, 81394,20160903,  179,    0
 11782, 81394,20160904,  172,    0
 11782, 81394,20160905,  136,    0
 11782, 81394,20160906,  145,    0
 11782, 81394,20160907,  151,    0
 11782, 81394,20160908,  191,    0
 11782, 81394,20160909,  196,    0
 11782, 81394,20160910,  194,    0
 11782, 81394,20160911,  193,    0
 11782, 81394,20160912,  203,    0
 11782, 81394,20160913,  205,    0
 11782, 81394,20160914,  202,    0
 11782, 81394,20160915,  192,    0
 11782, 81394,20160916,  141,    0
 11782, 81394,20160917,  119,    0
 11782, 81394,20160918,  115,    0
 11782, 81394,20160919,  105,    0
 11782, 81394,20160920,  102,    0
 11782, 81394,20160921,   96,    0
 11782, 81394,20160922,  116,    0
 11782, 81394,20160923,  127,    0
 11782, 81394,20160924,  135,    0
 11782, 81394,20160925,  145,    0
 11782, 81394,20160926,  143,    0
 11782, 81394,20160927,  127,    0
 11782, 81394,20160928,  136,    0
 11782, 81394,20160929,  156,    0
 11782, 81394,20160930,  160,    0
 11782, 81394,20161001,  149,    0
 11782, 81394,20161002,  105,    0
 11782, 81394,20161003,   84,    0
 11782, 81394,20161004,   73,    0
 11782, 81394,20161005,   44,    0
 11782, 81394,20161006,   43,    0
 11782, 81394,20161007,   59,    0
 11782, 81394,20161008,   52,    0
 11782, 81394,20161009,   50,    0
 11782, 81394,20161010,   38,    0
 11782, 81394,20161011,   33,    0
 11782, 81394,20161012,   38,    0
 11782, 81394,20161013,   36,    0
 11782, 81394,20161014,   85,    0
 11782, 81394,20161015,  114,    0
 11782, 81394,20161016,  116,    0
 11782, 81394,20161017,  116,    0
 11782, 81394,20161018,   93,    0
 11782, 81394,20161019,   72,    0
 11782, 81394,20161020,   56,    0
 11782, 81394,20161021,   40,    0
 11782, 81394,20161022,   47,    0
 11782, 81394,20161023,   77,    0
 11782, 81394,20161024,  137,    0
 11782, 81394,20161025,  112,    0
 11782, 81394,20161026,   85,    0
 11782, 81394,20161027,   64,    0
 11782, 81394,20161028,   72,    0
 11782, 81394,20161029,   73,    0
 11782, 81394,20161030,   64,    0
 11782, 81394,20161031,   59,    0
 11782, 81394,20161101,   92,    0
 11782, 81394,20161102,   64,    0
 11782, 81394,20161103,   26,    0
 11782, 81394,20161104,   51,    0
 11782, 81394,20161105,   88,    0
 11782, 81394,20161106,   17,    0
 11782, 81394,20161107,   -1,    0
 11782, 81394,20161108,   -7,    0
 11782, 81394,20161109,    1,    0
 11782, 81394,20161110,   24,    0
 11782, 81394,20161111,   13,    0
 11782, 81394,20161112,   -7,    0
 11782, 81394,20161113,  -18,    0
 11782, 81394,20161114,  -30,    0
 11782, 81394,20161115,   12,    0
 11782, 81394,20161116,   67,    0
 11782, 81394,20161117,   74,    0
 11782, 81394,20161118,   80,    0
 11782, 81394,20161119,   29,    0
 11782, 81394,20161120,   56,    0
 11782, 81394,20161121,  138,    0
 11782, 81394,20161122,  113,    0
 11782, 81394,20161123,  114,    0
 11782, 81394,20161124,   40,    0
 11782, 81394,20161125,   29,    0
 11782, 81394,20161126,   41,    0
 11782, 81394,20161127,   36,    0
 11782, 81394,20161128,  -24,    0
 11782, 81394,20161129,  -43,    0
 11782, 81394,20161130,   -1,    0
 11782, 81394,20161201,   31,    0
 11782, 81394,20161202,    7,    0
 11782, 81394,20161203,   -8,    0
 11782, 81394,20161204,  -25,    0
 11782, 81394,20161205,    5,    0
 11782, 81394,20161206,   36,    0
 11782, 81394,20161207,   28,    0
 11782, 81394,20161208,   66,    0
 11782, 81394,20161209,   64,    0
 11782, 81394,20161210,   66,    0
 11782, 81394,20161211,   38,    0
 11782, 81394,20161212,   19,    0
 11782, 81394,20161213,   26,    0
 11782, 81394,20161214,   42,    0
 11782, 81394,20161215,   -3,    0
 11782, 81394,20161216,  -28,    0
 11782, 81394,20161217,   16,    0
 11782, 81394,20161218,   17,    0
 11782, 81394,20161219,  -16,    0
 11782, 81394,20161220,  -33,    0
 11782, 81394,20161221,  -29,    0
 11782, 81394,20161222,   30,    0
 11782, 81394,20161223,   30,    0
 11782, 81394,20161224,   37,    0
 11782, 81394,20161225,   60,    0
 11782, 81394,20161226,   72,    0
 11782, 81394,20161227,    5,    0
 11782, 81394,20161228,   -6,    0
 11782, 81394,20161229,   -8,    0
 11782, 81394,20161230,  -23,    0
 11782, 81394,20161231,    7,    0
 11782, 81394,20170101,   31,    0
 11782, 81394,20170102,   -5,    0
 11782, 81394,20170103,  -35,    0
 11782, 81394,20170104,  -21,    0
 11782, 81394,20170105,  -54,    0
 11782, 81394,20170106, -113,    0
 11782, 81394,20170107,  -89,    0
 11782, 81394,20170108,  -36,    0
 11782, 81394,20170109,  -33,    0
 11782, 81394,20170110,  -42,    0
 11782, 81394,20170111,   -8,    0
 11782, 81394,20170112,   17,    0
 11782, 81394,20170113,  -11,    0
 11782, 81394,20170114,  -29,    0
 11782, 81394,20170115,  -48,    0
 11782, 81394,20170116,  -63,    0
 11782, 81394,20170117,  -78,    0
 11782, 81394,20170118,  -76,    0
 11782, 81394,20170119,  -87,    0
 11782, 81394,20170120, -106,    0
 11782, 81394,20170121,  -63,    0
 11782, 81394,20170122,  -37,    0
 11782, 81394,20170123,  -48,    0
 11782, 81394,20170124,  -95,    0
 11782, 81394,20170125,  -96,    0
 11782, 81394,20170126,  -78,    0
 11782, 81394,20170127,    1,    0
 11782, 81394,20170128,   39,    0
 11782, 81394,20170129,   33,    0
 11782, 81394,20170130,   24,    0
 11782, 81394,20170131,   36,    0
 11782, 81394,20170201,   22,    0
 11782, 81394,20170202,   68,    0
 11782, 81394,20170203,   55,    0
 11782, 81394,20170204,   39,    0
 11782, 81394,20170205,   22,    0
 11782, 81394,20170206,    5,    0
 11782, 81394,20170207,   12,    0
 11782, 81394,20170208,   -3,    0
 11782, 81394,20170209,  -32,    0
 11782, 81394,20170210,  -27,    0
 11782, 81394,20170211,   15,    0
 11782, 81394,20170212,  -23,    0
 11782, 81394,20170213,  -28,    0
 11782, 81394,20170214,    8,    0
 11782, 81394,20170215,   58,    0
 11782, 81394,20170216,   68,    0
 11782, 81394,20170217,   19,    0
 11782, 81394,20170218,   16,    0
 11782, 81394,20170219,   23,    0
 11782, 81394,20170220,   43,    0
 11782, 81394,20170221,   61,    0
 11782, 81394,20170222,   71,    0
 11782, 81394,20170223,  106,    0
 11782, 81394,20170224,   14,    0
 11782, 81394,20170225,    6,    0
 11782, 81394,20170226,   46,    0
 11782, 81394,20170227,   74,    0
 11782, 81394,20170228,   28,    0
 11782, 81394,20170301,   25,    0
 11782, 81394,20170302,   44,    0
 11782, 81394,20170303,   69,    0
 11782, 81394,20170304,  113,    0
 11782, 81394,20170305,   42,    0
 11782, 81394,20170306,   23,    0
 11782, 81394,20170307,    6,    0
 11782, 81394,20170308,   28,    0
 11782, 81394,20170309,   67,    0
 11782, 81394,20170310,   42,    0
 11782, 81394,20170311,   47,    0
 11782, 81394,20170312,   41,    0
 11782, 81394,20170313,   36,    0
 11782, 81394,20170314,   68,    0
 11782, 81394,20170315,   71,    0
 11782, 81394,20170316,   78,    0
 11782, 81394,20170317,  110,    0
 11782, 81394,20170318,   62,    0
 11782, 81394,20170319,   91,    0
 11782, 81394,20170320,   93,    0
 11782, 81394,20170321,   78,    0
 11782, 81394,20170322,   48,    0
 11782, 81394,20170323,   78,    0
 11782, 81394,20170324,   53,    0
 11782, 81394,20170325,   54,    0
 11782, 81394,20170326,   47,    0
 11782, 81394,20170327,   68,    0
 11782, 81394,20170328,  102,    0
 11782, 81394,20170329,  112,    0
 11782, 81394,20170330,  118,    0
 11782, 81394,20170331,  145,    0
 11782, 81394,20170401,  119,    0
 11782, 81394,20170402,  102,    0
 11782, 81394,20170403,   98,    0
 11782, 81394,20170404,   67,    0
 11782, 81394,20170405,   64,    0
 11782, 81394,20170406,   43,    0
 11782, 81394,20170407,   66,    0
 11782, 81394,20170408,   97,    0
 11782, 81394,20170409,  138,    0
 11782, 81394,20170410,  143,    0
 11782, 81394,20170411,   74,    0
 11782, 81394,20170412,  101,    0
 11782, 81394,20170413,   93,    0
 11782, 81394,20170414,   76,    0
 11782, 81394,20170415,   82,    0
 11782, 81394,20170416,   30,    0
 11782, 81394,20170417,   31,    0
 11782, 81394,20170418,   -5,    0
 11782, 81394,20170419,  -12,    0
 11782, 81394,20170420,  -14,    0
 11782, 81394,20170421,   29,    0
 11782, 81394,20170422,   54,    0
 11782, 81394,20170423,   36,    0
 11782, 81394,20170424,   79,    0
 11782, 81394,20170425,   82,    0
 11782, 81394,20170426,    3,    0
 11782, 81394,20170427,    5,    0
 11782, 81394,20170428,    3,    0
 11782, 81394,20170429,   44,    0
 11782, 81394,20170430,   80,    0
 11782, 81394,20170501,   41,    0
 11782, 81394,20170502,   70,    0
 11782, 81394,20170503,   75,    0
 11782, 81394,20170504,   72,    0
 11782, 81394,20170505,   85,    0
 11782, 81394,20170506,  108,    0
 11782, 81394,20170507,   82,    0
 11782, 81394,20170508,   71,    0
 11782, 81394,20170509,   51,    0
 11782, 81394,20170510,   95,    0
 11782, 81394,20170511,  148,    0
 11782, 81394,20170512,  135,    0
