EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station MAZE - RUOGONJARGA, NORWAY (STAID: 18012)
Blended and updated with sources:100594 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18012,100594,19810801,-9999,    9
 18012,100594,19810802,-9999,    9
 18012,100594,19810803,-9999,    9
 18012,100594,19810804,-9999,    9
 18012,100594,19810805,-9999,    9
 18012,100594,19810806,-9999,    9
 18012,100594,19810807,-9999,    9
 18012,100594,19810808,-9999,    9
 18012,100594,19810809,-9999,    9
 18012,100594,19810810,-9999,    9
 18012,100594,19810811,-9999,    9
 18012,100594,19810812,-9999,    9
 18012,100594,19810813,-9999,    9
 18012,100594,19810814,-9999,    9
 18012,100594,19810815,-9999,    9
 18012,100594,19810816,-9999,    9
 18012,100594,19810817,-9999,    9
 18012,100594,19810818,-9999,    9
 18012,100594,19810819,-9999,    9
 18012,100594,19810820,-9999,    9
 18012,100594,19810821,-9999,    9
 18012,100594,19810822,-9999,    9
 18012,100594,19810823,-9999,    9
 18012,100594,19810824,-9999,    9
 18012,100594,19810825,-9999,    9
 18012,100594,19810826,-9999,    9
 18012,100594,19810827,   65,    0
 18012,100594,19810828,   60,    0
 18012,100594,19810829,   51,    0
 18012,100594,19810830,   70,    0
 18012,100594,19810831,   76,    0
 18012,100594,19810901,   80,    0
 18012,100594,19810902,   70,    0
 18012,100594,19810903,   81,    0
 18012,100594,19810904,   80,    0
 18012,100594,19810905,   65,    0
 18012,100594,19810906,   78,    0
 18012,100594,19810907,   49,    0
 18012,100594,19810908,   45,    0
 18012,100594,19810909,   53,    0
 18012,100594,19810910,   66,    0
 18012,100594,19810911,   63,    0
 18012,100594,19810912,   40,    0
 18012,100594,19810913,   25,    0
 18012,100594,19810914,   17,    0
 18012,100594,19810915,   16,    0
 18012,100594,19810916,   15,    0
 18012,100594,19810917,   16,    0
 18012,100594,19810918,   20,    0
 18012,100594,19810919,   33,    0
 18012,100594,19810920,   52,    0
 18012,100594,19810921,   46,    0
 18012,100594,19810922,   17,    0
 18012,100594,19810923,    5,    0
 18012,100594,19810924,    2,    0
 18012,100594,19810925,   16,    0
 18012,100594,19810926,   60,    0
 18012,100594,19810927,   68,    0
 18012,100594,19810928,   67,    0
 18012,100594,19810929,   82,    0
 18012,100594,19810930,   50,    0
 18012,100594,19811001,   23,    0
 18012,100594,19811002,   75,    0
 18012,100594,19811003,   50,    0
 18012,100594,19811004,    8,    0
 18012,100594,19811005,   29,    0
 18012,100594,19811006,   38,    0
 18012,100594,19811007,   29,    0
 18012,100594,19811008,   19,    0
 18012,100594,19811009,   21,    0
 18012,100594,19811010,   -5,    0
 18012,100594,19811011,   18,    0
 18012,100594,19811012,   36,    0
 18012,100594,19811013,   25,    0
 18012,100594,19811014,   16,    0
 18012,100594,19811015,   -1,    0
 18012,100594,19811016,  -17,    0
 18012,100594,19811017,  -50,    0
 18012,100594,19811018,  -56,    0
 18012,100594,19811019,  -42,    0
 18012,100594,19811020,  -21,    0
 18012,100594,19811021,  -38,    0
 18012,100594,19811022,  -37,    0
 18012,100594,19811023,  -72,    0
 18012,100594,19811024,  -31,    0
 18012,100594,19811025,  -15,    0
 18012,100594,19811026,  -22,    0
 18012,100594,19811027,    4,    0
 18012,100594,19811028,   -1,    0
 18012,100594,19811029,-9999,    9
 18012,100594,19811030,-9999,    9
 18012,100594,19811031,-9999,    9
 18012,100594,19811101,-9999,    9
 18012,100594,19811102,-9999,    9
 18012,100594,19811103,-9999,    9
 18012,100594,19811104,-9999,    9
 18012,100594,19811105,-9999,    9
 18012,100594,19811106,-9999,    9
 18012,100594,19811107,-9999,    9
