EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SOLHOM I KVINESDAL, NORWAY (STAID: 18013)
Blended and updated with sources:100597 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18013,100597,19790101, -211,    0
 18013,100597,19790102, -193,    0
 18013,100597,19790103, -159,    0
 18013,100597,19790104, -109,    0
 18013,100597,19790105, -104,    0
 18013,100597,19790106,  -39,    0
 18013,100597,19790107,    4,    0
 18013,100597,19790108,  -19,    0
 18013,100597,19790109,  -40,    0
 18013,100597,19790110,  -40,    0
 18013,100597,19790111,  -53,    0
 18013,100597,19790112,  -67,    0
 18013,100597,19790113,  -71,    0
 18013,100597,19790114, -147,    0
 18013,100597,19790115, -152,    0
 18013,100597,19790116,  -52,    0
 18013,100597,19790117,  -53,    0
 18013,100597,19790118,  -27,    0
 18013,100597,19790119,  -52,    0
 18013,100597,19790120,  -49,    0
 18013,100597,19790121,  -82,    0
 18013,100597,19790122, -136,    0
 18013,100597,19790123, -106,    0
 18013,100597,19790124,  -85,    0
 18013,100597,19790125, -125,    0
 18013,100597,19790126, -184,    0
 18013,100597,19790127, -179,    0
 18013,100597,19790128,  -74,    0
 18013,100597,19790129,  -75,    0
 18013,100597,19790130, -110,    0
 18013,100597,19790131, -132,    0
 18013,100597,19790201,  -47,    0
 18013,100597,19790202,  -59,    0
 18013,100597,19790203,  -56,    0
 18013,100597,19790204,  -84,    0
 18013,100597,19790205,  -57,    0
 18013,100597,19790206, -110,    0
 18013,100597,19790207,  -57,    0
 18013,100597,19790208,  -65,    0
 18013,100597,19790209,  -69,    0
 18013,100597,19790210, -119,    0
 18013,100597,19790211, -145,    0
 18013,100597,19790212, -121,    0
 18013,100597,19790213,  -87,    0
 18013,100597,19790214, -169,    0
 18013,100597,19790215, -127,    0
 18013,100597,19790216, -101,    0
 18013,100597,19790217,  -91,    0
 18013,100597,19790218,  -70,    0
 18013,100597,19790219,  -64,    0
 18013,100597,19790220,  -43,    0
 18013,100597,19790221,  -67,    0
 18013,100597,19790222, -116,    0
 18013,100597,19790223,  -55,    0
 18013,100597,19790224,  -74,    0
 18013,100597,19790225,  -40,    0
 18013,100597,19790226,   -2,    0
 18013,100597,19790227,  -11,    0
 18013,100597,19790228,  -11,    0
 18013,100597,19790301,  -49,    0
 18013,100597,19790302,    1,    0
 18013,100597,19790303,   15,    0
 18013,100597,19790304,  -10,    0
 18013,100597,19790305,   -1,    0
 18013,100597,19790306,    0,    0
 18013,100597,19790307,  -16,    0
 18013,100597,19790308,  -16,    0
 18013,100597,19790309,  -13,    0
 18013,100597,19790310,  -70,    0
 18013,100597,19790311,  -46,    0
 18013,100597,19790312,  -49,    0
 18013,100597,19790313,  -53,    0
 18013,100597,19790314,  -97,    0
 18013,100597,19790315,  -89,    0
 18013,100597,19790316,  -77,    0
 18013,100597,19790317, -119,    0
 18013,100597,19790318, -170,    0
 18013,100597,19790319, -101,    0
 18013,100597,19790320,  -40,    0
 18013,100597,19790321,  -40,    0
 18013,100597,19790322,  -31,    0
 18013,100597,19790323,  -24,    0
 18013,100597,19790324,  -36,    0
 18013,100597,19790325,  -36,    0
 18013,100597,19790326,   10,    0
 18013,100597,19790327,  -11,    0
 18013,100597,19790328,    8,    0
 18013,100597,19790329,   15,    0
 18013,100597,19790330,    5,    0
 18013,100597,19790331,    3,    0
 18013,100597,19790401,   11,    0
 18013,100597,19790402,   -6,    0
 18013,100597,19790403,  -14,    0
 18013,100597,19790404,  -11,    0
 18013,100597,19790405,    1,    0
 18013,100597,19790406,  -12,    0
 18013,100597,19790407,   -2,    0
 18013,100597,19790408,  -12,    0
 18013,100597,19790409,  -18,    0
 18013,100597,19790410,   -1,    0
 18013,100597,19790411,   28,    0
 18013,100597,19790412,   33,    0
 18013,100597,19790413,   19,    0
 18013,100597,19790414,   24,    0
 18013,100597,19790415,    0,    0
 18013,100597,19790416,  -19,    0
 18013,100597,19790417,   -9,    0
 18013,100597,19790418,  -14,    0
 18013,100597,19790419,    6,    0
 18013,100597,19790420,   20,    0
 18013,100597,19790421,    9,    0
 18013,100597,19790422,   -3,    0
 18013,100597,19790423,    6,    0
 18013,100597,19790424,   14,    0
 18013,100597,19790425,   18,    0
 18013,100597,19790426,   14,    0
 18013,100597,19790427,-9999,    9
 18013,100597,19790428,-9999,    9
 18013,100597,19790429,-9999,    9
 18013,100597,19790430,-9999,    9
 18013,100597,19790501,-9999,    9
 18013,100597,19790502,-9999,    9
 18013,100597,19790503,-9999,    9
 18013,100597,19790504,-9999,    9
 18013,100597,19790505,-9999,    9
 18013,100597,19790506,-9999,    9
 18013,100597,19790507,-9999,    9
