EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BEITOSTOLEN II, NORWAY (STAID: 18025)
Blended and updated with sources:99165 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18025, 99165,20100829,   39,    0
 18025, 99165,20100830,   67,    0
 18025, 99165,20100831,   75,    0
 18025, 99165,20100901,   73,    0
 18025, 99165,20100902,   66,    0
 18025, 99165,20100903,   51,    0
 18025, 99165,20100904,   70,    0
 18025, 99165,20100905,   97,    0
 18025, 99165,20100906,  113,    0
 18025, 99165,20100907,   89,    0
 18025, 99165,20100908,   78,    0
 18025, 99165,20100909,   66,    0
 18025, 99165,20100910,   63,    0
 18025, 99165,20100911,   69,    0
 18025, 99165,20100912,   92,    0
 18025, 99165,20100913,   81,    0
 18025, 99165,20100914,   73,    0
 18025, 99165,20100915,   38,    0
 18025, 99165,20100916,   32,    0
 18025, 99165,20100917,   45,    0
 18025, 99165,20100918,   48,    0
 18025, 99165,20100919,   54,    0
 18025, 99165,20100920,   36,    0
 18025, 99165,20100921,   44,    0
 18025, 99165,20100922,   40,    0
 18025, 99165,20100923,   73,    0
 18025, 99165,20100924,   20,    0
 18025, 99165,20100925,   26,    0
 18025, 99165,20100926,   25,    0
 18025, 99165,20100927,   26,    0
 18025, 99165,20100928,   25,    0
 18025, 99165,20100929,   29,    0
 18025, 99165,20100930,   34,    0
 18025, 99165,20101001,   18,    0
 18025, 99165,20101002,   10,    0
 18025, 99165,20101003,   25,    0
 18025, 99165,20101004,   47,    0
 18025, 99165,20101005,   53,    0
 18025, 99165,20101006,   53,    0
 18025, 99165,20101007,   55,    0
 18025, 99165,20101008,   54,    0
 18025, 99165,20101009,   47,    0
 18025, 99165,20101010,   46,    0
 18025, 99165,20101011,   38,    0
 18025, 99165,20101012,   24,    0
 18025, 99165,20101013,   15,    0
 18025, 99165,20101014,   14,    0
 18025, 99165,20101015,  -17,    0
 18025, 99165,20101016,  -17,    0
 18025, 99165,20101017,   13,    0
 18025, 99165,20101018,   12,    0
 18025, 99165,20101019,    0,    0
 18025, 99165,20101020,  -48,    0
 18025, 99165,20101021,  -60,    0
 18025, 99165,20101022,  -55,    0
 18025, 99165,20101023,  -35,    0
 18025, 99165,20101024,  -30,    0
 18025, 99165,20101025,  -28,    0
 18025, 99165,20101026,  -44,    0
 18025, 99165,20101027,  -13,    0
 18025, 99165,20101028,   19,    0
 18025, 99165,20101029,    5,    0
 18025, 99165,20101030,   20,    0
 18025, 99165,20101031,   12,    0
 18025, 99165,20101101,    1,    0
 18025, 99165,20101102,  -14,    0
 18025, 99165,20101103,    5,    0
 18025, 99165,20101104,   -4,    0
 18025, 99165,20101105,  -15,    0
 18025, 99165,20101106,  -48,    0
 18025, 99165,20101107,  -65,    0
 18025, 99165,20101108,  -94,    0
 18025, 99165,20101109,  -96,    0
 18025, 99165,20101110,  -75,    0
 18025, 99165,20101111,  -91,    0
 18025, 99165,20101112,  -51,    0
 18025, 99165,20101113,  -42,    0
 18025, 99165,20101114,  -63,    0
 18025, 99165,20101115,  -50,    0
 18025, 99165,20101116,  -49,    0
 18025, 99165,20101117,  -79,    0
 18025, 99165,20101118, -134,    0
 18025, 99165,20101119, -100,    0
 18025, 99165,20101120,  -91,    0
 18025, 99165,20101121,  -61,    0
 18025, 99165,20101122,  -65,    0
 18025, 99165,20101123,  -98,    0
 18025, 99165,20101124, -122,    0
 18025, 99165,20101125, -157,    0
 18025, 99165,20101126, -175,    0
 18025, 99165,20101127, -154,    0
 18025, 99165,20101128, -157,    0
 18025, 99165,20101129, -166,    0
 18025, 99165,20101130, -167,    0
 18025, 99165,20101201, -137,    0
 18025, 99165,20101202, -143,    0
 18025, 99165,20101203, -153,    0
 18025, 99165,20101204, -120,    0
 18025, 99165,20101205, -123,    0
 18025, 99165,20101206, -107,    0
 18025, 99165,20101207,  -96,    0
 18025, 99165,20101208, -109,    0
 18025, 99165,20101209,  -97,    0
 18025, 99165,20101210,  -54,    0
 18025, 99165,20101211,  -20,    0
