EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station LOSISTUA, NORWAY (STAID: 18063)
Blended and updated with sources:99588 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18063, 99588,20141001,   71,    0
 18063, 99588,20141002,   41,    0
 18063, 99588,20141003,   67,    0
 18063, 99588,20141004,   64,    0
 18063, 99588,20141005,  106,    0
 18063, 99588,20141006,   77,    0
 18063, 99588,20141007,   21,    0
 18063, 99588,20141008,    1,    0
 18063, 99588,20141009,  -15,    0
 18063, 99588,20141010,  -15,    0
 18063, 99588,20141011,  -23,    0
 18063, 99588,20141012,  -35,    0
 18063, 99588,20141013,  -34,    0
 18063, 99588,20141014,  -20,    0
 18063, 99588,20141015,  -32,    0
 18063, 99588,20141016,  -17,    0
 18063, 99588,20141017,   -2,    0
 18063, 99588,20141018,  -15,    0
 18063, 99588,20141019,  -33,    0
 18063, 99588,20141020,  -29,    0
 18063, 99588,20141021,  -22,    0
 18063, 99588,20141022,  -26,    0
 18063, 99588,20141023,  -12,    0
 18063, 99588,20141024,   17,    0
 18063, 99588,20141025,   24,    0
 18063, 99588,20141026,   27,    0
 18063, 99588,20141027,   12,    0
 18063, 99588,20141028,    3,    0
 18063, 99588,20141029,   -3,    0
 18063, 99588,20141030,  -17,    0
 18063, 99588,20141031,  -51,    0
 18063, 99588,20141101,  -42,    0
 18063, 99588,20141102,   13,    0
 18063, 99588,20141103,   16,    0
 18063, 99588,20141104,  -75,    0
 18063, 99588,20141105,  -89,    0
 18063, 99588,20141106,  -52,    0
 18063, 99588,20141107,  -26,    0
 18063, 99588,20141108,  -14,    0
 18063, 99588,20141109,    6,    0
 18063, 99588,20141110,  -19,    0
 18063, 99588,20141111,  -43,    0
 18063, 99588,20141112,  -83,    0
 18063, 99588,20141113,  -94,    0
 18063, 99588,20141114,  -80,    0
 18063, 99588,20141115,  -52,    0
 18063, 99588,20141116,  -62,    0
 18063, 99588,20141117,  -16,    0
 18063, 99588,20141118,    6,    0
 18063, 99588,20141119,  -27,    0
 18063, 99588,20141120,  -36,    0
 18063, 99588,20141121,    4,    0
 18063, 99588,20141122,  -50,    0
 18063, 99588,20141123,  -71,    0
 18063, 99588,20141124,  -36,    0
 18063, 99588,20141125,   -1,    0
 18063, 99588,20141126,    2,    0
 18063, 99588,20141127,   16,    0
 18063, 99588,20141128,    2,    0
 18063, 99588,20141129,   -7,    0
 18063, 99588,20141130,  -38,    0
 18063, 99588,20141201,  -98,    0
 18063, 99588,20141202,  -32,    0
 18063, 99588,20141203,  -23,    0
 18063, 99588,20141204,   -8,    0
 18063, 99588,20141205,   25,    0
 18063, 99588,20141206,  -35,    0
 18063, 99588,20141207,  -21,    0
 18063, 99588,20141208,  -36,    0
 18063, 99588,20141209,  -65,    0
 18063, 99588,20141210,  -28,    0
 18063, 99588,20141211,  -53,    0
 18063, 99588,20141212,  -73,    0
 18063, 99588,20141213,  -97,    0
 18063, 99588,20141214,  -69,    0
 18063, 99588,20141215,  -42,    0
 18063, 99588,20141216,  -50,    0
 18063, 99588,20141217,  -46,    0
 18063, 99588,20141218,  -97,    0
 18063, 99588,20141219, -129,    0
 18063, 99588,20141220, -113,    0
 18063, 99588,20141221, -128,    0
 18063, 99588,20141222, -119,    0
 18063, 99588,20141223, -168,    0
 18063, 99588,20141224, -166,    0
 18063, 99588,20141225,  -91,    0
 18063, 99588,20141226,  -81,    0
 18063, 99588,20141227,  -93,    0
 18063, 99588,20141228, -153,    0
 18063, 99588,20141229,  -69,    0
 18063, 99588,20141230,    4,    0
 18063, 99588,20141231,   -4,    0
 18063, 99588,20150101,   20,    0
 18063, 99588,20150102,  -27,    0
 18063, 99588,20150103,  -48,    0
 18063, 99588,20150104,  -71,    0
 18063, 99588,20150105, -125,    0
 18063, 99588,20150106,  -70,    0
 18063, 99588,20150107,  -35,    0
 18063, 99588,20150108,  -27,    0
 18063, 99588,20150109,  -64,    0
 18063, 99588,20150110, -108,    0
 18063, 99588,20150111, -168,    0
 18063, 99588,20150112, -148,    0
 18063, 99588,20150113,  -90,    0
 18063, 99588,20150114,  -90,    0
 18063, 99588,20150115, -106,    0
 18063, 99588,20150116,  -48,    0
 18063, 99588,20150117,  -81,    0
 18063, 99588,20150118,  -87,    0
 18063, 99588,20150119, -163,    0
 18063, 99588,20150120, -124,    0
 18063, 99588,20150121, -127,    0
 18063, 99588,20150122, -141,    0
 18063, 99588,20150123, -101,    0
 18063, 99588,20150124, -103,    0
 18063, 99588,20150125,  -28,    0
 18063, 99588,20150126,  -11,    0
 18063, 99588,20150127,  -36,    0
 18063, 99588,20150128,  -66,    0
 18063, 99588,20150129, -112,    0
 18063, 99588,20150130, -125,    0
 18063, 99588,20150131, -125,    0
 18063, 99588,20150201,  -92,    0
 18063, 99588,20150202, -116,    0
 18063, 99588,20150203, -148,    0
